,BLND.csv,MNDI.csv,MKS.csv,NMC.csv,SLA.csv,RRS.csv,CCH.csv,SVT.csv,III.csv,BARC.csv,SBRY.csv,TSCO.csv,SGE.csv,IAG.csv,OML.csv,RR..csv,GKN.csv,RDSA.csv,BP..csv,DCC.csv,INF.csv,GSK.csv,MDC.csv,ITV.csv,LAND.csv,RB..csv,EZJ.csv,CNA.csv,AAL.csv,UU..csv
0,828.5,1310.0,504.5,520.0,518.8,4977.0,1126.0,2078.0,492.4,262.9,272.0,245.4,483.5,563.5,221.5,936.5,365.7,2129.5,448.05,3870.0,540.0,1554.0,947.25,229.9,1321.0,5775.0,1798.0,251.7,1237.0,962.0
1,845.0,1340.0,503.5,557.0,521.77,5045.0,1131.0,2065.0,491.5,262.1,273.7,246.7,482.8,560.0,222.1,939.0,368.2,2122.5,446.65,3861.0,543.0,1541.5,946.5,228.0,1313.0,5705.0,1813.0,251.0,1225.0,955.0
2,850.0,1338.0,504.5,571.0,522.3,5170.0,1150.0,2027.0,493.0,256.9,272.0,244.95,488.3,559.5,223.2,943.5,365.2,2105.5,448.85,3796.76,557.0,1554.0,937.82,227.4,1326.0,5790.0,1732.0,245.6,1218.0,944.5
3,848.5,1330.0,510.0,582.15,520.4,5180.0,1162.0,2031.0,493.6,262.75,276.5,243.25,484.5,580.0,225.1,949.0,363.3,2118.0,451.05,3810.0,553.0,1551.0,931.5,225.3,1340.0,5860.0,1732.0,244.3,1210.0,946.0
4,862.5,1330.0,508.0,585.5,517.4,5100.0,1159.0,2026.0,497.0,254.3,276.6,245.95,484.2,574.0,224.7,934.5,355.2,2090.0,452.6,3854.0,557.0,1566.0,948.0,227.8,1362.36,5795.0,1723.0,246.5,1201.0,945.0
5,839.5,1317.0,505.5,592.5,515.4,4997.0,1164.0,2011.0,491.0,262.4,275.5,242.5,482.8,556.0,222.3,937.0,355.4,2047.0,447.0,4017.0,552.0,1571.0,937.5,221.8,1365.0,5755.0,1701.0,247.5,1204.5,920.5
6,825.0,1322.0,506.5,593.0,517.24,4786.0,1160.0,2007.0,488.8,266.0,265.9,240.3,484.8,569.5,223.9,950.0,363.9,2043.5,445.7,4011.81,556.0,1560.0,941.0,234.5,1362.0,5850.0,1738.0,245.4,1167.0,921.0
7,812.99,1352.0,511.0,607.5,540.22,4836.0,1181.0,2047.0,499.0,265.0,264.5,235.3,491.7,562.0,226.8,985.0,361.4,2040.0,428.1,3999.2,562.0,1556.0,946.0,241.0,1377.07,5825.0,1722.0,245.5,1164.5,939.5
8,808.0,1347.0,504.5,612.5,543.89,4581.0,1155.0,2031.0,497.0,262.63,263.7,235.45,491.4,550.0,227.1,987.0,358.8,2030.0,425.15,4019.0,564.0,1523.5,959.0,246.5,1349.0,5800.0,1680.0,242.0,1136.0,925.0
9,805.0,1340.0,495.5,630.0,546.0,4562.0,1145.0,2024.0,488.7,254.3,259.1,235.75,486.0,551.5,225.7,995.5,352.0,2030.0,425.85,4077.0,559.0,1519.0,971.5,247.2,1322.0,5830.0,1702.0,243.9,1138.0,922.5
10,824.5,1309.0,496.9,645.5,551.3,4460.0,1115.0,1960.0,478.3,255.0,268.6,232.85,476.8,545.5,217.8,973.0,357.8,1936.5,418.25,4129.0,555.31,1548.5,949.5,244.0,1296.0,5705.0,1713.0,235.5,1081.5,889.0
11,836.0,1332.0,494.1,640.0,554.2,4545.0,1089.0,1961.0,480.0,254.5,266.4,241.35,476.3,562.0,220.2,976.0,362.0,1936.0,417.6,4181.0,553.66,1560.0,943.0,247.1,1291.73,5715.0,1737.0,238.9,1085.5,895.5
12,834.0,1330.0,493.6,648.0,560.4,4595.0,1109.0,1967.0,480.9,250.0,270.6,237.15,476.8,570.0,223.6,970.0,368.7,1961.0,425.9,4196.0,560.5,1577.0,945.0,248.9,1278.0,5710.0,1732.0,241.4,1079.0,902.5
