Date,Open,High,Low,Close,Volume
2015-02-23,1248.0,1248.0,1192.5,1198.0,4471232
2015-02-24,1206.0,1247.0,1189.0,1237.0,5154816
2015-02-25,1239.0,1245.0,1215.0,1225.0,3587078
2015-02-26,1220.5,1256.5,1215.5,1218.0,4875840
2015-02-27,1219.0,1227.62,1204.0,1210.0,3646609
2015-03-02,1217.0,1241.0,1189.82,1201.0,4264312
2015-03-03,1198.0,1210.5,1185.5,1204.5,4349046
2015-03-04,1202.5,1209.0,1162.0,1167.0,5488943
2015-03-05,1165.0,1178.0,1140.5,1164.5,5117466
2015-03-06,1157.0,1158.0,1131.5,1136.0,5405717
2015-03-09,1116.5,1138.5,1111.0,1138.0,4848994
2015-03-10,1122.5,1130.5,1081.0,1081.5,9225442
2015-03-11,1086.0,1103.0,1062.5,1085.5,5687533
2015-03-12,1101.5,1120.0,1078.0,1079.0,5456416
2015-03-13,1082.0,1088.0,1043.0,1055.0,5553091
2015-03-16,1063.0,1069.9,1041.5,1055.5,6016350
2015-03-17,1060.0,1074.0,1049.5,1071.5,6219893
2015-03-18,1069.5,1079.5,1056.0,1069.5,6380794
2015-03-19,1055.0,1108.5,1042.5,1046.0,7220144
2015-03-20,1052.5,1108.5,1025.0,1100.5,10723613
2015-03-23,1107.5,1116.0,1080.0,1114.0,5023458
2015-03-24,1106.0,1125.5,1092.0,1093.5,5226204
2015-03-25,1090.0,1109.5,1090.0,1104.5,4025642
2015-03-26,1101.5,1124.0,1069.0,1076.5,7264956
2015-03-27,1073.0,1073.0,1031.0,1044.0,6397765
2015-03-30,1054.0,1069.0,1032.0,1060.0,6389507
2015-03-31,1060.5,1072.0,1010.0,1012.0,9051306
2015-04-01,1010.0,1024.5,1004.5,1016.5,5630983
2015-04-02,1011.5,1019.0,992.4,997.0,6527493
2015-04-07,1018.5,1032.5,1005.5,1025.5,7588402
2015-04-08,1028.5,1057.0,1023.5,1026.5,6636440
2015-04-09,1000.0,1028.0,988.16,1024.0,9151411
2015-04-10,1028.0,1034.5,1001.5,1022.0,5875760
2015-04-13,1009.0,1021.0,989.0,998.7,8116942
2015-04-14,993.8,1045.5,992.0,1039.5,8284510
2015-04-15,1038.0,1071.0,1034.5,1055.0,6459927
2015-04-16,1058.0,1065.5,1034.0,1039.0,6768075
2015-04-17,1035.5,1046.0,990.16,1010.5,8075484
