Date,Open,High,Low,Close,Volume
2015-02-23,3033.0,3082.0,2993.2,3058.0,623685
2015-02-24,3066.0,3071.0,2997.0,3009.0,871763
2015-02-25,3006.0,3029.0,2964.0,2994.0,738863
2015-02-26,3016.0,3051.0,2988.0,3049.0,581189
2015-02-27,3062.0,3149.36,3055.5,3125.0,949829
2015-03-02,3108.0,3127.0,3063.0,3085.0,962971
2015-03-03,3116.0,3156.0,3094.0,3094.0,710882
2015-03-04,3109.0,3109.0,3051.0,3088.0,637945
2015-03-05,3083.0,3133.0,3075.0,3133.0,512664
2015-03-06,3133.0,3187.0,3109.0,3129.0,551184
2015-03-09,3125.0,3136.0,3063.0,3069.0,390554
2015-03-10,3053.0,3069.0,2976.0,2976.0,903799
2015-03-11,2976.0,3043.0,2968.0,2998.0,672143
2015-03-12,2993.0,3028.0,2967.0,2992.0,608481
2015-03-13,2988.0,3027.0,2968.0,2984.0,470745
2015-03-16,2991.0,3056.0,2990.0,3048.0,559569
2015-03-17,3046.0,3074.0,3010.0,3036.0,537826
2015-03-18,3045.0,3066.0,3016.0,3062.0,699319
2015-03-19,3077.0,3093.0,3047.0,3061.0,516442
2015-03-20,3058.0,3070.0,3025.0,3038.0,668540
2015-03-23,3046.0,3046.0,3008.0,3011.0,514197
2015-03-24,2998.0,2999.79,2925.0,2925.0,1186460
2015-03-25,2934.0,2954.0,2909.0,2911.0,735637
2015-03-26,2891.0,2908.0,2836.0,2849.0,776962
2015-03-27,2851.0,2861.0,2826.0,2845.0,868963
2015-03-30,2876.0,2883.0,2839.0,2855.0,475895
2015-03-31,2854.0,2868.0,2807.0,2818.0,805876
2015-04-01,2813.0,2853.0,2795.35,2816.0,817749
2015-04-02,2820.0,2866.0,2805.0,2866.0,520779
2015-04-07,2869.0,2964.0,2856.0,2964.0,1114657
2015-04-08,2950.0,2977.0,2918.0,2963.0,896390
2015-04-09,2976.0,3014.0,2975.0,3014.0,610832
2015-04-10,2999.0,3022.0,2979.0,3017.0,623259
2015-04-13,3008.0,3008.0,2978.0,2990.0,413566
2015-04-14,2969.0,2979.0,2942.0,2977.0,616377
2015-04-15,2966.0,3009.0,2949.0,2955.0,1029502
2015-04-16,2978.0,2990.0,2947.0,2958.0,674608
2015-04-17,2967.0,2994.0,2902.0,2906.0,1003588
2015-04-20,2920.0,2942.0,2860.0,2863.0,1019584
2015-04-21,2735.0,2805.0,2705.75,2712.0,2709657
2015-04-22,2735.0,2757.0,2706.95,2745.0,1819782
2015-04-23,2755.0,2778.0,2741.0,2771.0,1246441
2015-04-24,2767.0,2790.0,2760.0,2771.0,899178
2015-04-27,2785.0,2827.0,2769.0,2809.0,1204438
2015-04-28,2807.0,2810.0,2768.0,2789.0,1116794
2015-04-29,2798.0,2808.0,2775.0,2791.0,1250639
2015-04-30,2791.0,2895.0,2780.0,2857.0,1806327
2015-05-01,2869.0,2885.0,2831.0,2874.0,472397
2015-05-05,2903.0,2908.0,2834.0,2834.0,1287865
2015-05-06,2835.0,2863.0,2835.0,2855.0,723137
2015-05-07,2859.0,2859.0,2813.0,2841.0,922384
2015-05-08,2894.0,2939.0,2893.0,2928.0,919534
2015-05-11,2929.0,2950.0,2871.0,2879.0,806470
2015-05-12,2866.0,2879.0,2829.0,2839.0,1200866
2015-05-13,2850.0,2888.0,2844.0,2852.0,636038
2015-05-14,2851.0,2877.0,2823.0,2871.0,578360
2015-05-15,2876.0,2912.7,2863.0,2909.0,682150
2015-05-18,2910.0,2936.0,2873.0,2912.0,496223
2015-05-19,2919.0,2961.0,2919.0,2959.0,632099
2015-05-20,2956.0,2960.0,2917.0,2938.0,538087
2015-05-21,2934.0,2944.0,2907.0,2919.0,613487
2015-05-22,2930.0,2957.0,2914.0,2934.0,602820
2015-05-26,2944.0,2955.0,2895.0,2900.0,630827
2015-05-27,2905.0,2917.0,2883.0,2900.0,716619
2015-05-28,2900.0,2952.0,2893.0,2950.0,529443
2015-05-29,3009.0,3074.0,3009.0,3028.0,1648623
2015-06-01,3030.0,3040.0,2981.0,3001.0,698456
2015-06-02,3013.0,3013.0,2946.5,2949.0,723226
2015-06-03,2945.0,3003.0,2920.0,2983.0,659260
2015-06-04,2957.0,2971.0,2913.0,2950.0,761665
2015-06-05,2961.0,2966.0,2913.0,2935.0,650837
2015-06-08,2925.0,2960.0,2919.25,2940.0,526075
2015-06-09,2941.0,2955.0,2905.0,2914.0,466487
2015-06-10,2916.0,3084.0,2906.0,3070.0,1390151
2015-06-11,3056.0,3109.0,3042.0,3095.0,880333
2015-06-12,3087.0,3089.0,3038.0,3051.0,630887
2015-06-15,3037.0,3044.0,3009.0,3013.0,394020
2015-06-16,3006.0,3033.0,2977.0,3023.0,593536
2015-06-17,3043.0,3045.0,3001.0,3026.0,583020
2015-06-18,3011.0,3014.0,2968.0,3003.0,660185
2015-06-19,3011.0,3058.0,2998.0,3050.0,1472196
2015-06-22,3080.0,3094.0,3041.0,3094.0,605200
2015-06-23,3074.0,3081.26,3055.0,3064.0,735494
2015-06-24,3068.0,3077.0,3035.0,3035.0,518262
