Date,Open,High,Low,Close,Volume
2015-02-23,1475.0,1497.0,1467.0,1496.0,687448
2015-02-24,1500.0,1510.56,1478.0,1479.0,927269
2015-02-25,1478.0,1484.0,1458.0,1473.0,764049
2015-02-26,1467.0,1479.0,1460.0,1469.0,585449
2015-02-27,1472.0,1482.0,1461.0,1475.0,1032698
2015-03-02,1474.0,1484.0,1462.0,1476.0,833445
2015-03-03,1481.0,1496.0,1463.0,1463.0,773304
2015-03-04,1470.0,1470.0,1446.0,1459.0,871212
2015-03-05,1445.0,1514.0,1413.0,1514.0,1960832
2015-03-06,1520.0,1529.0,1496.0,1515.0,1000657
2015-03-09,1515.0,1522.0,1488.2,1518.0,773699
2015-03-10,1518.0,1523.0,1449.0,1449.0,1591649
2015-03-11,1458.0,1478.0,1437.0,1475.0,801214
2015-03-12,1477.0,1489.0,1472.0,1485.0,705358
2015-03-13,1485.0,1507.0,1485.0,1503.0,639305
2015-03-16,1504.0,1517.0,1500.0,1509.0,684809
2015-03-17,1508.0,1520.0,1497.71,1507.98,456081
2015-03-18,1503.0,1538.0,1503.0,1537.0,612663
2015-03-19,1543.0,1556.73,1516.0,1518.0,1019193
2015-03-20,1526.0,1544.0,1511.82,1541.0,759342
2015-03-23,1543.0,1567.0,1538.0,1557.0,558541
2015-03-24,1555.0,1575.0,1550.68,1570.0,643454
2015-03-25,1572.0,1582.0,1533.0,1545.0,895017
2015-03-26,1535.0,1539.0,1506.0,1539.0,931532
2015-03-27,1544.0,1549.0,1524.0,1528.0,633840
2015-03-30,1545.0,1545.0,1528.0,1540.0,359049
2015-03-31,1540.0,1547.0,1526.0,1530.0,766873
2015-04-01,1525.0,1543.0,1518.0,1540.0,598625
2015-04-02,1538.0,1555.0,1537.0,1551.0,360121
2015-04-07,1555.0,1565.0,1548.0,1559.0,468326
2015-04-08,1553.0,1569.0,1548.0,1566.0,571552
2015-04-09,1570.0,1589.0,1566.0,1589.0,456933
2015-04-10,1589.0,1605.0,1573.0,1603.0,456153
2015-04-13,1598.0,1600.0,1581.0,1592.0,339529
2015-04-14,1587.0,1602.0,1576.0,1591.0,608695
2015-04-15,1582.0,1610.0,1563.0,1604.0,617262
2015-04-16,1616.0,1616.0,1591.0,1605.0,639240
2015-04-17,1608.0,1621.0,1588.0,1591.0,589009
2015-04-20,1595.0,1615.0,1584.0,1611.0,503474
2015-04-21,1625.0,1634.5,1617.0,1629.0,720329
2015-04-22,1635.0,1640.0,1596.0,1603.0,836353
2015-04-23,1607.0,1609.0,1588.0,1601.0,543554
2015-04-24,1599.0,1614.0,1572.0,1581.0,452844
2015-04-27,1582.0,1602.0,1565.0,1594.0,632893
2015-04-28,1591.0,1596.0,1556.0,1566.0,383409
2015-04-29,1574.0,1583.0,1539.0,1555.0,590523
2015-04-30,1553.0,1570.28,1540.0,1551.03,590197
2015-05-01,1579.0,1612.0,1563.0,1596.0,426577
2015-05-05,1600.0,1614.0,1568.0,1569.0,715692
2015-05-06,1562.0,1564.2,1538.0,1550.0,830657
2015-05-07,1509.0,1511.0,1478.4,1496.0,809030
2015-05-08,1533.0,1610.0,1508.0,1523.0,803268
2015-05-11,1522.0,1530.0,1503.0,1508.0,621481
2015-05-12,1506.0,1508.0,1461.0,1475.0,994855
2015-05-13,1460.0,1469.0,1442.0,1452.0,1223331
2015-05-14,1454.0,1472.0,1448.0,1466.0,879040
2015-05-15,1471.0,1489.0,1459.0,1463.0,651924
2015-05-18,1467.0,1478.0,1445.0,1456.0,704194
2015-05-19,1464.0,1496.0,1459.69,1495.0,598833
2015-05-20,1499.0,1514.0,1482.0,1485.0,704586
2015-05-21,1480.0,1496.0,1477.0,1481.0,502093
2015-05-22,1486.0,1489.6,1476.0,1478.0,307031
2015-05-26,1483.0,1493.0,1457.0,1463.0,427495
2015-05-27,1467.0,1488.0,1464.0,1480.0,484007
2015-05-28,1479.0,1497.0,1479.0,1493.0,694958
2015-05-29,1497.0,1511.6,1483.0,1489.0,2082695
2015-06-01,1496.0,1502.6,1483.0,1491.0,442425
2015-06-02,1500.0,1500.0,1474.0,1485.0,553766
2015-06-03,1489.0,1502.0,1484.0,1492.0,501790
2015-06-04,1491.0,1496.0,1478.0,1482.0,413960
2015-06-05,1478.0,1478.0,1463.0,1466.0,312280
2015-06-08,1463.0,1467.0,1454.0,1455.0,200396
2015-06-09,1456.0,1458.0,1430.0,1436.0,959873
2015-06-10,1436.0,1459.0,1425.0,1458.0,570578
2015-06-11,1453.0,1475.0,1453.0,1474.0,452023
2015-06-12,1467.0,1476.45,1454.0,1454.0,630920
2015-06-15,1447.0,1450.0,1429.0,1429.0,421970
2015-06-16,1429.0,1432.0,1412.72,1428.0,429540
2015-06-17,1429.0,1437.0,1405.0,1417.83,472751
2015-06-18,1411.0,1422.7,1402.0,1420.0,462713
2015-06-19,1422.0,1437.0,1413.0,1435.0,864119
2015-06-22,1451.0,1457.0,1440.0,1449.0,413766
2015-06-23,1457.0,1459.0,1443.0,1443.0,306278
2015-06-24,1441.0,1445.55,1430.0,1431.0,393853
2015-06-25,1402.0,1413.0,1392.0,1408.0,1299973
2015-06-26,1399.0,1411.0,1379.65,1408.0,947983
2015-06-29,1380.0,1410.0,1372.0,1393.0,832414
2015-06-30,1389.0,1401.0,1370.0,1387.0,1000643
2015-07-01,1386.0,1397.0,1372.0,1393.0,680155
2015-07-02,1396.0,1414.0,1391.0,1406.0,513869
2015-07-03,1402.0,1411.0,1395.8,1399.0,259779
2015-07-06,1392.0,1402.0,1386.6,1391.0,463854
2015-07-07,1399.0,1402.0,1381.0,1385.0,605410
2015-07-08,1384.0,1406.0,1378.0,1405.0,585901
2015-07-09,1407.0,1424.0,1404.0,1411.0,684705
2015-07-10,1428.0,1437.0,1425.0,1433.0,638165
2015-07-13,1446.0,1475.0,1440.0,1472.0,584113
2015-07-14,1475.0,1480.0,1462.0,1478.0,415235
2015-07-15,1477.0,1485.0,1475.0,1479.0,390369
2015-07-16,1481.0,1492.0,1480.0,1486.0,329387
2015-07-17,1482.0,1484.0,1466.0,1471.0,410622
2015-07-20,1473.0,1473.0,1448.0,1453.0,479373
2015-07-21,1459.0,1533.0,1459.0,1518.0,1218243
2015-07-22,1507.0,1519.0,1499.0,1504.0,596005
2015-07-23,1513.0,1522.0,1499.0,1506.0,544569
2015-07-24,1506.0,1506.0,1484.0,1493.0,417835
2015-07-27,1488.0,1493.7,1464.0,1466.0,493186
2015-07-28,1468.0,1498.0,1468.0,1496.0,786445
2015-07-29,1501.0,1506.11,1478.0,1491.0,574485
2015-07-30,1492.0,1507.0,1465.0,1468.0,576771
2015-07-31,1474.0,1488.0,1454.0,1481.0,738142
2015-08-03,1473.0,1497.0,1472.0,1490.0,421828
2015-08-04,1496.0,1507.0,1494.0,1505.0,498188
2015-08-05,1505.0,1512.0,1500.0,1506.0,600142
2015-08-06,1503.0,1509.0,1501.0,1501.0,319632
2015-08-07,1501.0,1501.0,1477.0,1481.0,347875
2015-08-10,1485.0,1486.0,1453.5,1470.0,750541
2015-08-11,1468.0,1469.0,1450.0,1458.0,440986
2015-08-12,1452.0,1457.17,1427.0,1433.0,555035
2015-08-13,1450.0,1469.0,1447.0,1456.0,396587
2015-08-14,1460.0,1461.0,1438.0,1440.0,566426
2015-08-17,1451.0,1475.0,1445.5,1471.0,796196
2015-08-18,1470.0,1476.0,1459.0,1466.0,521484
2015-08-19,1490.0,1550.0,1490.0,1522.0,1474232
2015-08-20,1521.0,1589.0,1516.0,1587.0,1687167
2015-08-21,1560.0,1591.0,1560.0,1561.0,1295882
2015-08-24,1526.0,1550.0,1489.0,1505.0,1342854
2015-08-25,1520.0,1551.0,1516.0,1547.0,1410571
2015-08-26,1535.0,1553.0,1501.0,1506.0,1305264
2015-08-27,1536.0,1547.0,1518.0,1542.0,1045109
2015-08-28,1539.0,1550.0,1511.0,1550.0,987202
2015-09-01,1550.0,1569.0,1510.0,1516.0,1370798
2015-09-02,1527.0,1546.0,1522.0,1540.0,725004
2015-09-03,1552.0,1566.0,1546.0,1559.0,701805
2015-09-04,1545.0,1561.0,1544.0,1549.0,588738
2015-09-07,1543.0,1557.0,1533.0,1551.0,477991
2015-09-08,1551.0,1584.0,1545.0,1584.0,698530
2015-09-09,1607.0,1625.0,1605.0,1614.0,830929
2015-09-10,1560.0,1560.0,1525.0,1540.0,869008
2015-09-11,1545.0,1559.0,1523.0,1534.0,545483
2015-09-14,1539.0,1556.0,1530.0,1530.0,533562
2015-09-15,1532.0,1543.0,1505.0,1536.0,581667
2015-09-16,1542.0,1557.04,1537.0,1539.0,423163
2015-09-17,1536.0,1543.0,1524.0,1528.0,505637
2015-09-18,1526.0,1540.7,1516.0,1519.0,836243
2015-09-21,1517.0,1548.0,1517.0,1526.0,482375
2015-09-22,1522.0,1527.0,1472.0,1475.0,795790
2015-09-23,1473.0,1509.0,1466.0,1500.0,403233
2015-09-24,1500.0,1500.0,1475.0,1478.0,453516
2015-09-25,1503.0,1514.0,1497.0,1507.0,502402
2015-09-28,1504.0,1512.0,1475.0,1475.0,418913
2015-09-29,1464.0,1480.0,1454.0,1455.0,670711
2015-09-30,1481.0,1507.0,1470.0,1502.0,942457
2015-10-01,1511.0,1519.0,1493.0,1497.0,390665
2015-10-02,1501.0,1516.0,1484.0,1493.0,430367
2015-10-05,1513.0,1526.0,1505.0,1509.0,363362
2015-10-06,1507.0,1528.0,1507.0,1519.0,523480
2015-10-07,1521.0,1522.2,1497.67,1503.0,599034
2015-10-08,1508.0,1530.0,1502.0,1530.0,680295
2015-10-09,1545.0,1595.0,1545.0,1565.0,1198402
2015-10-12,1569.0,1569.0,1537.0,1543.0,675422
2015-10-13,1546.0,1546.0,1514.0,1534.0,577881
2015-10-14,1529.0,1560.0,1519.0,1556.0,673204
2015-10-15,1563.0,1588.0,1557.0,1583.0,805756
2015-10-16,1585.0,1600.0,1582.0,1600.0,690693
2015-10-19,1594.0,1604.0,1577.42,1598.0,585006
2015-10-20,1599.0,1613.0,1593.0,1601.0,345326
