Date,Open,High,Low,Close,Volume
2015-02-23,1140.0,1148.0,1138.0,1143.0,893405
2015-02-24,1144.0,1155.0,1140.2,1152.0,1276387
2015-02-25,1151.0,1182.0,1150.71,1176.0,2070995
2015-02-26,1177.0,1193.55,1170.0,1190.0,1361728
2015-02-27,1190.0,1194.0,1182.0,1190.0,1263329
2015-03-02,1188.0,1194.0,1166.0,1181.0,2381116
2015-03-03,1210.0,1216.0,1141.0,1157.0,3694380
2015-03-04,1172.0,1176.39,1142.0,1144.0,2793110
2015-03-05,1148.0,1150.0,1122.0,1129.0,2286422
2015-03-06,1129.0,1129.0,1109.0,1118.0,2084657
2015-03-09,1116.0,1118.0,1090.0,1098.94,2018571
2015-03-10,1095.0,1120.0,1085.0,1095.56,2479651
2015-03-11,1098.0,1119.0,1091.36,1116.0,1969163
2015-03-12,1117.0,1125.0,1104.0,1113.0,1303846
2015-03-13,1116.0,1120.0,1095.0,1107.0,1645222
2015-03-16,1109.0,1114.0,1091.25,1097.0,1577874
2015-03-17,1095.0,1098.0,1081.0,1097.0,1432885
2015-03-18,1094.0,1139.0,1094.0,1134.0,1939900
2015-03-19,1140.0,1161.0,1132.0,1133.0,1966876
2015-03-20,1133.0,1147.0,1124.0,1132.0,1190101
2015-03-23,1134.0,1141.0,1112.0,1116.22,1016635
2015-03-24,1115.0,1137.0,1115.0,1136.05,1614469
2015-03-25,1131.0,1144.0,1122.0,1122.0,2417618
2015-03-26,1114.0,1114.0,1086.0,1098.0,2248046
2015-03-27,1101.0,1108.0,1065.3,1070.0,2113561
2015-03-30,1081.0,1103.0,1074.9,1096.06,2044678
2015-03-31,1102.0,1116.0,1071.0,1084.0,2248288
2015-04-01,1082.0,1098.0,1081.0,1087.0,1487207
2015-04-02,1085.0,1087.0,1068.53,1079.62,1422491
2015-04-07,1090.0,1101.0,1081.0,1095.0,1867063
2015-04-08,1096.0,1098.0,1063.0,1064.0,2696461
2015-04-09,1065.0,1071.0,1054.0,1059.0,1579665
2015-04-10,1058.0,1076.0,1043.78,1076.0,2420327
2015-04-13,1073.0,1095.0,1070.52,1093.0,1413522
2015-04-14,1088.0,1118.68,1088.0,1101.4,1814785
2015-04-15,1112.0,1144.11,1111.0,1125.0,2097008
