Date,Open,High,Low,Close,Volume
2015-02-23,550.0,551.94,546.0,548.0,3361834
2015-02-24,549.0,550.73,543.0,549.0,3713736
2015-02-25,549.5,550.0,542.0,544.0,5993172
2015-02-26,543.0,547.0,541.27,545.65,5521532
2015-02-27,546.5,548.0,538.5,539.0,5286833
2015-03-02,538.0,541.5,533.0,536.0,8288290
2015-03-03,537.5,540.0,533.0,533.0,5884979
2015-03-04,534.5,535.5,529.69,532.0,4539768
2015-03-05,540.0,573.5,540.0,569.5,13868208
2015-03-06,572.5,578.68,559.62,563.0,9380400
2015-03-09,559.5,563.0,552.5,561.5,5494788
2015-03-10,559.5,564.67,549.0,549.0,6947165
2015-03-11,551.5,557.0,545.5,547.0,6235026
2015-03-12,546.5,555.74,540.5,549.0,5901666
2015-03-13,551.5,553.0,539.32,543.0,4896803
2015-03-16,547.5,550.82,545.0,548.5,4397471
2015-03-17,549.5,550.5,543.0,546.5,6062070
2015-03-18,546.0,556.0,544.92,555.5,6870668
2015-03-19,558.0,568.79,555.28,566.0,8640435
2015-03-20,568.0,571.58,560.5,570.0,11293938
2015-03-23,571.0,571.5,563.0,564.5,6550028
2015-03-24,561.5,574.5,561.5,571.5,7871634
2015-03-25,572.0,574.38,564.0,564.0,4712467
2015-03-26,554.5,556.0,545.5,553.5,10157109
2015-03-27,556.0,557.33,549.0,550.5,6495133
2015-03-30,556.5,559.0,546.5,549.85,6872978
2015-03-31,550.0,550.0,532.0,540.0,17017135
2015-04-01,540.0,551.0,539.0,549.0,9712235
2015-04-02,550.5,553.32,546.5,553.0,6640675
2015-04-07,558.0,563.35,554.5,561.0,7354315
2015-04-08,547.5,553.0,543.5,550.0,11054244
2015-04-09,552.5,556.83,550.0,550.0,13170080
2015-04-10,551.0,557.5,550.0,555.0,9508148
2015-04-13,564.0,568.5,560.0,561.5,14091260
2015-04-14,560.0,567.36,556.5,560.0,10535185
2015-04-15,556.5,574.0,553.0,559.5,10612128
2015-04-16,562.0,563.0,548.5,550.0,10597166
2015-04-17,550.0,553.32,541.0,543.0,10063840
2015-04-20,545.5,552.0,539.0,542.0,7015922
2015-04-21,546.0,549.32,534.5,536.0,8066633
2015-04-22,538.0,540.18,532.5,538.0,7673094
2015-04-23,540.0,542.3,534.0,537.0,7645436
2015-04-24,537.0,541.5,525.5,531.0,10300128
2015-04-27,532.0,538.5,522.5,535.5,8506016
2015-04-28,533.5,534.0,520.0,526.0,10701824
2015-04-29,527.5,528.77,520.0,520.0,10191244
2015-04-30,518.5,528.5,512.0,527.0,13056734
2015-05-01,524.5,532.0,520.0,523.0,3972124
2015-05-05,531.0,531.0,512.0,512.0,11221759
2015-05-06,509.5,517.24,507.5,513.5,9950840
2015-05-07,513.5,530.0,508.5,527.0,15523404
2015-05-08,543.5,544.5,531.25,544.5,14143603
2015-05-11,542.5,544.63,538.5,541.0,8982731
2015-05-12,539.0,539.0,523.0,529.0,9787294
2015-05-13,532.5,533.35,526.5,530.0,8483974
2015-05-14,529.5,534.5,523.5,533.5,5326991
2015-05-15,536.0,544.68,535.0,542.17,9306429
2015-05-18,542.0,544.8,529.82,535.0,6390212
2015-05-19,538.0,543.0,535.5,540.0,6043825
2015-05-20,541.5,545.0,536.0,543.5,6619915
2015-05-21,544.0,546.0,540.0,542.0,4979459
2015-05-22,544.0,544.0,537.5,538.0,5009354
2015-05-26,540.0,540.26,523.0,526.0,7907314
2015-05-27,527.5,532.0,523.5,529.0,8913914
2015-05-28,528.5,532.5,524.5,528.0,5651454
2015-05-29,530.0,532.69,522.5,523.5,11896631
2015-06-01,528.0,528.0,519.0,520.5,7215449
2015-06-02,519.0,522.0,511.2,515.5,8837152
2015-06-03,517.0,525.5,514.9,522.0,5310898
2015-06-04,518.5,526.0,513.0,520.5,8465899
2015-06-05,517.5,517.78,512.1,515.0,6367354
2015-06-08,514.5,515.5,510.5,511.5,5192058
2015-06-09,511.0,512.0,500.65,506.5,10702962
2015-06-10,506.5,516.5,503.4,515.5,8356478
2015-06-11,514.0,523.5,513.0,519.5,6771285
2015-06-12,517.5,519.0,509.5,514.5,5947759
2015-06-15,511.5,512.0,504.5,505.5,5009215
2015-06-16,504.5,508.66,500.88,507.0,4451028
2015-06-17,507.5,510.5,503.5,503.5,5259523
2015-06-18,500.5,506.5,498.1,506.5,6830342
2015-06-19,507.0,511.35,503.5,505.0,15459127
2015-06-22,512.0,518.5,508.0,518.5,8351324
2015-06-23,521.5,522.5,516.5,517.0,6065021
2015-06-24,517.0,520.0,514.0,515.5,7057015
2015-06-25,515.0,516.5,509.82,511.5,7313917
2015-06-26,510.0,514.0,506.0,510.5,5580702
2015-06-29,498.7,506.5,494.7,499.7,9780542
2015-06-30,497.5,502.0,492.5,492.5,11238843
2015-07-01,495.9,502.85,494.8,500.8,8047717
2015-07-02,498.9,501.0,494.2,496.3,5783717
2015-07-03,495.1,500.62,494.4,497.9,4454059
2015-07-06,493.2,497.4,485.91,487.0,7726809
2015-07-07,488.5,490.27,480.0,480.3,6203406
2015-07-08,480.0,497.9,479.39,497.1,9817251
2015-07-09,500.0,519.6,498.8,514.5,12103652
2015-07-10,521.5,527.5,517.0,524.0,8204804
2015-07-13,529.5,531.0,525.0,530.0,5535239
2015-07-14,529.5,530.14,524.7,527.5,5336651
2015-07-15,527.0,530.5,524.0,526.0,7564842
2015-07-16,528.0,534.0,527.5,532.0,4342463
2015-07-17,532.5,537.0,527.5,535.5,4955098
2015-07-20,534.0,535.89,523.5,532.5,5372302
2015-07-21,534.5,535.0,528.0,534.0,6624685
