Date,Open,High,Low,Close,Volume
2015-02-23,533.0,535.0,530.5,534.0,4815128
2015-02-24,540.5,540.78,534.5,536.0,6604075
2015-02-25,536.5,542.0,535.5,537.5,9087264
2015-02-26,539.5,542.5,532.0,533.0,5700001
2015-02-27,535.0,536.55,530.5,532.66,5313859
2015-03-02,529.0,534.5,528.0,531.0,3918386
2015-03-03,532.5,533.5,525.0,527.0,4671067
2015-03-04,530.0,533.61,524.82,533.5,3574350
2015-03-05,535.5,536.5,531.5,535.0,4600482
2015-03-06,534.5,539.5,533.0,537.0,4138794
2015-03-09,535.0,537.78,527.5,533.0,5288513
2015-03-10,533.0,539.5,531.0,533.5,7619765
2015-03-11,536.0,539.0,533.0,536.0,5341439
2015-03-12,539.5,544.0,534.0,535.0,5561816
2015-03-13,535.0,539.0,531.0,532.5,5958612
2015-03-16,534.5,539.0,533.0,538.0,3381201
2015-03-17,539.0,540.0,533.65,537.0,4224845
2015-03-18,540.0,547.0,538.0,545.5,5588176
2015-03-19,545.0,548.5,542.5,547.0,5926011
2015-03-20,548.5,549.0,542.5,545.5,11716960
2015-03-23,547.5,548.5,536.0,540.0,5955313
2015-03-24,538.5,548.38,538.5,542.5,6138602
2015-03-25,542.5,546.5,540.5,541.5,4074870
2015-03-26,539.5,542.5,530.5,532.5,9845532
2015-03-27,533.0,535.5,528.5,530.0,5942015
2015-03-30,535.0,537.79,525.0,526.5,8827888
2015-03-31,527.5,532.5,519.0,523.5,8950070
2015-04-01,519.5,528.0,517.0,524.0,5834316
2015-04-02,524.0,527.0,521.5,524.5,4446256
2015-04-07,527.0,530.38,524.9,528.5,5121832
2015-04-08,527.0,533.5,526.0,532.0,6281290
2015-04-09,535.5,537.0,533.5,535.5,3823254
2015-04-10,538.5,541.5,533.5,539.5,6030905
2015-04-13,540.0,541.0,527.96,536.5,4938594
2015-04-14,535.0,537.5,527.84,529.0,6833266
2015-04-15,528.0,536.79,526.5,532.5,8001563
2015-04-16,518.0,524.8,509.5,516.0,7649924
2015-04-17,514.0,531.8,511.0,513.0,7134130
2015-04-20,515.5,516.5,507.67,509.5,5847672
2015-04-21,510.5,515.0,509.32,510.0,5892738
2015-04-22,512.0,513.5,501.5,507.0,8231769
2015-04-23,508.0,509.34,500.5,503.5,6709715
2015-04-24,514.5,525.64,511.5,515.0,13301102
2015-04-27,516.0,527.97,509.83,514.0,5514618
2015-04-28,515.0,515.09,504.0,505.5,5901274
2015-04-29,505.5,512.18,505.0,507.5,8012515
2015-04-30,508.5,513.5,502.5,508.0,8169795
2015-05-01,506.5,510.78,499.1,503.5,3634980
2015-05-05,508.0,513.16,503.0,503.0,6814885
2015-05-06,500.5,503.5,498.73,500.5,6166473
2015-05-07,497.7,501.0,489.4,497.6,6679312
2015-05-08,519.0,519.0,508.5,509.5,10415921
2015-05-11,508.0,514.17,507.5,510.0,6598227
2015-05-12,507.0,507.76,495.3,498.0,8907994
2015-05-13,499.1,505.5,498.3,500.0,5440687
2015-05-14,500.5,503.0,499.6,502.0,4471095
2015-05-15,504.5,508.0,501.18,503.5,4736288
2015-05-18,502.5,505.5,498.5,502.0,4555684
2015-05-19,502.5,510.5,501.5,509.0,7201102
2015-05-20,510.5,511.66,506.0,509.0,4267914
2015-05-21,509.5,514.5,507.5,513.0,4592901
2015-05-22,511.5,517.5,511.5,515.5,4193998
2015-05-26,515.0,519.0,512.0,514.5,4418516
2015-05-27,515.0,524.5,515.0,523.0,6725436
2015-05-28,521.5,524.0,519.5,521.5,5070648
2015-05-29,522.5,523.0,513.0,515.0,8268943
2015-06-01,517.0,520.0,514.0,516.5,5516167
2015-06-02,517.5,518.5,509.95,511.0,5398221
2015-06-03,510.5,516.0,508.0,513.0,4822813
2015-06-04,511.5,511.5,504.0,505.5,5433568
2015-06-05,503.0,503.5,498.0,498.3,6094994
2015-06-08,496.6,499.3,493.8,493.8,5370825
2015-06-09,493.5,494.6,487.9,489.1,6630580
2015-06-10,489.0,493.9,485.9,492.6,5355247
2015-06-11,490.4,494.8,488.5,490.7,5639597
2015-06-12,489.1,491.8,487.01,489.1,4484467
2015-06-15,486.4,488.5,482.0,482.0,5097076
2015-06-16,480.2,482.0,475.8,481.2,4870567
2015-06-17,482.4,482.6,473.2,473.2,6179532
2015-06-18,473.5,473.7,466.1,472.4,4703597
2015-06-19,473.9,476.9,472.5,474.4,7696447
2015-06-22,480.4,480.4,474.8,479.0,5328386
2015-06-23,481.8,482.9,474.3,474.3,5660802
2015-06-24,474.3,481.3,469.3,480.4,9519788
2015-06-25,481.0,482.7,473.7,475.4,6941263
2015-06-26,472.7,474.1,467.9,468.2,5571845
2015-06-29,457.6,467.16,457.6,462.7,7264416
2015-06-30,460.3,461.07,451.2,451.2,10167499
2015-07-01,453.7,460.4,453.0,457.2,5342353
2015-07-02,456.0,457.28,450.33,453.3,4700368
2015-07-03,460.0,463.0,452.0,452.3,4943563
2015-07-06,449.0,456.2,448.1,454.3,6970035
2015-07-07,453.9,455.7,445.5,445.5,7448438
2015-07-08,447.4,461.5,442.36,460.9,10179903
2015-07-09,461.1,468.5,460.0,467.2,8019170
2015-07-10,477.0,477.0,469.6,473.9,7372052
2015-07-13,483.9,485.3,476.0,484.3,7700476
2015-07-14,483.4,485.1,481.33,483.0,5799392
2015-07-15,482.5,488.4,481.5,484.78,5427356
2015-07-16,486.0,488.7,483.8,485.4,5820137
2015-07-17,486.6,486.94,481.3,482.4,5138986
2015-07-20,484.8,486.22,481.06,481.6,4456845
2015-07-21,483.0,483.52,472.7,473.4,6711039
2015-07-22,470.1,473.6,468.75,469.8,8014669
2015-07-23,472.7,473.9,464.4,464.9,6765769
2015-07-24,462.8,468.9,461.2,461.9,4357727
2015-07-27,460.0,462.3,457.7,458.7,6366260
2015-07-28,460.7,463.5,457.4,460.7,6687639
2015-07-29,460.8,469.6,460.7,469.6,8413936
2015-07-30,474.0,479.9,470.1,473.1,7886343
2015-07-31,475.2,481.5,473.2,480.2,7657796
2015-08-03,478.4,481.6,473.9,476.1,7018225
2015-08-04,477.1,477.7,472.2,474.0,8030010
2015-08-05,474.6,477.6,470.2,473.5,7948531
2015-08-06,472.5,473.7,469.1,471.5,6154472
2015-08-07,472.1,473.2,468.9,471.5,4562934
2015-08-10,474.8,475.6,466.6,473.1,5096123
2015-08-11,473.4,474.2,466.6,467.5,4575566
2015-08-12,465.1,468.95,457.4,460.0,9022333
2015-08-13,464.8,468.7,463.2,467.2,5530703
2015-08-14,467.6,473.0,465.5,468.3,6528418
2015-08-17,470.8,473.1,467.1,468.8,4489238
2015-08-18,467.4,469.7,466.2,467.8,3697875
2015-08-19,467.7,468.38,459.2,459.5,4939611
2015-08-20,456.7,461.4,455.9,456.9,4766004
2015-08-21,451.7,456.9,444.7,444.7,5726792
2015-08-24,434.8,439.8,419.3,432.0,13915372
2015-08-25,437.4,446.4,435.5,444.9,9424884
2015-08-26,439.9,446.1,435.0,436.8,9507396
2015-08-27,444.9,448.0,441.4,445.9,7039207
2015-08-28,445.7,452.2,444.2,452.2,5536635
2015-09-01,442.8,447.6,441.8,444.6,10016135
2015-09-02,445.1,449.7,442.8,445.4,6511733
2015-09-03,450.4,455.0,449.7,452.8,4965595
2015-09-04,448.6,449.6,441.8,442.9,4589634
2015-09-07,446.5,447.4,438.9,440.5,4625856
2015-09-08,442.9,448.4,442.9,443.8,3989107
2015-09-09,450.3,451.8,445.8,449.7,5137761
2015-09-10,447.3,448.3,441.6,443.2,5752539
2015-09-11,445.0,452.3,439.35,451.7,10199602
2015-09-14,454.0,457.9,449.7,450.5,7106914
2015-09-15,451.6,455.3,446.4,449.24,6012539
2015-09-16,454.4,456.51,448.3,451.8,6790181
2015-09-17,452.5,453.19,444.1,444.1,7191609
2015-09-18,442.0,443.8,429.1,440.4,14619998
2015-09-21,439.2,441.7,437.3,438.1,4255165
2015-09-22,438.0,438.6,425.3,425.5,6811814
2015-09-23,425.2,434.7,423.7,431.4,5480155
2015-09-24,430.9,432.25,427.3,429.0,7046987
2015-09-25,434.6,440.4,432.4,440.0,6981640
2015-09-28,439.8,446.2,437.1,444.5,8372544
2015-09-29,439.2,442.9,435.9,436.9,6417252
2015-09-30,443.0,449.64,443.0,447.7,7309096
2015-10-01,451.1,455.1,441.4,443.6,8500599
2015-10-02,444.2,449.9,440.3,445.2,5922895
2015-10-05,451.9,460.4,450.9,459.4,6489132
2015-10-06,461.1,461.9,457.62,461.1,3648928
2015-10-07,461.9,466.8,459.7,462.8,4724022
2015-10-08,461.1,469.1,461.1,467.3,5124916
2015-10-09,470.0,473.2,467.3,469.0,4394912
2015-10-12,468.3,469.1,459.6,462.9,5054777
2015-10-13,461.1,463.5,455.6,460.3,4871936
2015-10-14,456.7,457.0,449.9,450.5,7102362
2015-10-15,453.7,455.6,449.9,453.1,4895965
2015-10-16,456.5,457.4,451.9,454.9,4443250
2015-10-19,453.2,457.4,450.1,450.9,3668448
2015-10-20,450.2,452.4,446.8,449.0,4084752
2015-10-21,450.0,455.8,448.14,453.1,3876251
2015-10-22,444.6,449.8,439.6,447.6,6247242
2015-10-23,453.8,460.9,452.0,454.0,6319063
2015-10-26,452.4,456.83,450.0,453.8,3446515
2015-10-27,455.3,455.3,440.3,441.3,6813335
2015-10-28,439.3,444.7,435.5,442.5,6561712
2015-10-29,438.6,439.7,433.0,436.99,8335722
2015-10-30,439.2,445.4,438.1,440.3,6533864
2015-11-02,437.3,445.4,437.3,443.9,4502413
2015-11-03,444.0,445.9,441.8,444.0,3329194
2015-11-04,445.8,451.3,445.0,447.7,5028197
2015-11-05,447.1,448.32,436.72,437.9,6858133
2015-11-06,439.0,448.3,436.94,445.0,9701132
2015-11-09,446.0,447.9,440.6,441.2,5106055
2015-11-10,443.0,443.0,433.6,438.0,6219270
2015-11-11,438.0,440.1,435.7,438.3,4190687
2015-11-12,438.0,473.0,435.6,455.0,21570402
2015-11-13,455.0,455.1,448.0,453.6,8982066
2015-11-16,450.2,466.5,449.75,464.7,10474534
2015-11-17,469.5,475.5,469.1,473.8,8014913
2015-11-18,473.1,480.9,470.9,476.6,5910844
2015-11-19,477.7,490.0,477.7,484.1,9171735
2015-11-20,490.6,499.41,485.5,492.0,7682390
2015-11-23,492.2,502.0,489.3,497.0,11138251
2015-11-24,496.9,502.5,491.8,500.5,7327719
2015-11-25,503.0,511.5,500.5,507.5,8361230
2015-11-26,509.0,522.0,508.0,519.0,5307888
2015-11-27,517.5,521.5,514.59,519.5,3786737
2015-11-30,520.0,521.0,516.46,516.5,7472652
2015-12-01,517.5,519.5,512.12,515.5,7183650
2015-12-02,516.5,519.0,513.0,513.5,4605456
2015-12-03,512.0,519.16,508.2,509.0,6084804
2015-12-04,506.0,509.5,504.0,508.5,6632507
2015-12-07,510.5,516.0,507.5,508.5,4456873
2015-12-08,508.5,509.0,500.0,502.0,5939368
2015-12-09,503.0,505.0,500.0,502.0,6068231
2015-12-10,501.0,506.0,498.5,498.7,5602139
2015-12-11,498.7,500.0,488.2,490.5,6092061
2015-12-14,490.9,497.7,482.3,483.4,4791694
2015-12-15,487.2,493.0,485.1,490.0,5482479
2015-12-16,489.1,493.1,486.1,492.4,5519948
2015-12-18,492.1,501.5,490.0,492.5,11383692
2015-12-21,490.5,500.0,490.2,493.4,5316109
2015-12-22,496.0,507.0,486.4,493.6,4831038
2015-12-23,496.5,502.09,495.8,498.9,3761670
2015-12-24,501.5,501.5,491.0,497.3,742443
2015-12-29,500.5,508.0,497.95,507.0,4316124
2015-12-30,507.5,508.12,502.82,505.5,2171346
2015-12-31,503.0,506.0,499.6,499.6,966809
2016-01-04,496.5,496.5,488.3,493.5,5340680
2016-01-05,496.1,499.1,487.7,494.0,5211941
2016-01-06,499.2,513.5,495.7,512.5,11913546
2016-01-07,502.0,510.0,499.6,505.5,11552767
2016-01-08,510.0,534.0,507.5,519.5,13536669
2016-01-11,523.5,535.89,520.0,526.5,11708907
2016-01-12,527.5,530.5,520.0,521.5,9263809
2016-01-13,524.0,527.5,520.49,524.5,9456360
2016-01-14,519.5,520.0,512.0,518.5,8112911
