Date,Open,High,Low,Close,Volume
2015-02-23,264.0,264.25,260.35,262.85,23295481
2015-02-24,262.8,264.7,261.1,264.0,23230876
2015-02-25,262.95,269.94,262.5,262.9,20327834
2015-02-26,263.2,264.95,260.5,262.1,19165204
2015-02-27,261.0,263.7,256.0,256.9,33409206
2015-03-02,255.0,264.0,254.21,262.75,31938728
2015-03-03,257.5,261.65,253.4,254.3,49519849
2015-03-04,255.05,262.4,252.9,262.4,40709832
2015-03-05,262.2,266.0,262.01,266.0,48040330
2015-03-06,266.0,268.17,264.45,265.0,28654589
2015-03-09,263.75,264.85,260.05,262.63,34462088
2015-03-10,259.4,260.95,254.3,254.3,36643663
2015-03-11,252.15,263.98,250.5,255.0,32021910
2015-03-12,255.0,257.85,254.2,254.5,28624136
2015-03-13,256.0,256.4,248.15,250.0,31045676
2015-03-16,251.6,256.72,251.4,251.85,25581961
2015-03-17,252.75,254.7,238.78,250.0,28920511
2015-03-18,251.3,253.3,250.2,252.35,32779941
2015-03-19,253.2,254.72,252.1,252.8,38500174
2015-03-20,253.05,255.3,251.1,255.3,57233185
2015-03-23,255.85,257.95,246.54,257.15,22057214
2015-03-24,257.2,259.9,256.85,258.45,27547167
2015-03-25,258.45,260.0,250.64,251.9,34407719
2015-03-26,250.15,251.78,246.45,250.0,35218621
2015-03-27,250.95,253.26,243.15,244.25,40200667
2015-03-30,247.4,248.95,245.0,247.8,31847138
2015-03-31,248.5,248.5,242.0,242.6,40389652
2015-04-01,243.4,252.15,243.4,249.3,43707167
2015-04-02,250.65,255.51,249.95,254.75,32098302
2015-04-07,257.2,259.0,256.0,258.0,29768218
2015-04-08,258.0,258.1,255.7,255.95,24972069
2015-04-09,257.9,258.87,256.3,257.95,24803617
2015-04-10,259.5,259.9,255.75,257.05,19044850
2015-04-13,255.9,260.05,255.9,259.45,22771565
2015-04-14,259.95,264.15,259.9,262.15,40711784
2015-04-15,263.3,263.3,259.34,259.65,29455114
2015-04-16,261.45,262.1,257.5,260.35,30777074
2015-04-17,260.7,261.35,254.08,255.3,38034728
2015-04-20,255.55,258.73,255.55,257.25,24009861
2015-04-21,258.65,259.65,253.65,255.0,24741282
2015-04-22,255.25,256.75,252.35,253.3,29339370
2015-04-23,254.6,261.54,253.18,258.45,33640648
2015-04-24,259.0,265.25,258.6,261.75,41439924
2015-04-27,263.25,264.2,258.65,263.75,30615759
2015-04-28,264.5,265.0,258.97,261.4,27325489
2015-04-29,260.0,264.15,253.95,256.95,43441415
2015-04-30,258.1,258.2,252.8,255.3,34061544
2015-05-01,254.5,257.88,252.0,254.35,23286620
2015-05-05,255.65,257.95,250.2,250.2,37194932
