Date,Open,High,Low,Close,Volume
2015-02-23,3666.0,3727.5,3644.0,3727.5,2344523
2015-02-24,3727.0,3770.0,3718.5,3737.0,2497737
2015-02-25,3733.0,3739.0,3685.0,3731.0,1832618
2015-02-26,3750.0,3799.0,3716.5,3795.0,2725766
2015-02-27,3799.0,3806.0,3759.5,3782.0,2284819
2015-03-02,3774.5,3780.0,3739.5,3756.5,2178505
2015-03-03,3787.5,3811.5,3749.0,3767.0,1975556
2015-03-04,3788.0,3813.0,3735.5,3813.0,2141942
2015-03-05,3832.5,3893.75,3806.5,3892.5,3240332
2015-03-06,3879.5,3894.0,3822.5,3825.5,2198156
2015-03-09,3825.0,3825.0,3746.5,3756.0,2422765
2015-03-10,3744.5,3770.0,3652.01,3652.5,2943678
2015-03-11,3663.5,3682.5,3613.0,3627.0,2221799
2015-03-12,3649.0,3675.5,3629.0,3641.5,2037647
2015-03-13,3660.0,3674.5,3619.0,3644.0,2102292
2015-03-16,3644.5,3722.0,3636.0,3708.5,2133605
2015-03-17,3698.5,3734.5,3679.5,3715.5,2205034
2015-03-18,3729.0,3808.5,3701.5,3796.0,3131985
2015-03-19,3690.0,3715.5,3635.0,3668.0,3448906
2015-03-20,3676.0,3676.0,3647.5,3657.0,4349766
2015-03-23,3667.0,3715.88,3641.5,3703.5,2559213
2015-03-24,3685.5,3737.0,3664.0,3664.0,2315185
2015-03-25,3664.5,3681.0,3639.5,3639.5,1976087
2015-03-26,3614.0,3622.0,3446.53,3570.0,3419883
2015-03-27,3587.5,3588.0,3538.0,3552.0,2250259
2015-03-30,3598.0,3599.0,3554.5,3594.5,2649020
2015-03-31,3598.5,3598.5,3482.5,3488.5,4088196
2015-04-01,3496.5,3546.0,3481.5,3538.5,2763443
2015-04-02,3528.5,3583.0,3514.0,3577.0,1910868
2015-04-07,3612.5,3637.68,3575.0,3631.0,2188017
2015-04-08,3615.5,3625.0,3579.12,3589.0,1858898
2015-04-09,3607.0,3651.0,3596.5,3631.0,2039682
2015-04-10,3642.5,3721.0,3636.0,3716.0,2539067
2015-04-13,3706.5,3706.5,3622.93,3662.0,1616562
2015-04-14,3646.0,3690.0,3629.0,3677.5,1717614
2015-04-15,3677.5,3711.0,3667.0,3691.0,1691914
2015-04-16,3709.0,3747.73,3675.5,3742.0,3333540
2015-04-17,3750.0,3780.0,3709.0,3724.0,3520212
2015-04-20,3750.5,3775.0,3740.2,3765.0,2070847
2015-04-21,3758.5,3797.0,3735.0,3762.5,2415025
2015-04-22,3775.0,3775.0,3704.0,3734.0,2222626
2015-04-23,3756.5,3774.0,3720.0,3753.0,2062218
2015-04-24,3760.0,3770.95,3715.5,3746.5,1858533
2015-04-27,3749.0,3758.5,3687.5,3721.5,2613464
2015-04-28,3725.5,3725.5,3632.5,3669.5,2801824
2015-04-29,3635.0,3648.0,3582.0,3588.5,3929887
2015-04-30,3602.5,3620.0,3573.5,3592.5,2850501
2015-05-01,3595.0,3668.0,3554.0,3640.0,1486588
2015-05-05,3686.5,3690.0,3547.5,3547.5,3050094
2015-05-06,3558.0,3598.0,3549.98,3582.5,2249558
2015-05-07,3588.0,3600.0,3498.0,3576.0,3863230
2015-05-08,3645.0,3652.62,3598.0,3640.0,2965165
2015-05-11,3630.5,3674.81,3613.0,3621.0,2054862
2015-05-12,3594.5,3605.0,3520.82,3557.5,3506839
2015-05-13,3585.5,3621.5,3558.5,3572.0,2437645
2015-05-14,3572.0,3607.98,3543.5,3602.0,1981472
2015-05-15,3620.5,3713.89,3571.5,3592.0,1953845
2015-05-18,3599.5,3619.0,3545.0,3595.5,1710825
2015-05-19,3638.5,3655.0,3618.5,3639.5,2199524
2015-05-20,3636.0,3652.0,3606.0,3644.0,2423838
2015-05-21,3644.5,3649.0,3609.0,3633.0,1416171
2015-05-22,3634.5,3698.92,3621.0,3621.0,1975412
2015-05-26,3616.0,3641.0,3586.65,3611.5,1724594
2015-05-27,3625.0,3679.0,3617.5,3664.5,2692745
2015-05-28,3666.5,3708.0,3665.5,3691.5,1676252
2015-05-29,3690.5,3691.0,3599.0,3605.5,3282260
2015-06-01,3607.0,3653.15,3584.0,3592.5,2595234
2015-06-02,3563.5,3565.0,3494.5,3506.0,3619746
2015-06-03,3511.5,3568.0,3506.0,3535.5,2629833
2015-06-04,3536.5,3536.5,3478.0,3520.0,2781749
2015-06-05,3509.0,3509.0,3438.5,3440.0,2143287
2015-06-08,3431.0,3447.0,3385.0,3431.0,2760990
2015-06-09,3432.5,3442.5,3400.5,3423.0,2075766
2015-06-10,3413.5,3440.5,3383.0,3434.0,2844213
2015-06-11,3432.0,3458.5,3417.0,3445.0,1813944
