Date,Open,High,Low,Close,Volume
2015-02-23,502.0,507.5,499.9,503.0,1641499
2015-02-24,505.0,506.0,489.1,503.5,4198573
2015-02-25,497.4,508.0,494.0,505.0,1464632
2015-02-26,502.5,516.0,499.1,516.0,2480489
2015-02-27,516.0,517.0,509.5,515.5,1922743
2015-03-02,513.5,524.0,512.35,522.5,3091754
2015-03-03,520.0,526.0,518.5,520.5,2902383
2015-03-04,520.0,526.5,514.32,526.5,1805679
2015-03-05,529.0,533.0,522.0,524.0,2997570
2015-03-06,523.0,527.89,518.0,519.0,1792285
2015-03-09,516.0,517.84,508.5,511.0,1748549
2015-03-10,508.5,520.7,505.0,505.0,3200907
2015-03-11,506.0,515.0,505.0,513.5,2423598
2015-03-12,515.0,522.5,513.08,520.5,1341784
2015-03-13,520.0,523.75,516.0,517.5,1668559
2015-03-16,517.0,522.5,516.0,521.0,1445114
2015-03-17,520.5,523.0,516.5,522.0,1886586
2015-03-18,522.0,530.5,522.0,528.5,2096541
2015-03-19,531.0,534.5,527.5,528.5,2202096
2015-03-20,528.5,533.5,525.0,531.5,2765884
2015-03-23,529.5,533.5,526.0,533.5,1567920
2015-03-24,530.5,544.5,530.0,542.0,2753958
2015-03-25,542.5,558.0,538.0,540.0,2832203
2015-03-26,535.0,537.38,526.36,537.0,2549379
2015-03-27,539.5,546.78,536.0,536.0,2742624
2015-03-30,541.5,541.5,519.0,526.32,3362414
2015-03-31,523.0,535.5,523.0,528.5,3763798
2015-04-01,526.5,535.0,517.5,521.0,3512569
2015-04-02,519.0,524.0,518.0,523.0,2398917
2015-04-07,524.0,530.5,524.0,530.5,2352078
2015-04-08,528.5,531.2,522.0,530.5,2006084
2015-04-09,532.5,544.5,531.95,541.0,2011905
2015-04-10,547.0,558.7,547.0,558.0,3714123
2015-04-13,547.0,553.5,536.0,552.5,3677768
2015-04-14,550.0,552.0,539.0,542.5,3180723
2015-04-15,546.5,546.5,540.5,543.0,2509212
2015-04-16,546.5,547.5,528.0,529.5,4089013
2015-04-17,531.5,538.0,524.5,531.0,3321366
2015-04-20,533.5,537.5,528.0,533.5,2522098
