Date,Open,High,Low,Close,Volume
2015-02-23,821.5,826.5,815.0,820.5,2457650
2015-02-24,822.5,831.0,818.0,822.5,2420502
2015-02-25,825.0,828.5,813.0,820.0,3141522
2015-02-26,819.0,825.5,813.5,825.5,1810067
2015-02-27,825.5,831.5,819.5,828.5,2018635
2015-03-02,837.5,847.0,834.68,845.0,3075358
2015-03-03,848.0,859.0,848.0,850.0,3919935
2015-03-04,854.0,854.0,841.5,848.5,2563182
2015-03-05,853.0,865.0,850.5,862.5,2095215
2015-03-06,864.0,866.14,838.5,839.5,3199653
2015-03-09,836.5,838.5,819.1,825.0,2897598
2015-03-10,820.5,833.39,809.0,812.99,2189805
2015-03-11,803.0,813.5,800.0,808.0,2895274
2015-03-12,810.0,814.0,803.5,805.0,2340288
2015-03-13,808.0,827.5,808.0,824.5,2636374
2015-03-16,825.0,836.19,825.0,836.0,2213041
2015-03-17,833.0,840.5,827.5,834.0,1716910
2015-03-18,832.0,850.0,832.0,849.0,1644503
2015-03-19,851.0,869.0,850.2,862.43,3181228
2015-03-20,861.5,867.0,858.0,867.0,4710710
2015-03-23,869.0,874.0,864.5,868.5,2186334
2015-03-24,868.0,880.0,864.5,875.5,1690714
2015-03-25,879.0,879.0,866.5,866.5,1922656
2015-03-26,854.0,855.5,839.0,845.5,2580794
2015-03-27,846.5,853.5,842.0,849.5,2010946
2015-03-30,857.5,857.5,839.62,845.0,2485460
2015-03-31,845.0,851.0,831.5,832.5,3167643
2015-04-01,832.5,844.5,829.0,837.5,2399267
2015-04-02,839.5,843.0,833.0,838.5,1540231
2015-04-07,843.0,854.5,841.5,848.5,1573827
2015-04-08,845.0,852.5,844.0,849.0,1683588
2015-04-09,854.5,861.0,851.5,860.5,1514377
2015-04-10,860.5,871.5,859.5,870.0,1266140
2015-04-13,870.5,872.67,860.0,860.0,1946926
2015-04-14,856.0,868.5,853.5,864.5,1356627
2015-04-15,868.0,872.5,860.0,863.5,1452392
2015-04-16,867.5,867.5,846.5,852.0,1914812
2015-04-17,853.0,863.0,847.0,847.0,3105697
2015-04-20,851.5,857.0,847.5,851.5,1494209
2015-04-21,856.0,858.5,850.5,855.0,1331294
2015-04-22,860.0,863.5,843.5,852.0,1623871
2015-04-23,855.5,855.5,841.75,845.0,2366005
2015-04-24,842.5,848.0,832.5,838.0,2773794
2015-04-27,838.0,847.25,825.5,843.5,1915775
2015-04-28,844.0,851.5,825.0,834.0,2711195
2015-04-29,838.5,844.5,826.5,827.0,2310918
2015-04-30,826.5,832.5,816.75,832.5,3133863
2015-05-01,830.5,833.0,815.38,821.5,1319578
2015-05-05,834.5,841.0,816.5,816.5,2814905
2015-05-06,815.0,819.0,804.08,805.5,3164592
2015-05-07,807.0,813.5,795.0,810.0,3943063
2015-05-08,875.0,880.0,833.5,842.0,4831002
2015-05-11,841.0,850.5,839.88,844.5,2656492
2015-05-12,841.0,848.5,828.5,846.5,3384739
2015-05-13,846.0,861.02,846.0,859.5,3207797
2015-05-14,858.0,869.5,842.5,866.5,1960879
2015-05-15,869.5,881.5,867.88,878.0,3679553
2015-05-18,884.5,885.28,873.0,875.5,3033442
2015-05-19,880.5,891.5,879.9,886.0,2900877
2015-05-20,884.5,887.5,870.0,876.0,3867236
2015-05-21,872.5,875.5,860.5,868.5,2657661
2015-05-22,872.0,874.0,865.5,869.0,2602104
2015-05-26,867.0,875.5,858.5,862.5,1970937
2015-05-27,864.0,878.5,864.0,874.5,2444941
2015-05-28,874.5,879.5,868.0,874.0,2104390
2015-05-29,875.5,879.16,861.36,862.0,3366156
2015-06-01,866.5,878.0,861.5,872.0,2720449
2015-06-02,868.0,872.0,852.0,852.0,4538021
2015-06-03,850.5,852.0,828.0,829.0,4969994
2015-06-04,825.0,843.5,821.0,836.0,4132937
2015-06-05,834.5,836.0,820.82,821.5,2709205
2015-06-08,822.5,825.0,817.5,817.5,2115388
2015-06-09,816.5,833.5,815.5,824.0,2944026
2015-06-10,825.0,834.0,820.0,831.0,3585566
2015-06-11,831.5,856.5,830.0,850.0,3386952
2015-06-12,845.0,850.0,834.0,837.5,2080379
2015-06-15,835.0,839.5,830.5,833.0,1857088
2015-06-16,832.0,837.0,825.0,833.0,2246486
2015-06-17,833.0,837.5,812.43,812.5,2602942
2015-06-18,815.0,816.46,803.96,814.5,2916398
2015-06-19,813.5,822.0,812.4,812.5,3814079
2015-06-22,823.0,829.0,812.5,824.5,1962089
2015-06-23,824.5,833.18,821.0,829.0,1757241
2015-06-24,829.0,830.5,820.0,820.5,2235641
2015-06-25,817.0,826.5,815.12,818.5,2429809
2015-06-26,816.0,820.5,811.82,814.0,1485948
2015-06-29,796.0,813.95,795.0,803.0,2755299
2015-06-30,798.5,805.0,793.5,793.5,3564627
2015-07-01,800.0,874.5,793.5,808.0,3563501
2015-07-02,806.0,811.92,800.0,801.0,2755236
2015-07-03,804.0,811.0,802.0,807.0,2601740
2015-07-06,802.0,811.0,798.0,799.0,2214909
2015-07-07,804.0,815.85,799.5,805.0,3884385
2015-07-08,800.5,809.0,798.5,801.0,3241004
2015-07-09,802.0,815.0,798.5,814.5,3119842
2015-07-10,822.0,828.0,817.0,824.0,3034220
2015-07-13,832.0,840.08,827.0,838.0,3558284
2015-07-14,839.0,840.97,828.5,838.5,3609762
2015-07-15,842.0,847.75,836.5,837.5,2873320
2015-07-16,841.5,848.5,840.86,842.0,2619085
2015-07-17,842.0,849.5,835.0,846.5,3818232
2015-07-20,844.0,852.0,841.5,847.0,2537625
2015-07-21,847.5,848.5,838.0,840.0,2540269
2015-07-22,833.0,841.0,833.0,836.0,2710139
2015-07-23,840.0,840.0,824.0,828.0,2516640
2015-07-24,827.5,841.0,826.28,829.0,1863095
