Date,Open,High,Low,Close,Volume
2015-02-23,450.0,450.0,440.85,444.6,21495025
2015-02-24,444.9,448.5,442.25,448.35,24871429
2015-02-25,447.35,462.98,445.55,449.4,16637687
2015-02-26,449.2,452.7,446.0,448.0,22672558
2015-02-27,447.1,449.8,445.4,448.05,27247121
2015-03-02,447.7,449.5,442.8,446.65,23101134
2015-03-03,448.15,450.75,446.25,448.85,28568197
2015-03-04,453.0,453.25,446.69,451.05,35811509
2015-03-05,452.25,454.3,445.13,452.6,23298270
2015-03-06,451.0,499.25,441.96,447.0,28712107
2015-03-09,445.15,448.35,432.25,445.7,24246925
2015-03-10,444.9,445.5,428.1,428.1,34696781
2015-03-11,430.85,433.86,423.3,425.15,26625102
2015-03-12,426.45,434.21,424.75,425.85,27271538
2015-03-13,426.2,427.6,415.99,418.25,27442045
2015-03-16,421.6,421.95,413.75,417.6,24826218
2015-03-17,419.4,426.5,404.05,425.9,29681964
2015-03-18,425.15,436.1,423.4,436.1,36479584
2015-03-19,438.0,441.9,434.4,440.9,34002512
2015-03-20,442.0,451.0,436.95,451.0,61551855
2015-03-23,449.05,450.4,431.78,447.9,25006379
2015-03-24,447.15,449.9,444.15,444.15,21951173
2015-03-25,442.5,449.8,440.07,448.35,22489954
2015-03-26,449.0,458.95,444.3,446.1,35735098
2015-03-27,445.65,447.45,438.25,443.6,28483234
2015-03-30,446.35,448.1,443.12,446.1,26604725
2015-03-31,447.45,448.1,418.74,436.7,33594853
2015-04-01,437.8,445.15,437.25,442.1,23111934
2015-04-02,443.7,445.02,438.0,442.85,18080639
2015-04-07,450.0,457.3,446.25,454.85,33171415
2015-04-08,468.3,476.35,456.7,457.3,68893283
2015-04-09,457.9,463.7,450.35,463.7,30675739
2015-04-10,465.95,473.1,462.49,472.25,27723883
2015-04-13,470.2,472.45,465.1,471.0,22629895
2015-04-14,468.0,472.35,466.8,470.95,28066549
2015-04-15,470.5,479.17,469.5,478.13,32724545
2015-04-16,479.1,479.6,470.85,473.45,33793108
2015-04-17,474.4,480.0,473.5,479.35,45815700
2015-04-20,479.75,484.55,479.12,482.6,27605591
2015-04-21,482.45,487.4,479.66,480.0,37197296
2015-04-22,480.45,484.2,475.0,479.75,27300123
2015-04-23,481.35,485.35,480.25,484.15,23960544
2015-04-24,484.15,487.5,477.1,478.4,27208691
2015-04-27,477.35,478.9,471.2,476.9,29945398
2015-04-28,480.0,485.85,471.05,476.1,49536262
2015-04-29,473.45,475.95,465.2,468.15,33215221
2015-04-30,470.1,472.85,466.1,470.1,36422277
2015-05-01,469.5,469.95,466.35,468.6,17202526
2015-05-05,475.7,481.85,471.05,474.95,39081014
2015-05-06,473.6,476.35,469.0,473.3,30194199
2015-05-07,466.45,467.35,454.4,457.1,38940039
2015-05-08,461.45,464.25,458.1,461.3,31525694
2015-05-11,460.55,466.9,457.35,457.7,24459681
2015-05-12,454.15,458.65,451.2,456.05,31247965
2015-05-13,456.0,461.4,453.8,456.0,22744768
2015-05-14,454.35,466.34,451.1,456.8,17230279
2015-05-15,456.2,467.31,449.98,452.4,22848564
2015-05-18,450.65,456.4,449.2,452.3,25042801
2015-05-19,454.5,457.6,448.09,452.35,23347373
2015-05-20,451.2,456.6,445.55,452.1,23508798
2015-05-21,450.9,458.6,450.6,458.0,27741102
2015-05-22,458.9,461.65,456.75,457.75,21176304
2015-05-26,457.75,458.5,449.25,451.7,26957797
2015-05-27,452.0,457.15,450.4,454.4,21619813
2015-05-28,453.05,454.95,449.4,453.3,17193167
2015-05-29,453.0,456.9,449.64,450.75,30423809
2015-06-01,452.25,454.3,446.6,447.4,20761395
2015-06-02,450.0,456.02,442.25,449.95,23054188
2015-06-03,450.0,453.55,447.2,449.55,23388056
2015-06-04,447.65,447.65,439.85,440.15,24366882
2015-06-05,438.5,446.0,435.4,443.35,26091767
2015-06-08,444.2,445.97,437.7,441.9,17346785
2015-06-09,443.5,444.0,438.15,441.35,18561217
2015-06-10,440.0,444.01,439.75,443.55,27367451
2015-06-11,443.65,449.2,442.54,446.8,21200330
2015-06-12,443.75,445.9,436.4,437.6,19653349
2015-06-15,436.0,439.05,430.94,435.05,18530322
2015-06-16,435.5,446.64,429.3,432.4,27134236
2015-06-17,433.5,440.35,432.0,435.0,23765845
2015-06-18,435.1,435.1,430.68,434.45,16304706
2015-06-19,432.6,436.55,429.65,431.35,39571875
2015-06-22,436.05,439.65,434.55,439.4,18373127
2015-06-23,439.6,440.75,436.2,438.95,15702225
2015-06-24,438.85,444.65,436.55,442.1,19692452
2015-06-25,443.25,447.5,440.15,442.3,19698843
2015-06-26,442.4,443.05,437.05,437.55,16789511
2015-06-29,428.8,434.05,427.15,427.55,26129894
2015-06-30,427.6,427.6,420.15,420.15,29560312
2015-07-01,425.0,425.8,417.99,419.15,27639105
2015-07-02,420.7,441.45,419.35,437.4,59855404
2015-07-03,439.0,445.05,432.55,434.4,27721211
2015-07-06,429.65,434.65,428.3,429.5,25084509
2015-07-07,427.75,429.85,416.8,418.55,36972240
2015-07-08,420.05,426.25,419.2,423.2,26114553
2015-07-09,426.15,428.95,421.9,426.05,24192594
2015-07-10,431.2,432.15,423.25,427.0,27154371
2015-07-13,433.25,433.25,425.0,428.8,19312843
2015-07-14,427.35,430.95,424.15,429.15,23422734
2015-07-15,429.35,432.47,425.85,427.1,21923936
2015-07-16,428.0,428.0,421.1,422.0,25182677
2015-07-17,422.35,422.43,415.45,416.95,21620751
2015-07-20,418.0,420.65,415.55,416.6,16618489
2015-07-21,417.1,417.15,412.35,414.0,24304066
2015-07-22,412.8,413.35,406.59,406.6,25951631
2015-07-23,405.4,407.05,400.1,401.0,32436907
2015-07-24,401.7,402.6,394.1,394.7,30946362
2015-07-27,393.6,396.4,384.15,387.3,27329708
2015-07-28,385.0,396.78,383.0,392.65,40707312
2015-07-29,396.05,399.1,391.65,398.6,38350926
2015-07-30,399.0,405.85,397.6,401.0,32930589
2015-07-31,402.9,402.9,392.4,395.45,30730853
2015-08-03,392.7,395.4,387.2,391.45,21007258
2015-08-04,389.95,392.7,385.75,390.4,25057006
2015-08-05,390.0,397.35,388.95,395.05,26044731
2015-08-06,386.0,386.0,380.15,383.2,31827236
2015-08-07,384.4,391.01,383.8,385.6,36228598
2015-08-10,386.4,387.7,379.5,385.5,26804566
2015-08-11,385.55,390.1,380.46,380.5,27376193
2015-08-12,378.0,384.8,376.2,383.6,38008015
2015-08-13,389.3,391.75,382.25,383.15,29092685
2015-08-14,380.2,382.45,377.1,379.25,27280319
2015-08-17,380.0,381.0,374.15,378.15,20175371
2015-08-18,378.3,379.8,373.05,373.75,20269131
2015-08-19,373.5,373.5,366.4,367.5,28182564
2015-08-20,365.1,374.85,362.55,369.6,35511178
2015-08-21,363.8,369.18,357.2,357.2,33162761
2015-08-24,345.15,362.85,326.25,336.8,65858373
2015-08-25,335.7,338.8,332.65,335.35,84090118
2015-08-26,330.95,339.9,327.45,331.2,61137453
2015-08-27,337.7,354.14,333.7,351.2,49798698
2015-08-28,355.0,360.8,348.85,360.5,42872157
2015-09-01,358.45,363.75,347.3,349.4,49596822
2015-09-02,349.0,353.0,341.99,345.3,39084305
2015-09-03,351.0,358.75,252.55,355.85,39210094
2015-09-04,350.0,350.8,334.89,337.9,41926800
2015-09-07,339.8,345.7,335.54,336.0,19672443
2015-09-08,339.1,346.6,338.1,340.2,41734455
2015-09-09,345.3,347.55,341.95,342.5,27224087
2015-09-10,339.8,342.05,333.05,335.3,40410477
2015-09-11,337.15,339.45,333.05,333.5,24628984
2015-09-14,335.9,339.5,329.75,332.0,23938698
2015-09-15,333.65,339.95,328.45,338.7,32666382
2015-09-16,339.6,347.15,337.25,345.85,30440696
2015-09-17,345.4,346.78,342.9,345.7,37908293
2015-09-18,343.85,347.36,329.55,333.45,69805339
2015-09-21,331.0,336.4,330.1,333.55,26083324
2015-09-22,334.65,334.65,321.85,325.2,39256635
2015-09-23,326.5,334.1,325.9,329.45,27281847
2015-09-24,327.3,327.35,321.7,322.9,29498797
2015-09-25,329.15,334.8,328.28,333.3,30335204
2015-09-28,333.6,335.2,322.98,323.05,20922840
2015-09-29,319.9,330.0,319.9,326.2,28976536
2015-09-30,329.95,334.0,328.0,334.0,34377914
2015-10-01,339.05,349.85,339.05,342.25,39528776
2015-10-02,342.7,353.0,341.8,351.45,39258794
2015-10-05,359.85,369.15,356.05,368.0,41527497
2015-10-06,370.6,379.0,362.3,378.1,35972057
2015-10-07,377.5,393.85,376.9,387.0,55833929
2015-10-08,384.75,389.7,380.4,388.95,28168045
2015-10-09,393.0,397.3,390.35,391.6,31469504
2015-10-12,390.75,393.3,383.55,384.8,22332897
2015-10-13,383.1,384.9,376.25,382.75,26787103
2015-10-14,379.3,383.55,375.3,377.65,25690261
2015-10-15,381.45,386.35,379.6,379.65,26057646
2015-10-16,383.0,389.85,382.1,384.0,23041405
2015-10-19,383.65,387.0,375.55,377.25,16423186
2015-10-20,376.8,378.2,370.95,376.55,21557138
2015-10-21,378.65,385.4,375.2,380.95,31386671
2015-10-22,381.0,390.45,380.55,388.55,33983765
2015-10-23,391.9,395.05,385.9,388.1,24369067
2015-10-26,386.75,389.25,382.5,384.4,21151748
2015-10-27,390.0,392.87,376.75,380.0,38265369
2015-10-28,382.65,393.15,377.45,391.0,32606441
2015-10-29,390.85,392.9,382.2,391.7,30746635
2015-10-30,393.05,393.95,383.6,386.4,28205534
2015-11-02,386.4,389.2,380.85,388.25,18413340
2015-11-03,389.7,403.25,386.55,403.25,38606956
2015-11-04,402.9,411.5,401.7,402.05,42181009
2015-11-05,393.1,395.9,387.25,390.45,28369766
2015-11-06,389.2,395.05,384.8,386.5,29198419
2015-11-09,386.2,392.3,382.6,382.6,23302083
2015-11-10,385.15,386.85,381.05,382.5,23774941
2015-11-11,383.8,384.55,376.95,377.9,21149141
2015-11-12,376.4,379.15,367.1,367.25,30772486
2015-11-13,365.95,369.8,360.35,364.5,24272386
2015-11-16,362.35,373.1,362.35,368.65,25912540
2015-11-17,377.95,380.2,374.5,378.55,31529183
2015-11-18,375.0,384.9,373.11,382.5,27725847
2015-11-19,384.1,389.95,381.95,385.15,28509634
2015-11-20,384.7,385.65,379.65,381.3,31213559
2015-11-23,375.0,385.85,372.7,380.75,28601854
2015-11-24,380.7,387.0,377.8,385.9,29303678
2015-11-25,386.7,389.35,382.15,386.1,24679629
2015-11-26,386.1,390.9,385.3,389.6,19113981
2015-11-27,387.45,388.35,385.1,386.55,18596100
2015-11-30,384.8,389.0,383.2,385.25,38724520
2015-12-01,386.35,387.48,382.25,384.55,19882816
2015-12-02,382.75,386.2,380.35,382.0,31188716
2015-12-03,380.6,382.3,368.37,368.55,34812493
2015-12-04,369.1,375.25,356.8,359.7,35282308
2015-12-07,356.25,358.2,346.6,347.6,29104493
2015-12-08,344.8,352.75,340.0,347.8,36497711
2015-12-09,348.75,356.85,343.9,350.45,33200553
2015-12-10,351.8,354.7,348.55,350.95,28791058
2015-12-11,349.5,351.25,337.1,338.0,30594824
2015-12-14,338.45,340.0,328.8,329.3,36152440
2015-12-15,330.5,340.25,330.5,337.7,35268340
2015-12-16,340.0,346.65,339.4,340.2,31738362
2015-12-18,338.05,345.3,336.35,339.3,41954358
2015-12-21,339.5,345.0,335.2,335.2,25304229
2015-12-22,342.0,345.3,338.4,344.95,23208214
2015-12-23,348.1,360.85,347.95,360.4,26992564
2015-12-24,363.9,366.3,362.95,365.95,6387136
2015-12-29,357.15,362.85,356.85,360.75,21556254
2015-12-30,358.0,358.0,353.9,355.15,16577461
2015-12-31,355.0,356.35,352.61,354.0,6616006
2016-01-04,351.25,353.45,343.8,347.55,27796985
2016-01-05,349.0,352.5,343.5,348.15,22210077
2016-01-06,350.4,352.02,339.1,343.45,26775687
2016-01-07,337.0,339.4,324.6,337.7,54399418
2016-01-08,339.7,339.71,328.7,328.7,37281949
2016-01-11,329.05,336.0,327.35,328.05,34189186
2016-01-12,328.0,336.9,322.4,323.1,43739636
2016-01-13,327.1,342.1,325.0,335.85,51660073
2016-01-14,332.2,353.1,330.35,347.7,55247593
2016-01-15,349.3,349.65,335.55,338.15,52047580
2016-01-18,336.65,347.35,333.1,340.5,35471852
2016-01-19,346.3,351.45,339.65,342.45,38784432
2016-01-20,333.7,336.2,325.1,328.15,58538334
2016-01-21,328.6,344.15,326.05,342.25,43456261
2016-01-22,350.85,357.8,347.45,352.7,42686987
2016-01-25,352.8,353.43,343.05,350.15,45037100
2016-01-26,342.2,357.8,338.0,356.5,39526943
2016-01-27,356.0,362.9,349.95,362.9,40218775
2016-01-28,362.5,378.8,360.85,368.45,56977254
2016-01-29,376.05,377.8,366.9,376.1,51400805
2016-02-01,379.45,381.8,359.7,366.95,47852182
2016-02-02,348.1,349.8,330.1,335.1,67238082
