Date,Open,High,Low,Close,Volume
2015-02-23,443.5,445.0,440.5,442.8,10842434
2015-02-24,442.0,447.2,441.0,447.0,14540730
2015-02-25,446.2,447.24,442.2,443.8,14187535
2015-02-26,442.8,451.7,440.1,451.6,15528838
2015-02-27,452.1,456.6,443.25,455.7,14877945
2015-03-02,457.0,457.6,443.25,456.1,11736632
2015-03-03,456.8,459.8,452.7,452.7,12505305
2015-03-04,454.8,459.0,453.3,459.0,8446789
2015-03-05,457.0,464.14,457.0,461.6,11484453
2015-03-06,461.5,464.8,458.8,459.2,10153237
2015-03-09,455.9,458.2,452.62,454.0,11522127
2015-03-10,453.2,456.6,443.0,443.0,11568178
2015-03-11,444.0,448.4,443.6,446.5,11095315
2015-03-12,442.0,449.6,438.7,448.8,16627115
2015-03-13,449.5,453.8,448.6,451.8,11147218
2015-03-16,453.8,455.5,448.5,451.6,10187338
2015-03-17,453.6,455.0,446.4,453.4,16340766
2015-03-18,455.3,458.6,451.1,458.6,12057857
2015-03-19,460.8,464.3,454.5,463.2,12658055
2015-03-20,465.0,466.4,461.5,465.4,36686583
2015-03-23,467.45,468.8,449.07,465.4,12674853
2015-03-24,465.0,468.9,463.55,465.5,11496222
2015-03-25,466.7,471.45,465.3,470.55,14664892
2015-03-26,467.3,469.0,457.48,466.25,18516217
2015-03-27,463.5,465.2,454.0,454.0,16714486
2015-03-30,459.2,460.4,448.25,448.25,19064683
2015-03-31,448.1,448.9,437.05,438.0,23290663
2015-04-01,438.0,443.3,436.4,441.4,18668400
2015-04-02,442.95,446.0,439.65,442.9,12719206
2015-04-07,445.0,447.65,442.65,447.6,12284708
2015-04-08,448.7,448.7,443.5,444.3,14192310
2015-04-09,447.5,455.15,446.05,453.7,12314665
2015-04-10,455.05,456.55,449.42,454.65,11349430
2015-04-13,454.55,457.35,451.85,456.0,8362693
2015-04-14,453.75,459.95,453.75,455.82,9088038
2015-04-15,455.7,458.45,452.74,455.1,10155881
2015-04-16,459.15,459.3,441.46,452.0,16942399
2015-04-17,454.6,456.6,448.05,450.0,13892522
2015-04-20,452.2,456.35,450.95,453.0,8491563
2015-04-21,455.6,461.95,454.65,456.85,14754196
2015-04-22,459.0,466.0,457.03,460.55,15549796
2015-04-23,461.0,465.95,457.03,463.9,11670375
2015-04-24,467.25,470.5,465.7,467.6,10089863
2015-04-27,467.75,468.85,460.89,464.35,10837368
2015-04-28,463.7,465.45,460.3,465.45,13064184
2015-04-29,467.05,472.0,457.4,457.5,13448717
2015-04-30,460.0,461.25,453.1,455.75,16174645
2015-05-01,452.95,461.35,449.1,459.8,10357067
2015-05-05,467.7,467.7,449.2,449.2,21797022
2015-05-06,448.0,457.3,448.0,454.3,17316979
2015-05-07,458.9,461.31,447.5,453.1,20485389
2015-05-08,468.8,472.85,462.0,469.65,21304723
2015-05-11,469.05,471.2,466.45,470.0,15038398
2015-05-12,468.0,468.85,461.15,464.7,18338687
2015-05-13,467.0,469.61,464.3,467.95,9755192
2015-05-14,467.3,468.56,464.25,465.0,12573393
2015-05-15,465.0,466.25,460.27,463.0,12620073
2015-05-18,463.5,467.5,459.65,461.35,11003177
2015-05-19,462.0,467.05,460.26,466.45,10102307
2015-05-20,466.0,466.0,457.6,462.15,14277718
2015-05-21,461.4,464.7,458.15,459.15,11656577
2015-05-22,456.5,457.3,451.05,451.05,17063928
2015-05-26,452.7,459.6,449.55,452.05,13377716
2015-05-27,452.2,460.45,451.72,459.0,13349498
2015-05-28,455.0,457.75,448.5,449.75,14625485
2015-05-29,448.1,452.65,445.1,446.7,23431248
2015-06-01,447.4,450.85,442.1,443.55,13523122
2015-06-02,445.8,446.35,436.3,443.55,14502733
2015-06-03,443.8,450.15,441.5,447.45,14459604
2015-06-04,446.25,447.95,440.75,442.5,14811343
2015-06-05,441.85,447.45,437.75,439.4,14315350
2015-06-08,446.0,447.8,438.8,438.8,15278500
2015-06-09,439.8,445.0,437.7,440.7,19274323
2015-06-10,441.0,448.55,439.0,447.1,19172623
2015-06-11,445.4,451.02,445.0,446.85,14850907
2015-06-12,448.0,454.6,446.49,453.5,17956329
2015-06-15,450.85,455.05,449.45,452.55,17645424
2015-06-16,451.45,451.65,442.25,445.25,15162705
2015-06-17,446.5,452.4,444.8,450.8,15063054
2015-06-18,449.9,452.05,448.25,451.1,14039846
2015-06-19,451.25,456.7,450.1,454.25,18596015
2015-06-22,460.0,465.2,457.66,465.0,14845380
2015-06-23,467.35,470.5,463.75,468.1,12373533
2015-06-24,467.05,468.75,463.4,463.4,12700383
2015-06-25,461.8,466.4,460.4,461.2,13369226
2015-06-26,460.2,465.45,459.15,464.15,11645422
2015-06-29,451.0,464.4,447.9,459.7,17323321
2015-06-30,457.75,459.3,450.2,450.2,17937184
2015-07-01,453.25,458.2,452.4,456.25,11958969
2015-07-02,455.8,456.85,452.95,456.25,10241494
2015-07-03,454.85,456.9,453.15,453.8,5387214
2015-07-06,446.75,451.95,443.2,446.8,8949680
2015-07-07,448.75,448.75,438.3,438.3,9644836
2015-07-08,440.0,443.45,438.0,440.3,12470774
2015-07-09,439.8,452.2,437.85,450.4,11851087
2015-07-10,457.0,457.0,451.15,455.15,9766755
2015-07-13,462.0,462.6,457.62,460.15,9561545
2015-07-14,461.55,463.1,457.85,463.1,8158620
2015-07-15,464.05,470.05,461.65,469.45,12448957
2015-07-16,470.95,473.07,464.9,472.3,12065940
2015-07-17,473.2,477.9,471.2,477.9,13861662
