Date,Open,High,Low,Close,Volume
2015-02-23,1142.0,1142.0,1109.0,1127.0,497345
2015-02-24,1129.0,1147.0,1115.6,1126.0,737150
2015-02-25,1125.0,1142.0,1125.0,1131.0,573943
2015-02-26,1129.0,1157.0,1129.0,1150.0,478019
2015-02-27,1154.0,1171.0,1150.0,1162.0,748671
2015-03-02,1165.0,1168.0,1146.0,1159.0,564480
2015-03-03,1159.0,1180.0,1159.0,1164.0,667011
2015-03-04,1169.0,1188.0,1154.0,1160.0,828620
2015-03-05,1163.0,1186.0,1159.0,1181.0,611953
2015-03-06,1173.0,1181.0,1153.0,1155.0,578513
2015-03-09,1146.0,1159.0,1143.0,1145.0,385305
2015-03-10,1140.0,1149.0,1115.0,1115.0,623635
2015-03-11,1112.0,1120.0,1086.0,1089.0,744620
2015-03-12,1093.0,1116.0,1093.0,1109.0,556984
2015-03-13,1108.0,1136.0,1104.0,1120.0,722823
2015-03-16,1120.0,1123.2,1102.0,1121.0,489596
2015-03-17,1126.0,1146.0,1120.0,1146.0,510299
2015-03-18,1140.0,1174.0,1140.0,1173.0,526058
2015-03-19,1181.0,1190.0,1166.0,1176.0,540356
2015-03-20,1176.0,1208.0,1170.0,1201.0,724485
2015-03-23,1196.0,1199.0,1185.0,1194.0,359202
2015-03-24,1195.0,1233.0,1193.0,1221.0,625310
2015-03-25,1222.0,1224.0,1203.0,1220.0,414025
2015-03-26,1211.0,1226.0,1203.0,1211.0,472306
2015-03-27,1213.0,1222.0,1191.0,1196.0,458222
2015-03-30,1211.0,1233.0,1193.84,1220.0,544115
2015-03-31,1220.0,1258.0,1213.0,1215.0,764307
2015-04-01,1212.0,1234.0,1208.0,1222.0,551946
2015-04-02,1222.0,1282.0,1222.0,1279.0,727732
2015-04-07,1277.0,1348.0,1273.0,1329.0,807913
2015-04-08,1321.0,1334.0,1317.0,1329.0,592885
2015-04-09,1331.0,1368.0,1326.0,1354.0,605269
2015-04-10,1361.0,1366.0,1348.0,1360.0,336163
2015-04-13,1353.0,1365.0,1347.0,1355.0,289146
2015-04-14,1353.0,1370.0,1345.0,1363.0,564125
2015-04-15,1363.0,1381.0,1362.0,1377.0,369592
2015-04-16,1384.0,1386.0,1365.0,1382.0,509005
2015-04-17,1386.0,1391.0,1356.0,1358.0,498181
2015-04-20,1360.0,1364.0,1337.0,1345.0,711321
2015-04-21,1344.0,1354.0,1327.0,1347.0,595695
2015-04-22,1347.0,1357.0,1334.0,1341.0,424311
2015-04-23,1349.0,1368.0,1344.0,1368.0,399535
2015-04-24,1372.0,1379.0,1350.0,1363.0,461648
2015-04-27,1370.0,1395.0,1347.0,1380.0,402431
2015-04-28,1382.0,1413.0,1368.0,1388.0,749876
2015-04-29,1400.0,1431.0,1386.0,1391.0,635674
2015-04-30,1388.0,1396.0,1374.0,1379.0,622676
2015-05-01,1384.0,1393.0,1367.0,1376.0,208106
2015-05-05,1386.0,1432.0,1374.0,1417.0,702354
2015-05-06,1410.0,1414.0,1376.0,1405.0,656429
2015-05-07,1404.0,1404.0,1362.0,1390.0,699615
2015-05-08,1415.0,1429.0,1404.0,1415.0,492791
2015-05-11,1414.0,1444.0,1407.0,1414.0,323847
2015-05-12,1411.0,1425.0,1375.0,1398.0,424728
2015-05-13,1400.0,1415.0,1390.0,1401.0,373791
2015-05-14,1402.0,1417.0,1393.0,1416.0,352901
2015-05-15,1457.0,1472.0,1388.0,1391.0,812971
2015-05-18,1378.0,1431.0,1342.0,1419.0,576607
2015-05-19,1419.0,1497.0,1414.0,1480.0,954116
2015-05-20,1473.0,1491.0,1469.0,1471.0,456244
2015-05-21,1468.0,1479.0,1458.66,1470.0,313079
2015-05-22,1473.0,1489.0,1462.0,1466.0,321108
2015-05-26,1455.0,1473.0,1447.0,1454.0,359934
2015-05-27,1456.0,1474.0,1442.0,1467.0,356382
2015-05-28,1473.0,1486.0,1451.0,1462.0,328882
2015-05-29,1461.0,1465.0,1424.0,1433.0,726179
2015-06-01,1434.0,1446.0,1414.0,1426.0,443557
2015-06-02,1425.0,1434.0,1396.0,1415.0,535604
2015-06-03,1416.0,1428.0,1396.0,1422.0,839065
2015-06-04,1420.0,1428.0,1407.0,1415.0,529365
2015-06-05,1417.0,1417.0,1399.0,1399.0,498492
2015-06-08,1397.0,1408.0,1396.0,1400.0,308237
2015-06-09,1402.0,1413.0,1399.0,1403.0,539270
2015-06-10,1405.0,1432.0,1399.0,1428.0,425302
2015-06-11,1425.0,1441.0,1422.0,1428.0,263727
2015-06-12,1425.0,1426.0,1409.0,1410.0,240525
2015-06-15,1400.0,1409.0,1397.0,1403.0,319267
2015-06-16,1393.0,1414.0,1393.0,1411.0,356595
2015-06-17,1413.0,1421.0,1404.0,1409.0,270721
2015-06-18,1402.0,1413.0,1394.0,1407.0,412912
2015-06-19,1411.0,1412.0,1395.0,1401.0,617054
2015-06-22,1421.0,1446.0,1411.0,1446.0,459006
2015-06-23,1450.0,1459.0,1439.0,1440.0,422395
2015-06-24,1440.0,1450.0,1433.0,1436.0,385178
2015-06-25,1429.0,1443.0,1426.0,1429.0,300261
2015-06-26,1423.0,1455.0,1419.0,1429.0,267136
2015-06-29,1390.0,1397.0,1380.0,1381.0,698338
2015-06-30,1375.0,1382.0,1368.0,1368.0,678337
2015-07-01,1375.0,1390.0,1369.0,1380.0,397149
2015-07-02,1351.0,1368.28,1349.0,1360.0,298936
2015-07-03,1359.0,1359.0,1338.0,1343.0,181778
2015-07-06,1328.0,1342.0,1321.0,1327.0,391400
2015-07-07,1325.0,1337.0,1306.0,1307.0,257220
2015-07-08,1312.0,1326.0,1306.0,1316.0,234670
2015-07-09,1320.0,1347.0,1319.0,1340.0,239654
2015-07-10,1360.0,1364.35,1347.0,1353.0,203128
2015-07-13,1376.0,1384.0,1337.0,1345.0,615106
2015-07-14,1346.0,1346.0,1330.0,1334.0,329594
2015-07-15,1333.0,1341.0,1327.0,1336.0,255649
2015-07-16,1343.0,1346.0,1337.0,1341.0,228645
2015-07-17,1344.0,1344.0,1328.0,1333.0,276273
2015-07-20,1311.0,1334.0,1309.0,1323.0,181173
2015-07-21,1322.0,1333.0,1321.92,1332.0,264524
2015-07-22,1318.0,1341.0,1318.0,1337.0,283514
2015-07-23,1353.0,1353.0,1324.0,1331.0,226140
2015-07-24,1328.0,1339.0,1310.0,1312.0,212995
2015-07-27,1310.0,1317.0,1283.0,1284.0,235281
2015-07-28,1291.0,1300.0,1284.0,1298.0,310365
2015-07-29,1301.0,1311.0,1301.0,1305.0,247096
2015-07-30,1304.0,1313.0,1302.0,1307.0,318900
2015-07-31,1314.0,1339.0,1308.0,1338.0,356982
2015-08-03,1331.0,1352.0,1331.0,1344.0,293152
2015-08-04,1330.0,1331.0,1267.0,1268.0,583087
2015-08-05,1267.0,1287.0,1255.0,1287.0,468186
2015-08-06,1282.0,1304.0,1278.0,1296.0,333199
2015-08-07,1292.0,1320.0,1291.0,1314.0,313448
2015-08-10,1327.0,1327.0,1306.0,1324.0,207650
2015-08-11,1322.0,1361.0,1316.89,1344.0,441063
2015-08-12,1337.0,1344.1,1310.0,1323.0,509026
2015-08-13,1399.0,1473.0,1379.0,1420.0,592627
2015-08-14,1400.0,1420.0,1395.0,1402.0,385404
2015-08-17,1410.0,1428.0,1402.0,1409.0,664931
2015-08-18,1413.0,1425.0,1408.0,1418.0,641967
2015-08-19,1413.0,1428.0,1406.0,1411.0,571947
2015-08-20,1400.0,1412.0,1400.0,1403.0,382499
2015-08-21,1390.0,1400.0,1354.0,1354.0,344082
2015-08-24,1310.0,1314.0,1236.0,1255.0,927342
2015-08-25,1270.0,1306.0,1263.0,1299.0,661196
2015-08-26,1286.0,1321.0,1269.0,1291.0,603715
2015-08-27,1318.0,1334.0,1296.0,1329.0,444382
2015-08-28,1329.0,1337.0,1306.0,1337.0,509095
2015-09-01,1311.0,1323.0,1274.0,1281.0,444397
2015-09-02,1284.0,1330.0,1277.0,1314.0,496872
2015-09-03,1324.0,1335.0,1317.0,1326.0,418085
2015-09-04,1310.0,1314.0,1294.0,1304.0,376197
2015-09-07,1314.0,1318.0,1282.0,1287.0,198715
2015-09-08,1292.0,1324.0,1292.0,1301.0,315186
2015-09-09,1330.0,1368.0,1321.0,1341.0,474985
2015-09-10,1320.0,1335.0,1313.0,1328.0,317662
2015-09-11,1330.0,1348.0,1306.0,1344.0,487147
2015-09-14,1348.0,1377.0,1340.0,1342.0,395843
2015-09-15,1344.0,1382.0,1330.0,1378.0,372778
2015-09-16,1383.0,1405.0,1382.0,1400.0,578847
2015-09-17,1401.0,1404.0,1386.0,1391.0,444760
2015-09-18,1394.0,1394.0,1356.0,1374.0,508004
2015-09-21,1369.0,1400.0,1369.0,1388.0,376512
2015-09-22,1394.0,1394.0,1337.0,1339.0,363592
