Date,Open,High,Low,Close,Volume
2015-02-23,2895.0,2926.0,2869.0,2898.0,967446
2015-02-24,2912.0,2934.0,2884.0,2896.0,667868
2015-02-25,2901.0,2926.0,2893.6,2910.0,733952
2015-02-26,2904.0,2918.0,2883.0,2917.0,624273
2015-02-27,2911.0,2929.0,2895.0,2922.0,493037
2015-03-02,2928.0,2986.0,2915.0,2976.0,855685
2015-03-03,2990.0,3036.0,2950.0,2950.0,1257926
2015-03-04,2960.0,2989.0,2936.0,2984.0,749688
2015-03-05,3001.0,3056.0,2985.0,3038.0,906280
2015-03-06,3038.0,3072.0,3027.0,3032.0,630303
2015-03-09,3025.0,3038.0,3007.0,3035.0,492474
2015-03-10,3026.0,3076.0,3008.0,3012.0,982659
2015-03-11,3009.0,3044.0,2998.0,3030.0,816171
2015-03-12,3033.0,3103.0,3033.0,3097.0,926194
2015-03-13,3109.0,3146.0,3101.0,3131.0,727211
2015-03-16,3139.0,3200.0,3136.0,3194.0,1010212
2015-03-17,3190.0,3198.0,3152.0,3160.0,647786
2015-03-18,3147.0,3196.0,3147.0,3195.0,600553
2015-03-19,3174.0,3229.0,3154.0,3200.0,1087245
2015-03-20,3222.0,3236.0,3189.0,3201.0,1028094
2015-03-23,3189.0,3189.0,3103.0,3151.0,939343
2015-03-24,3126.0,3160.0,3109.0,3110.0,891091
2015-03-25,3106.0,3123.0,3042.0,3045.0,694016
2015-03-26,3015.0,3027.0,2959.0,3024.0,934400
2015-03-27,3017.0,3248.0,2977.0,3241.0,1934687
2015-03-30,3275.0,3336.0,3235.0,3274.0,1198655
2015-03-31,3277.0,3353.0,3272.0,3296.0,1014014
2015-04-01,3287.0,3343.0,3258.0,3258.0,960442
2015-04-02,3261.0,3316.0,3240.0,3310.0,721194
2015-04-07,3241.0,3362.0,3237.0,3357.0,781218
2015-04-08,3333.0,3370.0,3320.0,3324.0,633209
2015-04-09,3345.0,3376.0,3329.0,3339.0,591575
2015-04-10,3324.0,3381.0,3324.0,3370.0,521857
2015-04-13,3358.0,3375.0,3332.0,3354.0,396020
2015-04-14,3343.0,3358.0,3281.0,3296.0,461229
2015-04-15,3296.0,3306.0,3259.0,3259.0,589665
2015-04-16,3267.0,3270.0,3189.0,3232.0,542478
2015-04-17,3228.0,3246.0,3176.0,3217.0,690907
2015-04-20,3226.0,3259.0,3140.0,3189.0,1184018
2015-04-21,3194.0,3234.0,3174.0,3188.0,759848
2015-04-22,3198.0,3215.0,3148.0,3174.0,499020
2015-04-23,3187.0,3189.0,3144.0,3150.0,612826
2015-04-24,3146.0,3166.0,3123.0,3148.0,645338
2015-04-27,3159.0,3189.0,3134.0,3158.0,521446
2015-04-28,3144.0,3144.0,3026.0,3056.0,688520
2015-04-29,3054.0,3084.0,2961.0,2964.0,1018467
2015-04-30,2967.0,3005.1,2940.0,2989.0,1026771
2015-05-01,2974.0,3016.0,2933.9,3008.0,505828
2015-05-05,3036.0,3036.0,2941.0,2941.0,925812
2015-05-06,2923.0,2957.0,2899.0,2903.0,1005217
2015-05-07,2913.0,3015.0,2890.0,3011.0,1319848
2015-05-08,3069.0,3110.0,3017.0,3093.0,1360439
2015-05-11,3087.0,3125.0,3081.0,3092.0,1062381
2015-05-12,3080.0,3083.0,3013.0,3021.0,681203
2015-05-13,3037.0,3076.4,3019.0,3034.0,616564
2015-05-14,3014.0,3079.0,2981.0,3077.0,761546
2015-05-15,3093.0,3164.0,3084.0,3147.0,1326703
2015-05-18,3147.0,3182.0,3131.0,3171.0,536366
2015-05-19,3172.0,3216.0,3169.0,3214.0,776006
2015-05-20,3215.0,3235.0,3192.0,3201.0,665754
2015-05-21,3185.0,3191.7,3128.0,3141.0,731289
2015-05-22,3150.0,3163.0,3128.0,3142.0,463736
2015-05-26,3162.0,3189.0,3147.0,3181.83,826504
2015-05-27,3171.0,3231.0,3171.0,3224.0,652974
2015-05-28,3221.0,3250.0,3198.0,3210.0,492853
2015-05-29,3216.0,3226.0,3160.0,3167.0,665119
2015-06-01,3173.0,3201.0,3154.0,3166.0,530947
2015-06-02,3191.0,3200.0,3147.9,3190.0,712342
2015-06-03,3203.0,3246.0,3190.0,3228.0,915167
2015-06-04,3230.0,3244.0,3186.0,3203.0,627907
2015-06-05,3208.0,3230.0,3186.0,3203.0,734422
2015-06-08,3194.0,3214.0,3180.0,3186.0,704212
2015-06-09,3183.0,3199.0,3161.0,3164.0,560356
2015-06-10,3163.0,3186.0,3142.0,3169.0,843653
2015-06-11,3150.0,3178.0,3129.0,3171.0,569183
2015-06-12,3173.0,3180.0,3133.0,3146.0,554161
2015-06-15,3130.0,3132.0,3098.6,3108.0,453433
2015-06-16,3104.0,3120.0,3074.0,3108.0,385590
2015-06-17,3121.0,3123.0,3063.0,3082.0,695084
2015-06-18,3071.0,3132.0,3045.0,3124.0,773567
2015-06-19,3123.0,3176.0,3119.38,3168.0,893338
2015-06-22,3252.0,3335.0,3239.0,3288.0,1710731
2015-06-23,3313.0,3367.0,3246.0,3258.0,1321031
2015-06-24,3260.0,3364.0,3260.0,3344.0,1346113
2015-06-25,3315.0,3366.0,3310.0,3343.0,1146972
2015-06-26,3316.0,3371.0,3315.0,3352.0,754378
2015-06-29,3304.0,3326.0,3266.0,3294.0,937586
2015-06-30,3274.0,3284.0,3235.0,3249.0,835531
2015-07-01,3266.0,3329.0,3266.0,3313.0,741335
2015-07-02,3303.0,3327.0,3303.0,3316.0,499821
2015-07-03,3314.0,3325.0,3295.0,3310.0,309690
2015-07-06,3283.0,3325.0,3276.0,3312.0,487187
2015-07-07,3306.0,3324.0,3272.9,3290.0,852204
2015-07-08,3288.0,3351.0,3287.0,3336.0,717018
2015-07-09,3322.0,3375.0,3316.0,3360.0,636237
2015-07-10,3399.0,3399.0,3369.0,3389.0,561359
2015-07-13,3409.0,3479.0,3407.97,3473.0,689752
2015-07-14,3491.0,3511.0,3460.0,3486.0,790572
2015-07-15,3480.0,3504.0,3464.0,3470.0,675752
2015-07-16,3475.0,3504.0,3453.0,3478.0,756709
2015-07-17,3478.0,3507.5,3478.0,3485.0,671291
2015-07-20,3483.0,3514.0,3480.0,3484.0,484644
2015-07-21,3497.0,3522.0,3464.9,3476.0,491558
2015-07-22,3450.0,3494.0,3450.0,3473.0,375540
2015-07-23,3507.0,3512.0,3465.0,3493.0,491781
2015-07-24,3472.0,3487.0,3401.0,3405.0,567632
2015-07-27,3388.0,3412.0,3341.0,3350.0,584795
2015-07-28,3375.0,3377.0,3345.0,3361.0,518977
2015-07-29,3381.0,3436.0,3380.0,3433.0,454782
2015-07-30,3430.0,3455.0,3359.0,3376.0,547821
2015-07-31,3388.0,3569.0,3379.0,3552.0,1035407
2015-08-03,3542.0,3546.0,3486.0,3492.0,555146
2015-08-04,3490.0,3519.0,3464.0,3489.0,384791
2015-08-05,3473.0,3523.0,3463.0,3521.0,322039
2015-08-06,3521.0,3556.0,3499.75,3500.0,436747
2015-08-07,3495.0,3528.0,3479.62,3485.0,552251
2015-08-10,3516.0,3576.0,3488.0,3524.0,704501
2015-08-11,3512.0,3526.19,3448.0,3480.0,685818
2015-08-12,3456.0,3470.0,3402.0,3426.0,700083
2015-08-13,3462.0,3489.0,3433.0,3484.0,561476
2015-08-14,3500.0,3502.1,3459.0,3470.0,429257
2015-08-17,3500.0,3519.0,3472.48,3509.0,385872
2015-08-18,3520.0,3527.0,3484.0,3497.0,324804
2015-08-19,3473.0,3483.0,3447.0,3450.0,290723
2015-08-20,3419.0,3434.2,3353.0,3358.0,685339
2015-08-21,3315.0,3328.0,3209.0,3209.0,700700
2015-08-24,3121.0,3194.9,2974.0,3092.0,1216245
2015-08-25,3135.0,3224.0,3102.0,3198.0,801731
2015-08-26,3181.0,3279.0,3158.0,3189.0,919352
2015-08-27,3273.0,3332.0,3248.0,3318.0,863976
2015-08-28,3316.0,3320.0,3271.0,3320.0,610534
2015-09-01,3268.0,3333.0,3233.0,3246.0,826628
2015-09-02,3252.0,3308.0,3252.0,3292.0,534310
2015-09-03,3334.0,3395.0,3334.0,3383.0,559905
2015-09-04,3344.0,3359.0,3315.0,3327.0,656741
2015-09-07,3366.0,3382.0,3317.0,3326.0,211163
2015-09-08,3333.0,3383.0,3329.0,3342.0,601430
2015-09-09,3413.0,3422.0,3384.0,3407.0,572041
2015-09-10,3391.0,3422.0,3361.0,3374.0,537242
2015-09-11,3387.0,3417.0,3366.0,3385.0,432780
2015-09-14,3405.0,3451.0,3380.0,3420.0,561211
2015-09-15,3425.0,3432.0,3393.0,3415.0,524929
2015-09-16,3449.0,3504.0,3436.0,3492.0,734546
2015-09-17,3501.0,3508.0,3473.0,3494.0,516036
2015-09-18,3479.0,3504.0,3422.0,3460.0,769379
2015-09-21,3475.0,3513.0,3458.0,3506.0,567524
2015-09-22,3523.0,3528.0,3328.0,3333.0,1242030
2015-09-23,3297.0,3485.0,3276.0,3467.0,808637
2015-09-24,3478.0,3500.0,3397.0,3404.0,706462
2015-09-25,3456.0,3503.0,3456.0,3481.0,501673
2015-09-28,3451.0,3457.0,3369.0,3371.0,794852
2015-09-29,3327.0,3378.0,3301.24,3312.0,574647
2015-09-30,3388.0,3440.0,3328.92,3423.0,763898
2015-10-01,3461.0,3484.0,3401.0,3414.0,734396
2015-10-02,3424.0,3497.0,3324.0,3367.0,756837
2015-10-05,3431.0,3470.0,3412.0,3440.0,547080
2015-10-06,3460.0,3491.0,3441.0,3443.0,422280
2015-10-07,3387.0,3394.0,3278.0,3285.0,1199382
2015-10-08,3291.0,3345.0,3291.0,3335.0,489134
2015-10-09,3345.0,3354.0,3263.0,3306.0,811224
2015-10-12,3304.0,3341.0,3266.0,3334.0,514797
2015-10-13,3365.0,3402.0,3326.0,3390.0,527492
2015-10-14,3375.0,3375.67,3297.0,3301.0,568923
2015-10-15,3306.0,3357.0,3259.0,3357.0,671185
2015-10-16,3376.0,3414.0,3351.0,3395.0,631807
2015-10-19,3395.0,3449.0,3371.0,3449.0,464142
2015-10-20,3464.0,3476.0,3429.0,3469.0,316878
2015-10-21,3468.0,3482.0,3432.0,3442.0,298092
2015-10-22,3450.0,3468.0,3395.0,3462.0,467728
2015-10-23,3480.0,3597.0,3480.0,3585.0,755211
2015-10-26,3592.0,3601.0,3558.0,3567.0,302498
2015-10-27,3567.0,3600.3,3535.96,3579.0,267634
2015-10-28,3598.0,3634.0,3587.0,3600.0,522735
2015-10-29,3600.0,3638.0,3581.0,3606.0,610182
2015-10-30,3632.0,3635.0,3584.0,3617.0,545587
2015-11-02,3594.0,3636.0,3583.0,3595.0,472937
2015-11-03,3594.0,3624.0,3488.0,3503.0,564360
2015-11-04,3533.0,3535.0,3487.0,3496.0,745849
2015-11-05,3519.0,3551.0,3485.0,3536.0,717553
2015-11-06,3549.0,3610.0,3520.0,3583.0,531785
2015-11-09,3597.0,3621.0,3518.0,3529.0,468900
2015-11-10,3553.0,3569.0,3516.0,3554.0,405487
2015-11-11,3576.0,3620.0,3567.0,3587.0,558155
2015-11-12,3583.0,3583.0,3510.0,3524.0,434725
2015-11-13,3510.0,3524.0,3459.0,3471.0,324250
2015-11-16,3400.0,3427.0,3349.0,3383.0,714318
2015-11-17,3425.0,3469.0,3425.0,3448.0,531837
2015-11-18,3449.0,3449.0,3381.0,3400.0,529122
2015-11-19,3404.0,3446.0,3370.0,3442.0,444322
2015-11-20,3462.0,3493.0,3440.0,3479.0,401493
2015-11-23,3453.0,3487.0,3437.0,3479.0,394852
2015-11-24,3461.0,3464.0,3369.0,3393.0,796094
2015-11-25,3417.0,3482.0,3413.0,3448.0,529013
2015-11-26,3466.0,3501.0,3456.0,3488.0,242365
2015-11-27,3466.0,3497.0,3443.0,3463.0,334317
2015-11-30,3463.0,3527.0,3452.0,3465.0,577180
2015-12-01,3472.0,3528.0,3459.0,3499.0,595087
2015-12-02,3521.0,3557.0,3520.0,3552.0,408123
2015-12-03,3554.0,3610.0,3493.0,3495.0,666368
2015-12-04,3435.0,3471.0,3397.0,3449.0,609822
2015-12-07,3473.0,3526.0,3459.0,3496.0,314703
2015-12-08,3485.0,3486.0,3418.0,3440.0,569188
2015-12-09,3441.0,3469.0,3432.0,3451.0,698001
2015-12-10,3436.0,3490.0,3425.0,3477.0,458914
2015-12-11,3476.0,3492.0,3414.0,3447.0,566682
2015-12-14,3453.0,3495.0,3435.0,3435.0,480893
2015-12-15,3467.0,3553.0,3458.0,3544.0,573659
2015-12-16,3545.0,3578.0,3539.0,3545.0,495779
2015-12-18,3476.0,3670.0,3450.0,3648.0,1612741
2015-12-21,3672.0,3741.0,3672.0,3722.0,631515
2015-12-22,3758.0,3801.0,3737.0,3749.0,406532
2015-12-23,3771.0,3800.2,3741.0,3792.0,414818
2015-12-24,3792.0,3802.0,3765.0,3800.0,89310
2015-12-29,3824.0,3874.0,3793.0,3874.0,523279
2015-12-30,3866.0,3921.0,3853.0,3891.0,380202
2015-12-31,3894.0,3894.0,3859.0,3866.0,80497
2016-01-04,3906.0,3906.0,3763.0,3806.0,666135
2016-01-05,3836.0,3860.0,3802.0,3820.0,593737
2016-01-06,3799.0,3824.0,3748.0,3820.0,704938
2016-01-07,3751.0,3801.0,3707.0,3790.0,607874
2016-01-08,3789.0,3845.0,3773.0,3773.0,574776
2016-01-11,3783.0,3849.0,3748.0,3837.0,573902
2016-01-12,3863.0,3951.0,3836.0,3907.0,787823
2016-01-13,3947.0,3955.26,3882.0,3899.0,662929
2016-01-14,3818.0,3818.0,3621.0,3649.0,1076752
2016-01-15,3651.0,3720.0,3558.79,3607.0,1304046
2016-01-18,3605.0,3660.0,3590.0,3656.0,430258
2016-01-19,3715.0,3754.0,3680.0,3733.0,681982
2016-01-20,3648.0,3649.9,3444.0,3505.0,1439969
2016-01-21,3535.0,3638.0,3490.0,3619.0,967266
2016-01-22,3692.0,3692.0,3609.0,3625.0,699416
2016-01-25,3629.0,3629.0,3578.0,3600.0,609995
2016-01-26,3553.0,3594.0,3533.0,3568.0,532002
2016-01-27,3584.0,3682.0,3581.0,3616.0,872893
2016-01-28,3563.0,3572.0,3329.0,3384.0,1389989
2016-01-29,3430.0,3480.0,3322.0,3480.0,1114715
2016-02-01,3499.0,3526.0,3467.0,3515.0,708837
