Date,Open,High,Low,Close,Volume
2015-02-23,2922.0,2926.0,2888.0,2898.0,261563
2015-02-24,2900.0,2923.0,2861.0,2872.0,404622
2015-02-25,2863.0,2912.0,2839.0,2848.0,364724
2015-02-26,2838.0,2858.0,2799.0,2848.0,289392
2015-02-27,2851.0,2865.0,2818.0,2826.0,240073
2015-03-02,2834.0,2842.0,2767.0,2781.0,330188
2015-03-03,2775.0,2792.0,2745.0,2752.0,297977
2015-03-04,2744.0,2779.0,2738.0,2779.0,320508
2015-03-05,2765.4,2819.7,2726.0,2813.0,372046
2015-03-06,2803.68,2810.93,2771.57,2785.0,263602
2015-03-09,2786.0,2801.0,2756.0,2770.0,200391
2015-03-10,2773.6,2785.0,2757.6,2758.1,299599
2015-03-11,2766.0,2777.0,2752.0,2774.0,309105
2015-03-12,2781.0,2824.0,2771.0,2815.0,248142
2015-03-13,2817.0,2864.0,2806.0,2830.0,397795
2015-03-16,2833.0,2865.0,2828.0,2855.0,234557
2015-03-17,2849.0,2862.0,2809.0,2816.0,260700
2015-03-18,2826.0,2855.0,2801.0,2842.0,255434
2015-03-19,2851.0,2869.0,2836.0,2854.0,300480
2015-03-20,2855.0,2873.0,2841.0,2867.0,301550
2015-03-23,2857.5,2865.0,2820.3,2856.5,250711
2015-03-24,2851.0,2874.0,2843.0,2867.0,222056
2015-03-25,2876.18,2885.5,2849.8,2879.29,309981
2015-03-26,2865.0,2881.0,2805.0,2830.0,552112
2015-03-27,2829.0,2839.0,2782.0,2814.0,323241
2015-03-30,2829.0,2848.0,2808.0,2822.0,246664
2015-03-31,2821.0,2851.0,2821.0,2837.0,420029
2015-04-01,2828.0,2889.0,2822.0,2855.0,304806
2015-04-02,2862.0,2901.0,2853.0,2893.0,249584
2015-04-07,2910.0,2954.0,2889.0,2946.0,283546
2015-04-08,2949.0,2959.0,2902.0,2909.0,267789
2015-04-09,2921.0,2975.0,2911.0,2973.0,376303
2015-04-10,2973.0,3018.0,2973.0,3008.0,180757
2015-04-13,2993.0,3012.0,2979.0,3004.0,242686
2015-04-14,2990.0,3024.0,2990.0,3006.0,415424
2015-04-15,3004.0,3047.0,2998.0,3004.0,259246
2015-04-16,3012.0,3012.0,2970.0,2976.0,274059
2015-04-17,2962.0,2983.0,2940.0,2950.0,309246
2015-04-20,2955.0,2984.0,2955.0,2979.0,252655
2015-04-21,2979.0,3016.0,2974.0,3010.0,275288
2015-04-22,3055.0,3135.0,3043.0,3070.0,564498
2015-04-23,3085.0,3114.0,3058.0,3114.0,315398
2015-04-24,3109.0,3124.0,3082.0,3084.0,237472
2015-04-27,3100.0,3101.0,3042.0,3077.0,270471
2015-04-28,3079.0,3086.0,3007.0,3029.0,264287
2015-04-29,3017.0,3039.0,2960.0,2960.0,200104
2015-04-30,2924.0,2959.0,2887.0,2936.0,336321
2015-05-01,2930.0,2937.7,2893.8,2915.5,174613
2015-05-05,2931.0,2966.0,2882.0,2888.0,339945
2015-05-06,2888.0,2915.0,2866.0,2890.0,226449
2015-05-07,2890.0,2890.0,2843.0,2878.0,349712
2015-05-08,2923.0,2993.0,2915.0,2989.0,476156
2015-05-11,2994.0,3009.0,2945.0,2953.0,196879
2015-05-12,2928.0,2944.0,2883.0,2925.0,238744
2015-05-13,2928.0,2953.0,2916.0,2935.0,316350
2015-05-14,2935.0,2954.0,2911.0,2922.0,240560
2015-05-15,2908.0,2933.0,2880.0,2891.0,479379
2015-05-18,2897.0,2920.0,2866.0,2884.0,211132
2015-05-19,2894.0,2924.0,2874.0,2924.0,231741
2015-05-20,2924.0,2939.0,2909.0,2932.0,173792
2015-05-21,2938.0,3050.0,2928.0,3032.0,747181
2015-05-22,3040.0,3044.0,3002.0,3032.0,203979
2015-05-26,3027.0,3041.0,2979.0,2986.0,218960
2015-05-27,2978.0,3037.0,2978.0,3029.0,253071
2015-05-28,3030.5,3085.39,3028.43,3054.7,374774
2015-05-29,3083.0,3100.0,3026.0,3029.0,334832
2015-06-01,3035.0,3053.0,3002.0,3024.0,169678
2015-06-02,3045.0,3061.0,2996.0,3004.0,186109
2015-06-03,3005.0,3067.0,3005.0,3016.0,227555
2015-06-04,3002.0,3012.0,2963.0,2964.0,281077
2015-06-05,2949.0,2965.0,2919.0,2930.0,256278
2015-06-08,2927.0,2933.0,2892.0,2923.0,191370
2015-06-09,2929.0,2949.0,2907.0,2940.0,291028
2015-06-10,2945.0,2956.0,2926.0,2947.0,264547
2015-06-11,2937.0,2976.0,2937.0,2957.0,203104
2015-06-12,2944.0,2955.0,2897.0,2906.0,177020
2015-06-15,2884.0,2901.0,2872.0,2887.0,224657
2015-06-16,2873.0,2903.0,2842.0,2898.0,207321
2015-06-17,2894.0,2920.0,2884.0,2906.0,204003
2015-06-18,2891.0,2909.0,2854.0,2905.0,207169
2015-06-19,2918.0,2935.0,2901.0,2905.0,295003
2015-06-22,2950.0,2955.0,2926.0,2951.0,162892
2015-06-23,2960.0,2978.0,2958.0,2959.0,157938
2015-06-24,2959.0,2966.0,2933.0,2933.0,259653
2015-06-25,2920.0,2932.0,2904.0,2919.0,236813
2015-06-26,2904.14,2949.71,2894.86,2937.29,176163
