Date,Open,High,Low,Close,Volume
2015-02-23,1849.0,1857.56,1825.0,1833.89,1273008
2015-02-24,1824.0,1833.0,1810.0,1815.0,1675949
2015-02-25,1830.0,1838.12,1820.0,1826.0,1404548
2015-02-26,1821.0,1851.0,1788.0,1814.87,1937622
2015-02-27,1819.0,1842.54,1815.0,1830.0,2576933
2015-03-02,1830.0,1851.0,1812.0,1813.0,2348608
2015-03-03,1814.0,1821.0,1770.0,1770.0,3187381
2015-03-04,1773.0,1791.13,1732.0,1788.0,3576160
2015-03-05,1752.0,1810.93,1741.0,1801.37,2078676
2015-03-06,1795.0,1816.0,1788.0,1797.0,1844610
2015-03-09,1760.0,1777.0,1722.0,1742.75,3237944
2015-03-10,1727.0,1749.0,1699.0,1708.0,3003920
2015-03-11,1707.0,1743.13,1707.0,1736.76,3156336
2015-03-12,1751.0,1813.0,1747.0,1807.0,3458001
2015-03-13,1804.0,1817.0,1794.22,1811.0,2053131
2015-03-16,1758.0,1771.0,1730.62,1750.85,5536313
2015-03-17,1729.0,1756.0,1665.97,1687.34,4025201
2015-03-18,1696.0,1787.0,1682.0,1771.0,3695061
2015-03-19,1782.0,1791.07,1744.0,1751.0,2230159
2015-03-20,1825.0,1866.0,1812.0,1840.0,5312548
2015-03-23,1847.0,1856.0,1823.33,1852.0,2692183
2015-03-24,1850.0,1876.0,1825.0,1843.93,2875458
2015-03-25,1820.0,1854.0,1812.04,1817.37,2783056
2015-03-26,1805.0,1808.0,1779.0,1794.36,1998121
2015-03-27,1804.0,1832.0,1779.0,1788.0,2271445
2015-03-30,1770.0,1794.34,1742.6,1787.0,2794801
2015-03-31,1785.0,1807.44,1748.99,1749.65,2401063
2015-04-01,1750.0,1778.0,1740.96,1745.0,1978812
2015-04-02,1760.0,1780.47,1720.0,1762.0,1388580
2015-04-07,1769.0,1790.06,1764.0,1782.0,1413352
2015-04-08,1789.0,1789.0,1743.0,1752.0,1387239
2015-04-09,1779.0,1809.0,1763.0,1786.94,1999083
2015-04-10,1810.0,1811.0,1791.0,1797.36,1479920
2015-04-13,1796.0,1805.0,1787.0,1790.0,881566
2015-04-14,1779.0,1805.85,1779.0,1803.0,1458877
2015-04-15,1815.0,1871.17,1806.0,1857.38,2260513
2015-04-16,1872.0,1904.45,1860.0,1860.0,4217217
2015-04-17,1861.0,1869.0,1828.59,1845.24,2283875
2015-04-20,1839.0,1866.0,1839.0,1860.0,1382687
2015-04-21,1868.0,1898.39,1862.0,1879.0,2045856
2015-04-22,1890.0,1895.0,1846.0,1859.0,1582795
2015-04-23,1861.0,1869.0,1838.63,1855.0,2483434
2015-04-24,1865.0,1912.0,1860.0,1899.62,2958968
2015-04-27,1898.0,1918.0,1871.0,1910.76,2218836
2015-04-28,1896.0,1910.48,1879.0,1892.38,1721344
2015-04-29,1895.0,1902.0,1807.33,1876.6,2036250
2015-04-30,1855.0,1888.0,1802.74,1829.0,3388114
2015-05-01,1861.0,1861.0,1805.0,1838.0,1146375
2015-05-05,1847.0,1856.19,1817.0,1848.0,3160288
2015-05-06,1835.0,1862.0,1802.0,1859.6,2470080
2015-05-07,1850.0,1858.0,1793.3,1853.0,2219609
2015-05-08,1844.0,1906.59,1828.0,1891.0,1706350
2015-05-11,1887.0,1892.0,1837.0,1837.0,1501368
2015-05-12,1823.0,1830.0,1805.0,1818.0,1804475
2015-05-13,1818.0,1833.0,1793.09,1805.35,2006446
2015-05-14,1806.0,1816.22,1778.0,1810.0,993279
2015-05-15,1818.0,1832.0,1801.0,1815.37,959412
2015-05-18,1826.0,1834.0,1799.0,1816.0,1079414
2015-05-19,1826.0,1866.19,1801.0,1851.0,1110103
2015-05-20,1847.0,1875.32,1831.0,1851.0,1094395
2015-05-21,1843.0,1860.0,1833.0,1840.0,960935
2015-05-22,1845.0,1856.0,1827.43,1833.0,1256418
2015-05-26,1842.0,1842.0,1773.0,1776.0,2005208
2015-05-27,1777.0,1843.0,1770.0,1839.0,2287596
2015-05-28,1841.0,1851.0,1831.0,1847.0,1230608
2015-05-29,1843.0,1867.0,1822.14,1831.0,1867492
2015-06-01,1833.0,1860.0,1801.0,1837.29,1095074
2015-06-02,1814.0,1829.0,1770.75,1792.0,1946649
2015-06-03,1805.0,1867.0,1805.0,1853.0,2306951
2015-06-04,1852.0,1852.0,1799.0,1816.0,2849766
2015-06-05,1800.0,1832.71,1799.0,1806.61,1605732
2015-06-08,1805.0,1827.0,1799.0,1821.63,1816663
2015-06-09,1814.0,1820.67,1790.0,1795.74,1516601
2015-06-10,1796.0,1853.92,1787.0,1800.61,2134749
2015-06-11,1853.0,1893.28,1852.0,1884.62,2601277
2015-06-12,1870.0,1880.0,1828.0,1845.0,1894753
2015-06-15,1829.0,1847.29,1817.0,1829.63,1733485
2015-06-16,1820.0,1838.29,1783.0,1828.64,1822996
2015-06-17,1825.0,1864.0,1825.0,1833.63,1903431
2015-06-18,1824.0,1847.0,1789.0,1846.63,2038593
2015-06-19,1840.0,1932.06,1831.0,1857.0,3573125
2015-06-22,1884.0,1916.0,1870.46,1913.61,2183529
2015-06-23,1905.0,1968.1,1889.0,1927.4,2114760
2015-06-24,1922.0,1930.0,1895.91,1902.0,1695333
2015-06-25,1897.0,1917.0,1878.0,1897.5,2162526
2015-06-26,1875.0,1877.0,1853.0,1859.38,1792927
2015-06-29,1798.0,1830.9,1787.0,1809.0,1707260
2015-06-30,1803.0,1818.0,1777.47,1786.0,1979407
2015-07-01,1805.0,1848.0,1798.0,1814.0,2562409
