Date,Open,High,Low,Close,Volume
2015-02-23,3949.0,3949.0,3853.0,3861.0,89047
2015-02-24,3860.0,3889.0,3845.0,3875.0,72777
2015-02-25,3875.0,3892.0,3852.0,3870.0,76638
2015-02-26,3875.0,3886.0,3825.0,3870.0,57857
2015-02-27,3934.0,3934.0,3847.0,3870.0,93063
2015-03-02,3870.0,3903.0,3849.0,3861.0,108023
2015-03-03,3880.0,3880.0,3784.9,3796.76,118762
2015-03-04,3783.0,3826.0,3778.0,3810.0,104469
2015-03-05,3843.0,3869.0,3815.84,3854.0,113815
2015-03-06,3894.0,4035.0,3888.0,4017.0,163137
2015-03-09,4024.0,4024.0,3995.0,4011.81,116653
2015-03-10,4025.0,4029.0,3999.2,3999.2,169618
2015-03-11,4000.0,4031.0,4000.0,4019.0,177867
2015-03-12,4016.0,4086.0,4016.0,4077.0,116858
2015-03-13,4077.0,4152.0,4077.0,4129.0,169782
2015-03-16,4126.0,4188.0,4126.0,4181.0,77231
2015-03-17,4176.0,4219.0,4176.0,4196.0,157982
2015-03-18,4166.0,4208.0,4161.0,4184.0,132622
2015-03-19,4160.0,4209.0,4151.0,4159.0,89464
2015-03-20,4152.0,4189.0,4142.0,4155.0,175775
2015-03-23,4150.0,4168.0,4126.0,4146.0,96583
2015-03-24,4151.0,4178.0,4098.0,4125.83,101829
2015-03-25,4125.0,4162.0,4108.0,4139.83,109158
2015-03-26,4125.0,4149.0,4032.0,4068.82,94509
2015-03-27,4059.0,4093.0,4059.0,4066.0,127504
2015-03-30,4099.0,4106.0,4019.0,4031.19,141894
2015-03-31,4040.0,4067.0,3975.0,4023.0,156475
2015-04-01,4034.0,4112.0,4019.0,4090.82,192731
2015-04-02,4120.0,4188.0,4095.0,4176.0,102996
2015-04-07,4200.0,4256.0,4192.0,4227.0,115167
2015-04-08,4231.0,4246.0,4195.0,4220.0,93110
2015-04-09,4221.0,4250.0,4213.0,4229.0,119860
2015-04-10,4230.0,4269.0,4221.0,4245.85,108938
2015-04-13,4250.0,4250.0,4186.0,4222.85,114975
2015-04-14,4230.0,4230.0,4196.0,4225.15,74716
2015-04-15,4243.0,4281.0,4195.0,4264.14,99629
2015-04-16,4225.0,4294.0,4197.0,4263.86,145930
2015-04-17,4254.0,4307.0,4254.0,4258.86,180552
2015-04-20,4283.0,4319.0,4259.0,4318.13,120433
2015-04-21,4346.0,4397.4,4313.0,4347.0,148208
2015-04-22,4315.0,4360.0,4277.0,4335.87,101772
2015-04-23,4318.0,4328.0,4248.0,4298.86,71063
2015-04-24,4283.0,4306.0,4268.0,4301.87,93986
2015-04-27,4281.0,4314.0,4253.0,4280.86,66513
2015-04-28,4270.0,4290.0,4228.0,4251.86,54667
2015-04-29,4251.0,4298.0,4174.0,4185.0,92225
2015-04-30,4184.0,4191.0,4126.0,4159.0,174911
2015-05-01,4210.0,4210.0,4136.0,4196.0,46634
2015-05-05,4241.0,4253.0,4167.0,4184.0,122937
2015-05-06,4190.0,4194.0,4130.0,4187.2,167840
2015-05-07,4188.0,4267.0,4150.0,4264.14,114839
2015-05-08,4339.0,4499.0,4276.0,4398.0,210864
2015-05-11,4398.0,4426.0,4349.0,4360.15,140955
2015-05-12,4327.0,4375.0,4284.0,4291.86,138216
2015-05-13,4325.0,4337.0,4293.0,4334.87,104955
2015-05-14,4309.0,4361.0,4280.0,4358.0,80613
2015-05-15,4357.0,4422.0,4349.0,4370.0,121988
2015-05-18,4337.0,4405.0,4337.0,4371.2,125144
2015-05-19,4701.0,4954.0,4697.0,4954.0,584881
2015-05-20,4970.0,4970.0,4900.0,4920.0,263774
2015-05-21,4920.0,5140.0,4920.0,5125.0,201657
2015-05-22,5150.0,5195.0,5100.0,5160.77,108972
2015-05-26,5155.0,5215.0,5105.0,5171.63,186660
2015-05-27,5130.0,5270.0,5125.0,5227.5,138908
2015-05-28,5220.0,5310.0,5155.0,5303.1,136282
2015-05-29,5295.0,5305.0,5190.0,5200.0,227731
2015-06-01,5240.0,5275.0,5195.0,5245.0,157595
2015-06-02,5280.0,5320.0,5170.0,5195.0,184733
2015-06-03,5220.0,5250.0,5175.0,5185.0,164199
2015-06-04,5200.0,5240.0,5165.0,5186.04,117056
2015-06-05,5190.0,5190.0,5100.0,5145.0,104707
2015-06-08,5160.0,5240.0,5125.0,5181.04,93534
2015-06-09,5170.0,5170.0,5080.0,5088.98,107384
2015-06-10,5105.0,5160.0,5062.1,5140.0,156105
2015-06-11,5160.0,5210.0,5125.0,5153.96,90912
2015-06-12,5130.0,5185.0,5120.0,5145.0,89974
2015-06-15,5145.0,5155.0,5040.0,5040.0,104951
2015-06-16,5035.0,5090.0,4967.0,5065.0,150450
2015-06-17,5070.0,5090.0,5045.4,5085.0,71419
2015-06-18,5070.0,5100.0,5040.0,5070.0,114971
2015-06-19,5125.0,5140.0,5065.0,5065.0,364271
2015-06-22,5175.0,5175.0,5065.0,5090.0,162998
2015-06-23,5140.0,5141.0,5062.5,5081.74,129218
2015-06-24,5000.0,5105.0,5000.0,5085.0,112296
2015-06-25,5070.0,5140.0,5070.0,5105.0,113212
2015-06-26,5055.0,5095.0,5055.0,5080.0,104980
2015-06-29,5045.0,5090.0,4957.0,5028.99,132852
2015-06-30,5045.0,5075.0,4984.0,5001.0,136199
2015-07-01,5060.0,5175.0,5025.0,5150.0,104453
2015-07-02,5165.0,5165.0,5085.0,5110.0,103445
2015-07-03,5130.0,5130.0,5070.0,5090.0,85148
2015-07-06,5005.0,5090.0,5005.0,5030.0,72773
2015-07-07,5045.0,5058.6,4968.0,5045.0,165538
2015-07-08,5040.0,5040.0,4919.0,4942.0,184027
2015-07-09,4960.0,5060.0,4952.89,5048.99,104906
2015-07-10,5150.0,5155.0,5055.0,5100.0,85367
2015-07-13,5145.0,5250.0,5130.0,5248.95,221914
2015-07-14,5265.0,5275.0,5190.0,5245.0,116958
2015-07-15,5265.0,5285.0,5215.0,5241.05,67634
2015-07-16,5290.0,5305.0,5240.0,5263.94,112076
2015-07-17,5255.0,5255.0,5160.0,5200.0,93938
2015-07-20,5165.0,5215.0,5135.0,5145.0,93351
2015-07-21,5165.0,5170.0,5060.0,5070.0,85519
2015-07-22,5050.0,5075.0,4990.0,5020.0,85281
2015-07-23,5035.0,5040.0,5000.0,5018.99,52243
2015-07-24,5025.0,5047.05,4994.0,5005.0,54406
2015-07-27,4997.0,4999.0,4898.0,4920.0,72737
2015-07-28,4926.0,5005.0,4912.0,4990.0,141923
2015-07-29,5030.0,5125.0,4980.0,5055.0,114090
2015-07-30,5105.0,5145.0,4980.0,5050.0,151001
2015-07-31,5050.0,5090.0,5030.0,5060.0,109981
2015-08-03,5060.0,5100.0,4972.0,5048.99,109690
2015-08-04,5090.0,5090.0,5005.0,5060.0,92337
2015-08-05,5060.0,5060.0,4911.0,4962.0,133020
2015-08-06,4964.0,5015.0,4950.0,5000.0,143820
2015-08-07,5000.0,5015.0,4951.0,4957.0,88739
2015-08-10,4974.0,5015.0,4946.0,5010.0,108039
2015-08-11,5025.0,5025.0,4969.0,4995.0,94695
2015-08-12,4941.0,5004.23,4904.0,4930.0,155589
2015-08-13,4959.0,5021.73,4959.0,4997.0,75845
2015-08-14,4989.0,5045.0,4974.0,5025.0,53585
2015-08-17,5030.0,5045.0,4986.0,5020.0,62431
2015-08-18,4977.0,5050.0,4977.0,5025.0,66662
