Date,Open,High,Low,Close,Volume
2015-02-23,1892.0,1916.0,1886.5,1913.5,2729979
2015-02-24,1922.0,1947.0,1906.79,1935.5,4763991
2015-02-25,1935.5,1942.0,1918.0,1932.0,2495499
2015-02-26,1922.0,1935.5,1903.0,1935.0,4170048
2015-02-27,1935.0,1942.5,1928.0,1935.5,3456737
2015-03-02,1926.5,1936.5,1912.0,1917.0,3227930
2015-03-03,1921.5,1937.0,1906.0,1906.0,3109038
2015-03-04,1910.0,1920.88,1893.12,1920.5,2612351
2015-03-05,1921.0,1945.5,1920.0,1939.0,2415895
2015-03-06,1934.5,1951.5,1926.0,1928.5,2709864
2015-03-09,1929.0,1929.0,1899.5,1904.0,2865650
2015-03-10,1897.5,1907.0,1854.5,1854.5,4365307
2015-03-11,1856.5,1878.0,1845.0,1849.0,5145993
2015-03-12,1890.0,1897.5,1871.5,1882.0,4099660
2015-03-13,1844.5,1869.5,1842.0,1864.0,4758310
2015-03-16,1867.0,1898.0,1853.5,1893.0,3524076
2015-03-17,1910.0,1937.62,1879.0,1910.0,4863453
2015-03-18,1907.0,1962.5,1901.62,1954.0,4721384
2015-03-19,1973.5,1978.5,1921.0,1940.5,4089595
2015-03-20,1942.0,1942.5,1917.0,1924.0,4900316
2015-03-23,1922.5,1941.5,1915.0,1939.5,2771958
2015-03-24,1929.5,1973.0,1926.5,1937.5,3502671
2015-03-25,1950.0,1979.0,1919.5,1923.5,3591095
2015-03-26,1910.0,1925.0,1882.0,1894.5,4959848
2015-03-27,1902.0,1912.0,1882.5,1895.0,3170868
2015-03-30,1921.5,1932.5,1894.5,1902.0,3475407
2015-03-31,1904.0,1904.0,1850.0,1859.5,5667366
2015-04-01,1857.5,1887.0,1845.87,1868.5,4042361
2015-04-02,1864.0,1895.5,1852.0,1890.5,2416610
2015-04-07,1898.0,1938.5,1892.5,1929.5,4629440
2015-04-08,1923.5,1929.0,1901.5,1906.0,2718227
2015-04-09,1915.0,1930.5,1910.0,1916.0,3796176
2015-04-10,1920.0,1940.5,1906.37,1938.5,3258452
2015-04-13,1930.5,1949.66,1928.5,1940.5,3532978
2015-04-14,1931.0,1946.5,1923.0,1934.0,3095876
2015-04-15,1929.5,1979.5,1927.5,1967.0,5718486
2015-04-16,1930.0,1934.0,1894.5,1896.5,7850718
2015-04-17,1900.5,1911.83,1867.5,1876.5,4717874
2015-04-20,1886.0,1886.0,1865.5,1870.5,3185261
2015-04-21,1872.5,1892.17,1867.0,1874.5,2956904
2015-04-22,1881.0,1881.0,1848.0,1865.5,3454066
2015-04-23,1879.0,1887.0,1856.0,1864.0,2965893
2015-04-24,1872.0,1880.0,1862.5,1870.5,3511880
2015-04-27,1878.0,1879.5,1849.0,1866.5,4395855
2015-04-28,1858.5,1861.5,1834.5,1846.0,4580208
2015-04-29,1850.0,1857.0,1792.5,1796.5,3764605
2015-04-30,1807.5,1818.5,1785.5,1811.5,4406423
2015-05-01,1802.0,1817.0,1793.5,1815.0,2066462
2015-05-05,1850.0,1850.0,1796.0,1797.0,5483725
2015-05-06,1802.5,1810.5,1787.0,1793.0,4536008
2015-05-07,1789.0,1789.0,1751.66,1777.0,5263619
2015-05-08,1800.0,1800.84,1778.5,1791.0,7031220
2015-05-11,1785.0,1797.5,1780.5,1784.5,3013162
2015-05-12,1777.0,1781.0,1746.0,1756.0,4251944
2015-05-13,1767.5,1775.5,1750.0,1754.5,3243737
2015-05-14,1754.5,1829.13,1745.5,1786.5,3782730
2015-05-15,1792.5,1802.0,1781.5,1786.0,3323500
2015-05-18,1788.0,1800.5,1773.5,1793.5,2141622
2015-05-19,1796.5,1820.0,1796.5,1815.0,3071362
2015-05-20,1814.0,1818.8,1780.33,1799.0,3257915
2015-05-21,1798.5,1803.5,1779.0,1800.5,4213527
2015-05-22,1795.0,1828.5,1787.04,1813.5,2871890
2015-05-26,1811.0,1821.5,1796.5,1806.0,3799282
2015-05-27,1801.0,1843.0,1796.36,1837.5,4694582
2015-05-28,1838.5,1845.0,1831.0,1841.5,2772468
2015-05-29,1840.0,1840.0,1811.5,1815.5,6721189
2015-06-01,1814.5,1832.0,1814.5,1818.0,4269661
