Date,Open,High,Low,Close,Volume
2015-02-23,193.8,195.5,189.2,190.1,1220877
2015-02-24,191.6,193.2,187.0,191.9,1484990
2015-02-25,192.8,192.8,188.7,190.0,641168
2015-02-26,192.1,194.5,188.27,193.4,817813
2015-02-27,194.0,198.8,192.5,196.8,1446892
2015-03-02,196.5,198.75,194.0,195.0,903830
2015-03-03,194.5,197.0,193.8,193.9,1047161
2015-03-04,193.9,197.5,191.0,191.7,997198
2015-03-05,192.0,195.0,189.6,192.6,755472
2015-03-06,194.0,196.0,190.5,193.6,1332579
2015-03-09,189.3,192.8,187.79,189.4,670799
2015-03-10,189.9,191.6,184.0,184.0,2169511
2015-03-11,187.0,187.5,179.8,184.8,1437314
2015-03-12,186.6,192.0,185.3,190.0,1560610
2015-03-13,188.6,189.4,184.5,185.6,1056937
2015-03-16,187.9,188.5,184.8,186.4,830730
2015-03-17,187.5,189.7,183.0,186.8,1274819
2015-03-18,183.2,191.5,183.2,188.1,1569853
2015-03-19,188.9,195.8,188.1,195.2,2215149
2015-03-20,195.0,198.3,192.8,196.4,3301607
2015-03-23,194.1,197.4,193.2,194.6,1019164
2015-03-24,195.0,198.8,193.6,194.5,1509909
2015-03-25,196.9,198.85,190.9,193.5,1733225
2015-03-26,193.0,195.5,188.5,189.9,1849691
2015-03-27,188.8,193.4,187.9,189.7,1757300
2015-03-30,188.8,190.9,187.3,188.6,1249502
2015-03-31,187.9,190.0,187.0,187.7,1574086
2015-04-01,192.0,204.8,192.0,197.5,5790078
2015-04-02,199.0,199.0,190.7,191.4,1726812
2015-04-07,190.9,197.7,190.0,194.6,2079815
2015-04-08,195.6,200.8,192.45,200.8,2523442
2015-04-09,200.0,204.0,199.2,200.0,1161712
2015-04-10,200.8,209.5,199.38,207.1,3017161
2015-04-13,206.0,207.1,202.0,203.2,1860466
2015-04-14,200.8,205.0,198.6,203.7,1075318
2015-04-15,202.0,208.9,199.4,207.4,1001185
2015-04-16,206.4,209.9,204.9,205.4,1951629
2015-04-17,203.8,204.0,190.2,191.7,1757159
2015-04-20,192.0,206.97,184.3,192.6,2575419
2015-04-21,194.1,195.7,187.4,190.2,1511026
2015-04-22,189.3,190.0,184.9,186.1,2206278
2015-04-23,187.6,190.0,185.64,189.0,2850874
2015-04-24,188.0,189.9,186.4,188.8,2016788
2015-04-27,188.6,190.0,185.1,189.6,1912166
2015-04-28,188.7,195.0,188.0,193.2,2112537
2015-04-29,192.5,194.8,187.0,188.3,1563289
2015-04-30,190.1,190.1,187.1,189.7,1751149
2015-05-01,194.0,195.8,189.2,192.0,681003
2015-05-05,191.0,194.8,189.6,194.4,3133772
2015-05-06,192.7,207.4,192.7,205.7,2575763
2015-05-07,206.2,207.4,200.3,202.3,2106885
2015-05-08,205.6,207.2,198.8,201.7,2184935
2015-05-11,200.2,206.0,200.0,202.7,1195489
2015-05-12,200.0,204.1,198.12,199.9,2224906
2015-05-13,201.7,207.4,201.1,205.5,1671489
2015-05-14,206.6,207.0,199.8,206.3,1402793
2015-05-15,207.3,207.3,192.2,193.7,2168295
2015-05-18,191.8,197.5,190.9,195.4,1259932
2015-05-19,194.2,197.1,185.0,186.1,1398849
2015-05-20,186.9,187.5,180.2,181.8,1361749
2015-05-21,180.4,186.75,179.9,181.2,1552613
2015-05-22,182.7,187.8,180.3,181.9,1470694
2015-05-26,179.0,182.69,171.4,173.7,864195
2015-05-27,170.3,176.8,170.3,175.6,920543
2015-05-28,173.0,176.7,169.2,173.6,1309093
2015-05-29,173.3,173.3,167.5,168.6,1388405
2015-06-01,167.5,171.4,164.5,168.5,1270531
2015-06-02,168.5,170.0,167.2,168.7,1709074
2015-06-03,168.3,171.0,165.0,166.4,1139135
2015-06-04,165.2,165.6,155.0,159.2,2660003
2015-06-05,157.9,163.0,155.0,160.8,1639366
2015-06-08,160.2,168.2,157.6,165.7,2062732
2015-06-09,164.2,165.7,156.1,161.1,1484773
2015-06-10,159.5,165.1,159.5,163.5,1192239
2015-06-11,160.9,162.8,157.5,160.2,1203477
2015-06-12,158.3,159.7,148.5,151.7,1605487
2015-06-15,147.9,151.7,147.71,150.0,1602824
2015-06-16,148.5,149.9,144.0,149.1,935918
2015-06-17,147.9,150.3,146.2,146.6,941770
2015-06-18,145.4,147.6,143.0,143.5,1117422
2015-06-19,144.3,149.4,143.1,146.8,2938719
2015-06-22,145.0,150.7,144.8,146.8,1532096
2015-06-23,146.6,147.7,139.1,139.7,1243363
2015-06-24,139.0,139.4,126.4,136.4,2312688
2015-06-25,135.3,136.5,133.1,135.4,911115
2015-06-26,136.1,136.1,127.0,127.7,1469867
2015-06-29,122.2,127.2,119.54,124.3,843942
2015-06-30,,125.2,120.0,123.2,952703
2015-07-01,123.3,126.5,119.6,120.5,1021451
2015-07-02,120.9,120.9,112.8,113.9,1669859
2015-07-03,113.0,117.2,111.4,113.77,1652230
2015-07-06,117.3,120.5,113.1,116.1,1886783
2015-07-07,116.0,116.0,110.8,113.4,3723679
2015-07-08,112.9,117.2,110.2,113.3,3097513
2015-07-09,112.7,116.0,112.0,113.7,2927295
2015-07-10,115.3,116.2,111.0,114.4,2835616
2015-07-13,114.9,119.6,111.3,117.6,2151263
2015-07-14,119.4,123.6,117.4,123.2,3011746
2015-07-15,123.0,123.2,116.2,118.1,3993433
