Date,Open,High,Low,Close,Volume
2015-02-23,284.5,293.3,283.8,293.2,3229464
2015-02-24,293.2,297.7,292.8,297.2,3313432
2015-02-25,295.8,300.0,295.7,299.3,2663972
2015-02-26,299.0,300.21,295.8,298.92,1941000
2015-02-27,297.7,300.7,296.1,298.0,2171682
2015-03-02,298.0,301.76,297.12,298.6,3212691
2015-03-03,299.6,299.6,293.8,293.8,2746755
2015-03-04,295.0,295.6,293.4,294.9,2799650
2015-03-05,294.8,296.5,294.2,296.0,2805448
2015-03-06,294.7,296.7,293.9,295.3,2216401
2015-03-09,295.0,297.5,290.9,291.0,4972485
2015-03-10,290.0,301.5,285.9,286.1,10608827
2015-03-11,287.5,288.9,284.8,288.9,6060253
2015-03-12,288.6,291.6,287.9,290.5,3344902
2015-03-13,291.3,293.5,290.7,292.4,2982395
2015-03-16,292.8,294.4,291.7,294.1,2029984
2015-03-17,293.5,293.5,289.3,290.6,2104799
2015-03-18,290.1,297.78,290.1,297.5,3598356
2015-03-19,297.9,300.1,296.16,299.9,2957522
2015-03-20,300.4,301.0,296.8,299.7,5574990
2015-03-23,299.6,299.6,295.9,297.8,1913648
2015-03-24,297.7,301.6,297.3,301.0,2546097
2015-03-25,300.3,301.8,296.8,297.0,1897381
2015-03-26,294.7,294.9,290.9,292.8,2299330
2015-03-27,292.6,294.7,291.5,292.4,3057567
2015-03-30,294.4,294.9,291.0,294.1,2511987
2015-03-31,293.2,297.0,292.6,295.8,4437421
2015-04-01,295.2,299.6,293.7,297.3,2673677
2015-04-02,296.5,299.9,295.8,298.8,1963385
2015-04-07,300.0,303.0,299.2,303.0,3517698
2015-04-08,301.9,305.9,301.5,303.1,2570831
2015-04-09,304.5,306.9,303.5,306.2,2441304
2015-04-10,306.9,309.6,306.6,308.8,2972738
2015-04-13,308.2,308.7,305.5,306.4,2182410
2015-04-14,304.9,305.6,303.1,304.5,3218764
2015-04-15,303.9,305.3,301.1,304.9,2851979
2015-04-16,306.1,306.1,300.3,302.1,2953746
2015-04-17,302.9,303.1,296.5,298.2,3524657
2015-04-20,298.7,299.4,294.6,295.0,3664099
2015-04-21,296.7,301.7,295.9,301.2,3988544
2015-04-22,302.1,305.5,302.0,304.0,4499890
2015-04-23,303.4,305.6,300.7,303.1,2970330
2015-04-24,302.0,305.6,302.0,303.6,2375280
2015-04-27,303.7,305.2,300.9,302.2,3170772
2015-04-28,301.1,302.7,295.7,297.2,3348096
2015-04-29,297.4,300.1,292.8,292.9,4188395
2015-04-30,292.1,294.1,288.8,293.0,3640807
2015-05-01,291.6,292.6,288.3,291.6,1497549
2015-05-05,293.1,295.5,291.0,291.0,4739853
2015-05-06,290.0,292.6,289.1,291.0,3862530
2015-05-07,285.2,286.2,280.0,285.4,3965457
2015-05-08,298.0,304.0,288.8,293.8,6655612
2015-05-11,292.5,295.1,292.3,294.5,2950291
2015-05-12,292.5,296.3,288.2,290.9,3311466
2015-05-13,291.5,294.3,290.9,292.2,2199871
2015-05-14,292.5,293.5,290.1,293.2,1257297
2015-05-15,293.9,295.7,292.0,293.4,1712642
2015-05-18,294.1,296.5,293.2,294.0,2003615
2015-05-19,293.9,296.4,293.0,293.9,2977989
2015-05-20,294.7,298.28,293.6,295.1,3192410
2015-05-21,295.0,296.25,294.0,295.5,2172202
2015-05-22,296.6,299.8,294.9,298.5,1556029
2015-05-26,300.0,300.0,296.6,297.3,2579393
2015-05-27,296.7,306.98,296.7,304.1,2767808
2015-05-28,303.9,305.0,300.9,301.5,3114040
2015-05-29,301.1,302.7,297.5,298.2,11442551
2015-06-01,298.6,299.9,295.6,296.0,2471624
2015-06-02,298.3,298.3,292.9,294.8,3334477
2015-06-03,295.3,297.6,294.2,297.0,3794684
2015-06-04,297.4,299.1,291.6,293.8,3437200
2015-06-05,293.1,293.1,287.2,287.6,2968318
2015-06-08,287.1,289.6,286.5,288.3,2788343
