Date,Open,High,Low,Close,Volume
2015-02-23,384.6,388.4,381.12,386.0,3416654
2015-02-24,389.0,389.0,371.4,375.18,6527842
2015-02-25,368.9,369.3,359.78,365.7,6022149
2015-02-26,365.1,368.8,363.4,368.2,3041139
2015-02-27,367.5,371.1,361.6,365.2,5483800
2015-03-02,364.0,368.0,361.6,363.3,3936630
2015-03-03,364.3,367.3,355.16,355.2,3060812
2015-03-04,354.9,359.1,350.7,355.4,4470049
2015-03-05,356.8,367.2,355.63,363.9,4632878
2015-03-06,361.9,363.5,358.9,361.4,3926742
2015-03-09,359.1,361.2,356.9,358.8,3562146
2015-03-10,358.2,361.7,352.0,352.0,4732485
2015-03-11,351.6,359.7,351.55,357.8,5212961
2015-03-12,358.8,362.6,355.6,362.0,6398629
2015-03-13,362.5,369.5,362.5,368.7,5875864
2015-03-16,368.3,375.13,368.2,374.2,4007396
2015-03-17,374.0,375.5,367.1,368.8,4934351
2015-03-18,368.3,372.2,364.4,368.7,5693271
2015-03-19,370.0,375.6,368.2,375.1,5109346
2015-03-20,376.4,376.8,372.8,375.6,4341008
2015-03-23,374.0,374.81,366.3,367.3,3340101
2015-03-24,365.5,373.1,365.1,372.1,6251980
2015-03-25,371.1,375.0,367.5,370.0,5607166
2015-03-26,366.6,368.2,359.3,361.6,8682118
2015-03-27,362.9,368.8,358.9,360.1,6089029
2015-03-30,363.7,368.2,360.9,364.4,2826944
2015-03-31,364.6,365.9,357.7,358.6,5931570
2015-04-01,359.1,362.1,357.2,358.8,3576751
2015-04-02,358.5,361.0,356.3,360.7,2871042
2015-04-07,362.0,365.88,360.2,362.5,2640041
2015-04-08,361.5,361.61,356.4,357.3,3176167
2015-04-09,353.9,365.0,352.0,358.4,3808290
2015-04-10,359.5,363.7,357.0,361.2,3772925
2015-04-13,360.7,361.58,355.6,355.9,2311899
2015-04-14,355.2,358.3,355.0,356.6,3887465
2015-04-15,357.0,365.4,356.3,364.1,4786083
2015-04-16,368.6,375.4,368.5,370.6,6654643
2015-04-17,365.1,370.6,360.1,361.3,6945858
2015-04-20,363.4,367.2,362.88,366.0,3826549
2015-04-21,368.3,373.3,363.4,364.6,5073335
2015-04-22,367.4,370.7,360.4,364.3,5370423
2015-04-23,366.2,368.8,359.5,362.8,5371316
2015-04-24,365.8,368.9,361.9,363.0,3482740
2015-04-27,363.6,369.2,359.9,367.4,3050388
2015-04-28,366.5,368.5,356.14,359.9,4008032
2015-04-29,361.4,362.4,349.6,358.9,5623948
2015-04-30,349.6,351.8,345.71,351.3,6739879
2015-05-01,347.9,351.9,345.3,348.6,1807466
2015-05-05,351.0,357.1,347.4,348.0,5898783
2015-05-06,351.0,355.3,348.0,349.9,7662095
2015-05-07,348.3,349.7,341.0,347.4,6037450
2015-05-08,353.3,358.2,352.8,358.2,4641763
2015-05-11,357.9,359.0,353.6,355.0,3299686
2015-05-12,353.3,356.2,348.4,351.6,5425420
2015-05-13,353.2,356.23,351.9,354.5,4379330
2015-05-14,353.1,358.8,350.5,358.1,2731884
2015-05-15,359.7,361.2,353.3,353.8,4020686
2015-05-18,354.6,360.4,354.28,357.4,3428008
2015-05-19,359.2,366.5,358.9,366.3,3750547
2015-05-20,372.0,374.1,365.8,367.1,5269928
2015-05-21,366.6,368.0,365.7,366.9,4428295
2015-05-22,368.2,371.1,366.3,369.2,3694076
2015-05-26,371.1,372.9,366.4,367.0,4676253
2015-05-27,366.5,371.1,365.8,369.4,4645019
2015-05-28,368.6,369.9,366.7,368.7,3126899
2015-05-29,368.5,372.0,365.7,366.6,5840097
2015-06-01,365.8,370.0,365.2,367.0,3655323
2015-06-02,369.3,370.0,363.6,368.4,3838219
2015-06-03,367.8,374.9,367.29,372.0,3617835
2015-06-04,369.0,371.6,367.2,368.5,3859870
2015-06-05,365.6,368.6,363.7,366.9,3814278
2015-06-08,365.1,365.1,357.6,357.8,4353979
2015-06-09,356.7,363.0,355.9,362.2,5934255
2015-06-10,363.2,369.7,360.3,368.9,6113149
2015-06-11,367.5,373.0,366.72,370.2,4073124
2015-06-12,368.2,370.8,363.1,365.3,3265390
2015-06-15,362.0,362.42,356.0,356.3,2844412
2015-06-16,354.7,356.94,351.5,355.1,3713535
2015-06-17,355.8,356.3,349.7,350.0,4988867
2015-06-18,347.7,349.44,342.7,347.1,4306426
2015-06-19,347.7,353.8,347.7,351.3,4494530
2015-06-22,357.3,359.1,353.9,356.6,3596330
2015-06-23,360.0,360.52,357.0,358.7,4319627
2015-06-24,357.8,358.76,350.5,352.3,3723172
2015-06-25,350.7,351.62,346.8,348.4,4147150
2015-06-26,346.6,349.2,342.9,347.2,3581235
2015-06-29,338.3,340.3,335.07,337.1,4962961
2015-06-30,335.4,338.9,331.7,334.5,4827372
2015-07-01,337.5,342.3,336.4,339.8,5700502
2015-07-02,339.2,340.9,335.5,336.2,2341826
2015-07-03,334.8,336.4,332.8,332.8,2156820
2015-07-06,329.7,332.2,324.5,325.7,6851426
2015-07-07,326.9,327.17,316.5,317.1,4655651
2015-07-08,316.3,319.4,310.9,316.6,4693742
2015-07-09,318.2,323.4,317.62,319.6,4336704
2015-07-10,324.6,324.7,319.8,322.8,3781516
2015-07-13,327.1,327.78,323.2,324.5,4397150
2015-07-14,324.5,324.5,316.0,318.5,5048856
2015-07-15,318.9,321.73,309.2,309.6,6347452
2015-07-16,312.1,315.46,309.2,312.4,7157485
2015-07-17,314.7,314.7,310.0,310.3,4351117
2015-07-20,311.9,311.9,306.2,308.5,4983742
2015-07-21,309.9,312.55,307.6,309.1,5309414
2015-07-22,307.5,308.84,301.3,304.1,5070338
2015-07-23,305.8,308.9,300.9,301.3,4243268
2015-07-24,301.0,306.0,297.9,298.2,5329493
2015-07-27,296.8,302.3,293.2,295.0,5003374
2015-07-28,309.7,318.2,304.3,316.6,12345650
2015-07-29,317.2,322.8,314.0,321.6,10993426
2015-07-30,325.0,325.4,314.3,315.9,8621337
2015-07-31,317.0,318.6,314.5,318.5,5407217
2015-08-03,317.2,318.0,313.7,316.3,4636535
2015-08-04,315.9,321.9,315.4,321.7,3938370
2015-08-05,322.4,325.0,318.7,320.0,6318645
2015-08-06,319.4,322.7,318.8,321.5,3548159
2015-08-07,322.8,322.8,319.8,321.0,2997196
2015-08-10,322.5,324.2,317.5,321.3,3101190
2015-08-11,319.6,320.58,309.4,309.4,4424795
2015-08-12,306.0,312.51,299.43,302.6,7398116
2015-08-13,306.0,308.6,302.3,304.9,4950996
2015-08-14,305.7,307.1,300.2,302.3,2736606
2015-08-17,305.3,306.16,295.8,299.9,3593532
2015-08-18,299.5,300.0,294.9,294.9,2716565
2015-08-19,294.0,294.0,288.4,289.4,4826502
2015-08-20,287.0,293.6,285.7,290.0,5818791
2015-08-21,285.0,293.1,283.1,285.9,6804100
2015-08-24,277.6,283.0,272.3,277.8,10018772
2015-08-25,281.8,289.9,279.8,286.0,7273457
2015-08-26,283.1,285.7,278.82,280.4,4649635
2015-08-27,286.9,293.1,286.0,292.1,5633944
2015-08-28,292.2,293.3,288.24,291.7,3160131
2015-09-01,285.0,286.03,276.2,280.2,4966890
2015-09-02,280.4,284.6,279.0,281.6,3341588
2015-09-03,283.9,284.19,279.8,281.3,5332161
2015-09-04,278.3,278.39,269.4,270.2,6695492
2015-09-07,272.8,273.1,268.24,269.5,2432207
2015-09-08,270.8,277.0,270.8,276.7,5079093
2015-09-09,283.5,286.2,280.3,280.9,5237975
2015-09-10,279.3,283.1,277.5,279.8,4494685
2015-09-11,281.2,281.2,276.3,277.7,3441288
2015-09-14,278.0,279.7,272.0,274.6,3241745
2015-09-15,274.8,279.6,271.3,278.8,3943850
2015-09-16,280.5,283.3,280.4,281.7,4239557
2015-09-17,285.1,286.5,282.07,285.0,5269104
2015-09-18,283.6,283.6,272.8,273.8,9670924
2015-09-21,273.8,276.3,269.3,272.3,6894600
2015-09-22,272.6,272.6,254.0,254.6,11480319
