Date,Open,High,Low,Close,Volume
2015-02-23,1071.0,1080.0,1060.25,1080.0,515465
2015-02-24,1081.0,1108.0,1081.0,1102.79,775822
2015-02-25,1108.0,1108.0,1086.12,1102.0,562065
2015-02-26,1098.0,1121.0,1096.0,1118.0,520965
2015-02-27,1116.0,1132.0,1111.0,1130.0,704730
2015-03-02,1130.0,1163.0,1129.5,1160.0,862753
2015-03-03,1160.0,1193.0,1157.45,1171.0,1491072
2015-03-04,1168.0,1173.0,1125.0,1138.0,1364603
2015-03-05,1137.0,1153.0,1137.0,1151.0,666390
2015-03-06,1148.0,1178.0,1147.0,1170.0,697920
2015-03-09,1163.0,1169.0,1156.37,1160.0,486063
2015-03-10,1154.0,1165.0,1115.0,1115.0,807386
2015-03-11,1115.0,1129.0,1097.0,1116.0,724616
2015-03-12,1111.0,1124.0,1098.56,1117.0,644055
2015-03-13,1116.0,1125.0,1114.0,1120.0,354906
2015-03-16,1122.0,1152.0,1116.81,1149.0,517175
2015-03-17,1147.0,1180.0,1147.0,1163.73,722519
2015-03-18,1169.0,1247.0,1168.9,1206.0,1657991
2015-03-19,1203.0,1217.0,1183.0,1189.0,834402
2015-03-20,1195.0,1196.0,1184.0,1195.0,778008
2015-03-23,1193.0,1217.0,1185.0,1214.0,466847
2015-03-24,1214.0,1225.0,1208.76,1209.0,417020
2015-03-25,1210.0,1218.0,1199.0,1207.0,515534
2015-03-26,1199.0,1199.0,1151.0,1166.0,637342
2015-03-27,1170.0,1176.0,1154.0,1155.0,632896
2015-03-30,1168.0,1169.75,1154.0,1161.0,528326
2015-03-31,1157.0,1165.0,1136.0,1152.0,858721
2015-04-01,1153.0,1166.0,1147.75,1162.0,663100
2015-04-02,1147.0,1165.0,1140.0,1162.0,538978
2015-04-07,1168.0,1171.0,1155.0,1167.0,560707
2015-04-08,1169.0,1188.0,1166.51,1185.0,818684
2015-04-09,1192.0,1214.0,1188.6,1212.0,677361
2015-04-10,1217.0,1232.0,1210.0,1229.0,505630
2015-04-13,1225.0,1242.0,1214.56,1237.0,572674
2015-04-14,1232.0,1238.0,1169.0,1210.0,1636750
2015-04-15,1213.0,1245.18,1208.1,1240.55,937260
2015-04-16,1248.0,1248.0,1222.0,1237.0,662587
2015-04-17,1232.0,1239.0,1206.72,1209.0,634998
2015-04-20,1211.0,1223.0,1199.0,1209.0,523226
2015-04-21,1216.0,1239.0,1211.95,1235.0,540468
2015-04-22,1227.0,1230.0,1167.84,1198.0,1206229
2015-04-23,1199.0,1208.0,1189.0,1201.0,524396
2015-04-24,1203.0,1207.0,1177.0,1181.0,488983
2015-04-27,1181.0,1222.0,1167.0,1215.0,748348
2015-04-28,1210.0,1224.25,1208.63,1224.0,1015329
2015-04-29,1231.0,1244.11,1214.54,1231.0,945107
2015-04-30,1230.0,1237.7,1206.0,1230.0,902943
2015-05-01,1223.0,1234.0,1193.0,1199.0,494234
2015-05-05,1208.0,1214.0,1185.0,1188.0,822285
2015-05-06,1182.0,1191.0,1168.0,1174.0,767461
2015-05-07,1169.0,1170.0,1126.0,1155.0,1336777
2015-05-08,1196.0,1224.17,1193.0,1213.0,1155838
2015-05-11,1208.0,1242.15,1208.0,1235.0,830514
2015-05-12,1229.0,1229.38,1183.0,1198.0,1009962
2015-05-13,1198.0,1231.0,1198.0,1221.0,910349
2015-05-14,1221.0,1237.0,1208.0,1235.0,524346
2015-05-15,1231.0,1261.64,1231.0,1249.0,620890
2015-05-18,1253.0,1266.0,1236.0,1265.0,631304
2015-05-19,1270.0,1290.0,1267.0,1280.0,844849
2015-05-20,1260.0,1269.0,1224.78,1241.85,1040984
2015-05-21,1262.0,1282.0,1257.0,1277.0,799186
2015-05-22,1283.0,1287.0,1265.7,1274.0,521923
2015-05-26,1278.0,1278.0,1256.0,1271.0,447860
2015-05-27,1271.0,1298.0,1267.0,1291.0,852611
