Date,Open,High,Low,Close,Volume
2015-02-23,713.0,713.0,707.5,711.0,278871
2015-02-24,712.5,716.0,707.0,714.0,465471
2015-02-25,714.0,719.5,710.0,715.5,278452
2015-02-26,712.5,718.5,709.0,716.5,241815
2015-02-27,715.0,720.5,711.5,712.5,326208
2015-03-02,709.0,719.5,708.5,713.0,442464
2015-03-03,713.0,715.0,694.0,698.0,678556
2015-03-04,703.0,706.5,694.0,706.0,620783
2015-03-05,708.5,713.0,704.5,711.0,261899
2015-03-06,714.0,715.5,704.0,705.5,238446
2015-03-09,702.0,704.5,689.5,690.5,506761
2015-03-10,686.5,692.0,679.0,680.0,447398
2015-03-11,683.0,695.5,679.5,695.0,588135
2015-03-12,698.0,706.0,695.25,706.0,441288
2015-03-13,708.5,715.5,705.38,713.0,413907
2015-03-16,720.0,720.0,712.5,716.5,409808
2015-03-17,713.5,717.0,710.0,716.0,455451
2015-03-18,716.0,728.0,711.6,726.0,524054
2015-03-19,725.5,732.05,722.0,723.5,331776
2015-03-20,723.0,726.5,717.5,723.5,671896
2015-03-23,728.0,728.0,717.0,720.5,361626
2015-03-24,723.0,727.5,718.5,723.5,324142
2015-03-25,726.0,727.5,713.5,715.0,481633
2015-03-26,713.5,713.5,695.5,702.0,448281
2015-03-27,705.0,705.46,698.0,701.0,452645
2015-03-30,701.0,712.0,701.0,705.0,306028
2015-03-31,702.0,716.0,697.5,699.5,316565
2015-04-01,694.5,701.5,693.0,698.5,501073
2015-04-02,702.0,706.5,696.0,703.5,227840
2015-04-07,704.0,714.0,704.0,711.5,234690
2015-04-08,713.5,715.0,706.0,709.5,258634
2015-04-09,713.0,716.5,708.0,716.5,324136
2015-04-10,714.5,727.0,714.5,723.5,308530
2015-04-13,726.0,728.5,719.0,725.5,248398
2015-04-14,724.5,729.13,720.5,722.0,368181
2015-04-15,717.0,730.0,717.0,721.5,299698
2015-04-16,723.5,724.5,715.0,719.0,453450
2015-04-17,723.0,728.5,710.5,719.5,676044
2015-04-20,717.5,725.5,715.0,719.5,376428
2015-04-21,719.0,731.0,717.72,726.0,492645
2015-04-22,724.5,733.5,717.5,726.0,439053
2015-04-23,722.0,728.5,719.18,726.5,418838
2015-04-24,723.5,730.0,718.0,719.0,318064
2015-04-27,720.5,725.38,712.0,721.5,329823
2015-04-28,724.0,731.0,710.5,719.5,644332
2015-04-29,723.5,723.5,710.0,711.0,326591
2015-04-30,710.0,714.5,703.0,712.5,444891
2015-05-01,715.0,715.0,701.24,711.0,117321
2015-05-05,719.5,724.5,711.5,711.5,620492
2015-05-06,712.0,718.0,710.0,714.5,487630
2015-05-07,709.5,723.0,700.5,720.0,455861
2015-05-08,738.0,760.0,732.5,743.0,723239
2015-05-11,747.5,747.5,732.0,733.5,265837
2015-05-12,727.5,732.0,717.5,730.0,414722
2015-05-13,730.0,742.5,729.5,740.0,393177
2015-05-14,744.0,747.5,736.5,743.0,352775
2015-05-15,743.0,751.23,739.0,741.12,493025
2015-05-18,740.0,742.5,736.0,742.0,427598
2015-05-19,744.5,760.0,744.5,755.0,420903
2015-05-20,757.5,765.5,752.5,763.0,603032
2015-05-21,764.0,765.0,754.5,756.0,426290
2015-05-22,753.5,761.0,753.5,757.5,360465
2015-05-26,752.0,759.5,752.0,754.5,211267
2015-05-27,759.5,772.0,758.0,770.0,331468
2015-05-28,769.0,784.0,765.5,773.0,495517
2015-05-29,775.0,775.0,762.0,763.5,517812
2015-06-01,768.0,773.0,765.0,772.0,330418
2015-06-02,776.5,777.5,768.36,772.0,351881
2015-06-03,775.5,785.5,771.0,774.5,555540
2015-06-04,771.5,774.63,768.5,772.5,381686
2015-06-05,771.5,772.0,752.0,757.0,671940
2015-06-08,760.0,760.0,751.5,753.5,358428
2015-06-09,753.0,757.0,746.31,749.5,409643
2015-06-10,749.5,758.0,745.5,757.0,635641
2015-06-11,761.5,771.05,756.44,760.5,443893
2015-06-12,763.0,767.5,757.0,759.5,798471
2015-06-15,754.0,763.5,749.5,753.5,648002
2015-06-16,754.5,762.9,748.5,757.5,527258
