Date,Open,High,Low,Close,Volume
2015-02-23,666.0,672.0,664.87,669.0,2666064
2015-02-24,668.0,674.5,665.5,668.0,2164634
2015-02-25,670.5,670.5,659.5,660.25,2442104
2015-02-26,663.5,673.5,661.0,671.42,1906544
2015-02-27,674.5,678.5,670.0,675.5,2558302
2015-03-02,677.0,687.0,676.5,686.0,2100561
2015-03-03,685.5,695.0,682.5,682.5,2981968
2015-03-04,682.5,685.12,677.0,680.0,2149406
2015-03-05,680.5,691.0,680.5,688.0,1861047
2015-03-06,689.0,689.0,666.5,667.5,2418846
2015-03-09,666.0,666.0,653.0,661.5,2979840
2015-03-10,661.0,669.0,651.5,651.5,2211912
2015-03-11,651.0,660.5,649.0,655.95,2792953
2015-03-12,646.0,653.62,646.0,649.5,2540552
2015-03-13,650.0,656.35,650.0,655.5,1532066
2015-03-16,656.0,664.5,655.52,664.0,1571726
2015-03-17,662.5,668.0,658.5,661.5,1647197
2015-03-18,660.0,677.0,660.0,673.5,1654543
2015-03-19,676.5,687.5,675.5,681.0,2198195
2015-03-20,684.0,686.0,677.0,685.0,3299006
2015-03-23,688.0,690.0,680.0,681.5,1544496
2015-03-24,680.5,691.5,679.5,690.0,1287883
2015-03-25,693.0,693.5,683.0,683.0,1155957
2015-03-26,678.5,680.0,668.0,671.5,1534863
2015-03-27,671.0,692.0,668.0,673.0,1400712
2015-03-30,680.0,680.5,668.0,671.5,1278741
2015-03-31,671.5,675.5,664.5,665.0,2503906
2015-04-01,665.5,670.0,664.5,668.0,2317801
2015-04-02,665.0,668.0,663.0,667.5,1851541
2015-04-07,670.0,680.5,669.0,674.5,1333338
2015-04-08,671.5,681.0,670.0,680.0,1225804
2015-04-09,681.0,685.5,680.0,684.5,861279
2015-04-10,684.0,694.0,683.5,693.5,1392644
2015-04-13,694.0,695.0,683.5,683.5,1651932
2015-04-14,680.5,689.12,680.5,687.5,1372359
2015-04-15,688.0,691.0,684.0,687.0,1051442
2015-04-16,690.0,690.0,675.0,677.0,1052522
2015-04-17,674.0,683.0,672.5,673.0,2073294
2015-04-20,674.0,679.5,674.0,676.5,1233749
2015-04-21,681.0,681.14,674.0,679.0,999494
2015-04-22,682.0,685.5,669.5,678.5,1299371
2015-04-23,680.0,680.0,669.5,675.5,1325282
2015-04-24,675.0,677.0,670.93,674.5,2593632
2015-04-27,674.5,677.5,665.5,675.0,1224922
2015-04-28,674.0,678.0,664.5,670.5,2474700
2015-04-29,672.5,678.5,666.5,668.0,2426057
2015-04-30,668.0,671.0,660.5,669.0,2683203
2015-05-01,672.5,672.5,660.5,665.0,939389
2015-05-05,674.5,675.5,657.0,658.0,1731931
2015-05-06,655.0,657.0,649.0,652.0,2254988
2015-05-07,649.5,650.0,640.15,648.5,2733076
2015-05-08,670.5,686.5,663.0,674.0,2411496
2015-05-11,671.5,677.5,670.0,670.5,1470815
2015-05-12,667.0,670.0,656.5,663.5,2019122
2015-05-13,663.0,675.5,663.0,671.0,1675872
2015-05-14,670.0,681.0,661.0,679.0,1512419
2015-05-15,682.5,690.5,681.04,690.5,1725043
2015-05-18,693.0,696.0,686.0,688.5,1427761
2015-05-19,691.0,704.0,690.5,703.5,1659114
2015-05-20,700.0,701.21,688.5,690.0,1571855
2015-05-21,690.0,690.0,676.5,678.5,2017399
2015-05-22,678.0,681.32,672.5,678.0,1534196
2015-05-26,681.0,681.0,667.5,670.0,1558896
2015-05-27,672.5,681.0,671.5,676.0,1886227
2015-05-28,676.0,680.5,671.5,676.5,1232966
2015-05-29,674.5,679.5,665.5,668.5,1855764
2015-06-01,668.0,677.5,667.0,673.0,1419514
2015-06-02,674.0,675.0,658.5,658.5,1493508
2015-06-03,659.0,661.5,650.0,650.0,2366305
2015-06-04,649.0,656.5,642.5,650.5,2228262
2015-06-05,649.5,649.7,640.0,640.0,1950506
2015-06-08,638.5,643.0,636.5,639.5,1509781
2015-06-09,641.0,649.5,638.0,642.5,1595580
2015-06-10,639.5,650.0,638.0,650.0,1808632
2015-06-11,646.0,664.0,646.0,660.5,2030091
2015-06-12,657.0,661.0,649.5,652.5,1444758
2015-06-15,649.5,654.5,646.0,648.5,1257526
2015-06-16,647.0,648.0,640.0,644.5,1476682
2015-06-17,645.0,648.5,629.5,630.5,1632254
2015-06-18,629.0,637.0,627.0,635.5,2271721
2015-06-19,639.0,640.0,630.0,630.0,2787188
2015-06-22,637.5,643.5,634.5,641.0,2079875
2015-06-23,643.5,647.5,637.5,643.5,1401193
2015-06-24,645.0,645.0,632.5,635.0,2160723
2015-06-25,634.0,639.5,631.5,633.0,2949917
2015-06-26,634.0,634.5,628.5,630.0,2331867
2015-06-29,613.0,628.0,613.0,620.0,2405025
2015-06-30,616.5,621.5,614.0,615.5,2785922
2015-07-01,617.0,628.5,615.0,626.5,1620820
2015-07-02,629.5,633.5,625.5,626.5,1526813
2015-07-03,624.5,636.0,624.5,630.5,1705437
2015-07-06,627.0,633.0,622.5,624.0,1561962
2015-07-07,627.0,635.35,623.5,624.0,1742793
2015-07-08,625.0,630.0,621.0,629.5,2175553
2015-07-09,629.0,640.0,627.5,640.0,1302356
2015-07-10,644.0,648.0,639.5,647.0,1441291
2015-07-13,652.0,663.0,648.0,662.0,1485697
2015-07-14,659.5,661.5,651.5,656.0,1261175
2015-07-15,655.5,667.0,655.0,659.0,1492412
2015-07-16,662.5,668.0,661.5,664.5,1257797
2015-07-17,665.0,667.0,661.0,663.5,1445109
2015-07-20,661.0,667.0,659.5,665.0,1126569
2015-07-21,665.0,666.0,655.5,657.0,1107084
2015-07-22,654.5,658.5,649.0,650.0,1296587
2015-07-23,651.5,652.0,641.0,643.0,1568658
2015-07-24,641.0,648.5,640.5,641.5,1814447
2015-07-27,638.5,645.0,635.0,640.0,1895662
2015-07-28,642.0,654.5,640.0,652.5,1906427
2015-07-29,651.0,663.0,651.0,660.5,2480892
2015-07-30,660.0,666.0,652.5,655.0,1684740
2015-07-31,655.5,663.0,654.4,658.0,2699386
2015-08-03,655.5,664.0,655.5,662.0,1260923
2015-08-04,662.0,671.0,657.5,670.0,1312935
2015-08-05,670.5,675.05,668.0,675.0,1472190
2015-08-06,672.5,682.5,671.7,680.0,1343939
2015-08-07,680.0,686.5,679.0,683.0,1371775
2015-08-10,686.5,686.6,678.5,685.0,1196072
2015-08-11,684.0,687.82,676.5,678.5,1042381
2015-08-12,674.0,680.72,667.5,672.0,1755342
2015-08-13,677.5,685.0,676.0,681.5,1701681
2015-08-14,679.5,689.5,679.0,684.5,1361402
2015-08-17,685.0,685.0,679.5,683.0,1047854
2015-08-18,681.5,687.5,680.5,685.5,1187977
2015-08-19,682.0,684.5,669.0,669.0,1845028
2015-08-20,658.5,661.0,653.0,656.5,1789385
2015-08-21,650.5,659.5,644.0,644.0,2453457
2015-08-24,626.0,630.62,611.5,616.0,5996193
2015-08-25,625.0,630.0,614.5,628.0,3148053
2015-08-26,621.0,626.0,615.5,615.5,2861424
2015-08-27,624.5,631.0,620.0,629.5,2328096
2015-08-28,630.0,630.0,622.0,628.0,2503060
2015-09-01,618.0,621.0,609.0,610.5,3771607
2015-09-02,614.0,626.5,614.0,621.5,2354722
2015-09-03,627.5,631.0,621.5,624.0,1242939
2015-09-04,617.0,617.0,612.5,612.5,2169951
2015-09-07,615.5,617.0,610.5,611.5,1150848
2015-09-08,615.0,622.0,615.0,619.5,1045261
2015-09-09,629.0,631.79,623.0,625.0,951687
2015-09-10,619.5,625.0,618.5,622.0,1134190
2015-09-11,622.5,622.5,611.0,612.0,1322272
2015-09-14,613.0,617.5,610.0,610.5,3203919
2015-09-15,609.0,611.0,604.5,609.0,1692352
2015-09-16,613.0,615.5,610.0,612.0,1649357
2015-09-17,616.0,616.0,608.5,611.0,2332372
2015-09-18,610.5,615.5,605.5,608.0,3274873
2015-09-21,605.0,612.0,604.0,608.0,1988719
2015-09-22,608.0,610.5,598.95,599.0,3450103
2015-09-23,596.5,613.5,595.5,613.0,2587317
2015-09-24,613.0,620.0,611.5,614.0,1858031
2015-09-25,624.0,628.0,620.5,625.5,1732015
2015-09-28,624.0,627.0,613.5,613.5,1079010
2015-09-29,605.5,618.5,605.5,612.5,2002094
2015-09-30,623.0,627.0,620.5,623.5,2030565
2015-10-01,630.0,633.5,620.0,620.0,2300235
2015-10-02,625.0,628.5,616.0,623.5,1642434
2015-10-05,634.0,638.5,633.0,635.5,1774917
2015-10-06,638.0,638.0,631.0,631.0,1388234
2015-10-07,635.0,638.0,618.86,620.0,1706527
2015-10-08,619.5,627.5,618.0,623.5,1835694
2015-10-09,625.5,628.5,616.5,617.0,1869122
2015-10-12,618.0,620.0,613.5,614.5,1464454
2015-10-13,614.5,617.0,612.0,616.0,1689587
2015-10-14,614.0,614.5,610.0,612.5,1368179
2015-10-15,615.5,617.0,610.0,611.5,2150514
2015-10-16,614.0,615.5,611.0,614.5,1459217
2015-10-19,611.0,624.0,611.0,623.5,1166995
2015-10-20,626.0,631.5,624.5,629.0,1371065
2015-10-21,629.5,633.5,627.5,630.0,1203494
2015-10-22,631.0,642.5,629.0,642.0,1410311
2015-10-23,644.0,647.0,641.0,645.0,1239201
2015-10-26,644.5,648.5,641.0,647.0,1057701
2015-10-27,647.0,649.5,641.0,641.0,1522256
2015-10-28,642.0,648.5,641.5,647.5,1134416
2015-10-29,649.5,650.5,642.0,644.0,830148
2015-10-30,646.0,646.0,633.0,636.5,1997953
2015-11-02,634.0,635.5,628.0,631.0,1727049
2015-11-03,632.0,632.0,619.0,621.5,1674809
2015-11-04,621.0,622.0,608.5,609.0,2318448
2015-11-05,610.5,624.5,609.33,620.5,1975541
2015-11-06,624.0,624.0,615.5,615.5,1628553
2015-11-09,615.5,617.0,594.46,594.5,2627382
2015-11-10,595.0,597.0,583.5,588.0,2426444
2015-11-11,588.0,594.0,586.5,588.0,1346720
2015-11-12,589.0,591.5,576.0,576.0,1478042
2015-11-13,572.0,582.0,569.5,580.0,1917691
2015-11-16,575.5,584.5,570.5,584.5,2511655
2015-11-17,590.5,601.0,588.5,601.0,1829159
2015-11-18,598.5,599.35,594.0,597.0,1606093
2015-11-19,600.5,612.5,600.0,612.0,1864283
2015-11-20,614.5,618.5,610.5,616.5,1590728
2015-11-23,612.5,615.5,605.5,605.5,1368426
2015-11-24,606.5,606.5,596.5,598.0,2137184
2015-11-25,600.5,608.0,600.0,607.0,1696029
