Date,Open,High,Low,Close,Volume
2015-02-23,557.0,568.0,554.5,562.0,6620173
2015-02-24,564.0,568.0,560.5,563.5,4494805
2015-02-25,564.5,565.78,558.5,560.0,3056152
2015-02-26,557.0,561.0,551.0,559.5,4460781
2015-02-27,580.0,595.0,572.5,580.0,7403970
2015-03-02,568.5,585.5,567.15,574.0,4959881
2015-03-03,576.0,578.0,556.0,556.0,4595788
2015-03-04,556.0,571.11,555.0,569.5,5420100
2015-03-05,570.0,572.0,560.0,562.0,2945479
2015-03-06,560.5,564.62,547.5,550.0,3866879
2015-03-09,547.0,552.7,542.45,551.5,5851787
2015-03-10,550.0,556.0,541.5,545.5,5950702
2015-03-11,547.0,563.83,545.5,562.0,4788961
2015-03-12,564.0,573.85,556.89,570.0,5254972
2015-03-13,570.0,577.5,567.66,575.5,4437734
2015-03-16,576.0,583.5,574.72,580.0,3539133
2015-03-17,578.0,581.82,567.18,574.5,4704770
2015-03-18,573.0,578.58,573.0,576.0,4292832
2015-03-19,573.5,585.69,573.0,581.0,4452130
2015-03-20,579.5,593.5,579.5,593.5,17868433
2015-03-23,593.5,595.18,584.42,592.0,5531239
2015-03-24,589.0,617.43,589.0,613.5,9442088
2015-03-25,611.5,630.0,605.5,607.5,8480718
2015-03-26,599.0,599.0,426.29,587.0,11348918
2015-03-27,596.0,600.49,585.08,594.0,5826914
2015-03-30,600.5,605.05,592.0,603.0,4503169
2015-03-31,602.5,611.61,596.2,603.0,5663932
2015-04-01,599.5,608.75,596.0,600.0,6729626
2015-04-02,597.0,608.1,587.0,598.5,4658930
2015-04-07,590.0,605.0,574.5,591.5,7063801
2015-04-08,588.5,597.88,583.0,591.0,8538264
2015-04-09,596.5,603.5,594.84,601.5,4307831
2015-04-10,601.5,618.0,600.0,617.0,4956167
2015-04-13,615.0,617.5,608.5,610.0,5530280
2015-04-14,607.0,610.38,593.12,595.5,4901936
2015-04-15,598.0,600.0,582.82,583.5,5276563
2015-04-16,582.0,583.5,565.69,572.0,11869196
2015-04-17,573.0,574.5,557.0,564.5,6476462
2015-04-20,568.0,574.02,566.02,571.5,3892934
2015-04-21,575.0,589.24,572.5,586.5,5527103
2015-04-22,589.0,596.0,575.9,582.0,4955165
2015-04-23,581.0,586.0,572.97,578.0,4383634
2015-04-24,576.0,581.5,567.3,572.0,5158187
2015-04-27,573.0,585.56,564.68,584.5,7004628
2015-04-28,588.0,589.0,564.5,572.5,6039060
2015-04-29,573.0,580.5,555.26,559.0,7609641
2015-04-30,555.0,559.0,533.37,545.0,10939077
