Date,Open,High,Low,Close,Volume
2015-02-23,3331.0,3367.0,3324.0,3358.0,381097
2015-02-24,3360.3,3368.7,3323.6,3359.0,470061
2015-02-25,3366.0,3402.0,3346.0,3351.0,292908
2015-02-26,3362.0,3406.0,3347.0,3397.0,486743
2015-02-27,3485.0,3527.0,3441.0,3456.0,847296
2015-03-02,3472.88,3561.89,3455.66,3518.69,719334
2015-03-03,3527.0,3555.0,3487.0,3498.0,791203
2015-03-04,3511.0,3520.0,3478.0,3496.0,567109
2015-03-05,3510.0,3521.0,3479.0,3504.0,635200
2015-03-06,3508.0,3541.0,3483.0,3483.0,476161
2015-03-09,3468.0,3504.0,3439.0,3479.0,416752
2015-03-10,3470.0,3511.0,3426.0,3426.0,499982
2015-03-11,3426.0,3434.0,3384.0,3421.0,607523
2015-03-12,3428.0,3486.0,3409.0,3474.0,585646
2015-03-13,3493.0,3506.0,3435.0,3455.0,476362
2015-03-16,3470.0,3519.0,3456.0,3510.0,345523
2015-03-17,3508.0,3516.0,3472.0,3508.0,339038
2015-03-18,3515.0,3546.0,3482.0,3528.0,400983
2015-03-19,3524.0,3559.0,3504.0,3530.0,403996
2015-03-20,3549.0,3554.0,3527.0,3532.0,474375
2015-03-23,3538.0,3538.0,3452.0,3483.0,542786
2015-03-24,3480.73,3526.55,3466.33,3476.8,486189
2015-03-25,3462.4,3467.01,3394.33,3396.95,422642
2015-03-26,3377.0,3398.0,3325.0,3363.0,675721
2015-03-27,3389.0,3478.0,3377.0,3456.0,977388
2015-03-30,3489.9,3523.9,3466.6,3495.1,540033
2015-03-31,3500.0,3530.0,3413.0,3448.0,655755
2015-04-01,3428.37,3497.58,3412.66,3458.48,570689
2015-04-02,3431.0,3466.1,3402.2,3437.5,366076
2015-04-07,3443.0,3527.0,3438.0,3512.0,583180
2015-04-08,3524.0,3550.0,3487.0,3500.0,474653
2015-04-09,3566.0,3602.0,3551.0,3583.0,609106
2015-04-10,3599.85,3626.03,3579.62,3623.41,490078
2015-04-13,3606.0,3644.0,3589.0,3621.0,368819
2015-04-14,3604.0,3682.0,3604.0,3640.0,604410
2015-04-15,3644.0,3660.0,3606.0,3606.0,460888
