Date,Open,High,Low,Close,Volume
2015-02-23,483.5,490.0,481.6,490.0,950240
2015-02-24,489.8,493.2,488.2,492.4,895128
2015-02-25,492.1,493.3,488.6,491.5,723160
2015-02-26,491.0,494.4,490.3,493.0,876433
2015-02-27,493.9,496.7,491.7,493.6,1541811
2015-03-02,492.2,498.7,492.2,497.0,1771690
2015-03-03,497.9,500.0,491.0,491.0,1268395
2015-03-04,492.7,492.7,483.1,488.8,1203455
2015-03-05,489.1,500.5,489.1,499.0,937171
2015-03-06,498.8,500.5,493.2,497.0,1218245
2015-03-09,494.3,494.7,487.7,488.7,1040588
2015-03-10,489.3,496.3,478.3,478.3,1423579
2015-03-11,478.2,481.3,475.9,480.0,1122707
2015-03-12,482.4,485.3,479.1,480.9,1080567
2015-03-13,480.7,483.26,478.4,481.0,1345360
2015-03-16,482.0,486.7,481.3,484.8,1184738
2015-03-17,484.1,489.9,483.6,488.0,1081582
2015-03-18,487.2,492.2,486.8,491.8,1574073
2015-03-19,494.4,501.0,492.66,495.7,1779390
2015-03-20,497.1,498.7,495.1,496.7,2454237
2015-03-23,497.6,507.0,495.54,505.0,999726
2015-03-24,505.0,510.0,501.5,501.5,1405719
2015-03-25,502.0,505.0,498.8,499.8,909077
2015-03-26,496.4,496.7,484.71,488.6,2554534
2015-03-27,490.0,491.6,484.66,485.4,1918421
2015-03-30,490.9,492.3,485.6,490.3,1474770
2015-03-31,491.4,498.2,479.3,482.4,2225394
2015-04-01,482.1,483.4,477.0,477.4,1599761
2015-04-02,478.3,484.2,473.2,484.2,903956
2015-04-07,485.9,489.6,485.65,488.7,1212546
2015-04-08,487.0,492.9,485.4,491.0,1441077
2015-04-09,491.1,497.8,491.1,496.8,1419305
2015-04-10,498.2,511.0,497.1,509.5,1317798
2015-04-13,509.0,513.5,504.5,511.5,1322728
2015-04-14,509.0,514.0,502.5,504.5,1025601
2015-04-15,504.5,508.0,503.5,507.0,1114834
2015-04-16,510.0,511.5,500.5,505.5,1174145
2015-04-17,507.0,509.0,494.6,495.1,1373457
2015-04-20,497.2,500.64,490.8,495.5,1358071
2015-04-21,498.8,505.5,498.3,502.5,1255567
2015-04-22,503.0,508.5,500.5,504.0,1959425
2015-04-23,506.0,506.5,502.0,503.5,1000316
2015-04-24,503.5,508.5,501.5,508.5,1127490
2015-04-27,508.5,512.5,501.36,511.0,1098050
2015-04-28,508.5,514.0,506.0,512.0,1583030
2015-04-29,512.0,514.5,501.0,501.0,1617344
2015-04-30,500.0,506.5,495.9,506.5,2497383
2015-05-01,501.0,501.5,492.0,497.9,516604
2015-05-05,504.0,508.5,492.9,492.9,1937589
2015-05-06,490.1,492.5,483.9,485.3,1723868
2015-05-07,483.9,490.2,474.7,489.3,1696404
2015-05-08,498.0,507.5,498.0,502.5,1519813
2015-05-11,504.0,515.5,502.5,515.5,1579513
2015-05-12,516.0,518.0,499.5,506.0,1754326
2015-05-13,507.5,515.0,507.0,512.0,1381988
2015-05-14,505.0,532.5,505.0,527.5,2141903
2015-05-15,530.0,537.5,529.0,535.58,1814529
2015-05-18,535.0,540.0,531.0,539.0,2023324
2015-05-19,539.0,550.5,538.1,548.0,1668374
2015-05-20,547.0,555.5,546.9,555.5,1571443
2015-05-21,554.0,561.5,553.5,560.0,1538551
2015-05-22,559.5,561.0,554.5,559.5,856656
2015-05-26,558.0,559.0,548.5,550.0,1637905
2015-05-27,550.0,556.0,547.5,554.5,1674980
2015-05-28,553.5,564.5,553.5,564.5,1600701
2015-05-29,565.5,571.5,559.0,563.0,3192760
2015-06-01,563.5,567.14,558.5,560.5,1260815
2015-06-02,565.0,565.1,554.2,561.5,1292225
2015-06-03,561.0,571.0,560.0,569.5,1226213
2015-06-04,567.0,570.0,561.5,563.5,1668259
2015-06-05,563.0,563.0,553.0,554.5,1157967
2015-06-08,555.5,555.62,548.5,549.5,1416317
2015-06-09,548.0,549.0,539.74,546.0,1022030
2015-06-10,545.5,553.5,539.5,552.0,1464095
2015-06-11,551.0,554.8,549.5,551.5,1895014
2015-06-12,547.5,553.3,539.5,542.5,1535507
2015-06-15,541.0,543.0,533.5,533.5,1108976
2015-06-16,531.0,539.79,526.5,539.0,1599841
2015-06-17,541.0,545.0,533.5,533.5,1750568
2015-06-18,520.0,520.0,510.5,517.0,1523602
2015-06-19,518.5,539.0,517.5,526.5,2236150
2015-06-22,534.5,540.65,533.0,540.0,1135620
2015-06-23,544.5,548.65,540.0,540.5,973449
2015-06-24,540.0,543.0,538.25,539.5,1096690
2015-06-25,538.5,544.0,536.5,541.5,1552753
2015-06-26,540.0,542.0,533.5,535.0,1052871
2015-06-29,522.5,526.2,519.0,519.5,1648764
2015-06-30,516.5,522.0,512.5,516.5,2199113
2015-07-01,522.5,527.0,519.5,522.5,1529055
2015-07-02,522.5,523.5,517.0,520.0,924245
2015-07-03,519.0,525.5,518.5,522.5,1395575
2015-07-06,517.5,519.98,511.5,512.5,1219180
2015-07-07,513.5,519.5,508.32,509.5,1857265
2015-07-08,508.5,514.64,506.5,510.5,1487936
2015-07-09,511.5,525.0,511.5,523.5,1351362
2015-07-10,528.0,539.29,525.5,538.0,1276548
2015-07-13,543.5,547.32,542.0,546.5,1469478
2015-07-14,548.0,552.0,543.5,550.5,1355798
2015-07-15,551.0,555.0,548.5,553.5,867332
2015-07-16,555.0,562.5,554.5,558.5,791297
2015-07-17,560.0,560.0,557.25,559.0,871430
2015-07-20,553.0,563.5,552.54,563.5,860666
2015-07-21,563.0,565.5,557.86,560.0,865854
2015-07-22,555.0,560.0,554.5,558.5,1515093
2015-07-23,563.5,563.5,557.0,562.0,1176528
2015-07-24,562.0,567.0,558.89,559.0,1136544
2015-07-27,557.0,559.0,540.5,540.5,1654660
2015-07-28,542.5,548.0,539.2,545.5,1384615
2015-07-29,547.5,551.0,543.5,546.0,1437757
2015-07-30,547.5,551.0,539.5,545.0,1357981
2015-07-31,547.5,554.0,545.0,553.5,2256773
2015-08-03,550.0,554.0,546.5,549.5,1094987
2015-08-04,545.0,546.5,539.0,544.5,1466705
2015-08-05,542.5,545.36,540.0,543.0,1289495
2015-08-06,540.0,547.5,540.0,543.0,1168159
2015-08-07,544.0,544.0,532.0,534.5,1298835
2015-08-10,533.0,541.31,528.5,538.0,1498720
2015-08-11,537.5,539.5,535.0,537.0,1215845
2015-08-12,534.0,534.0,513.0,517.5,1293942
2015-08-13,521.5,532.5,521.5,528.5,1304447
2015-08-14,529.0,535.0,526.0,531.5,841163
2015-08-17,534.0,536.68,525.0,527.5,739324
2015-08-18,527.5,531.0,523.5,526.5,734733
2015-08-19,524.5,525.5,510.5,510.5,1138272
2015-08-20,507.0,510.65,501.5,502.0,1241902
2015-08-21,496.0,502.0,487.2,487.2,1848684
2015-08-24,473.5,477.4,455.0,470.9,3985190
2015-08-25,477.2,494.8,474.3,491.4,2458126
2015-08-26,486.0,491.2,476.4,479.4,2088784
2015-08-27,490.7,498.1,485.8,496.0,1758982
2015-08-28,495.5,496.3,486.7,491.8,1447876
2015-09-01,485.9,488.5,458.1,459.2,2801997
2015-09-02,459.3,478.4,459.3,472.7,2814556
2015-09-03,480.8,489.8,477.24,482.6,2560806
2015-09-04,478.4,479.0,470.3,472.3,1554797
2015-09-07,476.0,478.8,472.1,473.3,770835
2015-09-08,475.1,482.8,475.1,481.2,1992126
2015-09-09,491.6,496.9,484.0,485.8,1663368
2015-09-10,480.0,482.9,476.1,479.0,1336462
2015-09-11,478.9,480.1,474.1,474.8,1036289
2015-09-14,477.0,479.9,468.9,469.5,1166908
2015-09-15,471.3,476.5,465.7,476.4,1890757
2015-09-16,479.4,486.0,476.5,478.7,1062190
2015-09-17,479.8,480.22,473.3,474.4,1491230
2015-09-18,472.4,474.4,460.0,466.8,3334378
2015-09-21,464.1,481.3,464.1,471.3,1800790
2015-09-22,470.3,472.4,459.0,462.3,2057253
2015-09-23,462.0,477.5,460.0,473.9,1721216
2015-09-24,477.6,480.7,466.9,469.0,1844230
2015-09-25,478.3,483.4,477.2,482.5,1942182
2015-09-28,480.0,482.4,470.0,471.2,1207895
2015-09-29,466.0,469.42,456.1,457.0,2076364
2015-09-30,465.3,466.3,461.5,466.3,1839815
2015-10-01,472.2,475.0,464.6,467.4,1339418
2015-10-02,470.7,476.4,464.9,471.7,1659647
2015-10-05,480.0,487.7,478.1,486.8,1758464
2015-10-06,488.8,495.0,486.6,492.6,1429892
2015-10-07,493.2,498.1,487.0,488.7,1367673
2015-10-08,487.0,489.2,481.5,482.5,1070287
2015-10-09,486.3,492.0,478.9,479.8,1180223
2015-10-12,480.3,484.24,473.7,475.4,1146492
2015-10-13,474.1,476.0,463.7,468.0,1810553
2015-10-14,466.0,468.5,460.5,460.5,1162673
2015-10-15,463.0,469.6,459.6,468.0,1081390
2015-10-16,471.7,478.7,470.3,477.2,1315112
2015-10-19,477.6,481.4,473.88,479.9,715139
2015-10-20,479.3,487.1,478.1,486.5,1502556
2015-10-21,487.3,489.2,480.14,485.5,896848
2015-10-22,483.7,494.5,482.7,494.5,1110498
2015-10-23,496.2,505.0,469.4,503.5,1021371
2015-10-26,503.0,504.0,499.6,499.6,680068
2015-10-27,497.3,505.0,496.5,498.2,895458
2015-10-28,500.0,505.0,497.6,504.5,860836
2015-10-29,504.0,506.5,500.5,502.0,1010106
