Date,Open,High,Low,Close,Volume
2015-02-23,541.5,543.0,535.0,536.5,515661
2015-02-24,539.0,540.0,534.75,540.0,608746
2015-02-25,536.0,543.5,536.0,543.0,644490
2015-02-26,551.5,562.5,546.0,557.0,1776221
2015-02-27,558.5,560.0,546.5,553.0,1089130
2015-03-02,551.5,557.5,550.0,557.0,809396
2015-03-03,554.0,558.0,552.0,552.0,854114
2015-03-04,556.0,556.0,546.95,556.0,727010
2015-03-05,559.5,562.0,552.5,562.0,587190
2015-03-06,560.0,564.5,554.5,564.0,866638
2015-03-09,564.5,564.5,557.0,559.0,330337
2015-03-10,561.0,563.0,554.0,555.31,898487
2015-03-11,555.5,562.5,552.0,553.66,894244
2015-03-12,563.0,563.0,556.0,560.5,737960
2015-03-13,560.5,569.0,559.0,563.0,717915
2015-03-16,567.0,583.0,567.0,578.95,1420255
2015-03-17,578.5,579.0,563.0,570.0,904465
2015-03-18,570.0,583.0,569.5,582.5,1198922
2015-03-19,583.0,585.5,576.0,580.5,781131
2015-03-20,583.5,585.0,576.0,578.0,1278458
2015-03-23,578.5,579.5,570.0,578.5,850099
2015-03-24,574.5,583.5,574.5,583.0,1156870
2015-03-25,583.5,585.64,570.5,574.0,934849
2015-03-26,572.5,579.5,561.0,563.5,1579784
2015-03-27,563.5,567.0,560.0,564.5,596666
2015-03-30,565.5,573.0,556.0,560.5,1261061
2015-03-31,563.0,574.0,554.93,564.5,2110381
2015-04-01,564.5,576.5,558.5,571.5,2327729
2015-04-02,570.5,589.0,565.25,588.5,1980806
2015-04-07,592.5,592.5,584.5,587.5,1042075
2015-04-08,593.0,593.0,584.0,590.0,746843
2015-04-09,592.0,601.0,590.5,599.0,903598
2015-04-10,603.0,605.0,596.5,600.5,1109261
2015-04-13,598.5,601.0,587.0,595.5,2138278
2015-04-14,595.5,599.0,589.0,594.0,1055626
2015-04-15,597.5,597.5,589.0,592.0,741686
2015-04-16,592.0,592.0,579.5,581.5,945361
2015-04-17,582.0,586.0,575.0,577.0,725123
2015-04-20,578.0,581.0,570.5,574.5,1041521
2015-04-21,574.5,593.0,574.5,589.5,1673607
2015-04-22,594.0,594.0,576.5,577.0,1249611
2015-04-23,576.5,580.0,564.5,575.0,1080587
2015-04-24,578.0,578.0,570.0,572.0,1003435
2015-04-27,574.5,578.5,566.0,576.5,620603
2015-04-28,574.5,575.0,566.0,571.0,894419
2015-04-29,569.0,576.0,555.3,555.3,1231200
2015-04-30,557.5,558.5,539.0,557.0,1633129
2015-05-01,560.5,563.0,552.5,556.0,515020
2015-05-05,561.5,563.5,548.5,548.5,1246703
2015-05-06,547.5,550.5,542.5,545.0,1247914
2015-05-07,545.0,551.5,537.0,550.0,1184936
2015-05-08,562.5,590.5,560.86,564.5,1419493
2015-05-11,565.0,573.0,560.5,572.0,1301772
2015-05-12,567.5,570.5,556.0,557.5,919499
2015-05-13,557.5,566.5,556.0,558.0,673928
2015-05-14,558.0,565.5,551.5,564.5,536188
2015-05-15,564.5,571.5,564.5,567.0,514702
2015-05-18,565.0,568.5,559.0,563.5,667674
2015-05-19,564.5,579.82,564.0,576.5,1405315
2015-05-20,576.5,582.5,569.0,569.5,721248
2015-05-21,568.5,572.0,567.0,569.0,617068
2015-05-22,572.5,582.61,566.0,567.5,354416
2015-05-26,563.5,573.0,563.5,570.5,944059
2015-05-27,569.5,586.57,569.5,580.0,1288960
2015-05-28,579.0,586.5,577.54,582.5,1012811
2015-05-29,582.5,585.5,578.5,581.0,1486440
2015-06-01,582.5,586.0,577.5,579.0,677051
2015-06-02,582.5,583.0,574.5,579.5,986751
2015-06-03,579.0,581.0,577.5,578.0,852568
2015-06-04,571.0,576.5,563.0,566.0,862838
2015-06-05,562.0,562.5,556.0,560.5,517108
2015-06-08,559.5,561.64,554.5,555.5,756299
2015-06-09,555.5,557.5,550.0,557.0,909745
2015-06-10,557.5,557.5,551.5,553.5,1119368
2015-06-11,550.5,556.5,550.0,554.0,708587
2015-06-12,552.5,554.0,547.5,552.0,588574
2015-06-15,547.5,549.5,541.89,542.5,486540
2015-06-16,542.5,551.5,538.0,543.5,589746
2015-06-17,553.0,553.0,544.5,547.5,711582
2015-06-18,546.0,549.5,543.0,545.5,588677
2015-06-19,544.0,550.5,544.0,547.5,1325742
