Date,Open,High,Low,Close,Volume
2015-02-23,3700.0,3701.0,3653.0,3685.0,375180
2015-02-24,3704.0,3704.0,3656.0,3678.0,315607
2015-02-25,3680.0,3685.0,3641.0,3661.0,330948
2015-02-26,3655.0,3660.0,3622.0,3648.0,388680
2015-02-27,3640.0,3661.0,3599.0,3610.0,449930
2015-03-02,3610.0,3634.0,3592.0,3604.0,370220
2015-03-03,3598.0,3618.0,3554.0,3557.0,290173
2015-03-04,3562.0,3594.0,3547.0,3592.0,377129
2015-03-05,3584.0,3604.0,3576.0,3589.0,369881
2015-03-06,3584.0,3603.0,3572.0,3586.0,371286
2015-03-09,3573.53,3574.33,3533.29,3556.59,340175
2015-03-10,3551.0,3572.0,3492.0,3492.0,450571
2015-03-11,3485.65,3493.06,3430.21,3444.35,602933
2015-03-12,3454.0,3500.0,3438.0,3472.0,447464
2015-03-13,3470.0,3484.0,3438.0,3441.0,413211
2015-03-16,3455.0,3529.0,3455.0,3502.0,466022
2015-03-17,3514.2,3525.2,3488.8,3510.0,546428
2015-03-18,3520.0,3540.0,3503.0,3534.0,436393
2015-03-19,3547.0,3587.0,3536.0,3562.0,424971
2015-03-20,3556.0,3595.0,3531.0,3588.0,542671
2015-03-23,3602.0,3608.0,3546.0,3608.0,509971
2015-03-24,3607.4,3629.4,3586.2,3595.8,348288
2015-03-25,3603.18,3654.69,3590.58,3626.47,520973
2015-03-26,3608.0,3644.0,3563.0,3574.0,543210
2015-03-27,3578.82,3598.94,3544.75,3557.65,473825
2015-03-30,3598.0,3647.0,3564.0,3610.0,432858
2015-03-31,3604.24,3621.18,3563.74,3585.18,563660
2015-04-01,3587.0,3626.0,3563.0,3586.0,386520
2015-04-02,3574.0,3606.0,3557.0,3595.0,324234
2015-04-07,3622.0,3682.0,3611.0,3668.0,381735
2015-04-08,3660.0,3684.0,3637.0,3643.0,362255
2015-04-09,3642.35,3706.26,3642.35,3705.88,302084
2015-04-10,3723.0,3741.0,3697.0,3737.0,315488
2015-04-13,3728.12,3753.53,3717.91,3731.29,293199
2015-04-14,3719.0,3769.0,3713.0,3727.0,474079
2015-04-15,3729.0,3746.0,3704.0,3712.0,516511
2015-04-16,3730.0,3730.0,3618.0,3634.0,437411
2015-04-17,3619.0,3666.0,3617.0,3632.0,488128
2015-04-20,3638.0,3675.0,3628.0,3648.0,208048
2015-04-21,3665.0,3711.0,3652.0,3700.0,329765
2015-04-22,3709.0,3726.0,3660.0,3670.0,367849
2015-04-23,3680.0,3684.0,3592.0,3605.0,329626
2015-04-24,3615.88,3627.53,3597.2,3612.71,237597
2015-04-27,3615.0,3653.0,3572.0,3616.0,436684
2015-04-28,3618.0,3620.0,3527.0,3548.0,370572
2015-04-29,3548.12,3562.94,3506.77,3507.88,291570
2015-04-30,3510.0,3548.0,3467.0,3542.0,460657
2015-05-01,3560.0,3565.0,3485.0,3513.0,288488
2015-05-05,3525.0,3532.0,3475.0,3475.0,503600
2015-05-06,3471.0,3509.0,3446.0,3475.0,359629
2015-05-07,3470.82,3470.82,3409.39,3431.65,551853
2015-05-08,3480.0,3549.0,3474.0,3549.0,492115
2015-05-11,3547.0,3600.0,3540.0,3586.0,442501
2015-05-12,3560.0,3562.0,3490.0,3534.0,426958
2015-05-13,3538.59,3584.6,3529.06,3541.76,285522
2015-05-14,3541.0,3589.0,3514.0,3580.0,239881
2015-05-15,3590.0,3618.0,3558.0,3574.0,368931
2015-05-18,3565.0,3603.0,3550.0,3558.0,238070
2015-05-19,3557.0,3623.0,3557.0,3616.0,251972
2015-05-20,3622.0,3642.0,3597.0,3635.0,218124
2015-05-21,3656.0,3668.0,3619.0,3659.0,318517
2015-05-22,3676.0,3702.0,3650.0,3679.0,241646
2015-05-26,3694.24,3703.6,3648.71,3655.06,274960
2015-05-27,3646.0,3756.0,3646.0,3743.0,330183
2015-05-28,3749.0,3787.0,3743.0,3781.0,263551
2015-05-29,3782.0,3790.0,3687.0,3705.0,427388
2015-06-01,3722.8,3743.9,3684.7,3702.7,344183
2015-06-02,3728.0,3745.0,3676.0,3690.0,296896
2015-06-03,3697.0,3769.0,3674.0,3723.0,327946
2015-06-04,3601.0,3626.0,3527.0,3527.0,755594
2015-06-05,3523.76,3540.18,3487.76,3503.65,413139
2015-06-08,3491.0,3491.0,3450.0,3466.0,354312
2015-06-09,3466.0,3474.0,3421.0,3423.0,325989
2015-06-10,3423.0,3445.0,3388.0,3438.0,549056
2015-06-11,3381.0,3406.0,3363.0,3388.0,434303
2015-06-12,3379.0,3394.0,3270.0,3282.0,1098629
2015-06-15,3265.0,3278.0,3238.0,3253.0,600607
2015-06-16,3232.0,3252.0,3197.0,3248.0,476257
2015-06-17,3251.0,3262.0,3224.0,3225.0,385315
2015-06-18,3220.0,3310.0,3206.0,3304.0,685332
2015-06-19,3299.0,3312.0,3287.0,3297.0,816724
2015-06-22,3348.0,3385.0,3319.0,3338.0,486699
2015-06-23,3388.0,3434.0,3378.0,3409.0,713864
2015-06-24,3417.0,3423.0,3378.0,3382.0,658176
2015-06-25,3370.0,3388.0,3336.0,3341.0,458686
2015-06-26,3315.0,3332.0,3298.0,3314.0,406074
2015-06-29,3229.0,3283.0,3221.0,3255.0,502289
2015-06-30,3233.0,3274.0,3217.0,3217.0,572396
2015-07-01,3233.0,3251.0,3210.0,3233.0,440594
2015-07-02,3222.0,3229.0,3179.0,3180.0,422907
2015-07-03,3183.0,3183.0,3160.0,3169.0,363022
2015-07-06,3154.0,3183.0,3152.0,3170.0,436469
2015-07-07,3173.29,3180.71,3098.41,3106.59,375246
2015-07-08,3045.18,3154.91,3044.12,3134.12,452722
2015-07-09,3150.0,3186.0,3142.4,3175.41,434493
2015-07-10,3229.0,3229.0,3194.0,3194.0,501301
2015-07-13,3215.65,3232.21,3197.65,3229.41,339714
2015-07-14,3223.0,3223.0,3165.0,3171.0,443045
