Date,Open,High,Low,Close,Volume
2015-02-23,342.2,344.8,340.91,343.4,6137391
2015-02-24,343.0,344.15,338.9,341.7,5036725
2015-02-25,341.0,351.6,340.0,349.1,5207552
2015-02-26,348.1,364.8,348.1,360.3,8431668
2015-02-27,360.0,370.8,359.55,365.4,10347546
2015-03-02,364.6,375.4,364.37,369.7,6268312
2015-03-03,370.1,372.4,362.6,367.2,7239394
2015-03-04,367.1,370.3,361.99,365.5,4732346
2015-03-05,366.9,369.7,362.6,366.9,4941154
2015-03-06,366.8,367.2,359.2,363.4,6977557
2015-03-09,361.0,361.8,355.1,359.8,4960797
2015-03-10,358.9,360.0,349.37,349.4,7137144
2015-03-11,350.0,353.0,348.7,352.6,4575027
2015-03-12,352.5,356.3,348.9,352.9,5167243
2015-03-13,353.0,358.8,338.34,354.7,5720443
2015-03-16,356.3,367.2,354.5,367.0,6969399
2015-03-17,366.7,370.2,362.9,366.7,5967910
2015-03-18,366.5,373.1,364.2,367.5,5709719
2015-03-19,367.9,375.3,367.5,374.4,5935409
2015-03-20,376.3,376.3,366.8,370.0,7856321
2015-03-23,370.3,372.7,365.5,372.7,5152428
2015-03-24,370.8,372.5,364.2,367.2,7650262
2015-03-25,365.8,367.3,363.3,364.3,5436155
2015-03-26,363.2,365.6,355.8,358.7,5903719
2015-03-27,358.9,360.7,353.9,357.8,6974557
2015-03-30,362.4,369.76,358.9,365.0,7655599
2015-03-31,375.8,385.5,374.0,380.6,22548747
2015-04-01,376.1,378.3,367.5,368.0,10482479
2015-04-02,368.7,368.7,359.7,362.8,8813444
2015-04-07,364.9,368.9,364.0,368.7,6006639
2015-04-08,367.7,368.4,362.6,363.0,4929390
2015-04-09,364.1,367.7,362.6,367.1,7018357
2015-04-10,367.1,368.7,362.8,364.0,8008876
2015-04-13,363.7,366.4,359.1,362.0,6524931
2015-04-14,360.8,363.8,357.5,362.4,5757663
2015-04-15,363.8,366.0,362.06,363.2,4253614
2015-04-16,366.1,366.7,359.4,359.4,5395605
2015-04-17,359.8,361.0,352.9,354.5,6918473
2015-04-20,355.6,357.62,350.4,351.6,6231407
2015-04-21,343.0,353.3,341.46,351.45,7315532
2015-04-22,350.8,352.3,346.3,348.7,5550406
2015-04-23,349.5,352.2,347.0,351.8,5567518
2015-04-24,352.7,356.0,352.7,355.2,5366690
2015-04-27,355.2,356.3,353.3,354.8,4774919
2015-04-28,354.8,355.2,347.49,350.4,6056577
2015-04-29,352.6,354.7,348.7,349.0,4706270
2015-04-30,348.3,351.9,346.8,351.3,6286736
2015-05-01,349.7,355.2,346.0,354.4,3649389
2015-05-05,357.7,358.2,353.2,353.6,6030885
2015-05-06,352.0,355.2,350.4,354.4,5934434
2015-05-07,352.8,353.0,346.5,352.4,5131915
2015-05-08,357.3,369.18,357.1,369.0,8893688
2015-05-11,370.6,376.2,369.47,370.6,8198028
2015-05-12,370.0,370.0,356.5,357.5,7369677
2015-05-13,359.3,363.8,357.7,361.0,6435813
2015-05-14,353.6,355.3,350.0,352.6,5568089
2015-05-15,353.0,368.3,352.56,353.9,7169598
2015-05-18,355.1,358.13,354.0,355.0,5206929
2015-05-19,357.8,364.5,357.2,363.2,7505065
2015-05-20,365.0,367.6,361.1,361.4,4552151
2015-05-21,362.0,367.7,362.0,366.5,4718436
2015-05-22,366.5,368.6,365.13,365.4,2923821
2015-05-26,364.9,366.8,360.7,361.6,4606575
2015-05-27,360.7,368.5,356.8,366.8,6351132
2015-05-28,372.3,380.5,372.2,375.0,10108049
2015-05-29,374.4,376.9,369.0,370.0,8039495
2015-06-01,369.5,370.3,363.4,366.0,5579610
2015-06-02,368.4,368.4,361.9,364.9,5171813
2015-06-03,364.8,369.2,363.2,368.1,3821253
2015-06-04,371.0,380.3,371.0,377.9,11385409
2015-06-05,376.5,378.3,373.3,377.2,6496766
2015-06-08,377.0,382.7,376.4,379.8,6706373
2015-06-09,380.7,380.9,373.4,374.5,7713088
2015-06-10,375.2,379.7,372.2,379.4,6153414
2015-06-11,379.4,386.4,379.32,383.0,5127387
2015-06-12,381.0,381.9,374.3,376.7,4630438
2015-06-15,375.3,376.1,372.7,374.97,4083461
2015-06-16,374.1,374.1,367.7,372.1,4105822
2015-06-17,371.9,373.2,362.6,363.5,6709111
2015-06-18,362.4,365.2,358.4,362.72,6731692
2015-06-19,359.0,373.36,358.0,364.3,10088395
2015-06-22,370.5,370.5,367.1,369.6,5060858
2015-06-23,370.0,374.8,370.0,372.8,6492142
2015-06-24,372.6,373.5,370.4,370.6,4264181
2015-06-25,370.0,370.1,365.8,367.1,5177497
2015-06-26,364.9,365.2,361.2,362.5,4452093
2015-06-29,355.3,357.3,353.1,353.3,6722175
2015-06-30,351.7,353.6,347.3,347.3,9081319
2015-07-01,349.9,353.2,347.7,352.5,7120464
2015-07-02,352.5,355.1,351.2,354.5,3305358
2015-07-03,354.2,354.2,349.9,350.4,3288369
2015-07-06,347.7,351.5,347.39,349.7,3354631
2015-07-07,351.9,351.9,345.3,345.3,5511131
2015-07-08,345.3,346.2,339.2,341.1,5380424
2015-07-09,342.4,347.7,341.8,347.7,4463513
2015-07-10,351.7,353.0,349.4,352.4,3462815
2015-07-13,357.1,363.2,354.9,363.0,7036383
2015-07-14,363.3,365.0,357.65,365.0,6036526
2015-07-15,365.0,366.8,363.3,365.0,3429336
2015-07-16,366.0,368.6,363.4,365.0,2972510
2015-07-17,365.8,366.9,360.5,361.9,3521269
2015-07-20,361.4,366.8,361.4,366.3,3544664
2015-07-21,366.9,375.8,360.0,372.6,6333776
2015-07-22,368.0,370.2,364.2,367.0,5653985
2015-07-23,374.0,376.0,370.7,374.4,9161773
2015-07-24,372.6,373.2,365.8,366.0,5112888
2015-07-27,363.8,365.6,360.8,360.8,5356782
2015-07-28,362.6,362.6,357.4,361.2,5095099
2015-07-29,363.4,363.8,360.3,362.5,4093521
2015-07-30,364.2,365.5,357.93,359.3,7351713
2015-07-31,359.5,363.3,357.0,360.7,8203026
2015-08-03,359.9,363.24,357.7,363.0,4678873
2015-08-04,362.9,367.8,362.0,365.2,5075774
2015-08-05,365.7,371.7,365.7,371.3,5849903
2015-08-06,370.0,377.1,363.55,374.4,3852392
2015-08-07,374.0,375.2,371.3,374.0,3474785
2015-08-10,376.5,377.6,371.2,373.1,3723391
2015-08-11,372.0,374.9,371.4,374.0,3779354
2015-08-12,371.1,371.1,365.2,368.9,4379139
2015-08-13,373.3,373.9,368.6,370.4,4567193
2015-08-14,371.3,375.7,369.3,374.5,5043196
2015-08-17,377.8,378.4,369.6,370.0,3476000
2015-08-18,370.0,371.8,368.7,371.2,3346352
2015-08-19,370.0,371.7,367.2,369.8,4907819
2015-08-20,367.5,370.5,367.1,367.2,4481126
2015-08-21,362.9,365.3,358.2,358.2,5056686
2015-08-24,349.9,352.3,335.8,340.9,9883588
2015-08-25,345.6,351.0,340.9,350.7,7521869
2015-08-26,347.8,351.8,343.5,345.7,7144803
2015-08-27,353.1,354.5,349.5,353.6,5797225
2015-08-28,353.5,356.2,349.1,356.2,4907667
2015-09-01,351.6,356.86,344.4,345.5,6088517
2015-09-02,345.6,350.0,342.9,347.5,4493539
2015-09-03,350.5,356.0,349.5,354.5,4649825
2015-09-04,354.6,355.2,349.1,349.6,4646963
2015-09-07,352.7,354.3,349.7,350.9,2699826
2015-09-08,352.2,354.3,351.85,352.2,4596868
2015-09-09,358.3,360.1,354.9,359.0,4145661
2015-09-10,356.5,361.9,355.7,360.3,5177978
2015-09-11,366.6,369.5,362.6,365.3,10162670
2015-09-14,366.2,369.8,358.7,360.3,6917733
2015-09-15,356.1,362.55,344.9,351.3,8349212
2015-09-16,352.2,364.96,351.61,358.5,5342211
2015-09-17,359.2,359.2,354.1,354.5,4728084
2015-09-18,354.8,357.9,346.9,351.1,10223557
2015-09-21,350.1,350.7,347.1,347.6,3809064
2015-09-22,348.0,348.0,338.0,338.0,5569705
2015-09-23,337.9,347.7,336.7,345.9,5877709
2015-09-24,347.1,349.7,343.2,343.6,5688861
2015-09-25,348.8,354.6,348.7,353.0,4456174
2015-09-28,351.4,354.0,350.7,350.7,2831956
2015-09-29,347.2,350.4,345.7,347.9,3899479
2015-09-30,354.6,359.3,351.8,358.6,4226668
2015-10-01,361.9,364.6,357.2,357.2,4806217
2015-10-02,360.7,367.7,356.6,361.0,4150237
2015-10-05,366.0,368.4,365.1,365.1,5136563
2015-10-06,366.8,368.1,365.3,365.9,3560835
2015-10-07,365.9,367.5,358.5,358.5,6100798
2015-10-08,354.9,355.7,351.2,353.7,4968214
2015-10-09,355.1,355.3,349.9,351.0,5578772
2015-10-12,350.5,354.1,348.3,353.8,3709656
2015-10-13,354.4,355.8,351.0,354.8,3960225
2015-10-14,353.7,356.8,352.2,352.6,3789920
2015-10-15,354.1,361.1,353.2,359.5,4348291
2015-10-16,360.5,363.4,359.2,361.1,3375509
2015-10-19,359.5,364.3,359.5,362.5,2346656
2015-10-20,362.3,368.4,362.3,363.8,4565374
2015-10-21,365.1,368.3,363.5,366.4,2892703
2015-10-22,360.8,363.6,349.5,351.0,12710480
2015-10-23,353.1,363.3,352.6,361.5,5626313
2015-10-26,359.5,361.8,357.6,358.3,3605390
2015-10-27,358.6,358.6,348.4,349.2,6318666
2015-10-28,349.5,352.5,347.9,351.9,3264964
2015-10-29,351.4,353.5,348.25,349.5,5003972
2015-10-30,350.0,353.9,349.7,353.1,5159749
2015-11-02,349.8,356.6,349.4,355.5,3095100
2015-11-03,354.1,354.1,348.3,350.0,4334642
2015-11-04,350.0,353.2,348.6,350.2,6990956
2015-11-05,351.1,354.4,350.4,351.7,3805246
2015-11-06,353.0,356.0,351.4,353.7,3570374
2015-11-09,353.8,358.1,352.7,354.0,5070018
2015-11-10,355.6,356.7,350.0,352.7,5394711
2015-11-11,354.1,357.4,351.4,353.8,5102556
2015-11-12,353.9,355.4,351.7,352.9,5239735
2015-11-13,350.9,352.63,341.1,341.5,6691757
2015-11-16,337.0,341.32,333.6,338.5,6081555
2015-11-17,341.8,350.5,340.7,350.5,4176077
2015-11-18,350.0,351.1,345.4,349.2,4069821
2015-11-19,352.1,358.7,351.0,356.4,5616894
2015-11-20,356.1,357.2,351.9,351.9,7931822
2015-11-23,350.0,350.0,345.1,345.1,6380461
2015-11-24,338.2,345.4,333.7,342.1,8734237
2015-11-25,343.8,351.0,341.83,348.6,4704216
2015-11-26,348.3,349.9,346.9,349.2,3774646
2015-11-27,347.3,350.7,345.4,350.1,2497689
2015-11-30,349.8,356.6,349.0,353.4,10486423
2015-12-01,355.8,356.6,351.7,354.5,6010197
2015-12-02,356.3,359.0,354.3,356.7,2977343
2015-12-03,355.1,358.0,350.7,350.8,9620504
2015-12-04,349.7,354.9,348.1,353.4,5110224
2015-12-07,342.6,350.1,340.1,345.1,6671926
2015-12-08,344.6,347.4,339.6,339.6,6230666
2015-12-09,339.8,340.4,331.4,334.7,7732364
2015-12-10,331.7,365.0,329.6,330.0,5972181
2015-12-11,329.1,330.0,322.0,323.3,4188901
2015-12-14,322.7,327.6,319.8,319.8,4509476
2015-12-15,321.8,326.7,320.9,325.5,4249865
2015-12-16,325.4,327.4,322.7,326.4,5393746
2015-12-18,327.4,328.4,322.8,324.0,5684271
2015-12-21,323.8,330.3,322.6,326.1,2922953
2015-12-22,329.2,329.2,325.8,327.4,2573084
2015-12-23,330.2,331.9,327.7,330.6,2063541
2015-12-24,328.0,331.6,325.6,329.7,649008
2015-12-29,324.5,332.9,324.5,332.4,3517264
2015-12-30,332.0,335.1,330.1,333.8,2231118
2015-12-31,334.2,334.2,329.5,329.5,1681439
2016-01-04,325.7,327.5,320.4,321.9,3602943
2016-01-05,323.2,329.5,318.5,327.7,5549093
2016-01-06,333.0,338.0,327.5,338.0,8924188
2016-01-07,333.1,334.3,325.9,329.2,5803135
2016-01-08,331.3,334.7,329.2,330.9,5610465
2016-01-11,329.4,331.9,326.9,330.6,4004437
2016-01-12,332.7,341.56,331.3,336.5,4412492
2016-01-13,339.4,340.77,336.0,339.1,5473022
2016-01-14,335.4,335.4,329.3,334.2,5990850
2016-01-15,334.4,338.9,322.52,334.2,7426191
2016-01-18,334.1,335.3,327.1,327.5,5259631
2016-01-19,331.4,334.4,329.6,333.6,5151716
2016-01-20,328.0,329.34,323.6,325.7,5302909
