Date,Open,High,Low,Close,Volume
2015-02-23,274.8,276.1,274.6,275.7,5289352
2015-02-24,276.4,277.26,274.9,277.1,7471399
2015-02-25,277.3,279.5,276.18,277.7,6202398
2015-02-26,276.6,277.7,275.6,277.7,5156277
2015-02-27,278.1,280.5,275.8,279.5,7271791
2015-03-02,279.0,281.2,278.4,280.2,8395177
2015-03-03,280.3,281.8,277.3,278.2,7211803
2015-03-04,278.3,278.7,264.74,270.3,18924302
2015-03-05,274.6,279.2,271.7,277.8,13005557
2015-03-06,278.2,281.79,277.2,280.6,9716421
2015-03-09,280.0,284.9,278.7,283.9,12584398
2015-03-10,283.4,286.03,282.8,282.9,16691115
2015-03-11,283.4,284.7,281.2,283.3,9977034
2015-03-12,283.0,287.2,279.7,285.3,14991603
2015-03-13,285.3,287.56,284.0,285.8,7948202
2015-03-16,286.8,292.4,286.8,290.9,14406417
2015-03-17,291.7,292.5,286.8,287.8,10557142
2015-03-18,287.5,291.9,286.9,291.6,10087018
2015-03-19,291.2,294.6,291.1,293.19,10556460
2015-03-20,293.3,293.9,286.3,293.3,17731846
2015-03-23,292.3,293.5,290.35,292.8,8285503
2015-03-24,291.5,296.02,291.5,294.4,8053055
2015-03-25,294.8,295.36,290.9,291.0,11007254
2015-03-26,289.0,289.62,281.8,284.1,16157953
2015-03-27,284.0,285.2,280.9,280.9,12841294
2015-03-30,284.3,285.2,281.97,283.0,9412880
2015-03-31,283.0,283.1,276.4,278.6,13834693
2015-04-01,278.3,282.0,277.0,280.5,12414289
2015-04-02,281.4,281.7,279.1,281.2,7919096
2015-04-07,281.8,285.2,281.6,283.1,10519811
2015-04-08,282.5,285.2,281.2,283.0,10938051
2015-04-09,285.1,286.4,283.66,285.3,8588946
2015-04-10,286.0,287.7,285.26,287.2,7346266
2015-04-13,287.2,287.7,283.8,285.1,11072473
2015-04-14,284.5,286.6,282.5,282.9,11026267
2015-04-15,283.7,284.2,281.3,282.3,14865812
2015-04-16,283.9,283.9,279.1,281.7,9453563
2015-04-17,282.1,283.9,277.2,278.1,17493336
2015-04-20,278.9,280.06,277.7,279.0,9574667
2015-04-21,280.9,282.6,277.9,279.0,10531340
2015-04-22,280.4,280.78,275.4,276.97,15731836
2015-04-23,268.8,279.11,264.93,265.1,20657330
2015-04-24,265.7,265.7,261.2,263.4,16425838
2015-04-27,263.4,265.7,259.82,263.6,11985225
2015-04-28,263.3,263.3,257.0,258.9,12253407
2015-04-29,259.9,261.42,256.9,258.0,12171455
2015-04-30,258.0,262.5,255.5,260.0,14040423
2015-05-01,260.2,260.2,255.8,257.3,4835586
2015-05-05,259.6,262.1,257.3,257.3,14102769
2015-05-06,257.4,262.37,257.4,259.1,12263649
2015-05-07,259.3,263.1,256.6,262.0,17967700
