Date,Open,High,Low,Close,Volume
2015-02-23,2474.0,2511.0,2474.0,2506.0,402909
2015-02-24,2499.0,2521.0,2485.0,2514.0,546520
2015-02-25,2511.0,2553.0,2498.0,2508.0,296184
2015-02-26,2500.0,2509.0,2488.0,2501.0,389134
2015-02-27,2497.0,2508.0,2462.0,2480.0,550091
2015-03-02,2470.0,2504.0,2444.0,2450.0,571057
2015-03-03,2451.0,2463.0,2403.0,2405.0,460948
2015-03-04,2423.0,2433.0,2384.0,2400.0,692882
2015-03-05,2364.0,2417.0,2364.0,2401.24,683108
2015-03-06,2412.0,2444.0,2394.2,2435.0,789359
2015-03-09,2431.0,2462.0,2423.0,2454.0,601954
2015-03-10,2455.0,2483.0,2435.0,2435.0,797111
2015-03-11,2442.0,2471.0,2441.0,2468.0,412328
2015-03-12,2477.0,2497.26,2467.0,2490.0,414190
2015-03-13,2491.0,2504.0,2477.0,2490.0,402261
2015-03-16,2500.0,2547.0,2496.0,2540.0,325688
2015-03-17,2553.0,2565.0,2500.0,2510.0,474321
2015-03-18,2510.0,2538.0,2499.0,2534.0,627127
2015-03-19,2545.0,2568.0,2527.0,2568.0,429459
2015-03-20,2580.0,2584.0,2566.0,2583.0,613761
2015-03-23,2581.0,2581.0,2557.0,2565.0,339465
2015-03-24,2565.0,2584.0,2552.0,2575.0,320617
2015-03-25,2576.0,2595.0,2535.0,2538.0,340780
2015-03-26,2310.0,2401.75,2263.0,2395.0,7184980
2015-03-27,2411.0,2452.0,2384.0,2413.0,2280165
2015-03-30,2444.0,2476.0,2414.2,2476.0,4858549
2015-03-31,2478.0,2502.0,2437.0,2488.0,1981199
2015-04-01,2469.0,2501.0,2442.0,2447.0,1337032
2015-04-02,2441.0,2484.0,2434.0,2484.0,817398
2015-04-07,2504.0,2536.0,2476.0,2525.0,5300908
2015-04-08,2540.0,2582.0,2522.0,2550.0,1237199
2015-04-09,2593.0,2594.0,2564.0,2581.0,895533
2015-04-10,2591.0,2610.0,2580.0,2585.0,986576
2015-04-13,2590.0,2601.0,2567.0,2573.0,526310
2015-04-14,2564.0,2572.0,2516.0,2530.0,710537
2015-04-15,2529.0,2536.0,2509.0,2520.0,535160
2015-04-16,2540.0,2541.0,2491.0,2529.69,631705
2015-04-17,2531.0,2549.0,2485.92,2491.0,929765
2015-04-20,2500.0,2526.0,2486.0,2498.0,370159
2015-04-21,2518.0,2558.0,2512.0,2552.0,621433
2015-04-22,2572.0,2577.0,2508.0,2545.0,811690
2015-04-23,2548.0,2560.0,2534.0,2553.0,658280
2015-04-24,2550.0,2565.0,2533.0,2555.0,648253
2015-04-27,2551.0,2595.0,2535.0,2595.0,733696
2015-04-28,2595.0,2602.0,2552.0,2571.0,778823
2015-04-29,2580.0,2623.0,2543.0,2544.0,876685
2015-04-30,2542.0,2554.0,2518.0,2549.0,1235420
2015-05-01,2565.0,2566.0,2523.0,2523.0,375847
2015-05-05,2546.0,2552.0,2477.0,2477.0,1268280
2015-05-06,2471.0,2486.0,2432.0,2436.0,1276050
2015-05-07,2431.0,2432.0,2390.0,2406.0,1842760
2015-05-08,2485.0,2559.0,2447.0,2553.0,1753610
2015-05-11,2564.0,2569.0,2535.0,2537.0,600921
2015-05-12,2527.0,2536.0,2443.0,2480.0,1326368
2015-05-13,2486.0,2514.0,2456.0,2460.0,798777
2015-05-14,2450.0,2477.0,2438.0,2463.12,634066
2015-05-15,2480.0,2515.0,2453.0,2462.0,684450
2015-05-18,2470.0,2491.0,2426.0,2461.0,674651
2015-05-19,2478.0,2503.0,2467.0,2475.0,719938
2015-05-20,2483.0,2502.0,2465.0,2469.0,909001
2015-05-21,2459.0,2470.0,2402.0,2435.0,868259
2015-05-22,2447.0,2470.0,2445.0,2459.0,641858
2015-05-26,2465.0,2474.0,2443.0,2444.0,629691
2015-05-27,2452.0,2485.0,2439.0,2482.0,589756
2015-05-28,2481.0,2501.0,2469.0,2489.0,412595
2015-05-29,2485.0,2501.0,2443.0,2457.0,716285
2015-06-01,2466.0,2486.0,2454.0,2466.0,382189
2015-06-02,2480.0,2482.0,2439.0,2456.0,409597
2015-06-03,2463.0,2497.0,2456.0,2485.0,596482
2015-06-04,2476.0,2489.0,2446.0,2448.0,530668
2015-06-05,2433.0,2433.0,2389.0,2391.0,531854
2015-06-08,2391.0,2403.0,2359.0,2359.0,727469
2015-06-09,2361.0,2371.0,2315.0,2346.0,695918
2015-06-10,2346.0,2382.0,2330.0,2380.0,899431
2015-06-11,2368.0,2423.0,2368.0,2406.18,601749
2015-06-12,2399.0,2411.0,2371.08,2376.0,542221
2015-06-15,2362.0,2362.0,2328.0,2331.0,505420
2015-06-16,2326.0,2355.0,2302.0,2347.0,685113
2015-06-17,2352.0,2353.0,2302.0,2309.0,529668
2015-06-18,2311.0,2352.0,2289.0,2350.0,871972
2015-06-19,2350.0,2409.0,2319.0,2404.0,1197162
2015-06-22,2435.0,2457.0,2422.0,2455.0,816710
2015-06-23,2457.0,2469.0,2442.0,2466.0,751325
2015-06-24,2469.0,2475.0,2436.0,2451.0,462569
2015-06-25,2434.0,2466.0,2425.0,2451.0,457148
2015-06-26,2448.0,2460.0,2427.0,2452.0,557049
2015-06-29,2382.0,2423.0,2352.32,2400.0,927208
2015-06-30,2392.0,2408.0,2367.0,2382.44,1264289
2015-07-01,2393.0,2423.0,2374.0,2416.0,1185900
2015-07-02,2417.0,2438.0,2411.0,2427.0,672551
2015-07-03,2420.0,2449.0,2418.0,2426.0,517800
2015-07-06,2403.0,2420.0,2387.0,2410.0,587905
2015-07-07,2426.0,2434.0,2376.0,2379.0,797237
2015-07-08,2389.0,2414.0,2365.0,2404.0,915935
2015-07-09,2410.0,2471.0,2410.0,2462.0,490012
2015-07-10,2515.0,2553.0,2507.0,2546.0,690838
2015-07-13,2569.0,2586.0,2555.92,2585.0,695927
2015-07-14,2586.0,2602.26,2570.0,2602.0,496358
2015-07-15,2600.0,2644.0,2581.0,2641.0,770480
2015-07-16,2648.0,2685.0,2645.0,2672.0,820411
2015-07-17,2674.0,2703.0,2666.0,2699.0,614250
2015-07-20,2693.0,2725.0,2679.0,2685.0,548664
2015-07-21,2690.0,2692.0,2650.0,2655.0,561464
2015-07-22,2645.0,2649.0,2620.0,2637.0,584315
2015-07-23,2658.0,2667.0,2614.0,2617.0,894583
2015-07-24,2610.0,2629.0,2603.0,2604.0,598925
2015-07-27,2598.0,2603.0,2537.0,2537.0,591683
2015-07-28,2554.0,2582.0,2533.0,2579.0,544617
2015-07-29,2595.0,2601.0,2569.0,2573.0,440692
2015-07-30,2579.0,2601.0,2565.0,2592.0,761634
2015-07-31,2600.0,2617.0,2578.0,2611.0,638337
2015-08-03,2601.0,2616.0,2577.0,2581.0,831487
2015-08-04,2565.0,2583.0,2551.0,2578.0,740539
