Date,Open,High,Low,Close,Volume
2015-02-23,1099.0,1103.0,1092.67,1098.0,165413
2015-02-24,1103.0,1106.0,1080.64,1097.0,175334
2015-02-25,1086.0,1097.0,1080.0,1086.0,139599
2015-02-26,1076.0,1087.0,1069.61,1087.0,132849
2015-02-27,1089.0,1089.0,1073.0,1085.0,205718
2015-03-02,1088.0,1088.0,1072.0,1078.0,151351
2015-03-03,1086.0,1092.0,1070.0,1084.58,279375
2015-03-04,1085.0,1105.0,1081.0,1103.0,261795
2015-03-05,1116.0,1116.0,1092.0,1101.0,209287
2015-03-06,1113.0,1121.0,1099.0,1114.0,397595
2015-03-09,1112.0,1112.0,1089.0,1096.0,176855
2015-03-10,1087.0,1104.0,,1101.0,259943
2015-03-11,1109.0,1117.0,1099.0,1114.0,343818
2015-03-12,1115.0,1136.0,1112.0,1131.0,397926
2015-03-13,1120.0,1136.06,1118.0,1132.0,155460
2015-03-16,1125.0,1150.0,1125.0,1150.0,177686
2015-03-17,1140.0,1155.0,1128.62,1148.0,172665
2015-03-18,1172.0,1181.0,1151.0,1176.0,308021
2015-03-19,1183.0,1183.0,1169.0,1179.0,184915
2015-03-20,1172.0,1189.0,1172.0,1181.0,251547
2015-03-23,1196.0,1196.0,1167.0,1174.0,115273
2015-03-24,1158.0,1188.0,1158.0,1166.0,168987
2015-03-25,1176.0,1189.0,1157.8,1183.0,206105
2015-03-26,1163.0,1183.0,1158.0,1174.0,206385
2015-03-27,1172.0,1186.0,1162.0,1169.0,192585
2015-03-30,1165.0,1197.0,1165.0,1194.0,221237
2015-03-31,1194.0,1206.0,1169.0,1181.0,287436
2015-04-01,1169.0,1185.0,1161.83,1162.0,243678
2015-04-02,1160.0,1188.0,1160.0,1183.0,154672
2015-04-07,1164.0,1186.0,1164.0,1185.0,155372
2015-04-08,1175.0,1196.0,1175.0,1185.0,210905
2015-04-09,1183.0,1216.0,1183.0,1213.0,265054
2015-04-10,1221.0,1230.4,1209.0,1212.0,313760
2015-04-13,1212.0,1243.0,1210.0,1222.0,276576
2015-04-14,1228.0,1246.6,1215.0,1225.0,215693
2015-04-15,1231.0,1243.0,1219.0,1223.0,165689
2015-04-16,1210.0,1222.8,1208.0,1211.0,248009
2015-04-17,1201.0,1219.4,1185.0,1188.0,161343
2015-04-20,1183.0,1202.0,1183.0,1200.0,152691
2015-04-21,1212.0,1242.0,1208.2,1235.0,225505
2015-04-22,1250.0,1250.0,1219.0,1232.0,205435
2015-04-23,1226.0,1238.0,1222.0,1238.0,149868
2015-04-24,1241.0,1245.0,1231.0,1240.0,161058
2015-04-27,1250.0,1256.0,1233.0,1252.0,161362
2015-04-28,1248.0,1250.0,1225.0,1239.0,233700
2015-04-29,1233.0,1248.0,1232.0,1244.0,216801
2015-04-30,1241.0,1262.0,1230.0,1257.0,269399
2015-05-01,1250.0,1274.0,1250.0,1265.0,99996
2015-05-05,1265.0,1288.0,1256.65,1272.0,306122
2015-05-06,1262.0,1283.0,1261.0,1278.0,211621
2015-05-07,1265.0,1282.0,1265.0,1277.0,297573
2015-05-08,1296.0,1364.0,1293.0,1313.8,345203
2015-05-11,1289.0,1300.0,1271.4,1286.0,348340
2015-05-12,1268.0,1284.0,1267.0,1280.0,178666
2015-05-13,1289.0,1309.0,1283.0,1292.0,191048
2015-05-14,1279.0,1299.4,1279.0,1293.0,182082
2015-05-15,1291.0,1305.0,1291.0,1296.0,132093
2015-05-18,1293.0,1299.0,1278.0,1294.0,162270
2015-05-19,1297.0,1310.0,1297.0,1307.0,192044
2015-05-20,1310.0,1310.0,1289.0,1289.0,211014
2015-05-21,1293.0,1294.0,1274.0,1286.0,228763
2015-05-22,1290.0,1290.0,1275.0,1278.0,256806
2015-05-26,1276.0,1298.0,1255.8,1293.0,382676
2015-05-27,1305.0,1342.0,1298.96,1329.0,605999
2015-05-28,1329.0,1349.0,1324.0,1346.0,254253
2015-05-29,1346.0,1351.4,1320.0,1324.0,250182
2015-06-01,1332.0,1336.0,1321.68,1334.0,181076
2015-06-02,1343.0,1350.0,1328.0,1344.0,259314
2015-06-03,1354.0,1372.0,1348.0,1356.0,240454
2015-06-04,1349.0,1352.0,1325.0,1336.0,181519
2015-06-05,1331.0,1335.0,1318.0,1318.0,94516
2015-06-08,1326.0,1326.0,1309.0,1315.0,130194
2015-06-09,1320.0,1333.0,1299.0,1333.0,180979
2015-06-10,1333.0,1337.0,1315.0,1334.0,319630
2015-06-11,1338.0,1353.0,1331.0,1353.0,188471
2015-06-12,1339.0,1360.0,1338.0,1354.0,211198
2015-06-15,1349.0,1363.0,1345.0,1360.0,198164
2015-06-16,1363.0,1382.0,1353.0,1375.0,295437
2015-06-17,1385.0,1389.0,1362.0,1374.0,218168
2015-06-18,1375.0,1375.0,1356.0,1372.0,164861
2015-06-19,1377.0,1384.0,1354.0,1360.0,612762
2015-06-22,1373.0,1381.0,1360.0,1369.0,250934
2015-06-23,1370.0,1381.0,1366.0,1375.0,250242
2015-06-24,1378.0,1379.0,1354.0,1358.0,152895
2015-06-25,1350.0,1387.0,1343.6,1387.0,257384
2015-06-26,1373.0,1384.4,1364.0,1377.0,195222
2015-06-29,1347.0,1375.0,1339.66,1370.0,186345
2015-06-30,1368.0,1372.0,1353.0,1361.0,192415
2015-07-01,1368.0,1384.0,1362.0,1363.0,211566
2015-07-02,1359.0,1374.0,1359.0,1374.0,217915
2015-07-03,1375.0,1386.0,1372.0,1386.0,136322
2015-07-06,1368.0,1391.0,1368.0,1379.0,192737
2015-07-07,1373.0,1393.0,1361.0,1369.0,337272
2015-07-08,1335.0,1381.0,1335.0,1372.0,182497
2015-07-09,1396.0,1414.6,1385.0,1394.89,283141
2015-07-10,1416.0,1420.0,1407.0,1414.0,190099
2015-07-13,1421.0,1442.0,1421.0,1434.82,451456
2015-07-14,1440.0,1442.0,1422.0,1434.0,247850
2015-07-15,1330.0,1355.0,1330.0,1355.0,1852595
2015-07-16,1340.0,1348.0,1337.0,1348.0,462379
2015-07-17,1352.0,1369.0,1343.74,1368.0,541974
2015-07-20,1372.0,1386.0,1371.0,1375.79,265801
2015-07-21,1385.0,1396.0,1381.0,1391.0,425310
2015-07-22,1388.0,1402.0,1384.0,1391.0,280281
2015-07-23,1402.0,1404.0,1390.0,1404.0,362643
2015-07-24,1407.0,1417.0,1395.0,1395.0,223266
2015-07-27,1389.0,1400.0,1380.0,1395.0,329377
2015-07-28,1395.0,1401.0,1378.0,1380.0,224684
2015-07-29,1390.0,1401.0,1366.0,1379.0,563443
2015-07-30,1389.0,1395.0,1366.0,1379.0,429164
2015-07-31,1385.0,1398.0,1376.0,1398.0,327357
2015-08-03,1394.0,1399.0,1383.0,1390.0,281659
2015-08-04,1388.0,1395.0,1374.0,1381.0,260098
2015-08-05,1384.0,1386.0,1371.0,1381.0,188797
2015-08-06,1375.0,1380.0,1364.0,1370.0,361376
2015-08-07,1369.0,1371.0,1356.0,1371.0,280800
2015-08-10,1375.0,1385.0,1358.0,1376.0,335724
2015-08-11,1379.0,1392.0,1369.0,1387.0,317305
2015-08-12,1376.0,1376.0,1342.0,1347.0,333223
2015-08-13,1355.0,1365.0,1348.0,1361.0,309830
2015-08-14,1361.0,1370.0,1348.0,1355.0,173673
2015-08-17,1359.0,1360.0,1334.0,1345.0,206548
2015-08-18,1338.0,1356.44,1338.0,1352.0,178645
2015-08-19,1344.0,1353.0,1334.0,1336.0,320397
2015-08-20,1328.0,1341.72,1302.0,1303.0,455811
2015-08-21,1287.0,1316.0,1276.0,1294.0,357602
2015-08-24,1264.0,1270.0,1234.0,1246.0,489732
2015-08-25,1256.0,1294.0,1244.6,1287.0,378880
2015-08-26,1278.0,1280.0,1260.0,1263.0,306780
2015-08-27,1283.0,1294.0,1260.0,1289.0,533949
2015-08-28,1290.0,1305.0,1277.0,1305.0,333560
2015-09-01,1286.0,1304.84,1264.0,1277.0,252266
2015-09-02,1283.0,1289.0,1262.0,1268.0,247623
2015-09-03,1243.0,1257.0,1227.0,1233.0,412389
2015-09-04,1223.0,1229.0,1213.94,1221.0,259958
2015-09-07,1230.0,1231.0,1213.0,1221.0,136158
2015-09-08,1230.0,1231.0,1207.0,1221.0,248190
2015-09-09,1235.0,1244.0,1228.0,1235.0,274322
2015-09-10,1230.0,1244.0,1226.0,1227.0,169639
2015-09-11,1227.0,1233.0,1212.0,1225.0,295704
2015-09-14,1228.0,1238.0,1228.0,1234.0,168218
2015-09-15,1242.0,1266.0,1231.0,1255.0,293010
2015-09-16,1267.0,1288.0,1255.0,1287.0,395416
2015-09-17,1290.0,1290.0,1264.0,1267.0,299242
2015-09-18,1268.0,1271.0,1251.0,1270.0,825835
2015-09-21,1257.0,1272.0,1245.0,1249.0,207796
2015-09-22,1246.0,1248.0,1206.0,1210.0,315652
2015-09-23,1211.0,1225.0,1203.16,1222.0,249590
2015-09-24,1213.0,1245.0,1213.0,1231.0,249123
2015-09-25,1245.0,1252.9,1232.0,1234.0,138399
2015-09-28,1234.0,1236.0,1220.0,1225.0,238720
2015-09-29,1218.0,1218.0,1193.0,1200.0,246180
2015-09-30,1217.0,1220.0,1191.0,1203.0,300345
2015-10-01,1223.0,1228.0,1197.34,1223.0,284672
2015-10-02,1226.0,1232.0,1204.0,1216.0,204605
2015-10-05,1231.0,1252.0,1231.0,1251.0,260908
2015-10-06,1245.0,1260.0,1245.0,1257.47,162799
2015-10-07,1258.0,1261.0,1243.0,1250.25,339838
2015-10-08,1256.0,1262.0,1244.0,1253.0,239549
2015-10-09,1255.0,1268.0,1250.0,1254.0,194881
2015-10-12,1250.0,1254.0,1225.0,1234.0,185286
2015-10-13,1243.0,1250.0,1229.0,1248.0,174750
2015-10-14,1243.0,1255.22,1225.0,1226.0,182970
2015-10-15,1232.0,1232.0,1208.0,1218.0,234587
2015-10-16,1224.0,1230.0,1199.0,1200.0,225806
2015-10-19,1196.0,1211.0,1194.96,1207.0,191185
2015-10-20,1209.0,1224.0,1204.0,1220.0,252144
