Date,Open,High,Low,Close,Volume
2015-02-23,995.0,999.5,924.97,948.0,62841
2015-02-24,967.0,975.0,943.5,947.25,49365
2015-02-25,956.0,967.5,928.0,946.5,104614
2015-02-26,949.0,960.0,930.0,937.82,27112
2015-02-27,955.0,955.0,929.0,931.5,23241
2015-03-02,941.0,967.0,930.21,948.0,64688
2015-03-03,959.5,964.5,936.0,937.5,44146
2015-03-04,949.0,960.0,932.0,941.0,33725
2015-03-05,953.0,954.5,938.0,946.0,29983
2015-03-06,958.5,964.5,948.0,959.0,28128
2015-03-09,964.5,983.0,954.0,971.5,20367
2015-03-10,983.0,983.0,941.0,949.5,28638
2015-03-11,956.5,973.0,938.0,943.0,45706
2015-03-12,957.0,967.0,942.0,945.0,30332
2015-03-13,957.5,987.0,942.5,978.0,36430
2015-03-16,979.0,1067.0,977.36,1010.0,60243
2015-03-17,1020.0,1020.0,1007.0,1013.0,18264
2015-03-18,1000.0,1015.0,988.5,1010.0,28019
2015-03-19,1025.0,1025.0,999.0,1004.0,25254
2015-03-20,1008.0,1069.75,1006.0,1060.0,96195
2015-03-23,1051.0,1082.0,1051.0,1075.0,49349
2015-03-24,1056.0,1079.0,1056.0,1073.0,84912
2015-03-25,1073.0,1089.0,1070.0,1080.0,21389
2015-03-26,1066.0,1078.58,1066.0,1069.0,18014
2015-03-27,1065.0,1090.0,1065.0,1078.0,26481
2015-03-30,1057.0,1067.0,1007.0,1015.0,235551
2015-03-31,1005.0,1028.0,993.38,1016.0,96940
2015-04-01,1018.0,1031.0,1005.0,1006.0,65842
2015-04-02,1020.0,1020.0,995.0,998.0,75861
2015-04-07,1010.0,1019.0,1002.0,1008.0,21533
2015-04-08,995.0,1005.0,986.0,994.0,36783
2015-04-09,986.5,1011.32,977.5,985.0,42066
2015-04-10,985.0,993.5,963.0,993.5,30326
2015-04-13,1000.0,1000.0,985.5,992.5,44829
2015-04-14,975.0,975.0,894.4,905.0,359421
2015-04-15,901.5,923.0,901.5,914.69,170471
2015-04-16,905.5,920.0,900.9,920.0,273353
2015-04-17,900.0,918.12,900.0,900.0,73860
2015-04-20,900.0,902.0,869.4,890.0,88764
2015-04-21,868.5,908.5,868.5,900.5,186173
2015-04-22,901.5,912.0,889.0,892.5,682917
2015-04-23,893.5,895.15,865.5,873.5,215485
2015-04-24,865.0,912.0,865.0,880.0,157272
2015-04-27,902.0,907.0,879.5,891.32,115313
2015-04-28,898.5,919.5,887.5,915.5,212731
2015-04-29,920.0,920.0,878.0,885.0,177706
2015-04-30,898.0,905.0,892.0,897.78,71596
2015-05-01,895.0,898.0,870.0,870.0,40676
2015-05-05,883.5,908.0,865.5,893.69,140726
2015-05-06,894.5,907.5,850.5,855.5,169215
2015-05-07,850.0,880.3,843.2,870.0,194954
2015-05-08,881.0,892.5,860.5,865.0,282967
2015-05-11,878.0,878.0,866.5,868.5,89831
2015-05-12,859.5,873.5,800.7,819.0,178306
2015-05-13,831.5,860.0,819.0,850.0,166567
2015-05-14,843.0,851.5,820.0,824.0,125869
2015-05-15,819.5,843.0,817.5,843.0,82564
2015-05-18,845.0,892.5,840.75,888.0,152761
2015-05-19,897.0,918.5,897.0,913.0,258099
2015-05-20,917.0,930.0,910.0,929.0,274651
2015-05-21,913.5,946.5,913.5,939.0,214485
2015-05-22,958.0,969.5,947.0,957.5,178600
2015-05-26,960.0,975.5,930.8,940.0,150639
2015-05-27,939.5,969.5,939.5,956.27,120579
2015-05-28,946.0,972.5,940.0,945.0,103243
2015-05-29,938.0,965.5,938.0,954.0,539726
2015-06-01,947.0,974.0,945.3,950.0,67090
2015-06-02,961.0,964.0,934.0,941.0,40081
2015-06-03,944.0,973.0,938.5,964.0,141117
2015-06-04,971.0,971.0,937.8,948.0,90873
2015-06-05,938.5,951.0,934.5,951.0,101630
2015-06-08,954.0,967.5,945.0,945.5,43676
2015-06-09,941.0,970.0,938.0,940.0,49752
2015-06-10,956.0,976.0,954.0,958.1,143955
2015-06-11,963.0,979.5,958.0,965.89,51550
2015-06-12,972.5,972.5,945.5,954.5,80532
2015-06-15,945.5,958.0,944.0,946.5,62679
2015-06-16,952.5,952.5,944.0,946.5,97368
2015-06-17,942.0,952.0,934.5,940.5,91182
2015-06-18,947.5,965.0,937.0,965.0,88304
2015-06-19,968.0,978.5,965.0,975.0,345186
2015-06-22,946.5,980.0,946.5,979.0,94444
2015-06-23,985.0,985.0,969.0,970.81,40346
2015-06-24,970.0,978.5,961.5,965.0,66632
2015-06-25,971.0,973.5,956.5,956.5,39564
2015-06-26,982.5,982.5,954.0,954.0,32335
2015-06-29,945.0,960.0,945.0,952.6,59819
2015-06-30,945.0,949.5,945.0,945.0,53963
2015-07-01,946.5,957.5,938.0,946.8,31249
2015-07-02,935.0,951.0,933.5,937.5,39706
2015-07-03,937.0,948.5,937.0,940.49,22532
2015-07-06,939.5,975.0,939.5,959.0,90278
2015-07-07,958.5,968.0,953.8,954.0,56998
2015-07-08,964.5,974.5,944.0,947.0,87336
2015-07-09,948.0,960.0,947.0,947.0,46842
2015-07-10,971.0,972.5,935.0,944.0,43604
2015-07-13,951.0,951.0,929.0,939.0,50660
2015-07-14,941.5,951.5,929.22,945.0,26592
2015-07-15,937.5,948.0,936.93,944.11,47244
2015-07-16,934.0,965.5,934.0,954.0,57173
2015-07-17,959.0,968.0,948.5,966.5,101787
2015-07-20,967.5,980.5,953.78,977.5,49616
2015-07-21,979.5,983.5,969.5,973.5,8004
2015-07-22,972.5,980.0,947.5,966.0,27365
2015-07-23,972.0,982.0,959.5,979.0,62783
2015-07-24,983.5,983.5,970.5,978.0,28580
2015-07-27,979.0,980.0,948.5,955.33,29199
2015-07-28,959.0,960.0,929.0,934.0,53302
2015-07-29,941.5,951.5,930.5,940.0,45988
2015-07-30,947.0,949.0,934.5,941.5,83610
2015-07-31,944.0,947.0,923.5,938.0,40945
2015-08-03,939.5,954.0,937.0,942.5,38340
2015-08-04,956.0,956.0,931.5,946.0,25298
2015-08-05,950.5,962.0,941.5,955.0,27960
2015-08-06,957.0,961.5,940.0,950.0,17675
2015-08-07,948.5,950.0,929.0,929.5,27841
2015-08-10,930.5,935.0,923.0,926.45,28071
2015-08-11,926.5,927.0,919.5,922.0,29243
2015-08-12,922.0,922.0,866.06,907.5,53276
2015-08-13,913.5,922.0,906.5,916.0,23878
2015-08-14,922.0,922.0,897.5,917.5,22450
2015-08-17,899.0,918.0,894.5,898.0,18575
2015-08-18,900.5,904.84,876.0,890.0,50532
2015-08-19,881.0,924.04,879.2,918.0,69897
2015-08-20,911.5,925.0,905.0,913.0,33675
2015-08-21,915.0,916.0,888.0,892.5,48751
2015-08-24,886.0,886.0,820.0,836.0,75521
2015-08-25,822.5,870.5,813.7,840.0,101030
2015-08-26,831.0,848.94,805.0,819.0,190431
2015-08-27,820.0,845.0,820.0,830.0,82712
2015-08-28,839.0,856.0,834.5,842.54,48847
2015-09-01,846.0,856.5,844.37,849.0,131023
2015-09-02,857.5,863.5,839.5,848.0,52662
2015-09-03,833.0,870.0,833.0,851.43,30159
2015-09-04,840.0,861.5,840.0,854.5,20380
2015-09-07,836.5,872.5,836.5,857.62,21225
2015-09-08,834.5,869.0,834.5,845.0,15630
2015-09-09,865.0,865.0,833.5,851.5,29817
2015-09-10,843.5,848.5,819.0,830.0,16158
2015-09-11,818.0,850.0,810.5,814.5,10307
2015-09-14,819.0,840.5,815.5,818.5,15018
2015-09-15,839.5,839.5,813.5,820.5,24903
2015-09-16,829.5,829.5,813.75,824.5,27986
2015-09-17,829.0,830.0,820.5,829.0,31643
2015-09-18,850.0,850.0,813.0,821.0,99468
2015-09-21,819.5,827.38,819.5,824.5,35638
2015-09-22,825.0,825.0,815.0,818.5,39464
2015-09-23,839.5,845.5,810.0,834.5,7081
2015-09-24,830.0,830.0,797.36,814.0,21871
2015-09-25,820.0,831.5,813.5,831.0,26961
2015-09-28,830.0,830.0,813.6,826.0,62543
2015-09-29,840.0,840.0,817.0,818.93,33948
2015-09-30,840.0,840.0,819.5,834.0,41511
2015-10-01,840.0,859.5,834.0,842.18,143693
2015-10-02,842.5,870.0,842.5,857.02,350321
2015-10-05,872.5,950.5,856.0,919.0,591691
2015-10-06,995.0,1003.0,931.5,1000.0,406870
2015-10-07,990.0,1007.0,983.5,994.0,112165
2015-10-08,981.5,997.0,974.0,980.0,60449
2015-10-09,980.0,1004.0,966.0,985.0,546102
2015-10-12,996.5,1000.0,980.0,995.0,137706
2015-10-13,1000.0,1000.0,992.0,994.5,83595
2015-10-14,1097.0,1203.0,1089.0,1164.26,1038277
2015-10-15,1155.0,1200.0,1155.0,1176.5,1113281
2015-10-16,1200.0,1219.0,1167.9,1168.0,442966
2015-10-19,1183.0,1185.0,1155.0,1160.0,377986
2015-10-20,1190.0,1200.0,1170.0,1185.0,669887
2015-10-21,1176.0,1188.0,1175.0,1179.0,319604
2015-10-22,1167.0,1187.0,1167.0,1184.5,196731
2015-10-23,1188.0,1200.0,1178.0,1187.0,131612
2015-10-26,1180.0,1191.0,1180.0,1184.93,219976
2015-10-27,1185.0,1187.0,1178.0,1179.0,104716
2015-10-28,1188.0,1188.0,1176.0,1179.0,97085
2015-10-29,1188.0,1188.0,1170.0,1177.0,96570
2015-10-30,1186.0,1186.0,1176.0,1176.0,53865
2015-11-02,1182.0,1182.0,1172.0,1173.0,241969
2015-11-03,1180.0,1180.0,1174.0,1179.0,49924
2015-11-04,1171.0,1180.0,1171.0,1175.0,86647
2015-11-05,1180.0,1180.0,1170.0,1172.0,176877
2015-11-06,1177.0,1178.0,1165.0,1174.94,300982
2015-11-09,1167.0,1180.0,1167.0,1174.94,170348
2015-11-10,1168.0,1175.0,1161.0,1169.0,66501
2015-11-11,1167.0,1167.0,1157.0,1162.37,191957
2015-11-12,1145.0,1179.0,1145.0,1160.0,150888
2015-11-13,1153.0,1160.0,1153.0,1158.0,43806
2015-11-16,1184.0,1184.0,1140.0,1160.0,194789
2015-11-17,1158.0,1172.0,1131.0,1150.0,695664
2015-11-18,1168.0,1168.0,1157.0,1164.0,289755
2015-11-19,1165.0,1165.0,1148.0,1160.0,137960
2015-11-20,1160.0,1160.0,1152.0,1157.5,82253
2015-11-23,1153.0,1171.0,1144.0,1165.0,495776
2015-11-24,1160.0,1169.0,1155.0,1155.0,83968
2015-11-25,1160.0,1160.0,1150.0,1150.0,69643
2015-11-26,1155.0,1155.0,1146.0,1150.0,52817
2015-11-27,1145.0,1155.0,1142.0,1155.0,32710
2015-11-30,1151.0,1161.0,1123.0,1142.0,988998
2015-12-01,1135.0,1137.0,1118.0,1130.0,137245
2015-12-02,1124.0,1124.0,1110.0,1116.0,192439
2015-12-03,1116.0,1120.0,1110.0,1114.0,122842
2015-12-04,1112.0,1116.0,1100.0,1104.5,132649
2015-12-07,1108.0,1110.0,1097.0,1099.0,235708
2015-12-08,1105.0,1113.0,1095.0,1100.0,45140
2015-12-09,1101.0,1116.0,1098.0,1104.0,120365
2015-12-10,1100.0,1111.0,1099.0,1100.0,65900
2015-12-11,1100.0,1102.0,1091.45,1091.45,78455
2015-12-14,1097.0,1101.0,1095.0,1097.0,69705
2015-12-15,1100.0,1122.0,1100.0,1107.0,123293
2015-12-16,1105.0,1110.0,1096.0,1105.0,82603
2015-12-18,1111.0,1119.0,1109.0,1115.0,188136
2015-12-21,1117.0,1125.0,1109.0,1109.0,215841
2015-12-22,1116.0,1135.0,1113.0,1134.0,122830
2015-12-23,1134.0,1134.0,1124.0,1125.0,200462
2015-12-24,1126.0,1128.0,1120.0,1123.0,50851
2015-12-29,1117.0,1125.0,1100.0,1121.0,130554
2015-12-30,1114.0,1124.0,1097.0,1105.0,159857
2015-12-31,1125.0,1125.0,1098.0,1108.0,178457
2016-01-04,1129.0,1129.0,1101.0,1110.1,114373
2016-01-05,1107.0,1135.0,1107.0,1129.0,100497
2016-01-06,1125.0,1138.0,1117.0,1129.04,208353
2016-01-07,1135.0,1135.0,1117.0,1120.0,246733
2016-01-08,1126.0,1126.0,1116.0,1120.0,182609
2016-01-11,1101.0,1124.0,1101.0,1116.0,110877
2016-01-12,1120.0,1120.0,1110.0,1114.0,327634
2016-01-13,1110.0,1130.0,1110.0,1124.0,95264
2016-01-14,1115.0,1129.0,1111.0,1115.0,64774
2016-01-15,1119.0,1121.0,1111.0,1117.23,290936
2016-01-18,1115.0,1125.0,1115.0,1121.2,258851
2016-01-19,1134.0,1149.0,1121.0,1145.0,353133
2016-01-20,1120.0,1148.0,1120.0,1141.0,295954
2016-01-21,1150.0,1154.0,1133.28,1154.0,571087
2016-01-22,1160.0,1160.0,1149.0,1155.0,331886
