Date,Open,High,Low,Close,Volume
2015-02-23,500.0,501.0,497.0,499.4,2018856
2015-02-24,498.9,504.5,498.56,504.0,2641430
2015-02-25,504.0,505.0,499.9,504.5,2514346
2015-02-26,504.0,506.5,501.5,503.5,3156706
2015-02-27,501.5,507.0,500.5,504.5,2381196
2015-03-02,504.0,511.55,503.5,510.0,2679142
2015-03-03,511.5,513.5,504.4,508.0,3190025
2015-03-04,508.0,509.5,500.5,505.5,2065530
2015-03-05,505.5,509.5,501.04,506.5,2590067
2015-03-06,505.5,512.5,504.5,511.0,2546367
2015-03-09,508.0,509.32,501.5,504.5,2293906
2015-03-10,502.5,508.5,494.3,495.5,3920099
2015-03-11,495.5,498.42,488.2,496.9,3088999
2015-03-12,499.4,501.5,493.0,494.1,3255320
2015-03-13,494.0,495.8,490.2,493.6,2566463
2015-03-16,496.0,506.0,493.7,506.0,4697412
2015-03-17,507.0,507.5,500.05,505.0,2395389
2015-03-18,505.5,517.0,505.5,515.5,4034935
2015-03-19,517.0,535.0,512.5,531.5,6491203
2015-03-20,533.0,537.5,524.08,537.5,7516189
2015-03-23,537.0,537.5,530.0,536.0,2711614
2015-03-24,536.0,543.5,531.5,542.0,3697643
2015-03-25,544.0,548.5,539.0,539.5,3159831
2015-03-26,536.0,538.05,527.5,532.5,4715527
2015-03-27,534.0,539.0,528.0,530.0,3258929
2015-03-30,539.0,541.5,534.5,538.0,3426698
2015-03-31,538.0,549.5,534.5,543.51,5766223
2015-04-01,534.0,537.5,529.0,530.5,3561735
2015-04-02,552.0,565.0,548.5,554.0,9642643
2015-04-07,565.0,573.0,556.5,561.0,5882551
2015-04-08,560.0,561.0,553.0,554.5,5470017
2015-04-09,555.0,566.0,550.5,565.5,5206097
2015-04-10,567.5,577.5,566.0,575.5,5286489
2015-04-13,577.0,577.0,562.5,567.0,2415385
2015-04-14,565.5,572.5,564.68,568.0,3080397
2015-04-15,570.0,575.5,567.0,570.5,2827567
2015-04-16,573.5,574.5,567.0,568.0,2452315
2015-04-17,569.5,569.82,557.86,564.0,3774442
2015-04-20,567.5,570.0,563.0,563.5,2665080
2015-04-21,566.0,568.5,555.85,558.0,5003313
2015-04-22,559.0,564.0,550.0,556.0,3869176
2015-04-23,557.5,561.5,549.5,557.0,3641763
2015-04-24,557.0,558.0,551.68,554.5,3652938
2015-04-27,557.0,557.0,545.0,547.5,6066381
2015-04-28,547.5,555.5,539.0,555.0,6166186
2015-04-29,558.0,569.15,552.15,554.5,4711457
2015-04-30,554.5,558.5,548.5,553.5,4760741
2015-05-01,551.0,553.0,546.5,548.5,1586712
2015-05-05,554.5,556.15,547.0,548.0,4134954
2015-05-06,545.0,552.5,542.0,547.0,3521551
2015-05-07,545.5,550.11,537.0,545.5,5324586
2015-05-08,561.5,569.5,558.0,563.5,8112390
2015-05-11,561.0,570.0,560.8,564.0,2943271
2015-05-12,562.5,564.5,557.5,560.5,4182265
2015-05-13,565.5,575.0,562.5,564.5,5292039
2015-05-14,565.5,569.5,560.0,565.5,3228127
2015-05-15,568.5,571.5,563.0,568.0,4372815
2015-05-18,571.0,581.5,571.0,581.0,5255058
2015-05-19,585.0,588.0,580.5,585.5,5227238
2015-05-20,580.0,597.0,576.0,583.5,9195888
2015-05-21,586.0,595.0,584.5,593.5,5537139
2015-05-22,595.0,599.5,592.0,597.25,4346855
2015-05-26,593.5,595.0,587.0,591.5,4437323
2015-05-27,593.0,600.0,592.5,596.5,3707580
2015-05-28,583.0,599.35,582.89,587.0,3465337
2015-05-29,586.0,597.6,580.5,583.0,4482818
2015-06-01,582.0,587.0,576.5,582.0,2858511
2015-06-02,585.0,585.5,573.0,576.0,3715721
2015-06-03,576.0,583.5,576.0,581.0,3891955
2015-06-04,579.5,585.32,573.0,578.5,3455917
2015-06-05,575.0,577.0,559.0,560.0,5883045
2015-06-08,560.0,563.0,557.0,557.0,3273319
2015-06-09,558.0,558.5,552.0,555.0,2774767
2015-06-10,555.0,556.5,551.0,553.5,5300484
2015-06-11,552.5,558.5,552.5,555.5,5031254
2015-06-12,553.5,559.5,553.5,557.5,3748281
2015-06-15,555.5,555.5,549.5,551.0,3418197
2015-06-16,550.5,552.5,543.82,547.0,4048715
2015-06-17,548.5,548.5,534.5,542.0,4796361
2015-06-18,542.0,546.5,541.5,544.0,4132059
2015-06-19,546.0,551.0,543.0,543.5,5229616
2015-06-22,552.5,554.0,546.0,549.0,4351170
2015-06-23,550.5,564.11,550.5,564.0,7722364
2015-06-24,565.5,571.5,562.0,569.5,5560891
2015-06-25,568.0,570.18,562.5,564.5,4670398
2015-06-26,563.5,564.0,556.5,560.5,4062936
2015-06-29,549.0,559.5,545.5,551.0,3737746
2015-06-30,548.5,549.0,536.0,536.0,6365698
2015-07-01,541.5,547.5,540.37,545.0,4654700
2015-07-02,545.0,549.0,543.5,547.0,3445235
2015-07-03,546.5,547.5,536.5,538.5,2538604
2015-07-06,535.0,550.5,531.02,547.0,5054355
2015-07-07,557.0,557.88,534.5,535.0,6947730
2015-07-08,535.0,538.5,518.0,521.5,6806425
2015-07-09,523.5,525.0,519.0,520.5,5372440
2015-07-10,525.0,539.5,524.0,538.0,5776324
2015-07-13,546.5,549.5,541.5,547.5,4889633
2015-07-14,549.5,549.5,539.0,544.5,3351393
2015-07-15,546.0,547.5,541.5,547.0,1837080
2015-07-16,549.0,549.78,542.5,546.0,3641127
2015-07-17,546.0,546.0,538.0,539.5,3518095
2015-07-20,538.0,540.5,532.5,534.0,4606553
2015-07-21,535.0,535.99,528.0,531.5,3794944
2015-07-22,528.0,536.0,525.5,535.0,5213375
2015-07-23,540.0,540.0,527.0,527.0,2676517
2015-07-24,526.5,535.0,523.0,525.0,2940402
2015-07-27,522.0,526.0,517.5,518.5,2619111
2015-07-28,520.5,527.5,519.0,523.0,3307892
2015-07-29,527.0,531.5,524.5,531.0,3814660
2015-07-30,533.5,535.0,527.0,533.0,3130861
2015-07-31,536.5,544.0,534.5,544.0,3777956
2015-08-03,541.0,544.5,540.0,544.0,2754305
2015-08-04,544.0,545.68,540.0,544.0,2500298
2015-08-05,545.0,552.0,543.5,549.5,3525533
