Date,Open,High,Low,Close,Volume
2015-02-23,190.0,190.8,187.6,190.8,6893868
2015-02-24,190.6,192.9,189.64,191.8,5602552
2015-02-25,194.4,196.2,192.2,192.9,8681682
2015-02-26,192.8,199.35,192.62,196.3,9884020
2015-02-27,195.1,197.5,194.6,195.7,7369298
2015-03-02,195.2,199.84,194.69,198.8,8264359
2015-03-03,198.0,204.7,197.1,202.0,15591324
2015-03-04,202.2,203.4,198.8,202.8,8977051
2015-03-05,202.3,206.3,201.8,205.6,6006598
2015-03-06,205.6,206.9,204.52,206.0,8785743
2015-03-09,204.0,209.3,202.7,208.2,13411246
2015-03-10,209.2,214.8,204.0,205.1,19120036
2015-03-11,205.5,208.1,203.8,206.5,9883317
2015-03-12,209.1,210.4,198.6,207.6,18353261
2015-03-13,208.4,209.1,201.9,204.0,12350856
2015-03-16,203.2,207.0,201.2,205.8,8722628
2015-03-17,205.9,206.6,200.2,201.3,12791627
2015-03-18,200.6,203.2,199.2,203.1,8168306
2015-03-19,203.5,208.3,203.48,205.2,10342711
2015-03-20,206.5,209.3,205.9,206.3,28476817
2015-03-23,206.7,207.1,202.7,206.0,8266993
2015-03-24,206.3,208.6,205.1,206.7,4522372
2015-03-25,206.1,207.5,203.9,204.3,5290085
2015-03-26,202.7,204.9,200.9,201.7,6011650
2015-03-27,201.3,202.08,197.5,198.5,7038101
2015-03-30,200.1,200.1,194.5,196.4,11110997
2015-03-31,197.2,197.8,193.1,193.5,10125076
2015-04-01,193.2,196.5,192.1,195.1,6516587
2015-04-02,194.8,196.8,194.1,195.7,5356824
2015-04-07,197.4,199.8,196.6,198.3,7470643
2015-04-08,198.3,200.6,198.1,198.7,6898224
2015-04-09,199.8,201.8,198.1,199.9,6662701
2015-04-10,200.1,202.2,199.79,202.2,4175160
2015-04-13,201.4,202.1,199.57,200.2,3762994
2015-04-14,199.5,200.9,197.0,199.0,5807082
2015-04-15,199.8,204.4,198.6,203.6,8094590
2015-04-16,204.2,205.0,199.8,201.2,8797004
2015-04-17,201.2,202.1,197.4,198.0,6417029
2015-04-20,198.0,199.7,196.7,198.0,4805159
2015-04-21,198.5,200.3,197.7,198.5,3741592
