Date,Open,High,Low,Close,Volume
2015-02-23,980.6,981.8,970.1,979.1,7791641
2015-02-24,980.18,990.3,978.77,989.13,8723414
2015-02-25,991.6,993.2,981.1,984.2,4838190
2015-02-26,985.1,985.1,970.7,971.2,4519994
2015-02-27,971.89,973.87,965.56,967.2,5469580
2015-03-02,975.16,977.24,961.25,966.44,7044874
2015-03-03,967.5,975.1,962.2,964.9,7408277
2015-03-04,965.8,967.0,945.7,951.3,7680007
2015-03-05,960.0,961.4,953.1,960.0,6070977
2015-03-06,961.74,963.59,942.87,944.18,5294657
2015-03-09,941.24,950.84,939.4,947.89,5387345
2015-03-10,949.1,953.5,929.0,929.0,7461570
2015-03-11,932.3,942.1,928.5,931.0,6703868
2015-03-12,932.1,937.1,929.0,933.3,8720860
2015-03-13,932.7,932.7,919.2,928.0,7720297
2015-03-16,928.4,929.9,924.3,928.6,8175816
2015-03-17,927.3,942.8,924.0,942.8,8922744
2015-03-18,946.36,961.09,943.57,961.09,8198660
2015-03-19,970.47,973.89,964.14,969.06,7240541
2015-03-20,970.9,974.6,967.2,970.0,9712414
2015-03-23,969.49,974.18,942.34,972.87,5458262
2015-03-24,974.5,977.3,968.9,973.0,4747619
2015-03-25,975.71,978.76,935.39,975.93,4265436
2015-03-26,972.44,979.42,959.74,962.29,5327906
2015-03-27,963.2,969.8,957.5,961.6,5010475
2015-03-30,971.24,971.24,961.71,964.8,5123158
2015-03-31,964.8,974.5,943.3,943.3,9036631
2015-04-01,944.7,961.5,942.1,958.4,7170742
2015-04-02,967.2,967.2,954.3,956.6,4533183
2015-04-07,970.36,977.46,963.26,974.51,5299136
2015-04-08,972.98,979.12,965.67,968.95,4078465
2015-04-09,975.71,987.27,971.36,987.27,5296795
2015-04-10,993.3,993.7,983.9,990.0,5147592
2015-04-13,989.8,991.7,984.3,984.8,3852414
2015-04-14,981.8,992.2,981.3,988.1,3954966
2015-04-15,985.3,985.3,974.0,980.3,4502240
2015-04-16,987.05,992.92,980.29,980.73,8502801
2015-04-17,981.8,988.4,966.5,968.3,6409173
2015-04-20,971.46,977.24,966.9,976.26,3517245
2015-04-21,981.8,986.0,971.9,978.4,3882170
2015-04-22,977.67,979.8,958.47,964.14,5329163
2015-04-23,965.1,974.2,964.3,969.6,4394154
2015-04-24,973.2,989.8,971.1,988.5,5352873
2015-04-27,986.84,989.14,975.27,982.91,6375591
2015-04-28,983.5,985.7,973.7,979.1,4522933
2015-04-29,984.0,991.6,958.3,958.3,5989198
2015-04-30,973.6,973.6,953.2,958.9,5721054
2015-05-01,954.76,971.56,948.75,966.87,5312447
2015-05-05,981.8,981.8,950.1,950.1,8322403
2015-05-06,958.5,960.0,946.8,948.5,5547416
2015-05-07,948.3,950.8,928.9,949.4,7116874
2015-05-08,962.4,988.9,960.0,988.3,8869454
2015-05-11,984.87,993.93,980.57,987.82,5407763
2015-05-12,980.18,980.73,961.29,971.56,7132349
2015-05-13,976.5,978.0,959.6,962.3,5075810
2015-05-14,959.0,969.2,953.7,964.5,5767000
2015-05-15,968.62,976.58,966.44,974.84,5698159
2015-05-18,978.1,981.7,970.4,976.4,5013591
2015-05-19,980.84,985.86,977.2,982.14,5228108
2015-05-20,982.8,988.9,975.5,985.4,6891515
2015-05-21,983.1,993.3,979.2,991.7,5762927
2015-05-22,992.7,1004.5,988.5,1002.0,4507604
2015-05-26,1004.73,1005.57,984.33,987.82,5930684
2015-05-27,992.8,1017.1,991.1,1013.5,7970824
2015-05-28,1011.8,1020.4,1007.2,1020.4,6583862
2015-05-29,1020.3,1026.4,1013.7,1018.9,10058494
2015-06-01,1021.0,1023.2,1011.5,1014.2,4773192
2015-06-02,1017.8,1018.5,1001.5,1006.1,8200979
2015-06-03,1010.5,1013.5,987.5,998.7,7746832
2015-06-04,956.29,961.74,941.76,948.0,9431772
2015-06-05,945.7,947.0,934.7,934.9,6955086
2015-06-08,938.2,942.3,934.3,937.3,6260478
2015-06-09,938.9,939.2,925.2,925.2,6952189
2015-06-10,922.9,934.4,922.0,931.6,7109711
2015-06-11,927.8,942.2,924.0,938.4,5632082
2015-06-12,936.3,940.0,928.0,933.1,5213188
2015-06-15,924.0,929.0,922.9,925.7,6033491
2015-06-16,931.64,946.75,926.62,936.0,9456916
2015-06-17,938.2,938.4,929.2,932.7,4626367
2015-06-18,931.6,938.4,930.9,938.4,6700766
2015-06-19,936.55,938.47,931.64,934.36,13409470
2015-06-22,947.78,947.84,928.25,939.27,10183367
2015-06-23,942.4,942.4,932.2,934.4,7071801
2015-06-24,937.1,938.7,928.1,931.7,5497680
2015-06-25,932.73,934.8,917.34,926.07,7306788
2015-06-26,927.93,927.96,917.78,924.76,7488311
2015-06-29,900.0,919.1,900.0,908.2,9038830
2015-06-30,903.8,907.3,891.5,891.5,9848382
2015-07-01,897.93,899.16,890.73,892.04,10121962
2015-07-02,893.6,910.6,889.9,909.3,8026099
2015-07-03,909.3,914.3,899.5,903.3,4520047
2015-07-06,894.5,909.4,894.5,898.9,6495825
2015-07-07,902.8,907.9,900.4,901.0,7990796
2015-07-08,902.4,917.46,900.88,915.93,7370581
2015-07-09,919.96,930.73,917.33,923.89,7217682
2015-07-10,931.7,934.1,922.4,932.9,7370274
2015-07-13,934.4,936.7,926.8,928.5,6887547
2015-07-14,928.04,930.75,923.37,930.66,5340194
2015-07-15,929.2,939.6,925.7,936.1,4286982
2015-07-16,943.1,943.1,934.6,942.1,4860718
2015-07-17,943.6,944.3,932.9,936.7,4377751
2015-07-20,938.1,943.0,935.9,937.5,2988230
2015-07-21,938.1,941.2,925.0,927.3,4258280
2015-07-22,921.7,925.3,912.8,913.3,5287024
2015-07-23,920.2,920.2,911.8,914.3,4191608
2015-07-24,913.86,924.87,910.98,912.87,3642802
2015-07-27,914.1,919.9,911.7,911.7,5364171
2015-07-28,914.4,915.3,904.45,908.4,5128910
2015-07-29,909.1,917.8,907.1,915.5,6260341
2015-07-30,917.78,923.91,914.29,919.31,4482956
2015-07-31,922.7,931.6,916.0,930.7,6289107
2015-08-03,928.7,933.7,926.0,929.8,2990966
2015-08-04,927.4,933.9,922.0,930.1,3762595
2015-08-05,930.0,936.3,926.5,932.8,4713594
2015-08-06,931.0,943.9,929.0,941.2,3723257
2015-08-07,942.1,942.1,933.1,938.7,4845733
2015-08-10,944.3,947.1,930.2,938.4,3109690
2015-08-11,934.4,936.5,923.6,934.3,5571040
2015-08-12,931.5,939.4,925.3,939.4,8851653
2015-08-13,949.5,959.0,943.4,946.0,6340351
2015-08-14,948.0,951.4,943.6,948.5,4015358
2015-08-17,953.3,961.7,948.7,959.1,4714588
2015-08-18,960.0,962.8,953.1,958.4,5578002
2015-08-19,956.0,959.0,952.7,954.1,5398396
2015-08-20,949.0,959.1,946.0,955.1,5245866
2015-08-21,945.2,954.7,932.0,932.0,8353124
2015-08-24,913.64,933.39,879.71,893.13,15767217
2015-08-25,904.5,924.3,902.2,921.8,11839458
2015-08-26,910.7,915.1,900.9,900.9,6169512
2015-08-27,922.6,930.0,916.0,929.0,6854082
2015-08-28,927.27,938.29,909.0,938.29,5133834
2015-09-01,936.4,940.5,925.7,926.6,7306810
2015-09-02,931.09,941.02,923.84,926.4,6852663
2015-09-03,940.36,940.91,931.13,936.65,6019799
2015-09-04,931.6,932.9,920.7,920.7,6037836
2015-09-07,927.4,933.6,927.4,928.1,2975037
2015-09-08,932.62,945.33,929.35,937.09,4254445
2015-09-09,948.8,954.2,940.1,942.1,5468332
2015-09-10,936.3,941.7,933.6,939.7,6155088
2015-09-11,938.7,939.8,927.2,927.6,4010687
2015-09-14,932.9,938.5,918.9,922.1,5450657
2015-09-15,922.9,926.0,910.3,922.3,5367166
2015-09-16,925.96,933.3,925.53,929.67,6438484
2015-09-17,928.7,932.1,920.5,927.9,6166192
2015-09-18,930.7,936.1,898.9,928.6,10120399
2015-09-21,930.0,941.34,925.68,932.84,4488917
2015-09-22,930.98,934.47,925.39,929.02,7243607
2015-09-23,928.7,945.3,927.8,940.4,4666008
2015-09-24,940.9,951.6,935.0,948.1,6573503
2015-09-25,959.1,973.7,958.0,971.9,7816164
2015-09-28,970.9,983.0,964.9,979.6,7699161
2015-09-29,975.16,990.87,970.35,982.8,6864283
2015-09-30,994.1,1002.4,989.2,1002.4,8782978
2015-10-01,1006.36,1013.35,999.06,1006.17,8680100
2015-10-02,1010.2,1016.7,1006.1,1016.7,7733409
2015-10-05,1033.1,1033.1,1012.9,1019.3,8447429
2015-10-06,1024.4,1026.4,1013.7,1020.9,6584168
2015-10-07,1022.2,1025.3,1010.7,1011.3,8590265
2015-10-08,1009.6,1019.7,1001.1,1019.7,7308429
2015-10-09,1016.9,1018.9,996.5,996.5,10025470
2015-10-12,995.67,997.46,984.44,991.53,8253481
2015-10-13,991.3,993.9,979.7,991.6,7940777
2015-10-14,989.46,998.4,985.52,989.67,4468547
2015-10-15,996.0,1023.37,989.67,1003.96,6299205
2015-10-16,1007.02,1013.56,1003.96,1012.8,4015065
2015-10-19,1014.3,1019.1,1003.2,1009.9,2900512
2015-10-20,1012.4,1017.4,1008.4,1016.2,3056141
2015-10-21,1019.1,1023.1,1008.8,1011.8,3634232
2015-10-22,1011.82,1016.84,1009.53,1013.89,4417088
2015-10-23,1022.1,1025.1,1014.5,1018.9,4392976
2015-10-26,1015.6,1025.1,1009.7,1024.4,3603849
2015-10-27,1021.0,1022.5,1016.6,1017.8,3771410
2015-10-28,1019.02,1022.74,1017.82,1020.66,5588074
2015-10-29,1017.8,1017.8,1000.1,1011.2,5527637
2015-10-30,1011.8,1016.2,1005.8,1008.9,4855015
2015-11-02,1008.0,1016.18,1002.61,1007.13,3235711
2015-11-03,1010.7,1010.7,996.0,1000.0,4395470
2015-11-04,1002.1,1011.8,997.4,1006.6,4786969
2015-11-05,1008.0,1020.12,1000.91,1011.6,4139106
2015-11-06,1009.1,1010.6,972.1,975.5,8954620
2015-11-09,974.2,985.6,971.6,977.5,6671428
2015-11-10,1001.6,1007.7,990.9,992.0,6973385
2015-11-11,992.2,1005.8,984.7,989.2,6198497
2015-11-12,990.1,1007.7,989.1,999.3,7654347
2015-11-13,995.6,996.7,982.9,990.8,5704772
2015-11-16,984.44,995.02,980.69,995.02,4036842
2015-11-17,1004.29,1010.66,995.02,1009.42,4005471
2015-11-18,1008.4,1010.7,993.7,1006.8,4616614
