Date,Open,High,Low,Close,Volume
2015-02-23,511.5,511.5,506.0,508.0,27949
2015-02-24,496.3,533.0,496.3,520.0,88404
2015-02-25,515.0,575.0,515.0,557.0,106066
2015-02-26,568.0,571.56,545.0,571.0,64930
2015-02-27,570.5,588.0,560.78,582.15,43477
2015-03-02,584.5,586.5,576.0,585.5,30853
2015-03-03,590.0,596.0,581.34,592.5,34523
2015-03-04,580.5,603.45,580.5,593.0,60190
2015-03-05,604.5,612.5,589.0,607.5,31409
2015-03-06,604.0,612.5,603.0,612.5,21828
2015-03-09,600.0,636.0,598.5,630.0,52745
2015-03-10,640.0,662.35,625.0,645.5,52500
2015-03-11,632.5,640.75,632.25,640.0,23067
2015-03-12,625.0,650.0,625.0,648.0,20665
2015-03-13,650.0,670.0,636.0,642.5,34066
2015-03-16,642.0,654.5,635.0,643.0,61404
2015-03-17,642.0,647.0,639.5,643.5,12521
2015-03-18,650.5,664.0,649.5,650.0,25931
2015-03-19,652.5,652.5,642.08,648.0,9858
2015-03-20,656.5,656.5,643.0,646.0,49853
2015-03-23,653.0,653.0,645.49,649.5,31743
2015-03-24,656.5,661.61,650.5,655.0,44740
2015-03-25,662.0,662.0,649.0,650.0,51433
2015-03-26,645.5,650.0,640.5,648.0,26298
2015-03-27,640.0,649.0,637.9,644.5,9830
2015-03-30,660.0,676.0,633.45,675.0,65261
2015-03-31,674.0,674.0,653.0,664.5,19667
2015-04-01,666.0,666.0,632.89,638.0,37650
2015-04-02,655.0,655.0,635.0,651.0,21800
2015-04-07,653.0,671.0,647.0,665.0,60766
2015-04-08,667.0,698.0,661.0,695.5,54269
2015-04-09,685.0,698.35,656.19,674.5,85694
2015-04-10,665.0,680.13,665.0,676.0,28818
2015-04-13,685.0,692.0,672.0,691.0,58285
2015-04-14,704.5,704.5,669.5,688.0,49758
2015-04-15,690.0,718.0,670.62,705.5,58910
2015-04-16,700.0,747.0,699.5,726.0,80605
2015-04-17,715.0,723.0,673.78,689.0,29338
2015-04-20,689.0,689.0,675.0,679.5,61251
2015-04-21,665.0,681.77,665.0,669.5,43457
2015-04-22,675.0,680.0,659.25,675.0,34087
2015-04-23,658.0,680.77,658.0,677.0,21254
2015-04-24,658.5,678.5,658.5,674.5,12292
2015-04-27,659.5,681.5,657.0,676.0,34450
2015-04-28,685.0,685.0,632.88,658.5,32311
2015-04-29,678.0,710.5,676.5,710.5,55968
2015-04-30,718.0,765.0,704.0,762.0,26860
2015-05-01,771.5,771.5,750.5,767.0,3723
2015-05-05,780.0,780.0,752.68,777.5,54367
2015-05-06,779.5,780.0,756.0,760.0,27670
2015-05-07,750.0,774.0,750.0,761.0,38397
2015-05-08,777.0,818.5,765.5,817.0,93092
2015-05-11,820.0,869.5,815.0,860.0,77737
2015-05-12,856.0,860.5,813.87,844.5,78094
2015-05-13,827.5,880.0,827.5,875.0,37743
2015-05-14,865.0,880.07,858.0,871.5,69995
2015-05-15,858.5,879.36,858.5,874.0,28467
2015-05-18,875.0,875.0,849.88,854.0,18546
2015-05-19,852.5,860.0,843.3,847.0,51255
2015-05-20,860.0,860.0,825.67,826.45,40694
2015-05-21,825.0,855.0,825.0,830.5,21033
2015-05-22,851.0,851.0,826.05,839.5,7467
2015-05-26,839.5,840.0,825.5,827.0,21985
2015-05-27,840.0,840.0,804.8,811.5,18261
2015-05-28,796.5,805.5,790.0,795.0,25963
2015-05-29,800.0,800.0,760.5,760.5,48971
2015-06-01,762.5,775.0,762.5,768.5,12608
2015-06-02,787.0,797.28,760.0,790.0,53370
2015-06-03,800.0,800.0,784.0,790.0,72849
2015-06-04,800.0,800.0,780.0,780.0,17149
2015-06-05,781.0,792.5,772.8,780.0,23448
2015-06-08,781.5,789.0,771.5,781.5,8793
2015-06-09,767.0,793.1,765.0,786.0,15464
2015-06-10,789.0,796.63,775.5,778.5,36718
2015-06-11,776.5,785.0,772.2,785.0,8819
2015-06-12,787.5,794.6,770.5,780.5,16041
2015-06-15,790.0,802.5,780.0,780.0,89487
2015-06-16,782.0,800.0,781.0,790.0,43513
2015-06-17,808.5,815.0,793.0,800.0,254540
2015-06-18,797.5,829.5,795.0,829.5,138233
2015-06-19,837.5,838.66,808.5,815.0,168475
2015-06-22,833.5,833.5,804.0,815.0,28473
2015-06-23,815.0,815.0,791.5,808.0,44495
2015-06-24,809.0,809.0,789.5,800.0,37533
2015-06-25,785.0,798.5,785.0,790.0,48837
2015-06-26,795.0,795.0,792.5,795.0,25800
2015-06-29,782.5,795.0,782.5,795.0,34022
2015-06-30,780.0,795.0,780.0,795.0,49807
2015-07-01,780.0,813.5,780.0,801.5,20629
2015-07-02,782.0,827.5,782.0,814.0,46447
2015-07-03,813.0,822.38,810.0,813.0,5846
2015-07-06,830.5,830.5,793.45,795.0,91587
2015-07-07,815.0,815.0,799.5,800.0,21613
2015-07-08,807.5,807.5,797.5,799.0,19668
2015-07-09,800.0,801.0,798.5,799.0,8699
2015-07-10,802.0,812.5,794.0,800.0,39722
2015-07-13,815.0,815.0,787.8,800.0,18927
2015-07-14,815.0,815.0,800.0,800.0,9377
2015-07-15,780.0,804.0,780.0,796.0,19932
2015-07-16,797.5,801.0,797.5,800.5,87957
2015-07-17,801.0,802.5,799.5,801.0,23190
2015-07-20,799.0,849.0,799.0,825.0,49012
2015-07-21,835.0,883.0,829.96,855.16,62644
2015-07-22,860.0,860.0,829.5,841.5,37812
2015-07-23,850.0,860.0,846.66,848.0,15399
2015-07-24,848.0,850.5,829.5,833.0,14746
2015-07-27,815.0,844.65,815.0,833.0,17218
2015-07-28,854.5,883.26,847.5,871.0,67656
2015-07-29,873.0,909.33,871.5,889.0,78680
2015-07-30,889.0,906.5,862.45,881.5,118268
2015-07-31,891.0,909.5,879.0,879.0,23435
