Date,Open,High,Low,Close,Volume
2015-02-23,7355.0,7425.0,7326.5,7390.0,246239
2015-02-24,7390.0,7446.68,7367.24,7415.0,244916
2015-02-25,7410.0,7450.0,7380.0,7410.0,163542
2015-02-26,7405.0,7440.0,7375.0,7425.0,228999
2015-02-27,7405.0,7525.0,7394.95,7495.0,311921
2015-03-02,7475.0,7550.0,7450.5,7510.0,231225
2015-03-03,7530.0,7560.0,7415.0,7420.0,218968
2015-03-04,7420.0,7500.0,7415.0,7500.0,188211
2015-03-05,7500.0,7600.0,7485.0,7555.0,287053
2015-03-06,7550.0,7585.0,7480.0,7530.0,242770
2015-03-09,7490.0,7530.0,7455.0,7510.0,261474
2015-03-10,7480.0,7515.0,7345.0,7345.0,392587
2015-03-11,7340.0,7415.0,7305.0,7360.0,309869
2015-03-12,7390.0,7441.42,7340.0,7395.0,245272
2015-03-13,7390.0,7435.25,7310.0,7350.0,378097
2015-03-16,7375.0,7563.11,7375.0,7555.0,399089
2015-03-17,7545.0,7573.75,7448.49,7515.0,290581
2015-03-18,7490.0,7625.0,7490.0,7620.0,443768
2015-03-19,7440.0,7445.0,7072.97,7315.0,916554
2015-03-20,7330.0,7350.0,7147.21,7275.0,738730
2015-03-23,7290.0,7295.0,7145.0,7220.0,479959
2015-03-24,7230.0,7325.0,7214.25,7225.0,521070
2015-03-25,7285.0,7360.0,7210.0,7225.0,359435
2015-03-26,7175.0,7200.0,7065.0,7120.0,413558
2015-03-27,7125.0,7211.4,7040.18,7050.0,317324
2015-03-30,7105.0,7150.0,7020.0,7100.0,369913
2015-03-31,7115.0,7230.0,6975.0,7025.0,628834
2015-04-01,7025.0,7080.0,6995.0,7000.0,364869
2015-04-02,7020.0,7075.0,6997.13,7055.0,264173
2015-04-07,7060.0,7155.0,7045.0,7080.0,294279
2015-04-08,7055.0,7130.0,7038.0,7080.0,325967
2015-04-09,7050.0,7105.0,6935.0,7050.0,402589
2015-04-10,7055.0,7090.0,7003.0,7042.77,352685
2015-04-13,7080.0,7091.0,7015.0,7040.0,252544
2015-04-14,7020.0,7140.0,7010.0,7110.0,400112
2015-04-15,7330.0,7360.0,7195.0,7285.0,678610
2015-04-16,7335.0,7335.0,7240.0,7285.0,557416
2015-04-17,7285.0,7310.0,7173.25,7220.0,378852
2015-04-20,7245.0,7330.0,7205.0,7220.0,286543
2015-04-21,7230.0,7256.5,7165.0,7180.0,456679
2015-04-22,7205.0,7215.0,7080.0,7140.0,564499
2015-04-23,7155.0,7210.0,7125.0,7160.0,618123
2015-04-24,7180.0,7210.0,7135.0,7175.0,436270
2015-04-27,7205.0,7240.0,7095.0,7215.0,333828
