Date,Open,High,Low,Close,Volume
2015-02-23,219.0,220.1,217.8,220.1,5544054
2015-02-24,219.4,221.8,218.3,221.5,5836033
2015-02-25,222.0,223.82,220.86,222.1,6332402
2015-02-26,221.9,223.3,220.2,223.2,7377392
2015-02-27,224.9,226.5,224.2,225.1,8760535
2015-03-02,225.2,227.0,223.5,224.7,7011935
2015-03-03,224.4,225.7,222.3,222.3,8137763
2015-03-04,223.2,223.9,221.2,223.9,8490063
2015-03-05,225.1,228.54,225.0,226.8,8333936
2015-03-06,226.7,228.1,225.9,227.1,7853335
2015-03-09,225.2,226.0,224.64,225.7,6183478
2015-03-10,223.4,224.9,217.7,217.8,10641505
2015-03-11,219.3,220.9,217.9,220.2,8814602
2015-03-12,221.7,225.9,221.6,223.6,9423327
2015-03-13,224.6,225.5,220.7,222.4,7930933
2015-03-16,223.0,227.4,223.0,227.0,5702484
2015-03-17,227.8,228.7,224.7,226.2,5485898
2015-03-18,226.2,229.8,225.9,229.5,6324968
2015-03-19,230.5,233.9,228.4,230.2,10034274
2015-03-20,231.0,232.2,228.4,231.7,9328467
2015-03-23,230.0,231.5,229.4,231.2,3968758
2015-03-24,231.2,236.3,230.6,234.8,7766695
2015-03-25,234.8,235.6,233.2,233.3,5034668
2015-03-26,231.7,231.74,226.3,227.9,7096454
2015-03-27,228.0,228.0,224.4,224.7,7894349
2015-03-30,227.2,228.0,225.7,227.0,8435451
2015-03-31,227.1,228.4,221.9,222.1,10186093
2015-04-01,222.0,226.0,221.93,225.2,8428489
2015-04-02,224.8,228.04,224.7,227.4,6477876
2015-04-07,228.4,233.5,228.0,232.2,7192091
2015-04-08,231.5,234.6,231.4,232.5,7605291
2015-04-09,234.5,235.8,233.6,235.4,5667960
2015-04-10,236.0,237.13,234.4,236.8,6295614
2015-04-13,236.8,237.2,234.4,235.3,5293792
2015-04-14,234.2,236.4,234.2,235.4,5746569
2015-04-15,236.0,237.4,232.0,236.1,21380955
2015-04-16,237.9,241.6,236.6,240.3,14916359
2015-04-17,239.8,240.3,235.6,236.4,13369118
2015-04-20,237.2,239.33,235.8,236.7,7777171
2015-04-21,239.3,240.2,237.0,238.5,8550060
2015-04-22,239.6,240.8,234.4,237.5,9931400
2015-04-23,231.2,232.0,225.0,231.1,11208526
2015-04-24,230.8,232.3,230.2,231.0,10523601
2015-04-27,231.1,231.7,227.3,230.4,9021526
2015-04-28,229.6,232.0,227.8,232.0,17584467
2015-04-29,233.7,235.9,231.9,232.8,15220532
2015-04-30,232.4,234.9,231.5,234.9,12887971
2015-05-01,233.9,234.9,229.2,233.0,5330427
2015-05-05,234.6,235.2,230.7,230.7,10886710
2015-05-06,229.7,232.4,229.3,230.0,9125645
2015-05-07,229.7,229.7,224.4,228.9,12553388
2015-05-08,231.6,234.1,229.2,234.1,11286639
2015-05-11,233.1,234.7,232.2,232.7,6503025
2015-05-12,231.5,231.5,224.9,226.6,10508136
2015-05-13,227.1,228.5,225.9,227.2,6779414
2015-05-14,228.0,230.6,227.0,230.5,7715972
2015-05-15,231.4,232.4,228.3,229.8,7457995
2015-05-18,229.3,231.1,227.8,229.8,6131052
2015-05-19,230.8,236.1,230.8,236.1,8678323
2015-05-20,234.0,234.1,231.2,233.4,9736380
2015-05-21,232.9,234.5,232.9,234.2,5908308
2015-05-22,235.4,236.9,234.5,235.3,6564909
2015-05-26,235.2,235.5,229.8,231.0,8691859
2015-05-27,233.2,233.2,225.8,229.0,13919571
2015-05-28,228.9,229.3,224.7,226.5,8397890
2015-05-29,225.4,226.6,220.1,221.1,15069966
2015-06-01,222.3,222.8,217.9,218.5,8584438
2015-06-02,219.5,219.5,214.0,215.9,10737169
2015-06-03,216.0,216.6,212.9,215.1,12835962
2015-06-04,213.9,214.0,210.1,211.9,10523922
2015-06-05,211.2,211.3,208.6,210.1,9423002
2015-06-08,210.6,210.82,208.5,208.6,6571270
2015-06-09,208.0,209.0,206.5,207.2,9367869
2015-06-10,207.0,212.4,206.6,211.8,12088578
2015-06-11,210.8,214.2,210.5,211.6,10484577
2015-06-12,210.0,210.7,206.7,207.9,7860115
2015-06-15,206.8,207.6,203.8,203.9,5638327
2015-06-16,203.6,204.6,201.6,203.2,5317241
2015-06-17,203.0,204.7,200.3,201.4,7816354
2015-06-18,200.4,204.6,200.3,203.9,10857951
2015-06-19,205.0,206.2,203.3,204.5,14338512
2015-06-22,206.4,209.1,205.5,208.9,7066131
2015-06-23,209.8,210.9,208.8,208.9,6686291
2015-06-24,210.3,210.3,207.9,209.2,8320812
2015-06-25,209.0,211.4,208.3,209.5,10246300
2015-06-26,208.6,210.8,207.6,209.4,7176384
2015-06-29,202.6,206.3,200.7,203.6,7409334
2015-06-30,202.1,205.4,200.8,201.5,14483402
2015-07-01,202.9,207.3,202.2,205.9,9455877
2015-07-02,206.0,206.6,204.4,205.7,5753077
2015-07-03,204.8,206.6,204.5,204.5,3888981
2015-07-06,202.4,204.8,202.4,203.7,6194698
2015-07-07,204.8,206.0,199.0,199.0,13421156
2015-07-08,199.1,204.5,198.2,204.5,10299859
2015-07-09,205.0,210.4,205.0,209.7,6057510
2015-07-10,213.0,215.1,212.4,214.6,7178213
2015-07-13,217.6,218.2,215.5,218.2,7374190
2015-07-14,218.3,218.6,215.3,216.7,5595223
2015-07-15,215.7,218.0,215.4,217.2,4213902
2015-07-16,217.9,220.0,216.5,219.3,5286475
2015-07-17,219.6,219.7,218.1,219.0,5119631
2015-07-20,218.6,220.3,218.1,219.2,3398282
2015-07-21,219.6,219.9,218.5,219.2,4271311
2015-07-22,216.9,219.2,215.2,215.6,6404832
2015-07-23,216.3,217.5,214.64,216.3,7463170
2015-07-24,215.4,216.2,211.0,211.1,7485411
2015-07-27,210.7,212.2,208.4,208.8,6945277
2015-07-28,210.1,211.6,209.1,210.0,7517663
2015-07-29,210.7,211.9,209.2,211.3,6010575
2015-07-30,211.9,213.5,211.2,212.8,6702284
2015-07-31,213.9,213.9,210.8,212.1,10665894
