Date,Open,High,Low,Close,Volume
2015-02-23,1682.0,1718.0,1682.0,1710.0,837938
2015-02-24,1710.0,1714.1,1603.0,1650.0,1726436
2015-02-25,1650.0,1687.0,1640.0,1684.0,1066281
2015-02-26,1679.0,1758.0,1679.0,1758.0,2369197
2015-02-27,1752.0,1776.0,1745.0,1764.0,1613233
2015-03-02,1758.0,1795.0,1757.0,1769.0,1516739
2015-03-03,1781.0,1791.0,1752.0,1753.0,1246042
2015-03-04,1753.0,1777.0,1738.0,1776.0,849728
2015-03-05,1784.0,1793.0,1758.0,1764.0,894333
2015-03-06,1757.0,1781.0,1747.0,1748.0,853186
2015-03-09,1741.0,1750.0,1717.0,1741.0,1134712
2015-03-10,1734.0,1762.0,1702.0,1702.0,1194448
2015-03-11,1702.0,1723.0,1691.36,1715.0,894823
2015-03-12,1724.0,1749.0,1715.0,1744.44,724910
2015-03-13,1737.0,1753.0,1721.0,1741.0,807645
2015-03-16,1729.0,1754.0,1729.0,1743.0,840530
2015-03-17,1739.0,1751.0,1722.0,1744.0,655316
2015-03-18,1740.0,1764.46,1736.0,1760.0,1450426
2015-03-19,1764.0,1782.0,1754.0,1778.0,1333497
2015-03-20,1679.0,1695.28,1663.98,1680.27,1524617
2015-03-23,1681.0,1699.74,1670.0,1675.0,696801
2015-03-24,1676.0,1726.0,1673.04,1716.0,1114825
2015-03-25,1711.0,1732.0,1684.0,1698.0,1396484
2015-03-26,1686.0,1699.0,1672.0,1698.0,1352369
2015-03-27,1702.0,1728.0,1664.0,1667.0,1102341
2015-03-30,1683.0,1696.0,1628.18,1647.0,1195476
2015-03-31,1652.0,1696.0,1647.0,1663.0,1615957
2015-04-01,1662.0,1681.29,1641.0,1647.0,1125871
2015-04-02,1630.0,1662.0,1615.0,1650.0,885192
2015-04-07,1662.0,1683.0,1660.83,1681.0,887401
2015-04-08,1676.0,1688.45,1651.2,1680.0,1553339
2015-04-09,1688.0,1735.0,1682.32,1733.0,885515
2015-04-10,1740.0,1765.0,1730.0,1757.0,1017421
2015-04-13,1749.0,1763.0,1726.0,1761.0,1008209
2015-04-14,1753.0,1765.0,1736.0,1749.0,688547
2015-04-15,1759.0,1762.0,1742.0,1760.0,676782
2015-04-16,1767.0,1767.0,1719.0,1733.0,1125769
2015-04-17,1737.0,1764.56,1721.0,1733.0,951698
2015-04-20,1742.0,1753.0,1695.0,1716.0,1421849
2015-04-21,1733.0,1765.0,1725.55,1761.0,1050066
2015-04-22,1765.0,1779.0,1735.44,1752.0,1037231
2015-04-23,1752.0,1767.0,1720.0,1756.0,1201558
2015-04-24,1765.0,1779.0,1745.0,1759.0,961329
2015-04-27,1759.0,1764.0,1726.3,1760.0,806792
2015-04-28,1760.0,1765.0,1704.85,1723.0,828205
2015-04-29,1732.0,1745.0,1674.0,1682.0,1002996
2015-04-30,1682.0,1710.0,1663.92,1700.0,1630122
2015-05-01,1698.0,1702.0,1652.0,1691.0,477877
2015-05-05,1717.0,1718.0,1647.44,1655.0,1600445
2015-05-06,1646.0,1663.0,1628.0,1638.0,1618349
2015-05-07,1624.0,1658.0,1604.0,1653.0,1577928
2015-05-08,1750.0,1900.0,1614.77,1746.0,3006531
2015-05-11,1748.0,1783.56,1735.0,1768.0,1303668
2015-05-12,1752.0,1761.72,1734.0,1748.0,1442761
2015-05-13,1758.0,1832.0,1754.0,1820.0,2025380
2015-05-14,1815.0,1830.0,1801.0,1828.0,1550438
2015-05-15,1835.0,1874.0,1834.8,1848.0,1250962
2015-05-18,1850.0,1876.36,1847.0,1874.0,806550
2015-05-19,1877.0,1915.0,1877.0,1900.0,908816
2015-05-20,1900.0,1929.0,1886.0,1924.0,1072013
2015-05-21,1919.0,1928.0,1903.0,1925.0,771404
2015-05-22,1931.0,1943.0,1914.0,1936.0,741038
2015-05-26,1930.0,1961.0,1919.0,1930.0,1125243
2015-05-27,1928.0,1963.0,1928.0,1958.0,940070
2015-05-28,1962.0,1995.0,1956.0,1966.0,1194959
2015-05-29,1975.0,1988.0,1942.0,1962.0,1527436
2015-06-01,1964.0,1987.0,1953.44,1974.0,1088881
2015-06-02,1987.0,1991.0,1947.0,1953.0,1431689
2015-06-03,1968.0,1982.2,1952.0,1970.0,1306508
2015-06-04,1970.0,1975.0,1937.0,1945.0,1337220
2015-06-05,1936.0,1936.0,1897.0,1910.0,905807
