Date,Open,High,Low,Close,Volume
2015-02-23,1396.0,1415.0,1394.0,1413.0,1961852
2015-02-24,1416.0,1424.0,1403.0,1411.0,1619589
2015-02-25,1407.0,1419.0,1405.0,1413.0,1719317
2015-02-26,1408.0,1409.75,1373.0,1396.0,2264619
2015-02-27,1386.0,1438.0,1386.0,1420.0,2481955
2015-03-02,1430.0,1432.5,1413.0,1424.0,1729823
2015-03-03,1426.0,1433.0,1409.64,1423.22,2140161
2015-03-04,1410.0,1431.0,1391.0,1431.0,2758701
2015-03-05,1432.0,1457.0,1427.0,1454.0,2418750
2015-03-06,1453.0,1455.0,1438.0,1450.0,2025445
2015-03-09,1447.0,1457.0,1437.0,1451.0,1631107
2015-03-10,1449.0,1463.0,1432.68,1443.0,2939801
2015-03-11,1447.0,1462.0,1447.0,1451.0,2352727
2015-03-12,1456.0,1466.0,1443.0,1448.0,2539373
2015-03-13,1451.0,1466.36,1443.0,1454.0,2296913
2015-03-16,1461.0,1485.0,1459.3,1481.0,1579892
2015-03-17,1487.0,1494.0,1474.0,1477.0,2517946
2015-03-18,1479.0,1504.0,1469.0,1502.0,1912867
2015-03-19,1506.0,1506.0,1477.0,1493.0,2858342
2015-03-20,1494.0,1503.68,1485.95,1492.0,4006247
2015-03-23,1488.0,1492.0,1478.0,1491.0,1622399
2015-03-24,1486.0,1515.0,1485.0,1508.0,2119245
2015-03-25,1510.0,1517.42,1493.0,1498.0,2287969
2015-03-26,1495.0,1502.0,1418.44,1479.0,2954778
2015-03-27,1483.0,1485.0,1393.42,1465.0,3183195
2015-03-30,1479.0,1500.28,1462.0,1480.0,2216090
2015-03-31,1482.0,1484.0,1442.0,1451.0,3161704
2015-04-01,1451.0,1478.0,1436.0,1443.0,2543390
2015-04-02,1422.0,1465.0,1422.0,1436.0,2431620
2015-04-07,1439.0,1468.0,1432.0,1443.0,2465067
2015-04-08,1435.0,1447.0,1431.0,1431.0,2355689
2015-04-09,1445.0,1485.0,1437.0,1466.0,2756540
2015-04-10,1468.0,1475.0,1452.0,1471.0,1772245
2015-04-13,1453.0,1465.0,1432.0,1443.0,2198464
2015-04-14,1436.0,1443.0,1416.0,1425.0,2561134
2015-04-15,1431.0,1433.0,1421.0,1427.0,1950309
2015-04-16,1429.0,1430.0,1368.0,1370.0,5120862
