Date,Open,High,Low,Close,Volume
2015-02-23,5695.0,5750.0,5675.0,5745.0,770985
2015-02-24,5765.0,5795.0,5745.0,5775.0,890650
2015-02-25,5775.0,5805.0,5680.0,5705.0,1033422
2015-02-26,5715.0,5805.0,5665.0,5790.0,848799
2015-02-27,5830.0,5880.0,5810.0,5860.0,1572879
2015-03-02,5860.0,5895.0,5750.0,5795.0,1305273
2015-03-03,5785.0,5860.0,5750.0,5755.0,954347
2015-03-04,5745.0,5850.0,5705.0,5850.0,1083145
2015-03-05,5820.0,5875.0,5812.5,5825.0,883549
2015-03-06,5815.0,5860.0,5790.0,5800.0,856724
2015-03-09,5825.0,5855.0,5760.0,5830.0,950235
2015-03-10,5810.0,5895.0,5700.0,5705.0,1277080
2015-03-11,5720.0,5774.5,5695.0,5715.0,1030296
2015-03-12,5680.0,5760.0,5680.0,5710.0,954317
2015-03-13,5740.0,5840.0,5715.0,5840.0,1139116
2015-03-16,5880.0,5935.0,5850.0,5900.0,935590
2015-03-17,5930.0,5930.0,5835.0,5860.0,1044035
2015-03-18,5845.0,5945.0,5825.0,5910.0,973522
2015-03-19,5950.0,6015.0,5907.5,5990.0,1321578
2015-03-20,6005.0,6020.0,5960.0,5960.0,1499266
2015-03-23,5966.0,6002.0,5935.0,5998.0,1160127
2015-03-24,6004.0,6070.0,5941.0,5941.0,1218409
2015-03-25,5943.0,5963.0,5889.0,5893.0,1328545
2015-03-26,5868.0,5884.0,5616.22,5862.0,1577737
2015-03-27,5885.0,5920.0,5837.0,5860.0,1378705
2015-03-30,5915.0,5942.0,5863.28,5902.0,1299837
2015-03-31,5890.0,5907.0,5744.0,5800.0,2079169
2015-04-01,5778.0,5872.25,5752.0,5805.0,1206875
2015-04-02,5776.0,5853.0,5758.0,5832.0,773979
2015-04-07,5912.0,5980.0,5865.0,5960.0,1261095
2015-04-08,5933.0,6038.94,5879.0,5970.0,1575620
2015-04-09,6029.0,6046.0,5990.0,6001.0,1128576
