Date,Open,High,Low,Close,Volume
2015-02-23,1187.0,1199.0,1182.0,1188.0,2903221
2015-02-24,1187.0,1191.0,1178.0,1187.0,3379685
2015-02-25,1184.0,1192.0,1179.0,1187.0,3178396
2015-02-26,1150.0,1164.0,1113.0,1130.0,7721900
2015-02-27,1127.0,1147.75,1103.0,1118.0,7027228
2015-03-02,1118.0,1134.0,1117.0,1130.0,4666443
2015-03-03,1131.0,1138.0,1103.0,1104.0,4366070
2015-03-04,1106.0,1132.0,1094.0,1130.0,5221327
2015-03-05,1130.0,1141.0,1120.21,1139.0,4370954
2015-03-06,1134.0,1142.0,1128.0,1137.0,3884672
2015-03-09,1132.0,1138.25,1124.0,1132.0,2631116
2015-03-10,1129.0,1145.0,1116.0,1117.0,3152565
2015-03-11,1117.0,1128.0,1112.0,1122.0,3186390
2015-03-12,1124.0,1130.0,1117.0,1123.0,3991883
2015-03-13,1127.0,1136.0,1122.0,1125.0,2878241
2015-03-16,1129.0,1148.0,1129.0,1145.0,2125885
2015-03-17,1147.0,1156.0,1142.0,1150.0,4744485
2015-03-18,1150.0,1175.0,1146.0,1173.0,3976451
2015-03-19,1170.0,1180.0,1160.0,1174.0,5801830
2015-03-20,1176.0,1187.0,1172.0,1173.0,5518047
2015-03-23,1176.0,1181.0,1166.0,1171.0,4213375
2015-03-24,1169.0,1194.0,1169.0,1187.0,3367906
2015-03-25,1188.0,1198.0,1167.0,1170.0,3490165
2015-03-26,1170.0,1172.28,1150.0,1163.0,4355002
2015-03-27,1167.0,1174.0,1152.0,1162.0,3939213
2015-03-30,1173.0,1183.0,1162.75,1181.0,3685180
2015-03-31,1181.0,1193.0,1155.0,1159.0,4657247
2015-04-01,1157.0,1175.0,1149.0,1152.0,4703736
2015-04-02,1152.0,1159.0,1147.0,1156.0,4189375
2015-04-07,1162.0,1170.0,1156.0,1168.0,3142026
2015-04-08,1161.0,1165.0,1151.25,1160.0,3082041
2015-04-09,1163.0,1178.0,1161.0,1172.0,5002364
2015-04-10,1174.0,1181.0,1170.0,1179.0,4775687
2015-04-13,1177.0,1182.36,1173.0,1178.0,2127276
2015-04-14,1174.0,1178.25,1165.0,1169.0,2644552
2015-04-15,1166.0,1170.0,1147.0,1150.0,4366254
2015-04-16,1152.0,1152.0,1130.0,1142.0,4149090
2015-04-17,1142.0,1149.0,1128.5,1130.0,4259468
2015-04-20,1129.0,1140.0,1125.0,1133.0,4655254
2015-04-21,1136.0,1150.0,1132.0,1138.0,4976636
2015-04-22,1138.0,1146.0,1114.0,1123.0,5052780
2015-04-23,1125.0,1138.46,1115.0,1129.0,4296123
2015-04-24,1126.0,1133.0,1110.0,1116.0,3950706
2015-04-27,1118.0,1122.0,1100.0,1113.0,3928419
2015-04-28,1109.0,1110.0,1082.0,1093.0,5233000
2015-04-29,1098.0,1107.2,1089.0,1089.0,6099996
2015-04-30,1074.0,1084.0,1057.25,1082.0,7247037
2015-05-01,1085.0,1109.0,1079.0,1108.0,3604082
2015-05-05,1117.0,1121.0,1081.0,1081.0,6447059
