Date,Open,High,Low,Close,Volume
2015-02-23,3183.5,3217.0,3139.0,3150.5,4051877
2015-02-24,3153.0,3237.41,3097.69,3193.5,3831443
2015-02-25,3195.0,3232.5,3156.5,3170.5,2789400
2015-02-26,3187.0,3250.0,3174.5,3192.0,3327605
2015-02-27,3190.0,3203.5,3150.0,3192.0,2727445
2015-03-02,3244.0,3248.22,3133.5,3154.0,3558580
2015-03-03,3146.0,3192.47,3115.5,3135.0,3344835
2015-03-04,3124.5,3133.0,3052.0,3073.5,4288199
2015-03-05,2995.0,3020.0,2941.0,2985.0,4220215
2015-03-06,2970.5,2973.0,2908.5,2917.5,4972603
2015-03-09,2916.5,2917.5,2860.5,2910.5,3666507
2015-03-10,2890.0,2894.5,2829.5,2830.0,4471097
2015-03-11,2832.0,2855.0,2811.5,2844.0,3590144
2015-03-12,2870.0,2921.5,2852.5,2857.0,4206076
2015-03-13,2854.0,2873.5,2796.5,2809.5,4388240
2015-03-16,2825.0,2855.54,2812.0,2848.0,3567122
2015-03-17,2860.0,2910.24,2853.75,2873.5,4407312
2015-03-18,2851.5,2865.0,2817.5,2830.5,4344973
2015-03-19,2855.0,2893.0,2824.82,2845.5,3699280
2015-03-20,2854.5,2918.5,2820.5,2914.5,5710854
2015-03-23,2924.5,2953.5,2812.95,2942.5,3568290
2015-03-24,2915.0,2943.25,2877.0,2884.0,3796385
2015-03-25,2898.0,2945.87,2779.45,2926.0,3285580
2015-03-26,2901.0,2975.5,2861.5,2877.0,3742183
2015-03-27,2864.5,2873.06,2778.12,2809.5,4353620
2015-03-30,2822.0,2859.5,2721.19,2816.5,3295695
2015-03-31,2857.5,2874.0,2772.0,2772.0,4976633
2015-04-01,2780.0,2812.5,2752.5,2762.0,5140533
2015-04-02,2752.0,2788.95,2739.5,2751.0,3629658
2015-04-07,2795.0,2865.2,2770.0,2862.0,4412802
2015-04-08,2925.0,2941.46,2847.0,2853.5,4446497
2015-04-09,2820.0,2874.0,1785.0,2852.5,3909945
2015-04-10,2864.0,2881.0,2807.5,2837.0,3237814
2015-04-13,2813.0,2847.0,2769.0,2814.0,3783344
2015-04-14,2800.0,2903.0,2790.3,2892.5,6102920
2015-04-15,2870.0,2946.0,2857.5,2912.0,4668850
2015-04-16,2901.5,2912.0,2839.0,2842.0,4801436
2015-04-17,2820.5,2869.5,2780.5,2801.0,4484985
2015-04-20,2806.5,2883.5,2796.39,2874.0,3297731
2015-04-21,2860.0,2861.5,2798.0,2812.0,3960527
2015-04-22,2835.5,2866.0,2813.12,2863.5,5874554
2015-04-23,2873.0,2960.5,2813.12,2958.0,5431847
2015-04-24,2974.5,3040.0,2949.5,3003.5,6753439
2015-04-27,3065.0,3072.0,2968.5,3014.0,4762160
2015-04-28,2990.5,3013.5,2957.0,2979.5,5065587
2015-04-29,2939.0,2945.5,2894.5,2915.5,5281212
2015-04-30,2915.5,2923.5,2848.5,2885.0,5587607
2015-05-01,2935.0,3043.0,2928.0,2997.0,5514469
2015-05-05,3000.0,3050.0,2953.81,3011.0,7021367
2015-05-06,3006.0,3036.0,2981.5,3008.0,4860988
2015-05-07,2980.0,3000.0,2950.0,2967.5,4966083
2015-05-08,2968.0,3015.5,2950.0,2998.5,4312697
2015-05-11,2990.0,3061.5,2970.5,3032.5,4369733
2015-05-12,3004.5,3056.0,2959.0,2995.0,4094684
2015-05-13,2993.5,3033.5,2964.5,2978.5,3458287
2015-05-14,2949.0,2977.0,2916.5,2955.0,3013908
2015-05-15,2976.5,2990.0,2916.5,2930.5,5198874
2015-05-18,2921.0,2969.5,2918.12,2925.0,2708209
2015-05-19,2927.0,2935.0,2833.0,2847.0,5382908
2015-05-20,2825.0,2893.5,2806.5,2867.0,3981898
2015-05-21,2885.0,2927.0,2865.5,2873.5,2689906
2015-05-22,2878.0,2932.99,2866.0,2902.5,2620174
2015-05-26,2940.0,2959.5,2859.5,2874.5,2998757
2015-05-27,2875.0,2897.0,2855.0,2881.0,2381982
2015-05-28,2871.5,2884.29,2835.5,2884.0,2509244
2015-05-29,2884.0,2899.5,2842.5,2856.0,3598214
2015-06-01,2856.5,2882.0,2826.5,2834.5,3012818
2015-06-02,2844.5,2923.0,2818.5,2902.0,4562601
2015-06-03,2915.0,2917.5,2864.12,2881.5,3675142
2015-06-04,2870.0,2880.5,2831.0,2850.0,3687725
2015-06-05,2847.5,2894.0,2825.5,2852.5,3975175
2015-06-08,2850.0,2855.0,2810.0,2818.5,2823435
2015-06-09,2810.0,2832.6,2753.5,2781.0,4613685
2015-06-10,2779.0,2857.0,2776.0,2841.5,5361053
2015-06-11,2850.0,2886.5,2818.5,2839.0,3435059
2015-06-12,2827.0,2856.0,2811.44,2833.38,2872381
2015-06-15,2815.0,2840.5,2790.5,2806.5,1910047
