Date,Open,High,Low,Close,Volume
2015-02-23,960.5,961.78,947.0,950.0,6656280
2015-02-24,950.0,950.0,930.5,936.5,5998786
2015-02-25,937.5,945.75,933.0,939.0,4085910
2015-02-26,937.5,947.39,936.5,943.5,4092285
2015-02-27,942.0,958.5,937.0,949.0,6125729
2015-03-02,947.0,950.0,930.5,934.5,6071415
2015-03-03,934.0,948.5,929.5,937.0,7133975
2015-03-04,936.5,951.42,936.5,950.0,5906864
2015-03-05,955.0,988.5,952.62,985.0,7794043
2015-03-06,982.5,998.1,982.08,987.0,8434429
2015-03-09,983.0,1001.25,982.0,995.5,6514503
2015-03-10,990.5,1000.25,973.0,973.0,5826288
2015-03-11,973.5,979.88,970.5,976.0,3241195
2015-03-12,980.0,1002.0,967.0,970.0,5657547
2015-03-13,974.0,977.5,962.0,969.5,6144342
2015-03-16,972.5,973.0,960.5,970.5,4545599
2015-03-17,970.0,976.05,921.08,966.5,5349466
2015-03-18,965.0,986.0,964.58,984.0,4480011
2015-03-19,987.5,994.5,981.0,982.5,3413503
2015-03-20,982.5,990.0,975.0,987.5,3978622
2015-03-23,987.0,993.5,978.0,987.0,3650867
2015-03-24,986.5,999.0,981.0,988.5,4523010
2015-03-25,988.0,991.69,976.5,981.0,3302460
2015-03-26,972.5,980.0,958.66,962.0,5912139
2015-03-27,960.5,970.5,944.5,947.5,5822725
2015-03-30,956.5,969.0,950.0,961.5,3992305
2015-03-31,959.0,972.0,952.5,953.0,5390677
2015-04-01,938.5,956.88,935.24,950.0,5392396
2015-04-02,947.5,951.25,939.31,943.5,4085448
2015-04-07,949.5,954.5,946.5,952.0,4306894
2015-04-08,950.0,956.75,943.5,944.0,3679888
2015-04-09,951.0,953.5,941.5,950.0,4335631
2015-04-10,952.5,976.5,951.7,975.0,4544175
2015-04-13,972.5,975.12,959.0,969.0,3349877
2015-04-14,964.5,976.0,964.5,973.5,3429824
2015-04-15,976.5,989.05,973.5,986.5,4453668
2015-04-16,991.0,991.0,971.0,980.0,5140642
2015-04-17,979.0,1003.5,971.0,978.5,5930367
2015-04-20,978.5,990.0,976.5,982.0,2990761
2015-04-21,983.0,1014.0,983.0,1007.0,5488988
2015-04-22,1044.0,1061.0,1035.0,1048.0,9917674
2015-04-23,1053.0,1056.0,1031.0,1035.0,6476935
2015-04-24,1038.0,1051.0,1038.0,1050.0,5285929
2015-04-27,1049.0,1058.0,1036.0,1054.0,4800421
2015-04-28,1048.0,1049.0,1033.0,1038.0,4180068
2015-04-29,1043.0,1051.0,1028.66,1030.0,3885947
2015-04-30,1030.0,1047.0,1023.0,1046.0,5351010
2015-05-01,1044.0,1045.0,1030.66,1043.0,2542111
2015-05-05,1060.0,1061.0,1035.0,1035.0,7187528
2015-05-06,1031.0,1040.34,1016.0,1023.0,4930331
2015-05-07,1020.0,1025.0,994.5,1017.0,6543200
2015-05-08,1030.0,1039.08,1016.0,1030.0,5460243
2015-05-11,1023.0,1030.34,1013.66,1020.0,3845792
2015-05-12,1018.0,1023.0,999.33,1005.0,3808241
2015-05-13,1005.0,1014.0,1000.0,1005.0,3943324
2015-05-14,1006.0,1015.0,1000.0,1013.0,2278014
2015-05-15,1014.0,1020.0,1006.0,1013.0,3266908
2015-05-18,1012.0,1020.0,1002.0,1010.0,3975474
2015-05-19,1012.0,1021.0,1003.0,1009.0,4798575
2015-05-20,1013.0,1018.0,1003.0,1004.0,3650165
2015-05-21,1001.0,1013.0,996.5,1011.0,3324276
2015-05-22,1010.0,1025.0,1005.0,1019.0,2814559
2015-05-26,1019.0,1022.0,1005.0,1009.0,3394602
2015-05-27,1007.0,1021.0,1004.03,1018.0,3347361
2015-05-28,1014.0,1023.0,1011.0,1015.0,1572347
2015-05-29,1015.0,1015.0,993.0,998.0,5139093
2015-06-01,997.5,1007.28,994.0,997.5,3233164
2015-06-02,1003.0,1003.0,982.2,987.0,3657319
2015-06-03,990.0,995.0,980.5,987.0,3329910
2015-06-04,985.0,989.5,967.5,972.5,4982487
2015-06-05,969.0,977.0,963.0,971.5,4383284
2015-06-08,969.0,972.0,962.0,965.5,3272002
2015-06-09,965.0,969.5,955.5,962.0,3273112
2015-06-10,961.5,986.32,955.5,984.0,4353918
2015-06-11,982.0,996.0,979.37,981.5,3992017
2015-06-12,976.5,980.5,964.0,970.0,3385753
2015-06-15,964.5,969.39,944.5,945.0,4508396
2015-06-16,943.5,944.6,930.37,941.5,3731117
2015-06-17,942.0,947.0,917.0,918.5,4867557
2015-06-18,916.0,918.26,903.87,909.0,6728407
2015-06-19,915.0,918.0,906.0,906.0,12342755
2015-06-22,919.0,920.5,908.5,914.0,4843217
2015-06-23,915.5,921.0,908.5,911.5,4990957
2015-06-24,910.0,919.0,908.0,908.0,5994329
2015-06-25,906.0,913.9,902.0,903.5,5348167
2015-06-26,901.5,903.0,889.0,898.0,4588961
2015-06-29,878.0,898.0,878.0,892.0,5321683
2015-06-30,887.5,890.5,870.0,870.0,8391734
2015-07-01,875.5,894.0,872.37,890.0,7078129
2015-07-02,890.0,893.0,873.5,876.5,5434990
2015-07-03,873.5,874.06,855.5,856.5,3937510
2015-07-06,774.0,806.5,771.9,802.5,22510174
2015-07-07,796.0,797.1,755.5,759.5,17465952
2015-07-08,763.5,770.5,754.2,758.5,10297197
2015-07-09,761.0,761.5,748.0,757.0,11772025
2015-07-10,762.0,770.0,755.0,769.0,6188739
2015-07-13,775.0,781.5,765.0,778.0,8010839
2015-07-14,777.5,780.0,773.0,778.0,6280640
2015-07-15,780.0,785.65,775.5,781.5,6083905
2015-07-16,779.0,787.0,771.5,782.0,3971957
2015-07-17,781.5,786.84,778.5,780.0,5307291
2015-07-20,784.0,787.89,780.0,783.0,3696281
2015-07-21,785.0,786.12,763.0,765.5,4865151
2015-07-22,765.0,766.5,752.0,760.5,6619034
2015-07-23,764.5,764.5,752.32,753.5,5331581
2015-07-24,751.5,760.32,736.0,736.0,3070058
2015-07-27,732.0,738.5,717.5,718.0,4723938
