Date,Open,High,Low,Close,Volume
2015-02-23,453.7,455.9,447.6,450.1,2144526
2015-02-24,450.8,465.58,448.4,449.9,2001684
2015-02-25,449.4,451.0,448.1,450.3,2767206
2015-02-26,448.9,448.9,416.6,429.1,12011828
2015-02-27,429.5,432.0,426.2,428.9,5705266
2015-03-02,431.0,436.6,428.9,434.3,3383141
2015-03-03,429.0,431.66,419.7,420.2,3878486
2015-03-04,419.6,426.6,415.9,426.6,4357773
2015-03-05,423.1,425.5,417.5,423.4,2833513
2015-03-06,423.3,423.3,416.5,418.0,3064962
2015-03-09,407.0,414.8,406.7,412.4,3511009
2015-03-10,410.9,411.2,400.3,409.2,7444009
2015-03-11,410.1,416.6,408.2,416.1,4532849
2015-03-12,417.0,421.1,416.04,419.2,3696658
2015-03-13,419.8,422.4,418.1,420.5,2965147
2015-03-16,420.2,421.7,418.84,419.5,2935936
2015-03-17,420.0,423.4,418.9,423.0,3081673
2015-03-18,421.9,430.4,420.0,429.4,3766820
2015-03-19,430.9,433.9,430.4,433.4,3732387
2015-03-20,435.0,437.1,431.9,436.0,6186716
2015-03-23,434.6,439.0,432.5,437.8,2243584
2015-03-24,437.5,440.1,436.6,439.1,1271171
2015-03-25,438.0,439.7,435.85,437.2,2429898
2015-03-26,433.4,435.2,422.9,424.4,3535546
2015-03-27,424.2,425.9,421.9,423.2,3600054
2015-03-30,428.0,431.3,423.3,430.5,2609424
2015-03-31,429.3,429.9,420.81,420.9,4005437
2015-04-01,420.7,427.5,420.24,426.6,2391050
2015-04-02,425.8,428.4,422.27,426.0,1604935
2015-04-07,430.0,432.2,427.7,431.6,2655801
2015-04-08,429.3,435.7,429.3,432.5,2814495
2015-04-09,434.4,436.1,432.2,432.9,1974613
2015-04-10,432.9,436.6,431.8,435.6,2162227
2015-04-13,436.7,438.7,433.5,435.0,1208139
2015-04-14,433.5,437.52,431.7,434.4,1154818
2015-04-15,433.0,436.0,431.4,434.4,1430357
2015-04-16,436.7,437.21,431.8,434.1,2543761
2015-04-17,433.5,436.1,424.4,425.6,2195138
2015-04-20,427.7,429.4,420.7,422.2,1841972
2015-04-21,424.0,426.0,415.8,422.4,2032253
2015-04-22,422.6,423.7,416.9,420.7,2208869
2015-04-23,421.7,427.0,420.7,424.9,2138102
2015-04-24,423.9,429.8,420.7,422.3,1727739
2015-04-27,422.1,427.3,413.5,426.1,2570642
2015-04-28,425.1,425.6,419.9,423.8,2710940
2015-04-29,426.0,426.71,422.0,422.9,2124006
2015-04-30,422.9,427.7,420.0,427.6,3524349
2015-05-01,426.0,427.4,418.84,425.1,1000368
2015-05-05,421.0,423.8,410.3,415.0,4772208
2015-05-06,414.1,418.2,413.46,418.0,2979720
2015-05-07,424.6,431.8,422.4,427.3,4107310
2015-05-08,434.0,436.2,430.5,433.7,2967186
2015-05-11,434.4,436.6,431.28,432.5,2036508
2015-05-12,430.9,432.3,423.4,426.0,2796384
2015-05-13,427.6,427.6,423.96,426.5,1658667
2015-05-14,426.9,429.2,424.6,428.9,1836493
2015-05-15,430.9,435.62,430.2,433.9,1824911
2015-05-18,435.8,438.2,433.2,435.3,1528596
2015-05-19,436.7,443.6,436.2,441.7,2651009
2015-05-20,441.0,445.99,438.5,438.7,1589708
2015-05-21,438.0,439.7,436.55,438.8,1208165
2015-05-22,438.8,439.9,435.2,435.8,1707704
2015-05-26,435.2,436.0,426.9,427.3,2104578
2015-05-27,427.6,439.2,426.1,436.2,2474085
2015-05-28,436.0,437.1,427.5,431.9,2155941
2015-05-29,432.6,438.7,429.1,431.3,2865226
2015-06-01,433.4,433.4,423.3,427.0,2208683
2015-06-02,429.2,429.2,421.9,426.2,1456860
2015-06-03,426.2,430.4,424.9,429.4,1940043
2015-06-04,430.3,433.0,425.8,431.6,2620375
2015-06-05,430.0,435.4,426.7,435.0,2711889
2015-06-08,433.7,438.6,433.0,433.2,2075176
2015-06-09,434.3,435.5,426.2,426.8,2429630
2015-06-10,426.9,433.0,424.5,433.0,2843410
2015-06-11,430.8,434.6,430.8,433.0,2501060
2015-06-12,431.7,434.3,425.3,426.7,1729935
2015-06-15,423.1,424.82,419.5,422.0,2398431
2015-06-16,421.1,422.6,417.9,421.5,2026896
2015-06-17,421.8,423.1,416.26,417.0,1615798
2015-06-18,415.2,418.0,410.5,412.7,3056021
2015-06-19,412.8,417.6,411.8,416.1,3276842
2015-06-22,421.4,422.8,417.38,422.5,2292184
2015-06-23,424.3,425.36,419.9,419.9,1634404
2015-06-24,418.6,421.7,416.8,416.8,1805776
2015-06-25,416.4,417.7,411.7,412.0,2384944
2015-06-26,410.4,412.0,407.1,407.5,2998937
2015-06-29,400.0,404.36,397.3,400.5,4299038
2015-06-30,398.4,400.96,397.1,397.2,3468477
2015-07-01,401.0,403.2,397.9,402.8,3602176
2015-07-02,402.2,411.1,401.4,411.0,3913557
2015-07-03,414.7,415.6,406.5,408.8,3374322
2015-07-06,405.8,407.4,402.7,403.5,1978186
2015-07-07,404.7,406.7,391.7,391.7,3064506
2015-07-08,392.9,395.7,391.8,393.4,3153951
2015-07-09,393.8,400.0,393.0,399.2,2150461
2015-07-10,403.9,409.9,402.7,408.3,2745432
2015-07-13,411.3,415.6,409.5,415.6,1717828
2015-07-14,414.7,417.84,414.3,417.8,1931921
2015-07-15,419.1,425.6,418.1,425.3,2257831
2015-07-16,427.9,432.8,427.2,432.2,2497045
2015-07-17,434.0,434.6,430.2,431.4,1860415
2015-07-20,430.3,437.3,428.5,430.9,2191071
2015-07-21,432.1,442.5,432.1,440.2,3477107
2015-07-22,439.0,451.02,437.78,449.5,8443831
2015-07-23,450.0,450.0,443.67,444.0,3450700
2015-07-24,442.2,455.5,441.5,452.1,6178365
2015-07-27,452.3,452.6,435.5,437.8,4666808
2015-07-28,490.0,525.0,481.0,518.5,26801858
2015-07-29,520.0,522.28,500.5,518.0,9980440
2015-07-30,517.5,520.61,511.5,517.0,3473407
2015-07-31,519.5,520.5,507.5,514.0,4148113
2015-08-03,512.5,526.5,512.0,523.0,2937541
2015-08-04,522.0,528.0,520.5,526.5,2940548
2015-08-05,522.0,527.0,521.0,524.0,3518644
2015-08-06,513.5,520.0,505.5,510.0,3557993
2015-08-07,510.5,515.0,506.0,506.0,3025564
2015-08-10,509.0,509.0,503.5,505.0,2851987
2015-08-11,507.0,509.0,502.5,507.0,1905023
2015-08-12,505.0,506.0,502.5,504.5,2857303
2015-08-13,510.0,513.0,506.0,508.5,1552637
2015-08-14,508.5,510.1,503.5,507.0,2285061
2015-08-17,507.0,508.5,502.5,508.0,2475270
2015-08-18,509.5,512.0,505.5,510.0,1941032
2015-08-19,511.5,512.5,504.7,506.0,2752510
2015-08-20,503.0,510.5,503.0,507.0,2938641
2015-08-21,500.0,505.5,489.68,491.3,5537802
2015-08-24,480.3,504.0,475.0,495.0,14349734
2015-08-25,525.0,528.0,514.5,514.5,20226011
2015-08-26,515.0,517.25,512.5,512.5,6628062
2015-08-27,514.5,515.5,510.0,515.0,5527734
2015-08-28,514.0,519.63,514.0,514.0,4841532
2015-09-01,512.0,517.5,504.0,506.5,4572080
2015-09-02,510.0,513.5,508.0,509.5,2967420
2015-09-03,512.0,514.64,508.0,508.5,3499960
2015-09-04,502.5,506.5,497.2,498.4,3896623
2015-09-07,501.0,506.5,498.2,503.5,3640538
2015-09-08,508.0,511.22,504.0,504.5,2342012
2015-09-09,508.5,510.0,507.5,509.0,3443848
2015-09-10,503.5,508.5,502.0,508.0,2415948
2015-09-11,507.0,507.71,502.0,506.0,2403312
2015-09-14,506.0,512.0,505.5,509.5,2525606
2015-09-15,508.0,515.5,507.0,515.5,2217056
2015-09-16,514.5,519.0,514.5,516.0,3433505
2015-09-17,513.0,517.0,513.0,514.5,2871626
2015-09-18,510.0,516.0,509.0,509.5,8028207
2015-09-21,400.0,409.97,390.5,403.3,24111755
2015-09-22,406.0,411.6,405.2,406.2,11450774
2015-09-23,405.9,407.5,401.7,403.7,7900167
2015-09-24,402.2,407.3,397.6,399.3,4162008
2015-09-25,405.0,409.2,402.5,407.6,5590368
2015-09-28,406.9,410.46,398.7,399.2,4278336
2015-09-29,394.1,398.0,390.8,391.9,4741786
2015-09-30,398.0,402.7,394.5,402.7,7087091
2015-10-01,406.7,410.0,400.6,402.3,5128279
2015-10-02,404.5,410.5,399.56,404.6,3865045
2015-10-05,410.7,412.2,408.1,411.2,3938509
2015-10-06,412.9,417.46,411.5,416.7,2662616
2015-10-07,417.7,419.2,410.3,414.6,3144698
2015-10-08,412.9,421.0,411.8,418.0,3129486
2015-10-09,419.4,423.5,414.8,415.1,2579402
2015-10-12,414.9,416.94,404.8,407.3,3612234
2015-10-13,407.9,408.0,402.8,405.1,1919661
2015-10-14,403.3,408.6,401.3,405.9,2410672
2015-10-15,409.1,409.5,405.4,405.6,3030895
2015-10-16,406.9,409.6,405.3,407.5,1992660
2015-10-19,406.7,410.3,405.4,409.3,1479666
2015-10-20,411.0,413.5,407.6,411.8,1329783
2015-10-21,413.4,414.8,407.7,414.0,2162126
2015-10-22,412.0,416.2,410.2,412.1,2379448
2015-10-23,413.6,421.4,413.1,415.0,2606902
2015-10-26,414.1,415.8,411.6,412.4,1270958
2015-10-27,411.5,412.7,409.3,411.2,2113294
2015-10-28,412.5,420.4,410.4,419.8,2578937
2015-10-29,421.0,421.0,417.9,420.9,2352448
2015-10-30,420.0,420.9,419.1,420.9,2305207
2015-11-02,418.5,420.5,416.45,419.8,1498300
2015-11-03,422.1,422.1,413.9,416.7,1947771
2015-11-04,417.0,418.9,413.2,415.1,3631991
2015-11-05,424.0,430.2,421.4,429.3,5757841
2015-11-06,431.1,438.8,427.37,434.2,3289890
2015-11-09,435.9,440.8,430.1,430.1,2470785
2015-11-10,431.5,431.5,426.1,429.6,2659276
2015-11-11,429.5,437.2,429.2,437.2,2220340
2015-11-12,437.3,440.7,431.0,433.0,2200275
2015-11-13,432.4,435.6,429.3,431.5,1846689
2015-11-16,427.0,436.6,427.0,436.6,1795063
2015-11-17,439.7,441.6,435.8,437.2,2076096
2015-11-18,436.9,439.5,433.7,433.9,2236613
2015-11-19,437.3,441.3,435.55,440.0,1926951
2015-11-20,441.8,444.2,438.9,438.9,1741681
2015-11-23,436.8,438.0,425.9,428.0,3966966
2015-11-24,429.0,433.6,424.91,429.4,3177986
2015-11-25,428.6,436.2,428.3,435.0,2119058
2015-11-26,436.6,439.7,435.0,437.0,1497149
2015-11-27,434.3,439.3,433.5,436.8,1056082
2015-11-30,436.4,443.1,434.9,439.9,2575075
2015-12-01,442.3,445.7,440.9,444.7,2311176
2015-12-02,445.9,447.11,441.59,443.3,1789544
2015-12-03,443.5,449.3,437.5,438.6,2096741
2015-12-04,438.1,439.3,434.3,436.7,1605822
2015-12-07,439.0,445.6,438.11,439.2,1673338
2015-12-08,437.7,440.3,428.2,430.1,1857442
2015-12-09,430.1,431.6,426.6,429.2,1420358
2015-12-10,427.1,430.5,425.2,426.0,1629146
2015-12-11,426.2,426.9,419.6,419.7,1943793
2015-12-14,423.0,423.5,411.9,412.5,2107492
2015-12-15,416.0,425.8,414.3,421.0,2457217
2015-12-16,422.3,425.1,417.9,423.3,2046992
2015-12-18,423.6,434.4,421.8,428.1,3584638
2015-12-21,426.0,432.2,425.6,428.3,1311570
2015-12-22,431.3,431.3,423.3,426.0,1796125
2015-12-23,428.2,434.0,425.5,432.1,1816885
2015-12-24,432.0,433.4,430.4,430.9,194237
2015-12-29,425.0,433.5,421.2,433.5,2103159
2015-12-30,431.0,434.93,430.12,431.4,1408591
2015-12-31,430.8,430.8,425.1,426.5,317829
2016-01-04,418.0,421.0,408.4,410.0,2518612
2016-01-05,414.0,415.1,408.6,414.8,2789476
2016-01-06,413.2,420.7,412.4,413.8,3243799
2016-01-07,407.0,407.0,400.1,405.1,3672055
2016-01-08,410.9,415.2,407.3,408.0,2056923
2016-01-11,406.7,411.9,403.7,406.4,2884811
2016-01-12,408.2,411.4,406.9,407.0,2927002
2016-01-13,410.8,412.38,409.3,410.2,1987140
2016-01-14,406.0,407.8,398.6,403.9,2722252
2016-01-15,402.0,404.8,398.3,403.3,3558886
2016-01-18,401.6,406.0,397.4,399.0,1797467
2016-01-19,405.0,413.0,405.0,407.8,3321758
2016-01-20,400.1,400.1,385.6,395.9,3332862
2016-01-21,388.3,395.0,383.5,395.0,3355124
2016-01-22,400.9,406.7,397.1,405.3,3174603
2016-01-25,412.8,412.8,399.3,401.0,2506471
2016-01-26,395.2,403.1,393.5,402.4,1661627
2016-01-27,401.9,411.8,401.4,411.8,2918298
2016-01-28,408.8,413.0,403.9,405.2,2039937
2016-01-29,408.5,416.4,406.5,416.4,3363294
2016-02-01,418.0,419.0,410.4,416.4,2609902
2016-02-02,414.1,419.2,405.2,406.9,2363257
2016-02-03,406.1,408.0,393.7,400.2,2770567
2016-02-04,405.2,409.7,395.9,401.6,3094275
2016-02-05,402.9,403.5,393.9,394.5,2701365
2016-02-08,394.6,397.14,380.9,381.1,3652955
2016-02-09,381.3,388.2,371.0,373.2,3497417
2016-02-10,376.2,386.6,373.4,383.2,2943769
2016-02-11,381.9,382.0,371.4,374.2,4257155
2016-02-12,377.7,389.5,376.55,389.2,3154723
2016-02-15,399.9,400.2,392.1,397.6,2062156
2016-02-16,400.0,403.3,395.8,400.1,2448061
2016-02-17,400.0,410.9,397.1,410.9,2493490
2016-02-18,410.9,413.6,407.5,409.9,1625041
2016-02-19,409.0,411.5,405.4,409.1,1335474
2016-02-22,411.6,420.24,411.6,412.9,1128266
2016-02-23,410.7,414.5,403.2,404.8,1834099
2016-02-24,404.8,405.47,391.0,394.5,2265632
2016-02-25,409.6,446.2,408.8,433.2,6619820
2016-02-26,435.3,439.1,427.5,435.8,4823092
2016-02-29,433.0,437.3,429.0,435.3,3422891
2016-03-01,434.3,450.0,433.4,444.5,3260235
