Date,Open,High,Low,Close,Volume
2015-02-23,129.0,130.0,127.47,128.8,1459835
2015-02-24,129.4,129.6,127.9,129.0,929642
2015-02-25,128.4,129.6,128.4,129.3,1212570
2015-02-26,129.6,129.6,127.1,129.6,1425960
2015-02-27,129.7,135.3,129.4,135.3,3701583
2015-03-02,136.0,139.6,135.19,136.9,3198683
2015-03-03,137.9,137.9,133.6,133.7,2277859
2015-03-04,133.0,134.1,132.2,133.4,2079094
2015-03-05,132.7,139.6,132.7,138.0,3494949
2015-03-06,138.5,138.5,136.3,137.9,1980882
2015-03-09,137.2,138.24,136.6,137.6,1372829
2015-03-10,138.1,138.86,136.4,138.48,1880838
2015-03-11,137.6,137.7,136.6,137.7,1421500
2015-03-12,138.6,138.9,137.0,137.9,1599793
2015-03-13,137.6,138.4,137.6,138.1,1138213
2015-03-16,138.2,141.0,138.2,140.9,1488024
2015-03-17,140.0,141.1,137.6,138.4,1756077
2015-03-18,138.5,140.0,138.1,139.6,1984150
2015-03-19,139.5,141.7,139.18,141.0,2908970
2015-03-20,141.4,142.67,140.6,141.3,3508349
2015-03-23,142.0,142.0,139.5,140.8,1778173
2015-03-24,141.0,143.0,140.7,141.8,1418996
2015-03-25,142.2,142.3,139.0,139.1,1475010
2015-03-26,138.3,138.7,136.4,137.6,2019385
2015-03-27,137.2,138.5,135.2,135.5,1540572
2015-03-30,135.4,136.6,134.7,135.5,1831740
2015-03-31,136.9,140.8,136.3,136.7,2691621
2015-04-01,136.7,137.5,135.3,136.6,1673371
2015-04-02,137.4,138.0,136.4,136.8,1267479
2015-04-07,138.0,139.0,137.3,138.0,1852913
2015-04-08,136.8,139.4,136.8,139.3,2363255
2015-04-09,140.0,140.0,137.0,138.5,1901853
2015-04-10,139.3,140.2,138.78,140.2,1920198
2015-04-13,140.9,140.9,139.1,139.9,1051011
2015-04-14,140.6,141.0,139.3,141.0,925145
2015-04-15,140.5,141.7,140.0,140.2,1689751
2015-04-16,138.3,139.8,136.8,137.4,2191838
2015-04-17,136.2,138.0,136.2,137.5,2216902
2015-04-20,139.2,139.3,137.1,137.6,1531738
2015-04-21,137.5,138.8,137.3,138.0,1292513
2015-04-22,137.3,138.95,136.6,136.9,1460071
2015-04-23,137.4,137.7,135.0,135.5,2088226
2015-04-24,136.5,136.8,134.98,135.9,1907085
2015-04-27,136.7,136.8,135.0,135.8,1087751
2015-04-28,136.3,136.6,134.8,135.9,2094495
2015-04-29,136.0,136.6,133.5,134.4,1873541
2015-04-30,135.3,135.6,132.9,134.3,2615092
2015-05-01,137.5,138.2,134.5,136.5,1735102
2015-05-05,139.0,141.8,137.11,140.0,4112492
2015-05-06,140.0,140.8,139.2,139.6,3296063
2015-05-07,139.9,141.0,138.4,141.0,2927436
2015-05-08,143.5,150.0,143.49,145.2,4446212
2015-05-11,144.6,145.7,143.5,144.1,2613275
2015-05-12,143.1,144.5,142.6,143.9,3062095
2015-05-13,144.7,145.7,143.64,144.7,2141976
2015-05-14,144.0,146.0,143.7,145.0,1426016
2015-05-15,145.0,146.5,144.5,144.8,2192827
2015-05-18,144.4,145.3,143.7,144.9,873673
2015-05-19,146.2,147.6,145.5,146.7,1518536
2015-05-20,146.4,147.8,144.4,145.0,2164534
2015-05-21,145.2,146.0,144.0,145.3,2128326
2015-05-22,145.5,146.8,145.5,145.8,800254
2015-05-26,146.8,146.8,144.12,145.1,1005750
2015-05-27,145.1,148.2,144.67,147.5,1995608
2015-05-28,147.9,149.0,147.4,147.9,3284744
2015-05-29,148.5,148.5,146.9,147.0,3316644
2015-06-01,148.2,148.6,146.8,147.9,2178428
2015-06-02,148.9,151.2,146.5,151.0,3755701
2015-06-03,151.4,152.8,150.0,152.0,3400086
2015-06-04,150.9,153.2,150.7,152.5,3265135
2015-06-05,151.6,152.1,149.7,150.1,3008448
2015-06-08,149.5,150.7,149.5,150.5,2049874
