Date,Open,High,Low,Close,Volume
2015-02-23,272.6,273.2,266.4,270.3,3341382
2015-02-24,271.6,271.6,266.85,270.0,2934223
2015-02-25,270.0,272.82,268.4,271.7,3587828
2015-02-26,272.0,275.8,270.9,275.1,5655306
2015-02-27,275.7,276.3,270.7,271.9,5213182
2015-03-02,272.0,273.3,267.1,272.0,5849074
2015-03-03,272.0,278.4,270.6,273.7,5952329
2015-03-04,274.1,275.2,270.89,272.0,4370092
2015-03-05,274.3,277.3,272.0,276.5,6734619
2015-03-06,277.3,280.4,275.9,276.6,6073055
2015-03-09,276.2,277.9,274.4,275.5,4448325
2015-03-10,275.0,276.55,265.4,265.9,11049509
2015-03-11,266.1,266.3,259.6,264.5,10623627
2015-03-12,265.8,271.0,262.9,263.7,8510894
2015-03-13,264.0,266.3,256.9,259.1,7955829
2015-03-16,259.8,270.7,255.4,268.6,10309166
2015-03-17,275.0,275.5,264.7,266.4,14008062
2015-03-18,266.7,271.0,263.1,270.6,7347302
2015-03-19,271.0,273.6,269.3,270.0,6304328
2015-03-20,270.7,272.6,268.3,272.1,18464352
2015-03-23,272.4,273.8,270.3,272.9,5292816
2015-03-24,273.1,273.8,270.72,272.4,3631833
2015-03-25,272.8,272.8,267.5,268.2,4405366
2015-03-26,266.4,267.7,263.1,264.4,6057439
2015-03-27,265.6,265.6,258.9,262.5,4887797
2015-03-30,264.7,265.5,261.4,261.8,4192311
2015-03-31,262.2,265.1,259.0,259.2,7533457
2015-04-01,257.4,260.0,253.8,258.1,7129450
2015-04-02,258.3,261.4,256.9,260.4,4635301
2015-04-07,260.8,271.3,260.8,269.4,7516426
2015-04-08,268.4,274.6,267.9,270.7,8295299
2015-04-09,271.7,274.9,270.9,273.9,6181516
2015-04-10,275.0,277.8,272.7,277.4,4521631
2015-04-13,277.1,278.3,272.9,274.9,4792521
2015-04-14,274.0,277.4,271.7,275.0,4440547
2015-04-15,275.7,288.4,274.6,284.7,9549686
2015-04-16,286.0,286.0,276.3,277.9,9303390
2015-04-17,278.0,280.01,273.9,275.2,5521532
2015-04-20,275.3,278.3,272.8,274.6,4707646
2015-04-21,275.1,277.6,271.6,273.2,4709068
2015-04-22,271.5,273.2,261.73,263.0,14397271
2015-04-23,262.9,267.7,261.1,267.0,9272010
2015-04-24,267.0,268.7,264.4,268.1,5922664
2015-04-27,267.7,269.59,261.8,266.0,5426381
2015-04-28,266.6,267.9,263.4,266.1,4860867
