Date,Open,High,Low,Close,Volume
2015-02-23,473.8,479.4,473.6,479.1,1484419
2015-02-24,479.0,486.9,479.0,483.5,2804752
2015-02-25,483.5,484.5,478.6,482.8,1953464
2015-02-26,483.6,488.3,481.5,488.3,1801404
2015-02-27,486.2,487.1,483.4,484.5,2380483
2015-03-02,485.2,495.9,482.6,484.2,1924333
2015-03-03,485.7,490.1,482.8,482.8,1444769
2015-03-04,482.2,484.8,477.3,484.8,1300041
2015-03-05,485.0,494.7,484.2,491.7,2018237
2015-03-06,492.1,497.0,490.9,491.4,2188141
2015-03-09,491.0,491.0,483.3,486.0,1869787
2015-03-10,484.1,491.7,476.3,476.8,2888233
2015-03-11,478.8,481.9,473.5,476.3,2548294
2015-03-12,477.9,482.0,476.0,476.8,2372008
2015-03-13,469.0,477.3,464.6,472.7,2605093
2015-03-16,474.4,476.8,470.8,474.2,2539938
2015-03-17,474.3,479.9,473.0,478.7,2579214
2015-03-18,478.8,481.2,476.4,478.4,2455137
2015-03-19,480.5,483.2,478.1,481.1,1938612
2015-03-20,482.5,485.7,480.3,480.3,4869137
2015-03-23,480.9,480.9,473.13,478.6,2048305
2015-03-24,479.0,487.4,478.3,481.7,3108653
2015-03-25,480.0,481.8,466.3,468.5,3722680
2015-03-26,465.3,465.9,458.4,465.3,2717967
2015-03-27,465.2,470.7,458.4,461.9,3169524
2015-03-30,465.8,471.21,463.4,469.0,3140730
2015-03-31,468.7,475.1,465.4,466.7,3862165
2015-04-01,465.6,470.6,464.7,468.8,3087408
2015-04-02,467.7,470.6,465.0,469.9,1325610
2015-04-07,470.9,474.9,470.4,473.4,1869371
2015-04-08,470.5,474.7,470.5,472.2,2189902
2015-04-09,474.4,480.1,473.55,476.9,2212420
2015-04-10,478.2,484.4,477.1,484.0,2471718
2015-04-13,483.2,484.0,474.0,477.6,2162181
2015-04-14,476.7,482.5,476.0,480.7,2341914
2015-04-15,479.6,484.9,478.3,483.5,2289388
2015-04-16,485.4,485.8,477.6,479.3,1975460
2015-04-17,478.3,482.5,468.5,469.3,2435804
2015-04-20,469.8,473.1,466.8,472.8,1524133
2015-04-21,476.2,483.0,474.5,478.7,3004042
2015-04-22,479.8,485.1,478.3,481.6,3386129
2015-04-23,482.6,486.8,478.8,486.8,3430277
2015-04-24,488.0,490.5,482.7,484.7,1703725
2015-04-27,483.8,491.9,477.2,491.8,2895489
2015-04-28,491.0,492.11,483.4,488.3,2186737
2015-04-29,488.1,491.9,484.8,485.9,2569343
2015-04-30,485.1,486.9,477.3,486.0,3474476
2015-05-01,484.9,489.7,479.0,489.0,1656310
2015-05-05,492.8,502.0,490.3,496.5,4092356
2015-05-06,501.5,541.5,483.5,536.0,8067632
2015-05-07,541.0,545.0,523.5,526.5,4462649
2015-05-08,535.0,545.5,532.5,543.5,3908997
2015-05-11,544.5,564.0,541.5,556.0,4123880
2015-05-12,556.5,558.5,539.0,541.0,4609660
2015-05-13,543.0,549.5,541.5,543.0,2766426
2015-05-14,540.5,545.5,537.5,544.0,2933329
2015-05-15,543.0,549.0,540.0,544.0,1654800
2015-05-18,545.5,563.5,545.5,561.5,2376678
2015-05-19,560.0,573.5,559.5,570.5,2762219
2015-05-20,571.5,576.5,566.5,575.5,2699719
2015-05-21,574.5,584.0,571.5,574.5,2216332
2015-05-22,575.0,577.5,570.5,572.0,1233666
2015-05-26,573.5,573.68,566.0,567.5,2648154
2015-05-27,567.5,572.18,567.5,570.0,2139447
2015-05-28,575.0,580.0,571.5,577.5,3346805
2015-05-29,577.0,579.0,565.0,568.5,3144770
2015-06-01,570.0,575.5,569.0,573.5,2010765
2015-06-02,578.0,580.5,565.5,567.0,2504010
2015-06-03,567.5,571.0,562.5,562.5,2502494
2015-06-04,561.5,564.0,552.0,557.0,3882955
2015-06-05,556.5,559.0,546.5,547.5,2598924
2015-06-08,547.0,549.0,544.5,544.5,1545458
2015-06-09,543.0,545.87,539.71,541.0,1706045
2015-06-10,540.0,551.0,537.5,549.0,2946085
2015-06-11,549.5,556.0,549.0,554.0,1716347
2015-06-12,553.5,556.65,549.5,551.5,1309985
2015-06-15,550.0,551.5,542.5,545.5,2286095
2015-06-16,544.0,546.0,534.5,543.0,1914751
2015-06-17,544.0,545.0,540.18,540.5,1327039
2015-06-18,539.0,540.0,531.0,539.0,2419973
2015-06-19,540.5,548.0,537.19,539.0,3755423
2015-06-22,546.5,550.0,538.0,540.5,2368877
2015-06-23,544.5,553.5,544.5,549.0,2605516
2015-06-24,547.5,549.14,511.0,516.0,5086469
