Date,Open,High,Low,Close,Volume
2015-02-23,417.1,421.1,415.7,420.0,1417368
2015-02-24,419.9,422.76,417.8,421.2,1442745
2015-02-25,428.0,428.0,415.0,420.5,1401834
2015-02-26,423.4,430.0,419.0,430.0,1400069
2015-02-27,433.1,433.6,423.8,430.5,1763082
2015-03-02,431.0,436.0,429.9,435.2,1677835
2015-03-03,436.0,436.6,433.6,435.9,1754107
2015-03-04,438.5,438.5,430.3,433.3,1063113
2015-03-05,435.8,437.4,432.6,436.2,893559
2015-03-06,437.0,437.0,427.3,427.5,989293
2015-03-09,433.0,433.8,421.7,426.7,1304964
2015-03-10,421.0,427.4,416.3,416.4,1932861
2015-03-11,414.6,420.0,414.6,418.1,1964859
2015-03-12,420.4,420.8,417.3,418.6,1569310
2015-03-13,419.3,424.3,419.3,421.8,780041
2015-03-16,420.5,429.8,420.5,427.0,803779
2015-03-17,425.4,428.6,422.9,426.3,1199623
2015-03-18,428.4,431.3,426.1,430.0,1222526
2015-03-19,431.6,439.9,431.5,438.75,2183100
2015-03-20,441.0,441.0,436.5,438.3,3154868
2015-03-23,438.5,442.0,437.6,439.2,1379703
2015-03-24,437.2,444.0,437.2,443.4,1255312
2015-03-25,445.0,447.7,440.1,440.1,1531329
2015-03-26,430.7,430.8,421.9,423.9,1930851
2015-03-27,425.3,427.0,420.0,423.9,1026723
2015-03-30,427.3,427.8,419.8,421.9,1720794
2015-03-31,420.1,426.4,416.9,416.9,1642980
2015-04-01,417.3,419.7,416.4,417.6,1929565
2015-04-02,418.0,421.0,418.0,419.5,1127856
2015-04-07,423.0,427.8,421.5,426.6,1475348
2015-04-08,428.5,429.2,425.4,429.2,1815116
2015-04-09,431.7,436.1,428.3,435.5,1249697
2015-04-10,435.8,442.0,435.0,441.2,1284969
2015-04-13,443.3,443.9,437.6,437.6,1685891
2015-04-14,439.5,441.6,436.24,440.6,808246
2015-04-15,442.0,442.8,436.3,436.7,843432
2015-04-16,436.1,436.1,431.0,432.5,870146
2015-04-17,429.8,434.7,426.8,429.5,1763154
2015-04-20,429.3,434.8,429.3,433.4,1121372
2015-04-21,435.0,435.7,432.9,434.4,1016292
2015-04-22,435.3,435.3,427.4,431.8,915678
2015-04-23,433.4,434.9,428.3,430.1,945864
2015-04-24,428.3,432.2,428.3,431.1,1113035
2015-04-27,431.0,435.4,426.9,434.5,985707
2015-04-28,437.0,438.3,430.8,434.3,1637347
2015-04-29,434.6,436.8,428.5,428.5,1203480
2015-04-30,430.9,431.5,422.9,429.0,1728680
2015-05-01,422.1,427.6,419.9,425.0,312311
2015-05-05,426.9,428.2,417.5,418.7,1590176
2015-05-06,418.0,418.0,413.1,414.0,944259
2015-05-07,410.9,412.4,408.2,408.3,2386555
2015-05-08,445.0,454.8,415.4,419.1,3241302
2015-05-11,416.8,422.8,416.3,417.7,1788509
2015-05-12,415.4,415.4,406.1,411.0,2192391
2015-05-13,413.0,416.0,409.8,415.0,1718600
2015-05-14,412.5,415.1,412.1,414.0,2225337
2015-05-15,416.0,420.7,414.4,420.5,3822000
2015-05-18,422.4,422.7,419.1,420.0,1544821
2015-05-19,423.9,427.4,421.6,427.4,1532123
2015-05-20,427.9,429.0,424.6,426.8,1615696
2015-05-21,427.6,428.7,420.6,422.5,1201277
2015-05-22,420.6,424.0,420.6,422.0,1001632
2015-05-26,426.0,426.0,418.6,419.0,1194902
2015-05-27,418.8,426.5,418.8,426.1,1559748
2015-05-28,425.4,431.7,425.4,431.0,1936077
2015-05-29,432.3,433.9,426.2,426.2,2083158
2015-06-01,428.4,432.8,425.33,429.5,1469771
2015-06-02,430.7,431.8,422.6,422.6,1272149
2015-06-03,425.1,425.8,418.3,418.3,1362922
2015-06-04,417.6,419.8,412.0,416.3,1099610
2015-06-05,416.4,416.4,409.3,410.7,1146065
2015-06-08,409.9,415.0,408.9,412.9,1156964
2015-06-09,411.1,418.4,411.1,415.0,1173792
2015-06-10,413.2,422.4,412.2,420.4,956737
2015-06-11,420.4,433.5,420.2,431.6,1623803
2015-06-12,430.2,432.1,422.0,423.9,1073000
2015-06-15,420.0,422.6,418.2,419.3,1035201
2015-06-16,419.3,419.9,413.0,416.0,1310813
2015-06-17,419.1,419.1,411.2,411.9,1060229
2015-06-18,411.1,412.7,406.7,411.2,1197968
2015-06-19,410.2,415.3,408.2,411.4,2957982
2015-06-22,417.2,417.55,411.1,414.4,1557842
2015-06-23,416.3,421.0,413.0,420.6,1050689
2015-06-24,419.2,421.86,415.49,417.2,1550062
2015-06-25,416.5,420.4,411.9,418.5,1487726
2015-06-26,414.8,418.7,414.8,416.8,684300
2015-06-29,406.3,412.3,403.6,408.0,1021520
2015-06-30,408.0,408.8,401.4,405.8,1578356
2015-07-01,411.0,413.28,406.5,411.4,564522
2015-07-02,410.4,414.0,407.0,408.4,1077186
2015-07-03,406.6,413.4,406.6,411.8,789292
2015-07-06,406.1,411.3,405.42,405.5,979210
2015-07-07,408.0,411.0,405.1,405.6,1023470
2015-07-08,404.9,409.6,404.9,406.3,714546
2015-07-09,408.3,420.7,407.8,419.9,1461751
2015-07-10,424.6,425.1,419.0,422.5,867439
2015-07-13,423.6,437.1,422.6,434.1,1609371
2015-07-14,436.0,437.6,429.0,433.8,866772
2015-07-15,435.6,436.3,432.3,433.4,726606
2015-07-16,437.5,440.4,435.0,439.3,1051787
2015-07-17,438.7,442.1,436.3,442.1,1701532
2015-07-20,429.9,445.8,429.9,440.0,676885
2015-07-21,443.1,443.5,438.8,440.5,972871
2015-07-22,440.4,442.7,436.0,437.6,835573
2015-07-23,438.3,439.93,434.5,436.2,785755
2015-07-24,437.4,443.1,435.3,437.5,963375
2015-07-27,437.0,439.2,432.0,432.0,675458
2015-07-28,426.9,443.6,426.9,442.0,1432877
2015-07-29,446.3,448.2,441.1,445.4,1401365
2015-07-30,448.8,449.4,439.3,441.6,1394148
2015-07-31,442.1,449.6,441.5,448.8,1441485
2015-08-03,447.2,453.3,447.2,449.5,768053
2015-08-04,454.0,455.9,446.8,454.8,1184476
2015-08-05,455.7,458.5,454.1,456.9,1350387
2015-08-06,455.6,461.8,453.6,460.2,826257
2015-08-07,462.1,463.0,456.8,457.8,1054567
2015-08-10,459.7,462.1,456.0,460.4,1175218
2015-08-11,457.7,460.2,452.9,454.9,1016233
2015-08-12,450.1,455.92,445.7,449.1,1340065
2015-08-13,452.6,458.9,452.6,458.0,1266923
2015-08-14,460.4,464.0,458.9,462.7,640039
2015-08-17,463.6,466.7,460.2,463.4,615306
2015-08-18,462.0,465.1,460.0,463.8,720160
2015-08-19,463.9,463.9,456.9,456.9,912790
2015-08-20,452.0,452.0,446.0,448.3,798670
2015-08-21,441.9,447.4,437.8,437.8,1065713
2015-08-24,429.5,429.6,409.5,413.7,1405596
2015-08-25,417.0,428.5,414.0,425.9,1575575
2015-08-26,420.8,426.0,414.5,416.2,1447675
2015-08-27,425.5,426.9,418.0,426.2,1397276
2015-08-28,426.1,426.9,418.0,419.6,1882038
2015-09-01,414.9,422.0,412.2,414.0,1519821
2015-09-02,425.1,425.2,415.6,421.0,1594269
2015-09-03,424.3,426.9,417.8,421.2,1611687
2015-09-04,421.3,422.1,414.4,415.1,1721415
2015-09-07,420.0,420.0,412.2,413.6,1173598
2015-09-08,414.8,420.4,414.7,417.8,1287253
2015-09-09,426.5,427.44,421.3,422.2,1027919
2015-09-10,420.0,420.0,416.2,418.0,1169479
2015-09-11,416.4,419.6,410.0,413.0,1110661
2015-09-14,414.1,418.2,409.2,411.3,950916
2015-09-15,412.8,412.8,408.3,411.4,631844
2015-09-16,415.4,416.9,409.8,412.3,909500
2015-09-17,415.0,418.8,413.4,416.4,1107750
2015-09-18,414.5,418.5,411.9,416.5,5493786
2015-09-21,413.7,418.8,411.24,414.2,668742
2015-09-22,412.8,416.0,408.1,408.3,695098
2015-09-23,407.4,419.7,405.2,417.2,1346205
2015-09-24,417.1,423.1,416.3,417.3,1362630
2015-09-25,423.1,432.9,422.7,432.2,1545236
2015-09-28,429.9,434.5,425.6,425.6,863352
2015-09-29,422.5,427.2,421.16,422.5,971310
2015-09-30,431.1,432.7,426.0,429.5,1437948
2015-10-01,435.4,436.0,428.4,430.0,1053216
2015-10-02,433.4,437.9,427.4,432.8,950245
2015-10-05,438.7,444.5,438.4,442.4,885205
2015-10-06,441.0,443.0,436.7,439.0,964613
2015-10-07,441.3,442.6,430.1,431.2,1377263
2015-10-08,432.5,433.2,427.5,431.5,1074289
2015-10-09,433.2,435.3,426.9,429.6,896631
2015-10-12,428.6,430.1,425.2,426.6,642151
2015-10-13,428.1,430.0,423.9,426.9,956380
2015-10-14,424.3,425.8,421.0,424.1,823755
2015-10-15,434.0,434.0,423.6,428.5,700249
2015-10-16,430.2,431.5,426.5,428.1,1062853
2015-10-19,425.8,433.2,425.8,432.5,665712
2015-10-20,432.0,438.74,432.0,436.1,697757
2015-10-21,438.8,443.7,436.5,442.0,969591
2015-10-22,439.4,450.2,431.9,449.0,798426
2015-10-23,449.9,453.4,445.8,446.9,1033744
2015-10-26,444.4,449.4,443.8,448.8,655913
2015-10-27,446.3,450.4,445.3,448.8,581436
2015-10-28,450.1,453.0,447.5,453.0,887004
2015-10-29,455.2,456.4,451.5,452.5,808575
2015-10-30,453.0,454.5,446.5,449.8,1526003
2015-11-02,445.0,449.7,445.0,447.8,761722
2015-11-03,447.8,447.8,439.3,439.5,1062157
2015-11-04,439.4,441.1,429.19,432.5,1615636
2015-11-05,433.2,438.8,432.1,438.5,841305
2015-11-06,440.6,441.4,435.3,436.4,820006
2015-11-09,434.5,437.4,424.1,425.0,1471467
2015-11-10,428.8,428.8,415.8,424.0,1163972
2015-11-11,423.1,427.9,421.88,427.4,836127
2015-11-12,426.7,428.7,419.3,420.2,527026
2015-11-13,417.5,421.0,416.0,419.9,755823
2015-11-16,418.5,423.1,411.2,423.1,893829
2015-11-17,425.3,434.3,424.49,433.3,1079288
2015-11-18,434.0,434.0,426.1,429.5,568879
2015-11-19,430.4,435.9,429.8,435.6,642152
2015-11-20,435.8,438.1,434.2,437.2,1020145
2015-11-23,437.0,437.0,432.2,433.4,531440
2015-11-24,430.1,433.35,422.3,426.6,997083
2015-11-25,429.5,434.8,427.4,433.5,749365
2015-11-26,433.1,433.6,428.9,433.3,394011
2015-11-27,429.4,436.1,429.4,436.0,475504
2015-11-30,436.3,441.2,435.2,441.2,1261553
2015-12-01,452.0,457.3,442.4,449.1,1405451
2015-12-02,451.8,455.2,449.1,449.6,1303763
2015-12-03,450.5,455.3,439.1,440.7,938165
2015-12-04,441.0,441.0,427.51,440.5,938424
2015-12-07,440.8,450.3,439.8,439.8,782639
2015-12-08,440.5,441.0,435.4,436.0,900702
2015-12-09,435.1,437.75,431.7,433.8,668074
2015-12-10,431.8,432.2,428.0,428.3,779692
2015-12-11,430.1,430.1,420.4,423.0,821120
2015-12-14,422.2,428.54,418.3,418.3,775371
2015-12-15,419.8,433.2,419.8,429.2,1195448
2015-12-16,426.4,431.8,421.1,428.3,1377796
2015-12-18,426.0,436.0,424.7,425.8,2423028
2015-12-21,424.8,430.4,423.5,423.5,694880
2015-12-22,424.6,427.7,419.8,425.1,606363
2015-12-23,427.4,430.5,423.21,429.8,496747
2015-12-24,425.0,434.64,425.0,431.7,47219
2015-12-29,433.4,439.5,431.2,438.9,729909
2015-12-30,436.2,439.8,431.6,433.9,653515
2015-12-31,434.6,444.7,427.6,429.4,273910
2016-01-04,422.1,425.7,418.9,423.8,664165
2016-01-05,428.7,430.8,424.3,428.2,1016827
2016-01-06,428.5,431.4,425.7,428.9,1008847
2016-01-07,424.0,429.4,423.3,424.2,1438616
2016-01-08,430.0,430.6,420.3,420.5,1006957
2016-01-11,420.9,430.0,416.1,420.4,1214725
2016-01-12,423.1,427.8,419.2,423.8,1213544
2016-01-13,424.0,429.4,419.1,426.6,887500
2016-01-14,424.9,427.1,422.0,425.0,2364359
2016-01-15,421.6,426.1,414.8,417.0,2596292
2016-01-18,415.5,420.1,412.5,412.8,1652746
2016-01-19,415.2,421.2,414.3,418.1,1142373
2016-01-20,413.1,414.7,405.99,406.9,1942503
2016-01-21,404.2,414.2,404.2,411.8,2120610
2016-01-22,420.2,425.0,417.19,423.1,1170479
2016-01-25,425.4,427.3,421.2,425.1,1114246
2016-01-26,420.2,426.3,420.2,426.2,1442232
2016-01-27,428.3,428.3,421.3,424.0,1829152
2016-01-28,428.7,429.84,423.0,424.6,2166421
2016-01-29,429.2,438.9,426.5,438.9,2060484
2016-02-01,439.4,442.1,434.4,442.1,1366296
2016-02-02,442.4,442.4,435.8,436.7,1307389
2016-02-03,437.9,438.3,431.5,434.1,1360652
2016-02-04,440.4,441.3,428.3,432.4,1842411
2016-02-05,430.8,435.4,424.0,425.1,1647352
2016-02-08,428.2,428.2,414.6,416.8,1570886
2016-02-09,419.8,419.8,404.8,412.3,1820170
2016-02-10,417.2,422.9,414.1,419.0,1144456
2016-02-11,415.0,416.7,405.2,406.4,2179238
2016-02-12,409.6,416.5,403.6,410.2,1702943
2016-02-15,418.7,419.9,415.14,418.1,997398
2016-02-16,423.3,423.3,416.5,418.8,1213116
2016-02-17,418.2,431.3,418.2,430.2,1422339
2016-02-18,438.3,438.4,427.3,431.7,1461697
2016-02-19,431.7,437.3,427.8,434.2,1835365
2016-02-22,438.0,439.5,425.9,427.6,2033238
2016-02-23,427.0,431.8,422.7,424.3,1564445
2016-02-24,425.6,425.6,416.4,417.7,1605953
2016-02-25,414.9,420.1,413.0,414.7,2067584
2016-02-26,417.2,420.8,416.9,416.9,1062385
2016-02-29,416.0,417.57,406.4,415.5,2517561
2016-03-01,416.5,419.5,410.6,417.0,2195666
2016-03-02,418.5,418.8,409.3,412.0,2218768
2016-03-03,413.7,417.4,412.5,415.5,1811820
2016-03-04,418.1,418.1,410.1,413.1,1406867
2016-03-07,410.7,414.6,402.8,404.1,1370730
2016-03-08,402.1,403.6,397.2,402.6,938737
2016-03-09,401.0,404.18,396.2,398.2,1719581
2016-03-10,398.8,405.7,394.51,403.0,1877837
2016-03-11,403.6,406.6,402.1,405.8,1320079
2016-03-14,406.4,416.1,406.4,415.1,2335201
2016-03-15,415.0,415.57,410.7,412.5,1216527
2016-03-16,412.4,416.1,411.5,412.1,1726220
2016-03-17,416.5,419.5,409.8,419.5,1292965
2016-03-18,418.6,423.0,414.4,415.4,3026626
2016-03-21,413.2,420.3,413.2,418.4,1288018
2016-03-22,417.4,418.7,412.8,417.0,1226812
2016-03-23,416.8,418.0,412.7,416.8,1577715
2016-03-24,409.1,411.8,397.8,400.2,1450467
2016-03-29,404.5,413.8,399.05,406.3,1462006
2016-03-30,409.8,412.8,408.3,411.9,1468472
2016-03-31,413.2,415.6,409.2,410.3,1267915
2016-04-01,407.3,410.04,401.62,407.7,1232163
2016-04-04,407.7,412.8,406.55,411.9,1224282
2016-04-05,409.2,416.8,407.6,415.4,977625
2016-04-06,415.0,421.1,414.5,420.7,752698
2016-04-07,421.3,422.9,414.0,416.3,848285
2016-04-08,415.1,423.9,414.3,421.5,803737
2016-04-11,425.2,434.6,425.2,432.2,1618931
2016-04-12,436.5,437.5,427.1,431.8,1744927
2016-04-13,438.3,438.3,431.7,433.5,1521829
2016-04-14,433.8,433.9,424.7,426.5,1172237
2016-04-15,426.0,428.2,423.0,424.9,1467584
2016-04-18,422.6,423.4,420.4,420.8,1055238
2016-04-19,421.8,426.5,419.8,421.5,1212569
2016-04-20,421.3,422.2,414.0,416.5,2024712
2016-04-21,416.5,416.5,410.9,414.0,1198143
2016-04-22,412.1,414.2,406.1,407.3,1019472
2016-04-25,405.1,415.7,405.1,413.4,1090043
2016-04-26,415.1,418.0,413.4,416.3,1217454
2016-04-27,413.9,423.1,410.2,421.2,1195938
2016-04-28,419.9,422.3,416.1,421.0,901853
2016-04-29,417.5,422.5,417.5,417.7,1382633
2016-05-03,419.1,425.1,417.0,422.4,1135935
2016-05-04,424.0,424.0,420.1,421.0,1042027
2016-05-05,420.9,425.8,420.9,423.0,967174
2016-05-06,423.0,425.6,421.52,424.3,1177254
2016-05-09,426.2,431.7,424.8,430.4,1554182
2016-05-10,432.0,434.43,427.3,428.5,695405
2016-05-11,426.2,428.12,423.1,424.0,1038816
2016-05-12,425.2,425.2,420.2,423.7,949089
2016-05-13,420.1,425.4,418.1,424.2,913513
2016-05-16,424.1,425.4,420.73,424.9,492910
2016-05-17,427.6,432.4,425.4,425.4,1280138
2016-05-18,424.1,425.8,420.9,423.0,1341924
2016-05-19,420.5,426.2,418.1,421.0,1476647
