Date,Open,High,Low,Close,Volume
2015-02-23,5130.0,5190.0,5085.0,5190.0,670345
2015-02-24,5200.0,5202.5,5125.0,5150.0,1118212
2015-02-25,5110.0,5230.0,5100.0,5230.0,983180
2015-02-26,5260.0,5360.0,5245.0,5315.0,1149270
2015-02-27,5340.0,5345.0,5255.0,5275.0,974738
2015-03-02,5240.0,5260.0,5140.0,5160.0,1068478
2015-03-03,5145.0,5270.0,5130.0,5160.0,1067372
2015-03-04,5165.0,5257.5,5160.0,5250.0,780523
2015-03-05,5235.0,5250.0,5190.0,5200.0,797652
2015-03-06,5200.0,5280.0,5185.0,5235.0,922152
2015-03-09,5250.0,5265.0,5175.0,5210.0,694269
2015-03-10,5245.0,5300.0,5200.0,5245.0,1353469
2015-03-11,5275.0,5320.0,5235.0,5310.0,886662
2015-03-12,5255.0,5470.0,5255.0,5455.0,1327804
2015-03-13,5470.0,5540.0,5430.0,5525.0,1171945
2015-03-16,5525.0,5565.0,5460.01,5530.0,911305
2015-03-17,5535.0,5540.0,5430.0,5505.0,786137
2015-03-18,5505.0,5600.0,5480.0,5600.0,1235226
2015-03-19,5620.0,5645.0,5540.0,5635.0,985822
2015-03-20,5745.0,5745.0,5647.5,5685.0,1838575
2015-03-23,5690.0,5695.0,5512.92,5565.0,1114536
2015-03-24,5490.0,5582.5,5480.0,5525.0,1367064
2015-03-25,5525.0,5585.0,5380.0,5400.0,1413718
2015-03-26,5340.0,5357.75,5255.0,5310.0,1361184
2015-03-27,5340.0,5445.0,5330.0,5425.0,1118205
2015-03-30,5425.0,5460.0,5371.21,5430.0,1126351
2015-03-31,5425.0,5470.0,5320.0,5365.0,1305845
2015-04-01,5300.0,5405.0,5210.0,5260.0,1498765
2015-04-02,5200.0,5300.0,5095.0,5160.0,2054189
2015-04-07,5200.0,5386.08,5175.0,5385.0,1486396
2015-04-08,5400.0,5500.0,5345.0,5485.0,1333322
2015-04-09,5490.0,5515.0,5385.0,5420.0,1376019
2015-04-10,5700.0,5755.0,5630.0,5680.0,2375569
2015-04-13,5640.0,5695.0,5585.01,5680.0,754937
2015-04-14,5640.0,5645.0,5535.0,5535.0,1267013
2015-04-15,5540.0,5610.0,5495.0,5515.0,928560
2015-04-16,5550.0,5565.0,5455.0,5460.0,1077358
2015-04-17,5435.0,5495.0,5385.0,5430.0,1116132
2015-04-20,5460.0,5535.0,5450.0,5485.0,741406
2015-04-21,5510.0,5635.0,5490.0,5575.0,940668
2015-04-22,5620.0,5651.2,5513.88,5645.0,970057
2015-04-23,5630.0,5688.94,5577.23,5635.0,894684
2015-04-24,5640.0,5675.0,5545.0,5615.0,629446
2015-04-27,5635.0,5670.01,5548.75,5570.0,758535
2015-04-28,5475.0,5543.95,5315.0,5395.0,1736289
2015-04-29,5400.0,5535.0,5260.0,5290.0,1012649
2015-04-30,5320.0,5510.0,5235.0,5335.0,1875158
2015-05-01,5280.0,5425.38,5245.0,5355.0,736433
2015-05-05,5320.0,5400.0,5205.0,5205.0,1358859
2015-05-06,5240.0,5280.0,5150.0,5205.0,1001509
2015-05-07,5155.0,5225.0,5061.25,5200.0,1215349
2015-05-08,5340.0,5395.0,5265.0,5330.0,1356135
2015-05-11,5305.0,5365.91,5235.0,5245.0,1269614
2015-05-12,5220.0,5235.0,5050.0,5185.0,1373757
2015-05-13,5190.0,5280.0,5150.0,5170.0,1180754
2015-05-14,5145.0,5300.0,5120.0,5295.0,1230569
2015-05-15,5320.0,5405.0,5300.0,5385.0,1584834
2015-05-18,5380.0,5435.0,5335.0,5375.0,1104470
2015-05-19,5435.0,5530.0,5420.0,5485.0,857876
2015-05-20,5505.0,5515.0,5460.0,5475.0,708747
2015-05-21,5465.0,5530.0,5460.0,5505.0,721343
2015-05-22,5510.0,5566.25,5485.0,5540.0,695069
2015-05-26,5550.0,5581.57,5475.0,5500.0,880406
2015-05-27,5540.0,5645.0,5515.0,5635.0,1195785
2015-05-28,5590.0,5655.01,5561.25,5650.0,1059281
2015-05-29,5655.0,5730.0,5605.0,5635.0,1368541
2015-06-01,5680.0,5735.0,5600.0,5610.0,757834
2015-06-02,5660.0,5665.0,5505.0,5510.0,916563
2015-06-03,5525.0,5565.0,5510.0,5515.0,847296
2015-06-04,5410.0,5514.99,5383.63,5465.0,1076632
2015-06-05,5465.0,5480.0,5370.0,5455.0,887875
2015-06-08,5420.0,5465.0,5295.0,5305.0,1457540
2015-06-09,5305.0,5345.0,5240.0,5250.0,872551
2015-06-10,5240.0,5275.0,5211.75,5265.0,929780
