Date,Open,High,Low,Close,Volume
2015-02-23,516.9,519.9,512.1,514.7,2958581
2015-02-24,516.3,519.9,513.1,518.8,2498819
2015-02-25,519.81,522.52,517.49,521.77,2260645
2015-02-26,521.5,522.3,517.1,522.3,1933741
2015-02-27,523.2,523.2,517.0,520.4,2643434
2015-03-02,519.1,520.7,514.8,517.4,2433429
2015-03-03,519.9,521.4,514.6,515.4,3206130
2015-03-04,517.98,519.02,510.16,517.24,3033795
2015-03-05,519.93,540.22,518.27,540.22,5809526
2015-03-06,540.71,543.93,537.78,543.89,5572403
2015-03-09,541.0,546.8,537.8,546.0,3787472
2015-03-10,547.6,554.2,547.3,551.3,8038760
2015-03-11,551.3,555.1,548.2,554.2,4305243
2015-03-12,555.4,560.9,550.9,560.4,3879399
2015-03-13,559.5,562.6,554.0,557.3,3960430
2015-03-16,465.0,469.3,460.9,467.65,5554513
2015-03-17,468.2,471.6,467.1,469.89,3583657
2015-03-18,469.0,478.24,469.0,474.4,4422970
2015-03-19,479.6,483.2,477.3,479.7,3877814
2015-03-20,482.1,486.6,477.3,486.6,5461109
2015-03-23,481.0,481.9,476.8,479.0,3355515
2015-03-24,479.2,487.4,477.31,484.6,2807319
2015-03-25,486.0,486.0,479.6,479.9,3068974
2015-03-26,476.3,477.4,471.8,476.0,7377860
2015-03-27,476.7,478.87,474.2,477.0,3407794
2015-03-30,481.8,483.9,476.5,481.0,3576206
2015-03-31,480.6,482.4,473.4,475.6,5710911
2015-04-01,473.3,481.83,472.9,477.5,5470868
2015-04-02,476.3,482.3,475.9,480.0,3805441
2015-04-07,480.4,483.7,475.8,483.4,4138895
2015-04-08,480.6,485.03,477.9,482.4,3478790
2015-04-09,473.0,485.0,466.8,473.8,4153350
2015-04-10,474.1,486.93,471.2,477.7,3331157
2015-04-13,477.5,478.26,473.1,473.9,3249290
2015-04-14,472.3,477.3,472.3,475.1,3774449
2015-04-15,475.6,475.9,470.8,473.4,3557358
2015-04-16,475.8,475.8,466.6,467.1,4159146
2015-04-17,467.6,471.0,459.3,460.52,3950668
2015-04-20,461.2,465.3,460.51,463.5,2260882
2015-04-21,465.0,467.3,460.3,464.0,2925183
2015-04-22,466.3,468.2,460.5,464.5,4716972
