Date,Open,High,Low,Close,Volume
2015-02-23,350.0,363.9,349.46,360.3,3023297
2015-02-24,363.0,363.26,360.0,361.7,1578635
2015-02-25,362.6,369.44,361.94,364.8,1998774
2015-02-26,365.5,367.7,362.2,365.8,1753290
2015-02-27,366.9,367.6,363.7,367.2,1864052
2015-03-02,366.6,376.2,366.25,371.18,2301630
2015-03-03,370.7,374.6,366.9,366.9,1509122
2015-03-04,355.0,367.9,355.0,366.5,2805859
2015-03-05,365.8,380.5,365.8,378.6,2267957
2015-03-06,376.8,380.9,373.1,374.1,1497029
2015-03-09,374.4,375.2,370.9,374.3,965999
2015-03-10,374.6,375.8,365.6,365.6,1717311
2015-03-11,365.0,371.96,365.0,371.2,2350126
2015-03-12,372.8,377.3,366.7,370.6,2039893
2015-03-13,370.3,372.7,366.6,372.0,1081529
2015-03-16,371.6,380.8,370.9,376.9,1535212
2015-03-17,378.3,378.3,368.1,370.7,1522081
2015-03-18,373.5,374.5,369.6,373.2,1618618
2015-03-19,371.8,374.6,366.9,369.2,1868993
2015-03-20,371.1,371.1,366.6,367.3,9440003
2015-03-23,366.2,367.9,363.8,366.3,1628707
2015-03-24,364.6,369.7,362.95,365.2,1977365
2015-03-25,366.0,375.0,365.1,365.1,2181280
2015-03-26,362.0,363.71,355.15,357.7,2203545
2015-03-27,358.0,360.6,355.7,356.1,1198003
2015-03-30,355.5,356.7,349.1,349.9,2309819
2015-03-31,350.7,355.4,344.35,345.2,2276995
2015-04-01,343.1,350.3,340.09,345.6,1726772
2015-04-02,343.6,347.9,342.1,347.2,1322960
2015-04-07,347.6,358.4,347.6,356.6,2192541
2015-04-08,357.4,360.2,356.7,358.2,1918988
2015-04-09,358.3,371.7,358.3,369.9,2264014
2015-04-10,370.4,375.0,369.9,372.2,1866305
2015-04-13,372.2,383.5,372.1,380.1,2550300
2015-04-14,379.9,382.4,375.5,378.3,1358060
2015-04-15,376.1,379.4,374.3,375.5,1510115
2015-04-16,375.0,377.5,371.4,373.0,1926473
2015-04-17,375.0,375.8,366.9,368.4,1639430
2015-04-20,370.3,374.2,368.7,370.4,1347622
2015-04-21,371.0,382.8,368.71,379.4,1616004
2015-04-22,381.8,382.4,370.6,371.8,1074837
2015-04-23,370.5,372.8,361.6,365.6,1704498
2015-04-24,367.5,369.6,364.0,367.3,1586783
2015-04-27,366.6,369.06,361.2,367.4,1212987
2015-04-28,365.3,367.3,354.6,357.5,1554334
2015-04-29,357.2,358.9,345.6,345.7,1676463
2015-04-30,345.7,350.4,340.8,345.6,2228601
2015-05-01,348.8,351.9,346.1,348.81,735893
2015-05-05,347.9,356.8,347.0,348.3,2263307
2015-05-06,348.5,355.1,340.48,344.1,2589709
2015-05-07,342.9,351.5,339.5,350.4,1974115
2015-05-08,358.0,375.1,356.76,372.1,2300588
2015-05-11,370.4,370.4,355.6,357.5,1895629
2015-05-12,354.0,356.94,347.7,351.1,1805888
2015-05-13,353.8,368.4,350.6,363.4,2029110
2015-05-14,360.1,370.7,359.84,368.7,1101887
2015-05-15,360.8,373.5,360.8,369.7,1808541
2015-05-18,368.8,372.4,366.7,370.2,1020045
2015-05-19,370.6,378.3,369.84,375.4,928766
2015-05-20,376.9,376.9,370.7,375.0,1013121
2015-05-21,376.1,377.7,373.1,376.4,1097769
2015-05-22,376.4,379.1,374.2,375.0,909579
2015-05-26,376.4,376.4,365.4,366.6,1480735
2015-05-27,365.1,369.0,363.1,366.4,2224043
2015-05-28,362.0,364.0,356.7,359.9,2272845
2015-05-29,360.6,365.1,354.9,355.1,2788928
2015-06-01,355.1,360.16,353.3,358.1,1162448
2015-06-02,360.7,363.4,357.0,358.0,1362413
2015-06-03,357.1,363.8,356.3,359.0,1533691
2015-06-04,357.1,361.9,356.2,358.7,1473025
2015-06-05,357.0,358.7,354.3,355.1,1158129
2015-06-08,356.2,360.2,355.4,357.5,1402998
2015-06-09,357.0,358.9,353.4,354.9,1671556
2015-06-10,355.7,362.3,354.3,358.85,3188673
2015-06-11,360.2,370.0,360.2,366.9,1860148
2015-06-12,365.0,368.6,362.9,365.0,1338775
2015-06-15,361.4,362.8,358.8,359.7,1124663
2015-06-16,359.1,363.6,356.3,363.4,907845
2015-06-17,364.8,369.9,364.26,369.0,1829205
2015-06-18,369.1,374.9,366.4,374.3,1253067
2015-06-19,373.1,376.6,371.4,374.5,2322822
2015-06-22,380.0,381.4,377.3,381.4,1289676
2015-06-23,383.3,385.0,382.3,382.7,1068655
2015-06-24,382.6,383.55,373.4,376.0,1465052
2015-06-25,386.0,392.4,383.88,385.48,3338505
2015-06-26,386.2,393.0,386.2,390.4,2529210
2015-06-29,381.1,392.2,377.8,386.1,2783313
2015-06-30,385.8,389.0,381.1,386.0,1716677
2015-07-01,388.3,398.22,387.8,396.4,1962072
2015-07-02,395.4,397.4,393.0,395.4,1764392
2015-07-03,394.4,395.2,390.2,393.1,1057090
2015-07-06,388.3,392.9,385.61,388.4,1086973
2015-07-07,387.1,389.4,379.9,381.4,1113795
2015-07-08,383.3,383.8,377.6,378.9,1271221
2015-07-09,381.5,392.8,380.9,388.78,2487368
2015-07-10,394.9,394.9,389.0,393.0,2146607
2015-07-13,394.0,402.4,393.6,400.6,2120887
2015-07-14,401.5,401.5,395.8,398.0,1058955
2015-07-15,398.0,406.11,396.4,405.9,1053986
2015-07-16,407.0,410.0,405.5,409.3,989416
2015-07-17,409.3,410.35,404.94,406.1,1305942
2015-07-20,407.5,408.1,404.1,404.7,1274184
2015-07-21,404.5,406.36,394.3,395.5,2074213
2015-07-22,392.1,395.0,388.7,391.41,2486970
2015-07-23,391.3,392.7,383.6,384.6,2122621
2015-07-24,385.0,386.2,381.56,384.23,2215628
2015-07-27,382.2,383.19,376.94,380.0,1848266
2015-07-28,381.4,390.2,379.3,390.2,2109551
2015-07-29,393.0,397.9,389.6,397.3,1870576
2015-07-30,398.3,402.2,390.3,393.1,1440180
2015-07-31,395.4,401.0,395.0,400.5,1600264
2015-08-03,401.1,406.6,397.2,405.9,1381252
2015-08-04,404.6,412.5,403.7,412.5,1863109
2015-08-05,412.9,413.54,407.7,410.4,1844534
2015-08-06,408.3,413.5,408.0,413.4,1437819
2015-08-07,411.4,419.0,410.2,418.2,3256621
2015-08-10,419.4,421.03,415.6,421.0,1562131
2015-08-11,419.4,423.7,416.3,416.8,1734265
2015-08-12,414.0,419.12,401.8,403.7,2225640
2015-08-13,410.9,415.4,409.4,412.6,1679574
2015-08-14,413.9,416.0,412.4,414.0,1365635
2015-08-17,414.0,414.0,407.5,411.7,1079758
2015-08-18,410.2,415.1,408.3,414.3,1223326
2015-08-19,413.1,413.1,406.1,406.51,1007289
2015-08-20,402.7,408.2,398.3,399.9,1275426
2015-08-21,394.9,398.8,387.5,387.5,1697363
2015-08-24,378.7,380.6,361.96,369.2,2134446
2015-08-25,374.0,383.1,370.1,382.1,3185734
2015-08-26,378.7,387.5,374.3,380.5,2328215
2015-08-27,388.5,393.4,383.0,391.4,1682927
2015-08-28,391.7,394.7,390.0,394.7,1694199
2015-09-01,387.8,392.43,383.2,387.3,1627609
2015-09-02,388.7,391.5,382.8,388.5,1536752
2015-09-03,391.9,401.0,391.9,398.6,1412761
2015-09-04,396.6,397.0,392.2,392.2,1162873
2015-09-07,395.9,397.9,391.4,393.3,1225101
2015-09-08,393.5,398.8,392.0,393.5,1797194
2015-09-09,401.1,401.1,392.5,394.0,1042937
2015-09-10,390.0,395.3,388.2,391.8,1114260
2015-09-11,396.0,397.2,390.1,394.9,1338619
2015-09-14,396.0,398.4,393.54,397.1,909117
2015-09-15,397.2,400.1,393.1,398.8,1468155
2015-09-16,401.0,410.7,401.0,405.2,2056167
2015-09-17,405.3,409.9,401.9,408.7,1512434
2015-09-18,405.3,408.16,399.98,404.2,1816906
2015-09-21,402.5,411.3,401.19,405.9,903718
2015-09-22,404.9,406.0,392.5,396.6,1186435
2015-09-23,395.4,399.7,393.2,396.9,1211432
2015-09-24,395.9,403.5,393.2,393.6,1591442
2015-09-25,398.8,404.3,398.1,401.7,1437609
2015-09-28,401.8,403.2,396.8,397.4,747635
2015-09-29,393.0,398.2,390.9,392.6,1103374
2015-09-30,400.3,401.4,392.2,393.9,1567309
2015-10-01,396.5,400.9,381.2,383.0,2212996
2015-10-02,381.0,381.86,367.5,375.8,3992066
2015-10-05,381.0,384.9,378.7,384.1,1418309
2015-10-06,382.0,387.0,380.2,385.0,1247048
2015-10-07,390.0,390.0,378.2,379.6,1459828
2015-10-08,380.7,380.7,369.1,371.0,2092271
2015-10-09,372.8,375.4,370.0,374.2,1793868
2015-10-12,374.2,375.1,368.4,373.2,1304127
2015-10-13,372.1,373.5,366.0,367.2,1464213
2015-10-14,367.3,370.3,364.97,367.0,1375724
2015-10-15,369.7,380.2,366.6,372.5,1754362
2015-10-16,375.1,376.8,372.8,375.3,1169020
2015-10-19,375.4,377.8,373.6,375.3,944726
2015-10-20,375.8,378.7,374.82,378.5,1271428
2015-10-21,381.0,382.5,376.5,382.5,841540
2015-10-22,380.2,383.2,378.18,381.3,993029
2015-10-23,384.0,389.8,381.5,383.11,969057
2015-10-26,389.1,389.1,383.8,385.8,1093230
2015-10-27,394.0,397.2,386.3,392.0,1766677
2015-10-28,392.0,392.9,388.7,390.6,1275015
2015-10-29,389.4,390.8,385.9,389.9,1227289
2015-10-30,390.8,391.0,385.1,387.0,1103179
2015-11-02,385.0,391.3,385.0,391.3,913814
2015-11-03,391.1,393.0,389.2,389.8,653702
2015-11-04,389.1,393.8,386.9,392.7,1739000
2015-11-05,391.8,396.51,386.8,393.5,1548434
2015-11-06,395.0,404.0,391.6,401.8,1361297
2015-11-09,402.4,404.8,400.5,403.5,1437400
2015-11-10,406.0,409.4,401.8,402.6,2215464
2015-11-11,402.3,406.3,400.7,405.5,1038020
2015-11-12,404.9,407.0,398.22,400.1,871010
2015-11-13,397.9,400.6,394.6,395.9,1352831
2015-11-16,394.3,401.9,393.5,400.9,996415
2015-11-17,402.1,408.1,401.6,408.1,1295662
2015-11-18,407.1,407.1,401.8,407.1,784486
2015-11-19,408.5,415.0,406.1,413.5,1299977
2015-11-20,413.7,415.7,409.9,411.2,1337224
2015-11-23,410.2,414.4,409.5,413.1,870301
2015-11-24,412.9,413.3,400.89,402.9,1816416
2015-11-25,402.7,407.9,401.9,407.4,1863716
2015-11-26,407.6,414.8,405.7,412.5,930037
2015-11-27,411.2,415.0,409.9,413.9,915156
2015-11-30,415.0,416.0,411.7,415.0,1850958
2015-12-01,416.0,419.5,413.1,414.4,1345553
2015-12-02,417.2,418.1,413.9,416.4,2200312
2015-12-03,412.1,418.8,395.0,395.0,3570018
2015-12-04,395.0,399.4,391.5,397.1,1458921
2015-12-07,397.2,399.7,385.3,386.1,2450780
2015-12-08,385.8,389.6,382.7,383.7,2543346
2015-12-09,386.3,386.3,374.4,376.4,3541522
2015-12-10,375.3,382.0,374.7,378.9,2479433
2015-12-11,376.8,379.4,370.4,371.7,2025654
2015-12-14,371.0,412.0,371.0,373.0,2021348
2015-12-15,375.3,387.0,373.0,387.0,4035945
2015-12-16,388.3,393.8,385.0,393.1,2855136
2015-12-18,398.3,399.68,390.6,392.2,2019914
2015-12-21,392.2,395.6,388.9,388.9,1185315
2015-12-22,392.8,393.9,387.1,390.5,1182973
2015-12-23,391.5,394.2,389.2,393.1,829778
2015-12-24,391.9,396.1,390.8,392.7,199608
2015-12-29,391.9,397.56,391.4,396.3,801528
2015-12-30,394.4,399.0,393.6,398.1,802664
2015-12-31,399.7,400.79,394.7,396.7,506031
2016-01-04,395.6,397.0,386.9,388.5,2122991
2016-01-05,390.0,394.4,387.7,392.3,1178522
2016-01-06,390.0,392.48,379.8,381.3,1934014
2016-01-07,376.6,378.5,370.3,375.5,1819529
2016-01-08,374.4,380.6,373.75,376.4,2068110
2016-01-11,377.3,383.9,375.1,379.6,2320306
2016-01-12,381.5,390.2,379.0,386.5,2224549
2016-01-13,387.3,392.0,381.91,385.4,1786572
2016-01-14,378.3,381.45,365.0,372.6,3426802
2016-01-15,371.3,373.3,362.4,367.1,2704117
2016-01-18,366.2,370.4,363.2,365.8,1545676
2016-01-19,371.0,374.7,369.2,371.5,1469396
2016-01-20,365.8,369.4,360.9,363.0,2483465
2016-01-21,363.6,370.7,363.6,369.4,1918609
2016-01-22,375.0,376.0,368.7,369.3,1506057
2016-01-25,373.2,374.2,369.3,370.8,1380654
2016-01-26,364.4,368.6,360.4,362.6,1983279
2016-01-27,360.0,363.0,358.01,363.0,1867946
2016-01-28,363.7,364.3,342.3,345.5,3013521
2016-01-29,348.9,370.5,348.9,365.7,4805221
2016-02-01,368.9,371.0,359.4,363.7,2846308
2016-02-02,365.1,365.1,350.1,355.2,2694383
2016-02-03,353.0,353.1,341.36,348.0,2288798
2016-02-04,353.2,353.2,340.6,343.6,2670328
2016-02-05,345.1,352.1,341.4,345.1,2784104
2016-02-08,351.2,352.7,329.1,331.2,2552572
2016-02-09,334.1,338.3,330.3,336.6,2770618
2016-02-10,341.5,353.0,340.4,348.0,2892520
2016-02-11,346.3,347.9,336.1,343.6,2533891
2016-02-12,345.0,360.1,343.3,359.5,2890957
2016-02-15,362.3,373.4,362.0,371.4,2052845
2016-02-16,374.7,377.7,371.5,377.3,2009445
2016-02-17,375.6,384.0,375.6,382.6,1640273
2016-02-18,382.1,388.5,380.6,382.7,1714156
2016-02-19,384.8,384.9,375.7,380.4,1623360
2016-02-22,383.2,387.2,378.87,380.9,1731870
2016-02-23,378.1,381.2,371.4,373.5,1514039
2016-02-24,373.7,376.0,367.64,369.6,1441488
2016-02-25,374.1,382.8,372.8,380.6,1638568
2016-02-26,383.2,387.1,380.5,380.5,971672
2016-02-29,376.2,389.1,376.2,389.1,1769662
2016-03-01,390.0,390.0,384.3,388.8,2312692
2016-03-02,387.9,389.63,377.0,380.9,1964845
2016-03-03,379.0,381.4,376.8,378.6,1277873
2016-03-04,380.0,390.5,376.9,388.3,1885560
2016-03-07,387.7,389.31,384.0,386.6,997062
2016-03-08,385.8,392.0,381.9,390.4,1766251
2016-03-09,389.4,399.0,387.4,396.6,1356451
2016-03-10,398.1,407.2,394.6,396.0,2221014
2016-03-11,399.3,404.2,398.3,403.0,1135666
2016-03-14,405.4,413.1,401.1,410.8,1264079
2016-03-15,411.7,416.5,407.75,408.9,1923932
2016-03-16,411.1,413.4,409.6,411.6,1636360
2016-03-17,415.0,417.0,410.8,413.4,1785216
2016-03-18,413.7,415.0,410.2,412.6,2904853
2016-03-21,409.7,414.8,407.7,408.8,1846842
2016-03-22,408.0,412.7,406.0,410.0,1678179
2016-03-23,408.8,416.5,408.8,415.6,1544103
2016-03-24,411.7,416.2,409.7,409.8,1586410
2016-03-29,410.2,413.2,407.5,412.5,1379834
2016-03-30,417.4,417.8,413.4,415.0,1293369
2016-03-31,411.9,411.9,405.5,408.0,1684912
2016-04-01,404.8,405.6,397.69,400.2,1963966
2016-04-04,399.3,408.2,399.3,404.9,1191362
2016-04-05,403.0,403.2,392.3,394.1,2057479
2016-04-06,395.1,399.3,391.2,397.7,1508042
2016-04-07,397.6,400.3,382.9,383.3,1797834
2016-04-08,384.7,391.1,382.8,389.9,1546535
2016-04-11,389.0,390.0,385.0,389.5,1334070
2016-04-12,391.4,393.4,384.4,386.3,1037165
2016-04-13,390.0,401.2,387.58,401.2,1830859
2016-04-14,402.4,402.8,397.1,400.6,1274238
2016-04-15,401.0,407.6,397.2,402.0,1552367
2016-04-18,397.9,410.06,396.98,404.9,1368524
2016-04-19,404.7,408.7,402.2,404.5,1352687
2016-04-20,403.4,405.2,398.0,402.7,1602099
2016-04-21,401.6,402.8,395.5,396.8,1407461
2016-04-22,394.0,395.3,382.6,383.1,1524186
2016-04-25,383.1,385.3,378.04,383.8,1695248
2016-04-26,386.4,387.1,382.4,383.2,1925145
