Date,Open,High,Low,Close,Volume
2015-02-23,258.5,259.25,256.6,258.0,197028
2015-02-24,258.8,258.8,255.8,258.25,160280
2015-02-25,258.2,258.8,257.0,258.25,75309
2015-02-26,258.0,259.24,257.5,258.9,60861
2015-02-27,259.0,259.5,257.4,258.6,154735
2015-03-02,258.5,260.1,258.16,259.0,147124
2015-03-03,258.3,259.9,254.7,258.0,275166
2015-03-04,255.1,255.7,253.0,253.83,227196
2015-03-05,254.5,256.9,252.6,254.7,319524
2015-03-06,256.5,258.0,256.0,257.3,335798
2015-03-09,257.5,258.3,256.1,256.66,315068
2015-03-10,258.0,258.4,255.0,255.3,1121514
2015-03-11,256.0,257.5,253.0,255.24,787362
2015-03-12,256.0,258.6,255.55,257.0,270516
2015-03-13,256.5,260.4,256.5,257.5,201314
2015-03-16,258.0,261.5,258.0,260.0,326421
2015-03-17,260.5,263.6,260.0,262.03,465456
2015-03-18,262.0,266.17,262.0,263.8,369211
2015-03-19,268.0,270.2,266.1,268.4,458900
2015-03-20,269.0,271.5,268.7,271.0,760345
2015-03-23,271.3,271.6,269.5,270.61,331221
2015-03-24,268.3,271.5,268.3,271.43,203304
2015-03-25,271.4,272.75,266.7,272.28,291712
2015-03-26,268.0,268.0,260.5,261.8,336016
2015-03-27,264.4,264.7,262.1,264.0,115378
2015-03-30,262.2,266.6,262.2,266.28,269771
2015-03-31,267.4,269.5,265.36,267.1,440086
2015-04-01,265.0,269.9,264.4,264.7,421915
2015-04-02,269.0,269.0,267.3,268.0,351405
2015-04-07,270.0,272.0,267.55,271.0,222525
2015-04-08,269.0,272.9,269.0,272.1,332959
2015-04-09,272.1,275.7,272.1,274.1,478466
2015-04-10,276.5,281.7,276.27,281.0,328438
2015-04-13,278.0,283.4,278.0,281.8,185163
2015-04-14,280.8,282.8,278.03,282.4,209063
2015-04-15,280.0,281.04,278.0,278.31,362009
2015-04-16,278.5,280.04,275.18,276.02,226088
2015-04-17,276.6,373.6,270.5,271.81,241558
2015-04-20,271.9,273.0,270.75,270.75,201604
2015-04-21,272.1,276.1,272.1,275.4,250956
2015-04-22,273.9,276.27,273.5,275.6,176404
2015-04-23,276.0,276.4,272.36,272.36,173926
2015-04-24,274.0,276.1,273.2,274.2,175903
2015-04-27,276.2,279.5,275.15,279.0,173319
2015-04-28,278.8,279.26,272.6,279.0,270233
2015-04-29,274.9,274.9,268.1,268.1,224902
2015-04-30,270.0,270.0,265.0,265.5,415748
2015-05-01,267.0,267.1,264.5,265.0,111355
2015-05-05,267.5,270.3,265.4,270.0,346596
2015-05-06,266.2,266.56,262.12,262.6,260320
2015-05-07,263.8,265.8,257.5,258.5,464129
2015-05-08,267.8,270.23,264.6,266.0,1721838
2015-05-11,269.0,270.4,265.2,266.2,469755
2015-05-12,266.7,266.75,259.2,260.2,323216
2015-05-13,262.0,263.6,261.4,262.5,273381
2015-05-14,262.6,263.7,261.31,263.3,272938
2015-05-15,263.9,266.5,262.8,265.8,503221
2015-05-18,266.0,267.0,264.1,264.5,228782
2015-05-19,266.9,268.7,265.42,268.4,255834
2015-05-20,269.0,269.0,267.39,267.9,139830
2015-05-21,268.4,268.7,265.3,267.4,229799
2015-05-22,268.0,271.0,267.25,270.2,147946
2015-05-26,270.9,273.2,269.71,270.6,172753
2015-05-27,271.0,273.4,270.48,271.0,220345
2015-05-28,273.0,276.0,272.1,275.5,431851
2015-05-29,273.7,275.9,271.5,275.11,319248
2015-06-01,272.5,274.8,272.0,272.5,185873
2015-06-02,274.9,274.9,270.0,271.8,248118
2015-06-03,272.4,276.0,271.9,274.4,461632
2015-06-04,274.1,275.31,271.64,274.6,271753
2015-06-05,274.9,274.9,272.25,273.25,204049
2015-06-08,273.8,274.5,272.4,273.0,215172
2015-06-09,273.0,273.4,270.54,271.4,206784
2015-06-10,271.5,273.5,269.7,270.1,1056471
2015-06-11,272.0,273.3,270.0,270.4,413279
2015-06-12,271.2,271.28,267.7,271.07,276111
2015-06-15,267.7,268.24,262.5,262.9,466393
2015-06-16,264.8,265.2,262.5,262.92,303061
2015-06-17,264.0,265.6,262.59,264.3,281978
2015-06-18,263.0,264.39,261.2,264.3,223808
2015-06-19,264.4,265.69,263.1,265.3,1221047
2015-06-22,265.1,267.2,264.0,266.5,185373
2015-06-23,267.0,267.8,264.5,266.0,419305
2015-06-24,268.2,270.9,266.9,268.6,257622
2015-06-25,269.5,270.5,267.3,268.4,409165
2015-06-26,267.1,268.11,263.0,265.0,445538
2015-06-29,258.0,263.0,254.5,258.6,490230
2015-06-30,262.0,262.9,258.7,261.0,397454
2015-07-01,260.3,265.0,260.3,264.0,363673
2015-07-02,265.0,265.0,262.87,264.11,217499
2015-07-03,263.8,264.5,261.0,262.4,51249
2015-07-06,259.0,263.0,258.4,259.91,619070
2015-07-07,261.3,262.35,256.88,260.1,208268
2015-07-08,257.8,259.76,257.15,258.4,478104
2015-07-09,259.1,261.47,258.5,261.39,254659
2015-07-10,262.5,263.79,260.5,261.6,145346
2015-07-13,263.5,266.5,261.91,265.9,301246
2015-07-14,265.2,267.45,264.4,267.0,181871
2015-07-15,264.4,266.94,264.4,266.5,180023
2015-07-16,266.6,268.76,266.6,268.4,155469
2015-07-17,268.3,268.9,267.25,268.43,302467
2015-07-20,269.4,275.4,268.0,272.44,342570
2015-07-21,275.9,278.37,274.52,277.2,235897
2015-07-22,275.2,276.4,271.5,272.9,221195
2015-07-23,273.8,274.44,271.2,272.9,152436
2015-07-24,273.5,276.3,272.5,274.36,418549
2015-07-27,272.4,274.11,269.75,270.5,278794
2015-07-28,273.1,273.1,268.1,271.0,164244
2015-07-29,271.0,271.59,266.2,267.3,290466
2015-07-30,268.0,269.8,266.8,268.42,444343
2015-07-31,271.0,271.5,269.6,270.0,185309
2015-08-03,271.3,271.3,268.5,268.7,134174
2015-08-04,269.2,270.51,267.72,270.4,130603
2015-08-05,270.8,273.0,269.13,271.75,422141
2015-08-06,271.1,274.84,271.0,273.4,203048
2015-08-07,273.7,274.2,272.5,273.7,221983
2015-08-10,275.4,275.5,272.72,273.72,379849
2015-08-11,274.4,274.78,270.1,270.7,277692
2015-08-12,269.0,269.02,260.0,260.0,593696
2015-08-13,263.0,265.0,261.4,262.9,366853
2015-08-14,263.0,263.79,261.2,262.8,133546
2015-08-17,262.3,265.2,260.5,262.6,136000
2015-08-18,261.6,262.7,260.39,261.9,163274
2015-08-19,262.1,262.1,256.76,257.2,245979
2015-08-20,257.2,257.96,254.89,256.0,143998
2015-08-21,253.9,253.9,244.8,251.0,397443
2015-08-24,238.0,238.9,226.2,228.5,936596
2015-08-25,235.8,244.08,234.8,242.7,923189
2015-08-26,239.5,243.4,236.05,238.25,920615
2015-08-27,244.5,250.33,244.16,250.33,590684
2015-08-28,250.0,255.0,245.3,246.0,293262
2015-09-01,247.6,247.6,241.68,243.5,269298
2015-09-02,243.6,247.9,242.88,244.0,306427
2015-09-03,246.3,251.8,246.3,249.5,382821
