Date,Open,High,Low,Close,Volume
2015-02-23,1179.0,1187.0,1176.0,1181.0,1417243
2015-02-24,1182.0,1191.0,1177.0,1184.0,1506691
2015-02-25,1181.0,1185.0,1167.0,1178.0,1251841
2015-02-26,1180.0,1184.0,1168.0,1181.0,1226883
2015-02-27,1180.0,1193.0,1179.9,1186.0,2221946
2015-03-02,1186.0,1204.0,1185.75,1198.05,2683383
2015-03-03,1204.0,1216.0,1126.0,1131.0,12055803
2015-03-04,1120.0,1148.0,1108.42,1142.0,6109110
2015-03-05,1139.0,1156.0,1139.0,1147.0,2372276
2015-03-06,1143.0,1164.0,1142.0,1144.0,2543970
2015-03-09,1139.0,1145.0,1112.0,1129.34,4195604
2015-03-10,1124.0,1126.0,1106.0,1113.0,4135267
2015-03-11,1113.0,1120.0,1103.0,1120.0,2838715
2015-03-12,1124.0,1143.0,1120.0,1141.0,3046237
2015-03-13,1142.0,1150.0,1126.0,1133.0,2570980
2015-03-16,1138.0,1146.0,1134.0,1146.0,1760305
2015-03-17,1143.0,1148.5,1129.0,1135.0,2395710
2015-03-18,1130.0,1152.0,1130.0,1152.0,2299459
2015-03-19,1150.0,1156.0,1147.0,1151.0,2828620
2015-03-20,1155.0,1163.0,1135.0,1148.0,3482988
2015-03-23,1163.0,1165.0,1145.0,1163.0,2159171
2015-03-24,1163.0,1177.0,1162.0,1168.0,2324727
2015-03-25,1169.0,1178.0,1162.0,1162.0,1843153
2015-03-26,1150.0,1153.0,1127.0,1148.0,3596952
2015-03-27,1152.0,1159.0,1102.17,1142.0,1700919
2015-03-30,1152.0,1153.0,1103.24,1145.0,3012436
2015-03-31,1153.0,1168.0,1136.0,1144.0,3250347
2015-04-01,1144.0,1161.0,1130.0,1132.0,2999680
2015-04-02,1133.0,1152.0,1132.0,1147.0,2533240
2015-04-07,1148.0,1155.0,1144.0,1155.0,2372643
2015-04-08,1156.0,1176.0,1153.0,1162.0,2466393
2015-04-09,1168.0,1179.0,1165.64,1179.0,1988999
2015-04-10,1180.0,1195.0,1178.0,1195.0,2642143
2015-04-13,1195.0,1198.49,1177.5,1190.0,1484010
2015-04-14,1185.0,1194.0,1170.0,1180.0,2060331
2015-04-15,1182.0,1186.0,1164.0,1172.0,1965078
2015-04-16,1170.0,1170.0,1145.0,1146.0,1984314
2015-04-17,1146.0,1154.0,1132.0,1136.0,2769847
2015-04-20,1139.0,1158.0,1137.44,1158.0,1978216
2015-04-21,1162.0,1170.0,1143.0,1166.0,2527694
2015-04-22,1172.0,1175.0,1159.0,1169.0,2567702
2015-04-23,1168.0,1178.0,1165.66,1173.0,2146512
2015-04-24,1169.0,1185.0,1168.0,1184.0,2208917
2015-04-27,1182.0,1186.0,1160.5,1168.0,2640535
2015-04-28,1163.0,1165.0,1143.0,1152.0,2604109
2015-04-29,1156.0,1165.0,1121.78,1122.0,2295225
2015-04-30,1131.0,1157.63,1105.0,1117.0,3740895
2015-05-01,1118.0,1143.0,1115.0,1143.0,2261313
2015-05-05,1164.0,1164.0,1114.0,1114.0,3898761
2015-05-06,1111.0,1123.0,1107.0,1120.0,2568259
2015-05-07,1116.0,1126.0,1099.28,1121.0,3053244
2015-05-08,1136.0,1146.0,1123.0,1142.0,2819011
2015-05-11,1139.0,1146.5,1132.0,1135.0,1470945
2015-05-12,1130.0,1132.0,1113.0,1124.0,2550216
2015-05-13,1127.0,1134.0,1109.0,1112.0,1883852
2015-05-14,1111.0,1124.0,1100.0,1121.0,2174383
2015-05-15,1126.0,1131.0,1119.5,1125.0,1575390
2015-05-18,1124.0,1135.0,1117.0,1135.0,2184876
2015-05-19,1140.0,1146.11,1135.29,1138.0,2041756
2015-05-20,1144.0,1144.0,1118.0,1134.0,2734453
2015-05-21,1137.0,1149.0,1135.0,1140.0,2400976
2015-05-22,1145.0,1145.0,1133.0,1134.0,1784022
2015-05-26,1139.0,1142.0,1124.0,1140.0,2889401
2015-05-27,1142.0,1169.0,1139.96,1165.0,3283955
2015-05-28,1164.0,1179.0,1162.0,1170.0,2476716
2015-05-29,1174.0,1181.0,1158.0,1160.0,2572002
2015-06-01,1164.0,1174.0,1158.0,1161.0,2151510
2015-06-02,1167.0,1167.0,1145.0,1155.0,2208280
2015-06-03,1159.0,1165.0,1153.0,1153.0,2129668
2015-06-04,1148.0,1152.0,1137.0,1137.0,2617390
2015-06-05,1135.0,1135.0,1116.0,1123.0,2452358
2015-06-08,1126.0,1126.0,1110.0,1111.0,1570856
2015-06-09,1113.0,1113.0,1097.0,1100.0,1870609
2015-06-10,1100.0,1111.0,1089.0,1111.0,2548956
2015-06-11,1101.0,1115.0,1101.0,1114.0,1987939
2015-06-12,1114.0,1114.0,1094.0,1097.0,2677946
2015-06-15,1091.0,1099.0,1087.0,1087.0,2863698
2015-06-16,1082.0,1089.0,1075.5,1084.0,2321826
2015-06-17,1085.0,1088.0,1067.0,1074.0,2319587
2015-06-18,1070.0,1074.0,1062.0,1072.0,2976790
2015-06-19,1073.0,1095.0,1073.0,1082.0,3208321
2015-06-22,1090.0,1097.0,1079.64,1087.0,1673985
2015-06-23,1102.0,1118.0,1097.0,1111.0,3343363
2015-06-24,1108.0,1115.0,1100.0,1115.0,4391404
2015-06-25,1110.0,1120.0,1107.0,1107.0,2569811
2015-06-26,1105.0,1108.0,1098.0,1099.0,2359741
2015-06-29,1071.0,1092.0,1064.0,1084.0,2947333
2015-06-30,1079.0,1086.0,1074.0,1074.0,3040509
2015-07-01,1078.0,1104.0,1078.0,1095.0,2504838
2015-07-02,1093.0,1094.0,1080.94,1090.0,1654888
2015-07-03,1085.0,1094.0,1084.0,1084.0,976301
2015-07-06,1076.0,1087.0,1071.24,1082.0,1445209
2015-07-07,1085.0,1085.0,1068.0,1068.0,2114713
2015-07-08,1071.0,1090.11,1071.0,1086.0,2608079
2015-07-09,1096.0,1117.0,1090.0,1114.0,3376844
2015-07-10,1123.0,1129.0,1116.0,1124.0,2434823
2015-07-13,1136.0,1141.0,1133.0,1137.0,1457571
2015-07-14,1137.0,1143.13,1135.0,1143.0,1192051
2015-07-15,1145.0,1147.0,1137.0,1142.0,1052027
2015-07-16,1146.0,1148.0,1139.0,1146.0,1296523
2015-07-17,1148.0,1150.0,1141.0,1150.0,1467813
2015-07-20,1149.0,1160.0,1149.0,1156.0,1395699
2015-07-21,1154.0,1157.0,1149.0,1154.0,1834717
2015-07-22,1146.0,1154.0,1144.0,1151.0,1685153
2015-07-23,1160.0,1160.0,1140.0,1141.0,1282316
2015-07-24,1136.0,1157.0,1136.0,1141.0,1626866
2015-07-27,1136.0,1138.0,1120.0,1122.0,2394560
2015-07-28,1128.0,1132.0,1117.0,1124.0,1630311
2015-07-29,1127.0,1135.0,1121.0,1135.0,1851211
2015-07-30,1156.0,1167.0,1147.0,1167.0,3204831
2015-07-31,1175.0,1193.0,1171.0,1189.0,3511756
2015-08-03,1185.0,1192.0,1176.0,1188.0,2631414
2015-08-04,1188.0,1194.0,1182.0,1194.0,1935121
2015-08-05,1192.0,1203.0,1191.0,1203.0,1795779
2015-08-06,1196.0,1206.27,1193.0,1194.0,1467870
2015-08-07,1193.0,1195.0,1179.0,1181.0,2366615
2015-08-10,1187.0,1190.0,1176.0,1190.0,1716982
2015-08-11,1189.0,1189.3,1176.0,1178.0,1937575
2015-08-12,1169.0,1173.0,1158.0,1170.0,3020904
2015-08-13,1185.0,1192.0,1176.0,1181.0,1844971
2015-08-14,1183.0,1183.0,1172.35,1179.0,1339461
2015-08-17,1185.0,1193.0,1171.0,1191.0,1400605
2015-08-18,1193.0,1202.0,1184.0,1199.0,2295039
2015-08-19,1199.0,1200.0,1167.0,1168.0,2523295
2015-08-20,1158.0,1176.62,1147.0,1158.0,2234730
2015-08-21,1144.0,1153.0,1122.0,1122.0,3031359
2015-08-24,1102.0,1105.0,1046.0,1071.0,4193621
2015-08-25,1079.0,1116.0,1079.0,1113.0,3768552
2015-08-26,1095.0,1111.0,1085.0,1088.0,3207960
2015-08-27,1112.0,1138.0,1108.0,1134.0,3377752
2015-08-28,1137.0,1163.35,1129.0,1163.0,3519766
2015-09-01,1184.0,1185.0,1126.0,1130.0,3339606
2015-09-02,1134.0,1156.35,1132.0,1136.0,2753214
2015-09-03,1150.0,1170.0,1146.0,1166.0,1993452
2015-09-04,1164.0,1164.0,1146.0,1150.0,2236645
2015-09-07,1158.0,1163.0,1148.0,1157.0,1092215
2015-09-08,1160.0,1183.0,1160.0,1165.0,1456203
2015-09-09,1190.0,1195.0,1178.0,1181.0,1669622
2015-09-10,1172.0,1181.0,1164.0,1171.0,1749058
2015-09-11,1171.0,1173.7,1155.0,1161.0,1686400
2015-09-14,1168.0,1178.0,1149.0,1149.0,1556726
2015-09-15,1151.0,1162.0,1006.2,1155.0,1371495
2015-09-16,1162.0,1169.0,1158.7,1163.0,1664533
2015-09-17,1166.0,1173.8,1157.0,1159.0,1210449
2015-09-18,1160.0,1160.0,1139.0,1144.0,4020373
2015-09-21,1144.0,1170.0,1142.0,1165.0,2230192
2015-09-22,1171.0,1179.0,1154.99,1156.0,4234732
2015-09-23,1156.0,1179.0,1155.0,1171.0,2248197
2015-09-24,1172.0,1180.0,1154.0,1159.0,1747472
2015-09-25,1175.0,1191.0,1171.0,1175.0,2425306
2015-09-28,1173.0,1174.0,1142.0,1143.0,1967943
2015-09-29,1132.0,1134.0,1116.0,1122.0,2330334
2015-09-30,1139.0,1155.0,1134.0,1153.0,2497603
2015-10-01,1162.0,1172.0,1143.0,1147.0,1861363
2015-10-02,1151.0,1166.0,1122.0,1142.0,3468761
2015-10-05,1162.0,1174.0,1156.0,1169.0,1507305
2015-10-06,1175.0,1175.0,1160.0,1161.0,1566662
2015-10-07,1160.0,1161.0,1116.78,1120.0,2535224
2015-10-08,1117.0,1130.0,1100.0,1128.0,2250896
2015-10-09,1137.0,1137.0,1123.36,1126.0,1600819
2015-10-12,1124.0,1126.0,1113.0,1123.0,1489853
2015-10-13,1124.0,1134.0,1110.0,1130.0,2318388
2015-10-14,1124.0,1132.0,1114.0,1122.0,2363733
2015-10-15,1128.0,1137.0,1122.0,1133.0,1411233
2015-10-16,1140.0,1151.0,1136.89,1147.0,1465333
2015-10-19,1144.0,1158.0,1141.0,1151.0,824529
2015-10-20,1156.0,1160.0,1144.0,1146.0,1530799
2015-10-21,1146.0,1154.0,1136.0,1138.0,1374112
2015-10-22,1142.0,1142.0,1125.0,1136.0,1967680
2015-10-23,1144.0,1152.0,1136.0,1147.0,2132779
2015-10-26,1149.0,1155.0,1145.0,1155.0,1630763
2015-10-27,1152.0,1154.0,1140.0,1150.85,1652356
2015-10-28,1142.0,1152.0,1133.0,1150.0,1948103
2015-10-29,1115.0,1115.0,1072.0,1096.0,6047045
2015-10-30,1101.0,1110.33,1093.0,1110.0,3385560
2015-11-02,1101.0,1112.0,1098.0,1105.0,2027023
2015-11-03,1107.0,1109.0,1099.99,1102.0,1313110
2015-11-04,1110.0,1125.0,1102.0,1104.0,1768380
2015-11-05,1108.0,1123.0,1099.03,1102.0,1531608
2015-11-06,1107.0,1123.0,1102.0,1112.0,1934384
2015-11-09,1115.0,1115.0,1088.38,1092.0,2088150
2015-11-10,1098.0,1100.34,1084.0,1089.0,1673232
2015-11-11,1093.0,1103.0,1089.0,1095.0,1515496
2015-11-12,1096.0,1100.0,1080.0,1080.0,1924792
2015-11-13,1077.0,1078.56,1067.0,1073.0,2361111
2015-11-16,1068.0,1072.0,1064.0,1070.0,1656525
2015-11-17,1079.0,1104.0,1079.0,1101.0,2023355
2015-11-18,1097.0,1112.36,1093.03,1106.15,1644949
2015-11-19,1116.0,1139.0,1111.0,1125.0,2571012
2015-11-20,1127.0,1128.0,1110.0,1117.0,1965131
2015-11-23,1109.0,1120.0,1107.0,1116.0,1230808
2015-11-24,1111.0,1112.0,1092.0,1107.0,1214957
2015-11-25,1113.0,1126.46,1109.0,1117.0,1304210
2015-11-26,1122.0,1133.0,1112.0,1133.0,1096462
2015-11-27,1132.0,1132.0,1121.0,1121.0,1297604
2015-11-30,1120.0,1127.0,1114.0,1125.0,1912911
2015-12-01,1138.0,1150.0,1126.0,1127.0,3301660
2015-12-02,1130.0,1148.0,1130.0,1145.0,1873247
2015-12-03,1139.0,1161.0,1117.0,1117.0,2510143
2015-12-04,1112.0,1114.0,1099.0,1113.0,1873492
2015-12-07,1119.0,1130.0,1111.0,1116.0,953938
2015-12-08,1118.0,1129.0,1105.0,1105.0,1908609
2015-12-09,1105.0,1107.98,1091.0,1091.0,1444999
2015-12-10,1089.0,1092.0,1080.0,1088.0,1832192
2015-12-11,1088.0,1090.0,1073.0,1073.0,1941601
2015-12-14,1077.0,1081.0,1058.0,1060.0,1627665
2015-12-15,1070.0,1088.0,1066.0,1086.0,1785297
2015-12-16,1085.0,1096.0,1084.0,1086.0,1871922
2015-12-18,1113.0,1188.0,1106.0,1172.0,6210668
2015-12-21,1170.0,1170.0,1140.0,1143.0,3604491
2015-12-22,1148.0,1158.3,1146.0,1153.0,1634274
2015-12-23,1159.0,1172.0,1155.0,1171.0,1251937
2015-12-24,1175.0,1175.0,1164.0,1173.0,360290
2015-12-29,1181.0,1209.0,1181.0,1209.0,2172031
2015-12-30,1203.0,1215.36,1200.0,1212.0,1629930
2015-12-31,1197.0,1217.0,1197.0,1208.0,392069
2016-01-04,1189.0,1195.8,1162.0,1169.0,2564672
2016-01-05,1185.0,1187.0,1163.65,1179.0,1991486
2016-01-06,1176.0,1188.0,1159.0,1176.0,1745764
2016-01-07,1155.0,1170.0,1147.0,1167.0,2560102
2016-01-08,1163.0,1172.0,1154.0,1155.0,1687399
2016-01-11,1148.0,1151.23,1133.0,1138.0,1758983
2016-01-12,1145.0,1177.0,1136.0,1160.0,2399492
2016-01-13,1170.0,1174.0,1145.0,1150.0,2273267
2016-01-14,1135.0,1137.0,1114.0,1126.0,2409411
2016-01-15,1126.0,1134.0,1098.0,1103.0,2607512
2016-01-18,1100.0,1116.0,1097.0,1103.0,1292583
2016-01-19,1111.0,1118.0,1102.0,1107.0,2002218
2016-01-20,1089.0,1095.0,1068.0,1082.0,2279762
2016-01-21,1085.0,1104.0,1082.0,1104.0,2706252
2016-01-22,1127.0,1130.0,1115.0,1121.0,2361083
2016-01-25,1131.0,1136.0,1120.0,1131.0,1614765
2016-01-26,1120.0,1146.0,1117.03,1142.0,1781857
2016-01-27,1143.0,1163.0,1141.0,1163.0,2200415
2016-01-28,1154.0,1157.0,1123.0,1134.0,2226960
2016-01-29,1147.0,1162.0,1134.0,1162.0,2592811
2016-02-01,1164.0,1167.0,1123.0,1153.0,3939533
2016-02-02,1156.0,1163.0,1130.0,1137.0,1895624
2016-02-03,1137.0,1145.0,1114.0,1116.0,2265182
2016-02-04,1100.0,1145.0,1085.0,1101.0,3707978
2016-02-05,1102.0,1111.0,1091.0,1093.0,2806011
2016-02-08,1091.0,1099.0,1054.0,1056.0,2388258
2016-02-09,1059.0,1070.0,1040.36,1067.0,3002672
2016-02-10,1075.0,1093.0,1071.0,1089.0,2635129
2016-02-11,1066.0,1070.0,1049.0,1051.0,3024195
2016-02-12,1059.0,1066.0,1052.0,1065.0,1916112
2016-02-15,1084.0,1100.0,1080.0,1095.0,1976425
2016-02-16,1101.0,1112.0,1092.0,1112.0,2252331
2016-02-17,1117.0,1153.0,1115.0,1144.8,2780289
2016-02-18,1143.0,1154.0,1138.0,1140.0,2139752
2016-02-19,1154.0,1159.3,1147.0,1153.0,2145140
2016-02-22,1160.0,1170.0,1157.0,1162.0,867360
2016-02-23,1153.0,1162.0,1150.0,1152.0,1172152
2016-02-24,1151.0,1156.0,1138.0,1146.0,1383646
2016-02-25,1156.0,1178.0,1156.0,1174.8,1484286
2016-02-26,1190.0,1190.0,1169.3,1177.0,1341005
2016-02-29,1171.0,1175.0,1163.0,1173.0,1868182
2016-03-01,1174.0,1186.1,1166.0,1178.0,1935556
2016-03-02,1185.0,1190.0,1163.15,1173.0,1687238
2016-03-03,1173.0,1176.0,1142.0,1145.0,1616701
2016-03-04,1147.0,1154.0,1139.0,1149.0,2249037
2016-03-07,1145.0,1150.0,1134.0,1138.0,1734878
2016-03-08,1140.0,1151.0,1131.0,1142.0,1596988
2016-03-09,1144.0,1146.0,1129.36,1130.0,2235829
2016-03-10,1134.0,1136.0,1108.0,1108.0,2229710
2016-03-11,1122.0,1127.0,1114.0,1121.0,1658210
2016-03-14,1129.0,1136.0,1126.0,1126.0,1849096
2016-03-15,1122.0,1127.0,1120.0,1122.0,1607327
2016-03-16,1121.0,1126.0,1114.26,1123.0,1272943
2016-03-17,1123.0,1125.0,1108.0,1113.0,1676336
2016-03-18,1111.0,1122.0,1108.0,1120.0,2912938
2016-03-21,1113.0,1125.0,1112.0,1115.0,1080574
2016-03-22,1112.0,1127.0,1101.0,1127.0,1688463
2016-03-23,1121.0,1133.0,1118.0,1129.0,1812581
2016-03-24,1122.0,1130.0,1119.0,1119.0,1104616
2016-03-29,1120.0,1131.0,1114.0,1130.0,1940724
2016-03-30,1140.0,1151.0,1138.88,1149.0,1072017
