Date,Open,High,Low,Close,Volume
2015-02-23,1530.0,1539.24,1524.0,1535.0,1582623
2015-02-24,1536.0,1582.0,1535.0,1580.0,3088282
2015-02-25,1582.0,1605.3,1578.0,1585.0,2202367
2015-02-26,1583.0,1583.0,1551.0,1562.0,1991090
2015-02-27,1563.0,1580.0,1556.75,1573.0,2110418
2015-03-02,1570.0,1575.4,1554.3,1561.0,1927061
2015-03-03,1565.0,1578.0,1557.0,1566.0,2452211
2015-03-04,1560.0,1563.0,1535.35,1549.0,2169677
2015-03-05,1550.0,1559.0,1523.15,1555.0,1791037
2015-03-06,1551.0,1557.12,1515.0,1517.0,2220648
2015-03-09,1514.0,1520.0,1505.0,1518.0,1631668
2015-03-10,1523.0,1525.0,1470.0,1470.0,2374149
2015-03-11,1480.0,1490.0,1474.84,1482.0,1767910
2015-03-12,1489.0,1504.0,1482.0,1491.0,2012180
2015-03-13,1485.0,1485.0,1449.0,1462.0,3532680
2015-03-16,1473.0,1476.0,1454.0,1469.0,1745897
2015-03-17,1469.0,1506.78,1422.93,1501.0,2453761
2015-03-18,1500.0,1537.0,1457.55,1532.0,2312950
2015-03-19,1539.0,1557.0,1524.88,1532.0,2473601
2015-03-20,1533.0,1557.0,1533.0,1554.0,3517202
2015-03-23,1556.0,1568.5,1549.77,1568.0,1700689
2015-03-24,1569.0,1569.25,1550.0,1556.0,1748913
2015-03-25,1554.0,1568.36,1546.0,1563.0,1758890
2015-03-26,1559.0,1572.84,1545.0,1548.0,2031531
2015-03-27,1548.0,1567.12,1539.25,1548.0,1572464
2015-03-30,1558.0,1558.0,1466.93,1532.0,2426726
2015-03-31,1533.0,1547.0,1497.55,1498.0,3690564
2015-04-01,1500.0,1513.0,1492.66,1503.0,2441243
2015-04-02,1507.0,1512.0,1493.0,1508.0,1857060
2015-04-07,1523.0,1553.0,1508.0,1544.0,2020588
2015-04-08,1536.0,1558.0,1530.38,1535.0,1566832
2015-04-09,1544.0,1560.0,1540.0,1560.0,1395459
2015-04-10,1566.0,1567.0,1546.08,1561.0,1853914
2015-04-13,1565.0,1576.0,1555.0,1562.0,1459634
2015-04-14,1555.0,1573.0,1555.0,1564.0,1217318
2015-04-15,1520.0,1557.0,1507.0,1557.0,2200140
2015-04-16,1566.0,1567.0,1547.0,1560.0,1800164
2015-04-17,1565.0,1579.0,1544.0,1559.0,2170010
2015-04-20,1562.0,1576.0,1555.0,1570.0,1879328
2015-04-21,1579.0,1588.0,1559.0,1576.0,1879290
2015-04-22,1585.0,1598.32,1548.0,1566.0,1707208
2015-04-23,1568.0,1591.55,1565.0,1588.0,1713621
2015-04-24,1588.0,1608.0,1586.0,1605.0,2044208
2015-04-27,1605.0,1605.0,1577.0,1588.0,2263324
2015-04-28,1583.0,1600.15,1582.0,1598.0,1845131
2015-04-29,1606.0,1620.0,1558.0,1558.0,3010595
2015-04-30,1558.0,1558.0,1535.0,1547.0,2490669
2015-05-01,1542.0,1557.0,1522.0,1550.0,958083
2015-05-05,1571.0,1577.0,1542.0,1542.0,2482723
2015-05-06,1539.0,1558.0,1524.0,1549.0,1964284
