Date,Open,High,Low,Close,Volume
2015-02-23,241.95,242.8,238.15,240.4,12984183
2015-02-24,241.5,241.63,236.75,238.4,17391231
2015-02-25,238.55,242.86,238.33,240.9,18350155
2015-02-26,240.65,246.35,240.1,246.0,20304986
2015-02-27,246.0,247.28,244.45,245.4,23995811
2015-03-02,244.95,247.0,244.45,246.7,16473614
2015-03-03,246.75,248.5,244.65,244.95,16950907
2015-03-04,244.85,246.15,241.75,243.25,16129403
2015-03-05,242.95,247.2,242.05,245.95,13144798
2015-03-06,245.0,246.2,242.4,242.5,14106334
2015-03-09,241.25,241.94,239.25,240.3,14632197
2015-03-10,239.55,243.3,234.9,235.3,23252042
2015-03-11,235.95,236.46,233.75,235.45,14383517
2015-03-12,235.65,238.6,235.45,235.75,13972689
2015-03-13,236.05,237.7,231.4,232.85,15633245
2015-03-16,233.55,242.45,233.18,241.35,21894455
2015-03-17,241.1,241.4,233.48,237.15,18330203
2015-03-18,237.8,242.1,236.84,241.8,15949094
2015-03-19,242.9,245.1,242.0,242.8,21523796
2015-03-20,244.95,245.7,243.5,244.85,23525665
2015-03-23,245.65,246.6,244.0,246.6,12004037
2015-03-24,244.7,246.72,242.15,243.65,14770181
2015-03-25,242.65,245.0,238.55,239.35,13291044
2015-03-26,237.4,239.2,236.26,238.0,16203613
2015-03-27,237.8,238.45,234.8,238.25,13897714
2015-03-30,240.95,241.75,238.62,240.95,13313882
2015-03-31,241.85,245.3,240.85,241.85,27671054
2015-04-01,240.6,245.33,239.94,243.25,18525626
2015-04-02,242.75,244.55,241.58,244.3,16468061
2015-04-07,245.3,252.52,245.12,251.0,21316150
2015-04-08,250.1,252.3,246.15,246.85,22688297
2015-04-09,247.75,249.15,245.1,246.8,16032446
2015-04-10,248.0,251.55,246.55,251.0,17709702
2015-04-13,248.9,248.9,243.35,244.3,18721962
2015-04-14,243.1,245.25,241.8,244.2,18186277
2015-04-15,243.8,248.55,241.9,246.9,20817945
2015-04-16,248.35,248.6,240.4,241.05,18588215
2015-04-17,240.5,241.75,234.7,236.7,19480706
2015-04-20,235.0,240.0,231.5,235.0,24476377
2015-04-21,236.7,238.95,233.35,234.75,21336628
2015-04-22,234.7,240.45,220.2,222.65,68192799
2015-04-23,224.0,228.11,222.59,225.3,32995953
2015-04-24,224.15,225.95,222.4,224.8,28524431
2015-04-27,224.6,226.55,215.5,220.8,38010315
2015-04-28,221.45,222.6,217.2,220.05,19117881
2015-04-29,220.0,222.55,218.55,220.45,23652282
2015-04-30,221.8,224.35,220.05,221.0,27827251
2015-05-01,218.75,225.95,218.75,225.0,12884248
2015-05-05,225.6,228.36,225.05,226.9,25855824
2015-05-06,225.95,227.35,224.71,226.8,24250101
2015-05-07,227.0,227.13,223.7,223.7,23612907
2015-05-08,227.1,230.7,226.3,228.85,19074618
2015-05-11,229.5,235.35,229.35,232.5,16662687
2015-05-12,230.8,232.4,226.25,227.45,17219145
2015-05-13,227.95,229.85,223.6,224.7,20319402
2015-05-14,223.55,227.85,222.93,227.4,15720133
2015-05-15,227.6,229.0,223.85,224.5,18805124
2015-05-18,224.8,227.2,220.7,222.1,16863049
2015-05-19,222.9,223.25,220.0,221.15,16068047
2015-05-20,221.0,221.75,219.25,220.5,11797323
2015-05-21,221.8,224.35,219.1,220.7,14179265
2015-05-22,220.05,221.55,218.55,219.4,10024969
2015-05-26,219.15,220.65,214.1,215.65,15756399
2015-05-27,214.65,218.55,214.65,217.0,16264407
2015-05-28,215.65,218.25,214.69,216.4,11374179
2015-05-29,216.65,217.5,212.05,212.6,27154065
2015-06-01,212.5,214.55,209.2,209.8,17787232
2015-06-02,209.35,209.75,204.45,207.45,28239688
2015-06-03,206.45,212.3,206.45,210.4,18182086
2015-06-04,210.4,212.55,206.65,208.65,25897296
2015-06-05,207.75,209.0,205.55,205.8,13935892
2015-06-08,205.1,205.88,202.02,203.5,12649109
2015-06-09,203.9,205.05,200.77,202.1,17948008
2015-06-10,202.2,212.15,201.73,211.45,37226419
2015-06-11,210.5,217.05,210.5,215.65,27049950
2015-06-12,214.4,214.95,212.25,213.7,20012572
2015-06-15,211.8,214.9,211.8,214.0,17774206
2015-06-16,213.5,214.95,210.25,211.5,24725740
2015-06-17,211.0,211.1,207.8,208.05,17310060
2015-06-18,209.05,211.05,206.7,209.5,16425969
2015-06-19,210.0,216.1,209.2,210.85,27817376
2015-06-22,214.4,214.7,210.4,214.0,14413196
2015-06-23,216.15,217.17,212.7,216.2,13711886
2015-06-24,217.6,220.6,215.35,215.8,22870523
2015-06-25,214.0,219.7,213.45,217.75,20691159
2015-06-26,224.3,227.35,221.35,223.65,35545899
2015-06-29,220.0,221.15,218.4,219.55,21846932
2015-06-30,217.5,217.8,212.0,212.55,28831981
2015-07-01,213.8,214.2,209.3,209.6,24674615
2015-07-02,209.95,211.53,208.3,209.55,16777550
2015-07-03,208.85,211.15,206.0,207.4,11323265
2015-07-06,205.3,207.7,204.6,205.25,12901205
2015-07-07,207.1,207.1,199.6,200.65,17052986
2015-07-08,203.15,205.86,201.5,201.9,20749068
2015-07-09,202.1,206.0,200.5,206.0,18667603
2015-07-10,208.7,209.0,206.45,207.75,16056804
2015-07-13,209.8,213.05,208.8,212.5,13743133
2015-07-14,213.35,216.6,212.55,216.45,15762298
2015-07-15,216.55,218.75,214.7,217.1,17904610
2015-07-16,217.7,218.65,216.85,217.65,13414962
2015-07-17,218.05,220.12,217.26,218.05,11540318
2015-07-20,217.25,219.75,216.85,218.6,7613797
2015-07-21,218.5,222.3,217.55,221.6,14194184
2015-07-22,220.45,221.85,218.5,219.0,20807781
2015-07-23,220.35,222.2,218.39,219.6,10944967
2015-07-24,218.8,220.55,218.25,219.0,18449740
2015-07-27,217.7,218.72,213.05,214.3,13714881
2015-07-28,215.25,215.35,211.65,212.4,16720849
2015-07-29,213.1,214.45,211.5,213.0,12486712
2015-07-30,213.4,215.34,212.79,214.65,13902842
2015-07-31,215.75,215.75,211.12,215.7,17326184
2015-08-03,214.7,215.65,210.8,211.6,13599385
2015-08-04,210.6,213.2,209.75,210.7,12480167
2015-08-05,210.55,218.0,210.55,215.4,22741354
2015-08-06,214.95,221.9,214.4,218.9,23320200
2015-08-07,218.85,219.37,215.8,215.8,11810717
2015-08-10,216.55,216.95,210.95,212.56,16882953
2015-08-11,212.15,212.98,209.55,209.55,13862296
2015-08-12,205.65,210.27,202.8,204.15,32797307
2015-08-13,205.95,207.25,202.0,202.0,13686913
2015-08-14,202.45,205.5,201.85,202.65,11961144
2015-08-17,204.25,204.35,201.2,202.2,8260504
2015-08-18,201.65,202.9,198.3,198.6,18943504
2015-08-19,198.25,198.65,194.6,194.75,24025595
2015-08-20,193.6,195.9,191.0,193.7,19523866
2015-08-21,191.8,194.75,188.2,188.2,22257805
2015-08-24,182.6,185.95,175.85,181.1,42025771
2015-08-25,183.0,188.2,183.0,186.0,28889566
2015-08-26,184.6,189.2,182.5,186.2,24594244
2015-08-27,190.6,192.5,186.7,191.45,26238134
2015-08-28,191.4,191.96,187.52,191.35,24452096
2015-09-01,189.55,190.4,183.5,185.4,23829676
2015-09-02,185.4,188.2,184.6,184.85,25820100
2015-09-03,186.8,190.8,186.6,189.55,24180033
2015-09-04,188.0,188.56,185.95,185.95,19392932
2015-09-07,189.6,189.6,183.84,185.95,17466889
2015-09-08,187.5,190.85,186.4,189.0,21177898
2015-09-09,192.25,193.4,190.79,191.2,13376977
2015-09-10,189.4,189.95,184.85,185.55,21175158
2015-09-11,185.85,186.03,180.8,181.35,12502729
2015-09-14,181.85,184.0,178.45,178.45,18477127
2015-09-15,178.3,179.46,172.9,177.0,21782880
2015-09-16,178.3,180.27,177.65,179.2,20171890
2015-09-17,180.0,180.9,175.75,176.25,16339565
2015-09-18,176.05,176.52,172.1,174.65,22074568
2015-09-21,173.75,178.7,173.62,176.5,10191066
2015-09-22,176.0,176.75,168.2,168.2,30758292
2015-09-23,168.1,170.51,166.99,168.55,14248878
2015-09-24,168.45,169.15,164.1,165.15,22580391
2015-09-25,167.45,169.55,166.0,167.45,22036973
2015-09-28,167.9,168.2,165.05,166.2,16248173
2015-09-29,164.35,173.45,164.05,171.3,28083465
2015-09-30,174.95,184.7,174.7,183.2,31928844
2015-10-01,180.85,182.7,177.65,181.97,22138075
2015-10-02,179.75,181.9,176.65,179.85,16263518
2015-10-05,183.9,187.2,182.0,186.55,24350062
2015-10-06,185.55,193.5,185.55,192.15,21337325
2015-10-07,192.2,198.05,184.84,197.0,30046994
2015-10-08,194.4,202.95,194.4,201.75,27159921
2015-10-09,203.6,205.9,201.9,204.8,19720518
2015-10-12,203.7,204.85,201.3,201.85,16229587
2015-10-13,202.85,203.2,193.3,194.05,23427356
2015-10-14,193.25,195.7,192.2,192.45,14866013
2015-10-15,193.3,194.35,190.47,192.15,16431280
2015-10-16,192.7,197.75,191.95,196.95,15318237
2015-10-19,196.4,198.25,192.95,193.6,13952403
2015-10-20,193.2,195.0,188.65,189.1,22703448
2015-10-21,189.1,190.2,186.05,188.15,17454177
2015-10-22,187.3,189.94,187.3,188.25,22194528
2015-10-23,189.35,191.9,188.6,190.6,16140961
2015-10-26,190.2,193.6,188.95,190.55,9446554
2015-10-27,189.8,190.45,185.2,185.2,14654848
2015-10-28,185.75,189.8,184.45,188.75,13621507
2015-10-29,188.8,189.74,184.9,185.65,13571991
2015-10-30,186.55,188.05,181.95,183.3,16256534
2015-11-02,182.0,184.8,182.0,183.95,9015435
2015-11-03,183.5,185.8,182.9,184.65,9261530
2015-11-04,184.9,190.06,184.55,188.7,14834108
2015-11-05,188.8,189.04,183.9,184.0,16032129
2015-11-06,184.8,185.25,181.49,182.9,11781476
2015-11-09,182.5,184.6,178.4,178.55,14003146
2015-11-10,176.5,177.0,172.05,175.25,27228388
2015-11-11,176.0,177.6,171.93,174.0,26566863
2015-11-12,173.35,173.85,171.1,171.7,21056125
2015-11-13,171.05,171.4,166.95,167.0,23995383
2015-11-16,165.3,167.75,164.95,166.2,16966482
2015-11-17,170.1,173.5,168.05,169.0,32590570
2015-11-18,168.1,172.07,166.32,170.9,21614232
2015-11-19,171.65,174.7,171.1,172.0,16930264
2015-11-20,172.65,173.92,171.25,173.0,20759477
2015-11-23,170.55,171.3,164.35,165.1,29456003
2015-11-24,164.55,165.8,163.3,164.4,23831577
2015-11-25,165.0,168.75,164.5,168.5,17317550
2015-11-26,169.1,172.2,168.61,170.0,11517266
2015-11-27,169.05,170.85,167.75,169.15,15635950
2015-11-30,169.15,169.85,166.7,167.2,28362393
2015-12-01,167.6,169.1,166.1,167.6,18099719
2015-12-02,168.15,169.0,166.55,167.3,13009336
2015-12-03,166.75,170.8,163.9,163.9,23274849
2015-12-04,163.5,164.6,161.05,162.6,20627391
2015-12-07,162.6,162.8,156.65,157.0,21837974
2015-12-08,156.5,163.2,155.0,156.55,32310550
2015-12-09,156.45,157.6,153.0,153.0,25419630
2015-12-10,152.1,152.57,149.85,150.55,22141638
2015-12-11,149.9,150.65,143.34,144.35,25194365
2015-12-14,145.5,149.57,142.95,143.05,24532995
2015-12-15,144.85,149.75,143.1,149.3,26557157
2015-12-16,150.2,151.9,144.85,148.0,23201971
2015-12-18,143.55,147.95,142.6,143.45,35202117
2015-12-21,141.1,147.36,141.0,145.3,16469055
2015-12-22,146.1,147.09,142.65,144.85,12292247
2015-12-23,146.15,153.1,145.65,152.9,17681326
2015-12-24,151.75,153.15,149.95,150.9,2456726
2015-12-29,150.35,151.37,148.35,151.15,14877242
2015-12-30,151.2,151.4,149.93,150.55,9664271
2015-12-31,150.4,151.55,147.2,149.5,4857186
2016-01-04,146.5,148.0,141.65,142.25,22800685
2016-01-05,146.8,150.0,143.5,144.4,30363399
2016-01-06,144.1,144.8,138.65,141.55,26330084
2016-01-07,138.6,139.9,137.0,139.2,28864209
2016-01-08,142.0,149.22,142.0,146.9,34197757
2016-01-11,147.55,148.7,145.45,145.45,20204362
2016-01-12,151.75,156.12,151.7,155.2,36855798
2016-01-13,156.1,161.95,154.0,158.3,34153007
2016-01-14,170.0,170.75,164.04,168.0,52887371
2016-01-15,168.5,169.3,160.35,164.45,38951624
2016-01-18,163.55,165.85,160.0,161.55,21745449
2016-01-19,163.8,165.7,156.6,159.1,29810409
2016-01-20,157.45,158.1,150.95,152.4,27492448
2016-01-21,152.65,156.8,150.7,156.05,25255953
2016-01-22,158.5,161.75,154.65,160.55,23059076
2016-01-25,161.1,161.7,154.85,155.7,20611552
2016-01-26,154.1,161.2,152.95,160.35,25415786
2016-01-27,159.55,161.55,156.5,161.0,19728805
2016-01-28,160.2,167.5,159.0,166.2,28628992
2016-01-29,168.25,173.4,165.25,173.4,51046528
2016-02-01,173.85,174.65,168.05,171.75,31771601
2016-02-02,170.8,171.7,166.0,171.1,26384922
2016-02-03,170.35,171.25,166.32,168.3,22393320
2016-02-04,170.35,171.4,166.45,169.9,20401912
2016-02-05,171.0,176.05,170.7,174.6,32022175
2016-02-08,176.0,178.2,169.8,172.6,30082080
2016-02-09,171.7,177.7,170.66,173.8,32893122
2016-02-10,175.1,183.5,174.2,181.3,43144138
2016-02-11,179.9,181.73,177.4,179.6,42514055
2016-02-12,180.2,181.52,173.2,177.0,30483185
2016-02-15,181.0,182.75,177.8,178.8,20477288
2016-02-16,179.5,180.85,176.51,180.55,24738655
2016-02-17,180.85,188.0,180.4,186.85,31456335
2016-02-18,186.65,189.94,185.25,186.75,21901531
2016-02-19,186.0,187.75,180.5,183.3,19868500
2016-02-22,184.35,187.5,182.95,184.65,14099348
2016-02-23,184.65,184.65,179.2,179.55,20640744
2016-02-24,179.25,180.27,174.1,176.7,16591626
2016-02-25,179.55,183.35,178.15,180.55,18157233
2016-02-26,183.3,185.57,181.7,184.15,16636612
2016-02-29,181.85,182.05,176.95,180.4,26608095
2016-03-01,180.0,184.15,178.3,183.95,20992440
2016-03-02,185.1,185.42,179.58,181.65,16438516
2016-03-03,181.4,188.8,180.85,186.15,19766314
2016-03-04,186.45,192.05,186.45,190.75,20375089
2016-03-07,189.9,191.9,188.13,191.8,14022662
2016-03-08,190.4,198.0,189.15,195.15,30217769
2016-03-09,195.15,197.45,193.95,195.2,19863978
2016-03-10,195.4,197.9,187.55,188.6,29878741
2016-03-11,190.5,194.9,188.63,192.2,17762737
2016-03-14,192.55,194.45,191.0,193.15,16658238
2016-03-15,192.0,193.2,187.2,190.25,12419580
2016-03-16,191.0,191.14,186.86,190.65,10426583
2016-03-17,191.45,194.45,189.75,192.95,17326479
2016-03-18,194.1,197.0,192.57,194.85,27178966
2016-03-21,194.1,198.7,192.75,197.45,17282178
2016-03-22,196.8,201.65,194.62,201.65,23581659
2016-03-23,201.0,201.0,196.6,197.55,17021919
2016-03-24,195.0,195.7,189.2,189.8,21420652
2016-03-29,191.15,193.7,188.88,189.4,17892623
2016-03-30,191.2,194.65,190.82,193.75,16549125
