Date,Open,High,Low,Close,Volume
2015-02-23,1195.0,1198.22,1188.0,1193.0,833019
2015-02-24,1201.0,1201.0,1189.0,1191.0,896769
2015-02-25,1193.0,1193.0,1172.0,1174.0,876496
2015-02-26,1169.0,1177.0,1165.0,1172.0,785977
2015-02-27,1172.0,1179.0,1162.94,1177.0,1696948
2015-03-02,1184.0,1184.0,1159.0,1170.0,838249
2015-03-03,1177.0,1177.0,1136.0,1140.0,1407255
2015-03-04,1137.0,1151.0,1100.0,1151.0,2768156
2015-03-05,1147.0,1182.0,1147.0,1175.0,1382043
2015-03-06,1186.0,1186.0,1159.0,1163.0,1089585
2015-03-09,1153.0,1160.0,1141.72,1154.0,1208160
2015-03-10,1147.0,1156.0,1142.0,1145.0,2114626
2015-03-11,1149.0,1155.0,1143.0,1152.0,1047394
2015-03-12,1150.0,1154.0,1130.0,1152.0,1189255
2015-03-13,1151.0,1168.0,1151.0,1168.0,479403
2015-03-16,1174.0,1200.0,1164.38,1200.0,697922
2015-03-17,1205.0,1209.0,1192.15,1197.0,1148973
2015-03-18,1192.0,1209.0,1188.71,1208.0,983214
2015-03-19,1205.0,1209.58,1180.0,1181.0,1098602
2015-03-20,1188.0,1196.0,1176.0,1179.0,5120538
2015-03-23,1175.0,1184.0,1158.0,1175.0,467497
2015-03-24,1170.0,1196.0,1170.0,1183.0,956631
2015-03-25,1195.0,1234.0,1191.0,1214.0,1225487
2015-03-26,1206.0,1208.24,1183.0,1207.0,965489
2015-03-27,1210.0,1219.0,1192.0,1200.0,781883
2015-03-30,1213.0,1217.0,1191.0,1201.0,632813
2015-03-31,1199.0,1227.04,1187.0,1187.0,2001300
2015-04-01,1184.0,1239.0,1181.0,1211.0,1568073
2015-04-02,1204.0,1213.0,1192.83,1213.0,334411
2015-04-07,1218.0,1230.0,1203.0,1230.0,668420
2015-04-08,1222.0,1225.35,1209.0,1219.0,496808
2015-04-09,1229.0,1234.0,1224.0,1228.0,337048
2015-04-10,1228.0,1248.0,1223.29,1248.0,1048552
2015-04-13,1245.0,1254.6,1236.0,1237.0,445148
2015-04-14,1231.0,1244.0,1230.0,1237.0,480653
2015-04-15,1235.0,1238.5,1225.0,1225.0,493447
2015-04-16,1234.0,1245.0,1206.33,1212.0,912943
2015-04-17,1211.0,1224.0,1192.33,1196.0,1219320
2015-04-20,1196.0,1216.0,1191.0,1211.0,626239
2015-04-21,1217.0,1236.0,1206.0,1232.0,900084
2015-04-22,1235.0,1246.0,1206.0,1221.0,627209
2015-04-23,1217.0,1226.0,1202.0,1214.0,924864
2015-04-24,1209.0,1225.0,1207.0,1217.0,444689
2015-04-27,1223.0,1239.0,1200.0,1238.0,449634
2015-04-28,1229.0,1236.24,1204.73,1210.0,733614
2015-04-29,1214.0,1217.0,1200.0,1205.0,1006257
2015-04-30,1200.0,1223.0,1188.0,1223.0,880980
2015-05-01,1195.0,1210.0,1195.0,1200.0,373687
2015-05-05,1219.0,1252.54,1203.0,1203.0,1548129
2015-05-06,1195.0,1240.0,1195.0,1202.0,854984
2015-05-07,1187.0,1210.0,1172.31,1205.0,1127220
2015-05-08,1220.0,1294.78,1220.0,1247.0,1030691
2015-05-11,1279.0,1286.5,1251.0,1270.0,1088026
2015-05-12,1267.0,1277.0,1241.0,1253.0,931822
2015-05-13,1265.0,1284.0,1188.89,1207.0,1204673
2015-05-14,1191.0,1197.0,1168.0,1196.0,1019085
2015-05-15,1197.0,1214.0,1197.0,1210.0,527080
2015-05-18,1213.0,1222.0,1200.0,1202.0,490351
2015-05-19,1200.0,1227.67,1198.0,1220.0,541827
2015-05-20,1219.0,1222.58,1207.0,1220.0,915915
2015-05-21,1222.0,1222.0,1203.0,1204.0,705905
2015-05-22,1210.0,1213.0,1180.0,1180.0,312121
2015-05-26,1179.0,1186.82,1156.0,1160.0,523699
2015-05-27,1156.0,1180.0,1152.0,1173.0,631718
2015-05-28,1181.0,1197.0,1175.56,1188.0,823880
2015-05-29,1186.0,1198.0,1151.65,1159.0,1540945
2015-06-01,1163.0,1171.0,1154.0,1157.0,480536
2015-06-02,1168.0,1175.0,1148.0,1165.0,827896
2015-06-03,1171.0,1196.0,1168.0,1192.0,1234230
2015-06-04,1192.0,1192.0,1169.01,1184.0,758341
2015-06-05,1175.0,1188.0,1168.0,1170.0,478210
2015-06-08,1176.0,1191.0,1169.0,1184.0,470187
2015-06-09,1186.0,1194.0,1170.0,1194.0,740634
2015-06-10,1190.0,1211.0,1179.13,1211.0,1416710
2015-06-11,1210.0,1233.0,1207.0,1226.0,708004
2015-06-12,1217.0,1231.0,1203.0,1205.0,614828
2015-06-15,1203.0,1203.0,1169.5,1171.0,528889
2015-06-16,1172.0,1172.0,1147.0,1158.0,609814
2015-06-17,1156.0,1163.0,1137.0,1137.0,585992
2015-06-18,1130.0,1130.0,1099.0,1123.0,992980
2015-06-19,1125.0,1162.0,1121.0,1156.0,3748104
2015-06-22,1172.0,1183.0,1158.0,1180.0,700047
2015-06-23,1185.0,1187.56,1164.0,1164.0,660010
2015-06-24,1170.0,1170.0,1156.0,1161.0,364069
2015-06-25,1152.0,1160.26,1136.0,1140.0,574714
2015-06-26,1136.0,1146.0,1113.0,1113.0,775328
2015-06-29,1073.0,1073.0,996.74,1034.0,2100355
2015-06-30,1028.0,1049.0,1028.0,1030.0,1207254
2015-07-01,1043.0,1077.0,1037.0,1061.0,1241612
2015-07-02,1059.0,1066.05,1042.0,1043.0,596660
2015-07-03,1060.0,1061.36,1041.0,1050.0,670673
2015-07-06,1041.0,1041.0,1009.63,1017.0,1048176
2015-07-07,1017.0,1023.0,1003.22,1007.0,853248
2015-07-08,1012.0,1018.0,1000.0,1017.0,485713
2015-07-09,1017.0,1039.0,1007.0,1039.0,990722
