Date,Open,High,Low,Close,Volume
2015-02-23,947.5,952.46,944.0,950.0,1090890
2015-02-24,947.5,963.5,947.5,962.0,1397271
2015-02-25,963.5,964.5,946.5,955.0,1092840
2015-02-26,954.5,955.0,939.5,944.5,1213906
2015-02-27,944.5,949.0,937.5,946.0,1484112
2015-03-02,946.0,955.66,942.5,945.0,1265603
2015-03-03,946.5,951.0,917.0,920.5,2068098
2015-03-04,926.5,928.0,908.5,921.0,1701234
2015-03-05,922.0,939.75,919.0,939.5,1613514
2015-03-06,939.5,939.5,922.5,925.0,1809954
2015-03-09,926.0,927.74,898.0,922.5,2085166
2015-03-10,925.5,926.5,886.5,889.0,2540696
2015-03-11,889.0,901.38,889.0,895.5,1812663
2015-03-12,896.5,914.5,892.5,902.5,2223228
2015-03-13,902.0,903.0,887.0,894.0,1539967
2015-03-16,896.0,899.0,884.5,896.5,1544868
2015-03-17,895.5,913.5,892.5,911.5,3446970
2015-03-18,909.5,937.5,909.5,935.0,2495149
2015-03-19,937.5,951.06,935.31,951.0,2746713
2015-03-20,950.5,953.5,940.08,949.0,3946831
2015-03-23,950.0,959.0,940.5,958.0,1768089
2015-03-24,959.5,968.5,954.5,956.5,1586690
2015-03-25,963.5,966.0,950.0,958.0,1542899
2015-03-26,953.5,960.0,938.0,939.5,1702903
2015-03-27,940.0,947.0,935.0,942.5,1710013
2015-03-30,953.0,953.0,931.23,944.5,2122634
2015-03-31,945.5,964.5,933.0,933.0,2804310
2015-04-01,934.0,940.5,927.0,939.5,2353357
2015-04-02,954.0,954.0,930.0,938.0,1194804
2015-04-07,943.5,964.5,940.31,962.0,2097990
2015-04-08,957.5,970.0,952.88,958.5,1826018
2015-04-09,965.5,976.0,963.0,976.0,1773552
2015-04-10,975.5,984.0,970.5,981.5,2099388
2015-04-13,980.5,983.0,974.5,979.0,1563107
2015-04-14,976.0,982.0,970.82,979.0,1366674
2015-04-15,977.5,983.5,968.5,974.5,1520679
2015-04-16,978.5,978.5,967.5,969.0,1659954
2015-04-17,970.0,975.5,953.0,959.5,2333299
2015-04-20,964.0,967.5,953.5,960.5,1759516
2015-04-21,966.5,985.5,963.5,980.5,1936440
2015-04-22,983.0,987.5,968.1,973.5,1465392
2015-04-23,974.0,1002.0,974.0,984.5,1874608
2015-04-24,989.0,1004.0,985.5,1003.0,1588827
2015-04-27,1003.0,1008.0,983.5,989.5,1760776
2015-04-28,991.0,995.0,980.23,986.5,1341171
2015-04-29,993.0,1003.0,963.0,963.0,2016455
2015-04-30,967.5,974.5,957.0,971.0,2369747
2015-05-01,973.0,973.0,947.5,958.0,1124616
2015-05-05,971.0,978.5,950.5,950.5,2232854
2015-05-06,950.5,954.0,942.06,951.0,1450204
2015-05-07,957.0,958.5,932.5,951.0,2006527
2015-05-08,971.5,999.5,971.5,999.5,2645503
2015-05-11,999.5,1006.0,994.5,999.5,1609448
2015-05-12,993.0,996.0,965.5,983.5,2340999
2015-05-13,986.5,995.0,979.0,988.5,1836043
2015-05-14,988.0,995.0,982.0,988.0,1094962
2015-05-15,993.0,1001.0,986.5,992.5,2065226
2015-05-18,995.0,1008.0,987.0,998.5,1264115
2015-05-19,1004.0,1008.28,994.49,1004.0,1422181
2015-05-20,999.0,1010.0,994.0,1009.0,1577757
2015-05-21,990.5,1029.0,990.5,1005.07,1251687
2015-05-22,1004.0,1010.25,1000.0,1002.0,975162
2015-05-26,1003.0,1006.0,974.82,977.0,2197533
2015-05-27,980.5,996.0,977.5,994.5,1651564
2015-05-28,996.5,1007.0,995.5,1004.0,1230144
2015-05-29,1008.0,1009.0,993.5,996.0,1918132
2015-06-01,999.0,1010.0,995.0,998.0,1122859
2015-06-02,999.5,999.5,982.0,984.0,1667223
2015-06-03,987.5,995.5,977.0,984.0,1455279
2015-06-04,983.0,986.0,971.0,971.0,2043387
2015-06-05,970.5,972.5,956.5,958.0,1227348
2015-06-08,959.5,974.66,956.0,962.5,1170803
2015-06-09,965.5,966.5,955.0,957.0,1378340
2015-06-10,956.5,971.29,954.5,970.0,1743875
2015-06-11,966.5,969.5,959.25,967.0,1326304
2015-06-12,961.0,965.0,958.0,962.0,1332479
2015-06-15,958.5,960.0,948.5,948.5,1236848
2015-06-16,947.5,953.0,935.12,949.5,1076418
2015-06-17,950.0,951.0,940.94,943.5,875473
2015-06-18,943.0,948.5,934.5,947.0,1206211
2015-06-19,945.0,957.0,945.0,952.0,2816863
2015-06-22,967.0,987.0,965.0,987.0,2124564
2015-06-23,986.5,993.0,981.44,982.5,1237240
2015-06-24,981.5,992.92,975.5,991.5,1900089
2015-06-25,964.0,980.64,951.0,955.0,1832515
2015-06-26,950.0,966.64,936.5,939.5,1434209
2015-06-29,927.5,941.5,924.5,925.5,2613069
2015-06-30,918.5,922.84,892.0,892.0,4684692
2015-07-01,899.0,901.5,890.5,892.0,2622007
2015-07-02,892.5,907.38,891.0,896.5,2150069
2015-07-03,898.0,904.0,877.0,882.5,2630080
2015-07-06,876.5,893.0,874.0,876.5,2097070
2015-07-07,876.0,883.0,870.0,870.0,2293581
2015-07-08,870.0,881.0,869.0,877.5,1908348
2015-07-09,879.5,888.0,876.0,876.0,2932575
2015-07-10,886.5,890.88,878.5,889.0,1970756
2015-07-13,894.5,894.5,883.5,888.5,1298295
2015-07-14,890.5,893.0,879.33,884.0,1635666
2015-07-15,886.0,896.0,883.0,885.0,1765306
2015-07-16,889.5,889.5,879.5,882.5,2043617
2015-07-17,884.0,890.5,879.5,880.0,2019120
2015-07-20,884.0,887.5,875.5,876.0,1035620
2015-07-21,878.0,882.5,876.0,878.5,2205983
2015-07-22,877.0,881.5,873.5,875.0,1420853
2015-07-23,882.0,891.5,877.5,885.5,1495988
2015-07-24,884.0,899.38,875.5,875.5,1957210
2015-07-27,877.0,878.81,869.0,872.5,1173623
2015-07-28,875.0,878.88,870.82,877.5,1645142
2015-07-29,880.5,887.0,878.5,883.5,1609825
2015-07-30,886.0,890.5,881.5,883.0,1399980
2015-07-31,884.5,892.5,875.5,892.0,1788814
2015-08-03,888.5,894.0,882.0,885.5,1078089
2015-08-04,883.5,888.5,877.15,885.5,1206672
2015-08-05,885.0,897.0,876.5,897.0,2459875
2015-08-06,892.5,899.38,885.5,898.5,1421961
2015-08-07,899.0,899.0,883.0,887.5,1548509
2015-08-10,890.0,892.0,877.62,887.0,1261622
2015-08-11,884.5,886.44,878.5,884.0,1354408
2015-08-12,881.5,883.37,873.0,881.5,1717122
2015-08-13,890.0,895.66,881.0,883.0,1304765
2015-08-14,885.0,893.25,882.0,891.0,1621595
2015-08-17,895.5,899.0,889.0,898.0,1147470
2015-08-18,897.0,908.5,892.5,904.5,1845167
