Date,Open,High,Low,Close,Volume
2015-02-23,1527.0,1535.0,1520.0,1532.0,2679790
2015-02-24,1542.0,1548.0,1516.0,1534.0,3519298
2015-02-25,1531.0,1543.0,1513.0,1519.0,2630148
2015-02-26,1518.0,1539.0,1506.0,1538.0,2139972
2015-02-27,1539.0,1544.0,1529.0,1535.0,2476216
2015-03-02,1537.0,1545.0,1526.0,1538.0,2104239
2015-03-03,1547.0,1564.0,1516.0,1517.0,2571233
2015-03-04,1520.0,1532.0,1509.0,1532.0,2579105
2015-03-05,1533.0,1547.0,1526.0,1535.0,2290109
2015-03-06,1531.0,1551.0,1531.0,1541.0,2278813
2015-03-09,1545.0,1569.0,1524.0,1559.0,3781400
2015-03-10,1533.0,1556.0,1503.5,1504.0,4756052
2015-03-11,1505.0,1528.0,1505.0,1520.0,3924321
2015-03-12,1525.0,1551.0,1522.0,1548.0,3542262
2015-03-13,1546.0,1569.0,1544.27,1564.0,3117309
2015-03-16,1571.0,1580.0,1554.0,1558.0,3460036
2015-03-17,1557.0,1574.0,1552.0,1555.0,3594914
2015-03-18,1565.0,1588.0,1541.0,1586.0,2939239
2015-03-19,1589.0,1592.0,1576.0,1578.0,3505368
2015-03-20,1590.0,1593.0,1578.0,1580.0,7020954
2015-03-23,1578.0,1580.0,1566.3,1569.54,2838841
2015-03-24,1573.0,1586.0,1568.75,1580.0,2931054
2015-03-25,1580.0,1589.0,1559.0,1566.0,2997739
2015-03-26,1552.0,1571.0,1521.3,1547.0,3613305
2015-03-27,1547.0,1556.0,1532.0,1540.0,2749516
2015-03-30,1563.0,1571.81,1551.0,1558.0,2478360
2015-03-31,1554.0,1567.0,1528.85,1531.0,4202028
2015-04-01,1530.0,1548.0,1510.75,1513.0,5271690
2015-04-02,1515.0,1542.0,1510.0,1539.0,3145289
2015-04-07,1545.0,1566.0,1538.0,1555.0,2977573
2015-04-08,1554.0,1564.0,1538.0,1560.0,2582392
2015-04-09,1566.0,1587.0,1566.0,1587.0,2453453
2015-04-10,1587.0,1616.0,1587.0,1611.0,3171887
2015-04-13,1609.0,1613.0,1591.0,1598.0,2075431
2015-04-14,1591.0,1601.0,1584.0,1593.0,2970071
2015-04-15,1590.0,1598.0,1582.0,1586.0,2207584
2015-04-16,1595.0,1595.0,1562.0,1571.0,3730608
2015-04-17,1568.0,1576.0,1541.0,1543.0,3832945
2015-04-20,1554.0,1558.0,1536.0,1544.0,2667733
2015-04-21,1556.0,1591.0,1551.0,1586.0,3818431
2015-04-22,1587.0,1600.0,1568.0,1596.0,3359140
2015-04-23,1587.0,1588.0,1557.0,1572.0,3981381
2015-04-24,1579.0,1603.23,1564.28,1574.0,3636276
2015-04-27,1584.0,1593.0,1559.0,1585.0,3025266
2015-04-28,1588.0,1588.0,1542.0,1556.0,2886472
2015-04-29,1560.0,1570.0,1530.0,1530.0,3640956
2015-04-30,1531.0,1536.0,1509.0,1526.0,4236669
2015-05-01,1521.0,1541.0,1504.0,1537.0,2547069
2015-05-05,1566.0,1570.0,1511.0,1511.0,4492950
2015-05-06,1506.0,1521.0,1495.53,1504.0,3124954
2015-05-07,1502.0,1515.0,1478.25,1506.0,3935262
2015-05-08,1540.0,1545.0,1513.0,1542.0,3579940
2015-05-11,1547.0,1552.0,1531.0,1540.0,2964449
2015-05-12,1539.0,1545.0,1511.0,1515.0,4203153
2015-05-13,1521.0,1537.0,1515.0,1525.0,2562232
2015-05-14,1522.0,1552.0,1509.0,1549.0,2356474
2015-05-15,1554.0,1559.0,1541.0,1551.0,2791158
2015-05-18,1556.0,1562.0,1538.0,1560.0,2806861
2015-05-19,1560.0,1584.0,1555.3,1581.0,3171499
2015-05-20,1581.0,1593.0,1575.25,1578.0,3136001
2015-05-21,1578.0,1581.0,1564.0,1566.0,2859413
