Date,Open,High,Low,Close,Volume
2015-02-23,5035.0,5100.0,5030.0,5085.0,397467
2015-02-24,5085.0,5125.0,5050.0,5105.0,307525
2015-02-25,5205.0,5260.0,5185.0,5245.0,538865
2015-02-26,5240.0,5290.0,5217.5,5285.0,324845
2015-02-27,5300.0,5315.0,5245.0,5255.0,263552
2015-03-02,5240.0,5345.0,5230.0,5345.0,360713
2015-03-03,5350.0,5350.0,5235.0,5255.0,313419
2015-03-04,5270.0,5310.0,5196.8,5310.0,272452
2015-03-05,5325.0,5365.0,5300.0,5330.0,228958
2015-03-06,5340.0,5360.0,5290.0,5305.0,235440
2015-03-09,5280.0,5300.38,5231.72,5280.15,245718
2015-03-10,5250.0,5295.0,5145.0,5145.0,345241
2015-03-11,5160.0,5200.0,5140.0,5200.0,286583
2015-03-12,5230.0,5265.0,5205.0,5260.0,262420
2015-03-13,5365.0,5415.0,5300.0,5335.0,479039
2015-03-16,5360.0,5411.76,5355.0,5385.0,304505
2015-03-17,5390.0,5415.0,5356.62,5390.0,191314
2015-03-18,5380.0,5425.0,5370.0,5405.0,447441
2015-03-19,5410.0,5450.0,5395.15,5425.0,239563
2015-03-20,5455.0,5455.0,5385.0,5430.0,345982
2015-03-23,5405.0,5430.0,5330.0,5350.0,252524
2015-03-24,5330.0,5400.0,5325.0,5335.0,348713
2015-03-25,5330.0,5370.0,5280.0,5305.0,411167
2015-03-26,5260.0,5260.0,5125.0,5235.0,606579
2015-03-27,5255.0,5291.4,5205.0,5240.0,372716
2015-03-30,5290.0,5305.0,5205.0,5240.0,404801
2015-03-31,5240.0,5345.0,5185.0,5245.0,498667
2015-04-01,5245.0,5285.0,5186.25,5225.0,361302
2015-04-02,5225.0,5270.0,5185.0,5255.0,253752
2015-04-07,5295.0,5320.0,5265.0,5315.0,334457
2015-04-08,5300.0,5320.0,5251.75,5290.0,342975
2015-04-09,5300.0,5410.0,5300.0,5400.0,388733
2015-04-10,5415.0,5436.88,5370.0,5420.0,375993
2015-04-13,5405.0,5420.0,5350.0,5390.0,175863
2015-04-14,5365.0,5435.0,5335.0,5345.0,280822
2015-04-15,5350.0,5375.0,5300.0,5310.0,272088
2015-04-16,5340.0,5340.0,5210.0,5225.0,361937
2015-04-17,5220.0,5295.0,5190.0,5240.0,521555
2015-04-20,5265.0,5300.0,5235.0,5275.0,315532
2015-04-21,5300.0,5395.0,5300.0,5330.0,397818
2015-04-22,5335.0,5360.0,5240.0,5310.0,366704
2015-04-23,5315.0,5355.0,5280.0,5330.0,361444
2015-04-24,5325.0,5345.0,5260.0,5335.0,502009
2015-04-27,5365.0,5475.0,5325.0,5440.0,510728
2015-04-28,5440.0,5440.0,5244.95,5300.0,635095
2015-04-29,5325.0,5355.0,5206.8,5220.0,719124
2015-04-30,5260.0,5274.1,5140.0,5255.0,520273
2015-05-01,5240.0,5257.02,5160.0,5220.0,277091
2015-05-05,5360.0,5360.0,5050.0,5050.0,940004
2015-05-06,5040.0,5083.22,5010.0,5050.0,888254
2015-05-07,5030.0,5130.0,4988.0,5120.0,585329
2015-05-08,5295.0,5339.9,5230.0,5275.0,829340
2015-05-11,5280.0,5295.0,5215.0,5230.0,507397
2015-05-12,5205.0,5255.0,5175.0,5205.0,713201
2015-05-13,5215.0,5280.9,5195.0,5220.0,467082
2015-05-14,5205.0,5255.0,5165.0,5250.0,298854
2015-05-15,5250.0,5328.2,5250.0,5325.0,404645
2015-05-18,5310.0,5368.28,5270.0,5290.0,452691
2015-05-19,5320.0,5375.0,5301.21,5310.0,479347
2015-05-20,5320.0,5330.0,5270.0,5310.0,229699
2015-05-21,5305.0,5320.0,5260.0,5260.0,353971
2015-05-22,5275.0,5275.0,5200.0,5210.0,505322
2015-05-26,5225.0,5260.0,5183.2,5200.0,354293
2015-05-27,5230.0,5265.0,5200.0,5245.0,371265
2015-05-28,5190.0,5220.0,5175.0,5185.0,318273
2015-05-29,5180.0,5200.0,5100.0,5120.0,544007
2015-06-01,5140.0,5180.0,5120.0,5130.0,383021
2015-06-02,5160.0,5160.0,5050.0,5060.0,454777
2015-06-03,5055.0,5115.0,5045.0,5070.0,424109
2015-06-04,5060.0,5075.0,5003.59,5045.0,369144
2015-06-05,5015.0,5018.34,4940.0,4977.0,509633
2015-06-08,4982.0,5025.0,4957.0,4971.0,483054
2015-06-09,4983.0,5025.0,4960.0,4997.0,457265
2015-06-10,4997.0,5050.0,4989.98,5035.0,467507
2015-06-11,5040.0,5105.0,5032.0,5105.0,371214
2015-06-12,5095.0,5110.0,5060.0,5080.0,502036
2015-06-15,5060.0,5090.0,5025.0,5040.0,456809
2015-06-16,5040.0,5075.0,4947.0,5070.0,519632
2015-06-17,5095.0,5125.0,5060.0,5080.0,550937
2015-06-18,5080.0,5135.0,5030.0,5130.0,382080
2015-06-19,5080.0,5155.0,5080.0,5145.0,595621
2015-06-22,5225.0,5305.0,5207.7,5255.0,629820
2015-06-23,5265.0,5281.13,5215.0,5215.0,330400
2015-06-24,5210.0,5226.38,5170.0,5185.0,328566
2015-06-25,5170.0,5200.0,5155.0,5190.0,270627
2015-06-26,5165.0,5180.9,5127.07,5165.0,260582
2015-06-29,5035.0,5095.0,5015.0,5074.95,431688
2015-06-30,4989.0,5015.0,4946.0,4946.0,493293
2015-07-01,4972.0,5078.5,4967.0,5050.0,447751
2015-07-02,5030.0,5070.0,5030.0,5040.0,413849
2015-07-03,5025.0,5065.0,5000.0,5000.0,200023
2015-07-06,4950.0,5038.2,4933.0,5025.0,320237
2015-07-07,5035.0,5060.0,4995.0,4995.0,437389
2015-07-08,4998.0,5055.0,4948.0,4973.0,441491
2015-07-09,4984.0,5040.0,4967.81,5035.0,349260
2015-07-10,5100.0,5115.0,5059.75,5110.0,263932
2015-07-13,5145.0,5250.0,5135.0,5235.0,352702
2015-07-14,5230.0,5245.0,5185.0,5215.0,267973
2015-07-15,5205.0,5230.0,5195.0,5210.0,297765
2015-07-16,5235.0,5270.0,5218.6,5260.0,246932
2015-07-17,5275.0,5290.0,5255.0,5270.0,184309
2015-07-20,5285.0,5305.0,5260.0,5275.0,159987
2015-07-21,5280.0,5315.0,5255.0,5260.0,238228
2015-07-22,5240.0,5275.0,5220.0,5255.0,391108
2015-07-23,5300.0,5315.0,5230.0,5235.0,295688
2015-07-24,5230.0,5245.0,5155.0,5160.0,334729
2015-07-27,5130.0,5160.0,5065.0,5065.0,333163
2015-07-28,5085.0,5160.0,5060.0,5130.55,385152
2015-07-29,5145.0,5155.0,5100.0,5145.0,268553
2015-07-30,5160.0,5180.0,5115.0,5145.0,271028
2015-07-31,5170.0,5195.0,5140.0,5190.0,361976
2015-08-03,5165.0,5190.0,5150.0,5180.0,241739
2015-08-04,5180.0,5230.0,5145.0,5195.0,362228
2015-08-05,5195.0,5230.0,5180.0,5225.0,284571
2015-08-06,5215.0,5225.0,5178.94,5180.0,183047
2015-08-07,5195.0,5195.0,5156.8,5180.0,303889
2015-08-10,5210.0,5245.0,5145.0,5230.0,336229
2015-08-11,5255.0,5305.0,5215.0,5225.0,437062
2015-08-12,5185.0,5241.87,5105.0,5155.0,416664
2015-08-13,5220.0,5245.0,5160.0,5185.0,304070
2015-08-14,5195.0,5230.0,5177.7,5190.0,283529
2015-08-17,5220.0,5225.0,5110.9,5145.0,279709
2015-08-18,5140.0,5160.0,5091.53,5115.0,297825
2015-08-19,5090.0,5106.0,5048.6,5055.0,268601
2015-08-20,5020.0,5043.2,4975.0,4980.0,395232
2015-08-21,4910.0,4946.0,4861.0,4861.0,474928
